  7112.000   26  1  1  6.3287243E-02 -3.5840181E+00 -3.2681282E+00  1  1  7.2673160E+03  0.0000000E+00  0.0000000E+00  4.7354336E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.9927253E-05
   7097.20  3.2546235E-05
   7097.40  3.6378347E-05
   7097.60  4.2387218E-05
   7097.80  5.2843865E-05
   7098.00  7.4910713E-05
   7098.20  1.8827077E-04
   7098.40  3.0324901E-04
   7098.60  3.0366573E-03
   7098.80  2.1264660E-03
   7099.00  7.1289637E-03
   7099.20  1.7836370E-04
   7099.40  1.1832465E-04
   7099.60  1.5257158E-04
   7099.80  2.2060795E-03
   7100.00  1.4238934E-03
   7100.20  1.4759087E-03
   7100.40  3.7734730E-04
   7100.60  1.1362322E-04
   7100.80  9.0511448E-05
   7101.00  1.6027333E-04
   7101.20  4.7002283E-03
   7101.40  7.8625123E-04
   7101.60  1.4891633E-04
   7101.80  9.7541670E-05
   7102.00  2.8180829E-04
   7102.20  2.5978628E-04
   7102.40  5.0262843E-04
   7102.60  3.7616340E-04
   7102.80  2.3196850E-03
   7103.00  2.8189567E-03
   7103.20  1.1962424E-02
   7103.40  7.3752614E-04
   7103.60  2.3393043E-04
   7103.80  2.5383163E-03
   7104.00  4.7965244E-04
   7104.20  2.4636059E-03
   7104.40  6.7565295E-04
   7104.60  7.7245222E-03
   7104.80  2.7342946E-03
   7105.00  4.1574856E-02
   7105.20  3.6268074E-04
   7105.40  2.1299843E-04
   7105.60  2.8393737E-04
   7105.80  4.9446779E-03
   7106.00  1.3696724E-02
   7106.20  1.4026824E-03
   7106.40  6.7461032E-04
   7106.60  1.1223024E-02
   7106.80  7.9298101E-04
   7107.00  1.4088116E-03
   7107.20  1.4294917E-03
   7107.40  7.5262015E-03
   7107.60  1.4111574E-02
   7107.80  2.5661651E-02
   7108.00  4.0588510E-02
   7108.20  3.7311455E-03
   7108.40  8.5429595E-04
   7108.60  3.2709506E-02
   7108.80  4.9086993E-02
   7109.00  1.0980513E-02
   7109.20  8.8599180E-03
