  7112.000   26  1  1  8.9595132E-03 -2.5499971E+00 -1.6016885E+00  1  1  7.2656868E+03  0.0000000E+00  0.0000000E+00  2.0639441E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0345317E-05
   7097.20  2.0597420E-05
   7097.40  2.0973348E-05
   7097.60  2.1556232E-05
   7097.80  2.2523132E-05
   7098.00  2.4308832E-05
   7098.20  2.8237708E-05
   7098.40  4.0118971E-05
   7098.60  1.1837899E-04
   7098.80  2.1083584E-03
   7099.00  6.9482992E-05
   7099.20  3.4957934E-05
   7099.40  2.7647870E-05
   7099.60  2.5175866E-05
   7099.80  2.4275164E-05
   7100.00  2.4112212E-05
   7100.20  2.4444276E-05
   7100.40  2.5284394E-05
   7100.60  2.7134690E-05
   7100.80  1.3240868E-04
   7101.00  3.3197198E-05
   7101.20  3.9694400E-05
   7101.40  6.0750656E-05
   7101.60  1.0153466E-03
   7101.80  2.6132498E-04
   7102.00  6.0351411E-02
   7102.20  2.7436382E-04
   7102.40  8.4965187E-05
   7102.60  5.1568771E-05
   7102.80  4.0725400E-05
   7103.00  3.6724234E-05
   7103.20  3.6187287E-05
   7103.40  3.9876824E-05
   7103.60  8.1720883E-05
   7103.80  4.5048977E-03
   7104.00  7.8463514E-05
   7104.20  9.7925304E-04
   7104.40  1.1166093E-04
   7104.60  4.2800090E-04
   7104.80  1.0805142E-02
   7105.00  2.0237057E-04
   7105.20  4.9123970E-04
   7105.40  2.1807882E-04
   7105.60  7.7127924E-05
   7105.80  6.9814819E-05
   7106.00  1.1025357E-04
   7106.20  1.9433317E-02
   7106.40  2.0849232E-04
   7106.60  6.3017852E-04
   7106.80  1.4928707E-04
   7107.00  2.3462717E-04
   7107.20  3.4350965E-03
   7107.40  4.6890344E-03
   7107.60  1.4893940E-03
   7107.80  4.3229662E-04
   7108.00  1.4120362E-03
   7108.20  2.2168524E-03
   7108.40  7.3338837E-04
   7108.60  2.6698571E-04
   7108.80  1.5568934E-03
   7109.00  8.5437919E-04
   7109.20  8.9238356E-03
   7109.40  2.3588259E-02
   7109.60  6.4343817E-04
   7109.80  1.0829118E-03
   7110.00  3.7921806E-03
   7110.20  2.9927591E-03
   7110.40  1.2957099E-02
   7110.60  1.4855824E-02
   7110.80  1.0709724E-02
   7111.00  8.9542506E-03
   7111.20  1.4407866E-02
   7111.40  1.4600495E-02
   7111.60  1.2669215E-02
   7111.80  1.5123308E-02
   7112.00  1.3340981E-02
   7112.20  1.6889895E-02
   7112.40  1.9744481E-02
   7112.60  2.1221235E-02
   7112.80  2.5775345E-02
   7113.00  3.0099402E-02
   7113.20  2.6712664E-02
   7113.40  2.6809367E-02
   7113.60  3.0788103E-02
   7113.80  3.2374771E-02
   7114.00  2.9345600E-02
   7114.20  2.5006977E-02
   7114.40  2.0982320E-02
   7114.60  1.7646069E-02
   7114.80  1.5454485E-02
   7115.00  1.4284030E-02
   7115.20  1.3728082E-02
   7115.40  1.3362131E-02
   7115.60  1.2994172E-02
   7115.80  1.2737384E-02
   7116.00  1.2806887E-02
   7116.20  1.3442753E-02
   7116.40  1.4663431E-02
   7116.60  1.6197920E-02
   7116.80  1.6901241E-02
   7117.00  1.5730659E-02
   7117.20  1.3563873E-02
   7117.40  1.1719676E-02
   7117.60  1.0561731E-02
   7117.80  9.9756409E-03
   7118.00  9.7901523E-03
   7118.20  9.8535079E-03
   7118.40  1.0017228E-02
   7118.60  1.0146279E-02
   7118.80  1.0151065E-02
   7119.00  1.0001726E-02
   7119.20  9.7269344E-03
   7119.40  9.3903167E-03
   7119.60  9.0475510E-03
   7119.80  8.7275989E-03
   7120.00  8.4438244E-03
   7120.20  8.2089414E-03
   7120.40  8.0389275E-03
   7120.60  7.9416428E-03
   7120.80  7.8959685E-03
   7121.00  7.8663428E-03
   7121.20  7.8677875E-03
   7121.40  7.9656940E-03
   7121.60  8.2117160E-03
   7121.80  8.6201081E-03
   7122.00  9.1693392E-03
   7122.20  9.7943403E-03
   7122.40  1.0387056E-02
   7122.60  1.0849558E-02
   7122.80  1.1117499E-02
   7123.00  1.0982205E-02
   7123.20  1.0597519E-02
   7123.40  1.0150363E-02
   7123.60  1.0258403E-02
   7123.80  1.1200400E-02
   7124.00  1.2472016E-02
   7124.20  1.3479246E-02
   7124.40  1.4027887E-02
   7124.60  1.4274247E-02
   7124.80  1.4527866E-02
   7125.00  1.5069074E-02
   7125.20  1.6077219E-02
   7125.40  1.7398502E-02
   7125.60  1.8855979E-02
   7125.80  2.0202766E-02
   7126.00  2.1285180E-02
   7126.20  2.2082144E-02
   7126.40  2.2661494E-02
   7126.60  2.3126069E-02
   7126.80  2.3596654E-02
   7127.00  2.4099470E-02
   7127.20  2.4762259E-02
   7127.40  2.5667934E-02
   7127.60  2.6886466E-02
   7127.80  2.8458413E-02
   7128.00  3.0365869E-02
   7128.20  3.2509791E-02
   7128.40  3.4745526E-02
   7128.60  3.6977840E-02
   7128.80  3.9492838E-02
   7129.00  4.2019533E-02
   7129.20  4.4634180E-02
   7129.40  4.7382374E-02
   7129.60  5.0025004E-02
   7129.80  5.2290327E-02
   7130.00  5.4027035E-02
   7130.20  5.5268152E-02
   7130.40  5.6176221E-02
   7130.60  5.6940398E-02
   7130.80  5.7699990E-02
   7131.00  5.8517312E-02
   7131.20  5.9388675E-02
   7131.40  6.0271299E-02
   7131.60  6.1111411E-02
   7131.80  6.1863734E-02
   7132.00  6.2501044E-02
   7132.20  6.3015219E-02
   7132.40  6.3412049E-02
   7132.60  6.3704057E-02
   7132.80  6.3902112E-02
   7133.00  6.4007532E-02
   7133.20  6.4023286E-02
   7133.40  6.3937065E-02
   7133.60  6.3729549E-02
   7133.80  6.3379622E-02
   7134.00  6.2870194E-02
   7134.20  6.2192362E-02
   7134.40  6.1346539E-02
   7134.60  6.0335863E-02
   7134.80  5.9162366E-02
   7135.00  5.7840745E-02
   7135.20  5.6407605E-02
   7135.40  5.4906298E-02
   7135.60  5.3369167E-02
   7135.80  5.1814044E-02
   7136.00  5.0251018E-02
   7136.20  4.8685937E-02
   7136.40  4.7123991E-02
   7136.60  4.5570886E-02
   7136.80  4.4033186E-02
   7137.00  4.2518104E-02
   7137.20  4.1034318E-02
   7137.40  3.9591164E-02
   7137.60  3.8200115E-02
   7137.80  3.6874299E-02
   7138.00  3.5628649E-02
   7138.20  3.4479983E-02
   7138.40  3.3445263E-02
   7138.60  3.2539565E-02
   7138.80  3.1773598E-02
   7139.00  3.1153810E-02
   7139.20  3.0676527E-02
   7139.40  3.0321099E-02
   7139.60  3.0067993E-02
   7139.80  2.9894070E-02
   7140.00  2.9775824E-02
   7140.20  2.9692457E-02
   7140.40  2.9627506E-02
   7140.60  2.9569251E-02
   7140.80  2.9510314E-02
   7141.00  2.9446595E-02
   7141.20  2.9376155E-02
   7141.40  2.9298316E-02
   7141.60  2.9213137E-02
   7141.80  2.9120736E-02
   7142.00  2.9021353E-02
   7142.20  2.8915445E-02
   7142.40  2.8803635E-02
   7142.60  2.8686899E-02
   7142.80  2.8566712E-02
   7143.00  2.8444899E-02
   7143.20  2.8323510E-02
   7143.40  2.8204825E-02
   7143.60  2.8091191E-02
   7143.80  2.7984869E-02
   7144.00  2.7887998E-02
   7144.20  2.7802316E-02
   7144.40  2.7729197E-02
   7144.60  2.7669488E-02
   7144.80  2.7623658E-02
   7145.00  2.7591759E-02
   7145.20  2.7573358E-02
   7145.40  2.7567681E-02
   7145.60  2.7573442E-02
   7145.80  2.7589060E-02
   7146.00  2.7615888E-02
   7146.20  2.7649473E-02
   7146.40  2.7686954E-02
   7146.60  2.7727166E-02
   7146.80  2.7769015E-02
   7147.00  2.7811735E-02
   7147.20  2.7854824E-02
   7147.40  2.7898019E-02
   7147.60  2.7941566E-02
   7147.80  2.7985946E-02
   7148.00  2.8031705E-02
   7148.20  2.8079903E-02
   7148.40  2.8131291E-02
   7148.60  2.8187904E-02
   7148.80  2.8254870E-02
   7149.00  2.8325938E-02
   7149.20  2.8406127E-02
   7149.40  2.8496710E-02
   7149.60  2.8599023E-02
   7149.80  2.8717877E-02
   7150.00  2.8846805E-02
   7150.20  2.8990384E-02
   7150.40  2.9149262E-02
   7150.60  2.9323982E-02
   7150.80  2.9514728E-02
   7151.00  2.9721550E-02
   7151.20  2.9944137E-02
   7151.40  3.0182135E-02
   7151.60  3.0435016E-02
   7151.80  3.0702115E-02
   7152.00  3.0982529E-02
   7152.20  3.1275309E-02
   7152.40  3.1579420E-02
   7152.60  3.1893680E-02
   7152.80  3.2216825E-02
   7153.00  3.2547411E-02
   7153.20  3.2883744E-02
   7153.40  3.3223670E-02
   7153.60  3.3566427E-02
   7153.80  3.3909375E-02
   7154.00  3.4247600E-02
   7154.20  3.4577842E-02
   7154.40  3.4896819E-02
   7154.60  3.5201499E-02
   7154.80  3.5489059E-02
   7155.00  3.5757196E-02
   7155.20  3.6004231E-02
   7155.40  3.6229204E-02
   7155.60  3.6431899E-02
   7155.80  3.6612344E-02
   7156.00  3.6771270E-02
   7156.20  3.6909776E-02
   7156.40  3.7029195E-02
   7156.60  3.7131019E-02
   7156.80  3.7216760E-02
   7157.00  3.7287895E-02
   7157.20  3.7345901E-02
   7157.40  3.7392005E-02
   7157.60  3.7427623E-02
   7157.80  3.7453020E-02
   7158.00  3.7469433E-02
   7158.20  3.7477678E-02
   7158.40  3.7478229E-02
   7158.60  3.7471602E-02
   7158.80  3.7458240E-02
   7159.00  3.7438575E-02
   7159.20  3.7412993E-02
   7159.40  3.7381698E-02
   7159.60  3.7344943E-02
   7159.80  3.7302962E-02
   7160.00  3.7255960E-02
   7160.20  3.7204121E-02
   7160.40  3.7147612E-02
   7160.60  3.7086588E-02
   7160.80  3.7021245E-02
   7161.00  3.6951827E-02
   7161.20  3.6879211E-02
   7161.40  3.6802706E-02
   7161.60  3.6722341E-02
   7161.80  3.6638241E-02
   7162.00  3.6550742E-02
   7162.20  3.6457962E-02
   7162.40  3.6361853E-02
   7162.60  3.6264805E-02
   7162.80  3.6165244E-02
   7163.00  3.6062176E-02
   7163.20  3.5957160E-02
   7163.40  3.5850188E-02
   7163.60  3.5741553E-02
   7163.80  3.5631502E-02
   7164.00  3.5520391E-02
   7164.20  3.5409076E-02
   7164.40  3.5297481E-02
   7164.60  3.5185645E-02
   7164.80  3.5073815E-02
   7165.00  3.4962218E-02
   7165.20  3.4850996E-02
   7165.40  3.4740421E-02
   7165.60  3.4631016E-02
   7165.80  3.4522348E-02
   7166.00  3.4414598E-02
   7166.20  3.4307644E-02
   7166.40  3.4201485E-02
   7166.60  3.4096123E-02
   7166.80  3.3991420E-02
   7167.00  3.3887721E-02
   7167.20  3.3784624E-02
   7167.40  3.3681840E-02
   7167.60  3.3579207E-02
   7167.80  3.3476550E-02
   7168.00  3.3373676E-02
   7168.20  3.3270388E-02
   7168.40  3.3166513E-02
   7168.60  3.3062021E-02
   7168.80  3.2957185E-02
   7169.00  3.2851310E-02
   7169.20  3.2743590E-02
   7169.40  3.2633768E-02
   7169.60  3.2524615E-02
   7169.80  3.2413950E-02
   7170.00  3.2301670E-02
   7170.20  3.2187727E-02
   7170.40  3.2072120E-02
   7170.60  3.1955346E-02
   7170.80  3.1837137E-02
   7171.00  3.1717493E-02
   7171.20  3.1596653E-02
   7171.40  3.1474622E-02
   7171.60  3.1351692E-02
   7171.80  3.1228222E-02
   7172.00  3.1104314E-02
