  7112.000   26  1  1  9.0151943E-02 -1.3724687E+00 -2.0770720E+00  1  1  7.2660282E+03  0.0000000E+00  0.0000000E+00  2.2766643E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4161930E-05
   7097.20  2.6467602E-05
   7097.40  3.0755935E-05
   7097.60  4.0214982E-05
   7097.80  6.8599918E-05
   7098.00  2.4800662E-04
   7098.20  7.7171535E-03
   7098.40  1.5110595E-04
   7098.60  5.8675272E-05
   7098.80  4.0643115E-05
   7099.00  3.8853986E-05
   7099.20  9.4073434E-05
   7099.40  1.0170697E-04
   7099.60  4.3713561E-05
   7099.80  7.9034767E-05
   7100.00  7.8878515E-03
   7100.20  6.5712677E-05
   7100.40  3.4578748E-05
   7100.60  2.8730832E-05
   7100.80  2.7183447E-05
   7101.00  2.7324474E-05
   7101.20  2.8857767E-05
   7101.40  3.2645255E-05
   7101.60  4.2384247E-05
   7101.80  7.8997179E-05
   7102.00  6.5190695E-04
   7102.20  4.5749471E-04
   7102.40  7.4780744E-05
   7102.60  4.4573815E-05
   7102.80  3.7768654E-05
   7103.00  3.7644714E-05
   7103.20  4.3802488E-05
   7103.40  8.3910246E-05
   7103.60  3.5012383E-04
   7103.80  2.4625242E-04
   7104.00  4.0128713E-04
   7104.20  2.9964799E-03
   7104.40  4.2040726E-04
   7104.60  1.0552742E-04
   7104.80  7.4698565E-05
   7105.00  1.8077423E-04
   7105.20  2.4310436E-04
   7105.40  6.7305168E-05
   7105.60  1.5854079E-04
   7105.80  1.1250231E-04
   7106.00  8.5062376E-05
   7106.20  2.8068820E-04
   7106.40  5.6835536E-05
   7106.60  5.3807076E-05
   7106.80  9.1514451E-05
   7107.00  9.0970232E-05
   7107.20  1.7459260E-04
   7107.40  7.0390225E-04
   7107.60  1.7488615E-03
   7107.80  4.4002610E-04
   7108.00  8.0212629E-04
   7108.20  1.9860021E-04
   7108.40  1.3269915E-04
   7108.60  2.1460822E-04
   7108.80  5.9196002E-03
   7109.00  3.9140483E-03
   7109.20  1.8440596E-02
   7109.40  2.0171774E-03
   7109.60  1.1640422E-02
   7109.80  1.1462825E-03
   7110.00  1.2306074E-03
   7110.20  1.1161216E-03
   7110.40  8.1788344E-03
   7110.60  2.5205363E-03
   7110.80  3.1712073E-03
   7111.00  1.3601168E-03
   7111.20  3.6205618E-03
   7111.40  3.3748571E-02
   7111.60  3.2230738E-02
   7111.80  1.8808529E-02
   7112.00  1.6863196E-02
   7112.20  2.2746647E-02
   7112.40  1.2575501E-02
   7112.60  1.2469549E-02
   7112.80  1.7948595E-02
   7113.00  3.0390151E-02
   7113.20  4.3339026E-02
   7113.40  2.9099644E-02
   7113.60  3.1292508E-02
   7113.80  2.4226985E-02
   7114.00  1.5915952E-02
   7114.20  1.1437770E-02
   7114.40  9.9701985E-03
   7114.60  1.1225296E-02
   7114.80  1.5722132E-02
   7115.00  1.7907645E-02
   7115.20  1.3332337E-02
   7115.40  9.9092975E-03
   7115.60  8.7159959E-03
   7115.80  9.4547506E-03
   7116.00  1.3397754E-02
   7116.20  2.5878570E-02
   7116.40  4.6317452E-02
   7116.60  3.2454781E-02
   7116.80  1.7924331E-02
   7117.00  1.1900047E-02
   7117.20  8.8514953E-03
   7117.40  7.6321474E-03
   7117.60  7.0126857E-03
   7117.80  6.7469774E-03
   7118.00  6.7361280E-03
   7118.20  6.9542643E-03
   7118.40  7.4205257E-03
   7118.60  8.1717665E-03
   7118.80  9.1878382E-03
   7119.00  1.0310403E-02
   7119.20  1.1255744E-02
   7119.40  1.1747518E-02
   7119.60  1.1797128E-02
   7119.80  1.1684052E-02
   7120.00  1.1623888E-02
   7120.20  1.1444333E-02
   7120.40  1.1012463E-02
   7120.60  1.0555823E-02
   7120.80  1.0245062E-02
   7121.00  1.0112765E-02
   7121.20  1.0136569E-02
   7121.40  1.0287088E-02
