  7112.000   26  1  1  2.6577838E-02 -2.9290687E+00 -1.6762590E+00  1  1  7.2656202E+03  0.0000000E+00  0.0000000E+00  3.8387291E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9454490E-04
   7097.20  3.4915748E-05
   7097.40  2.7709038E-05
   7097.60  2.7167402E-05
   7097.80  2.8834012E-05
   7098.00  3.2874915E-05
   7098.20  4.1847854E-05
   7098.40  6.6129242E-05
   7098.60  1.7563998E-04
   7098.80  5.6258168E-03
   7099.00  3.5860546E-04
   7099.20  8.8215911E-05
   7099.40  4.8773112E-05
   7099.60  3.6246011E-05
   7099.80  3.0951897E-05
   7100.00  2.8507038E-05
   7100.20  2.7599492E-05
   7100.40  2.8169813E-05
   7100.60  1.6662609E-04
   7100.80  3.4134056E-05
   7101.00  4.9147698E-05
   7101.20  1.7185042E-04
   7101.40  8.6569328E-04
   7101.60  7.2477401E-05
   7101.80  9.2627721E-05
   7102.00  4.6461396E-04
   7102.20  4.4306060E-05
   7102.40  1.0598056E-04
   7102.60  3.8860272E-05
   7102.80  8.8896595E-05
   7103.00  1.6430834E-04
   7103.20  1.7855478E-04
   7103.40  2.5965866E-04
   7103.60  3.6391388E-03
   7103.80  7.3011843E-04
   7104.00  5.5746870E-05
   7104.20  3.9527296E-05
   7104.40  6.1221355E-05
   7104.60  1.6048610E-03
   7104.80  5.3699021E-05
   7105.00  4.5049855E-05
   7105.20  8.8065812E-05
   7105.40  8.1469636E-05
   7105.60  5.5841371E-04
   7105.80  2.2731266E-04
   7106.00  1.4403917E-04
   7106.20  1.9934025E-04
   7106.40  1.3385350E-04
   7106.60  1.0758953E-03
   7106.80  2.8302572E-04
   7107.00  2.4440249E-02
   7107.20  2.3435864E-03
   7107.40  5.6874105E-02
   7107.60  5.3846801E-04
   7107.80  7.3145971E-04
   7108.00  2.3207573E-04
   7108.20  4.0904523E-04
   7108.40  7.6599086E-03
   7108.60  3.0808344E-04
   7108.80  5.4371896E-03
   7109.00  4.4567941E-03
   7109.20  2.1936861E-02
   7109.40  2.2742060E-03
   7109.60  1.5130383E-02
   7109.80  6.5951482E-03
   7110.00  8.4676917E-03
   7110.20  9.5127573E-03
   7110.40  1.5015326E-02
   7110.60  1.0325374E-02
   7110.80  6.6248688E-03
   7111.00  5.7769641E-03
   7111.20  1.2910844E-02
   7111.40  9.7925958E-03
   7111.60  8.6091566E-03
   7111.80  1.4373811E-02
   7112.00  4.6088145E-02
   7112.20  2.8166509E-02
   7112.40  2.7144122E-02
   7112.60  2.8357522E-02
   7112.80  2.6650685E-02
   7113.00  2.8110627E-02
   7113.20  2.0067825E-02
   7113.40  3.0695697E-02
   7113.60  1.2722346E-01
   7113.80  4.4472589E-02
   7114.00  1.5727288E-02
   7114.20  9.0218168E-03
   7114.40  6.6381746E-03
   7114.60  5.5699593E-03
   7114.80  5.3435106E-03
   7115.00  5.8163833E-03
   7115.20  7.6163857E-03
   7115.40  1.3146590E-02
   7115.60  3.0322294E-02
   7115.80  4.5993664E-02
   7116.00  2.9912293E-02
   7116.20  2.1765561E-02
   7116.40  1.4957626E-02
   7116.60  1.1284719E-02
   7116.80  9.5232116E-03
   7117.00  8.7347329E-03
   7117.20  8.5557114E-03
   7117.40  8.8468246E-03
   7117.60  9.4793336E-03
   7117.80  1.0221998E-02
   7118.00  1.0817474E-02
   7118.20  1.0636119E-02
   7118.40  9.7270828E-03
   7118.60  9.3435378E-03
   7118.80  9.3849109E-03
   7119.00  9.7324858E-03
   7119.20  1.0476492E-02
   7119.40  1.1670746E-02
   7119.60  1.2721900E-02
   7119.80  1.2356048E-02
   7120.00  1.0688875E-02
   7120.20  9.2408609E-03
   7120.40  8.2710186E-03
   7120.60  7.5236511E-03
   7120.80  7.0192909E-03
   7121.00  6.7220908E-03
   7121.20  6.5533225E-03
   7121.40  6.4826621E-03
   7121.60  6.4419433E-03
   7121.80  6.3680788E-03
   7122.00  6.2473754E-03
   7122.20  6.1796683E-03
   7122.40  6.2335032E-03
   7122.60  6.3861625E-03
   7122.80  6.5556096E-03
   7123.00  6.7986711E-03
   7123.20  7.1639345E-03
   7123.40  7.6799756E-03
   7123.60  8.3497881E-03
   7123.80  9.1485494E-03
   7124.00  1.0056027E-02
   7124.20  1.1048442E-02
   7124.40  1.2088631E-02
   7124.60  1.3172129E-02
   7124.80  1.4373546E-02
   7125.00  1.5773393E-02
   7125.20  1.7375247E-02
   7125.40  1.9107207E-02
   7125.60  2.0853971E-02
   7125.80  2.2462528E-02
   7126.00  2.3817340E-02
   7126.20  2.4810143E-02
   7126.40  2.5387643E-02
   7126.60  2.5628711E-02
   7126.80  2.5623669E-02
   7127.00  2.5439343E-02
   7127.20  2.5117269E-02
   7127.40  2.4780824E-02
   7127.60  2.4547216E-02
   7127.80  2.4533294E-02
   7128.00  2.4816215E-02
   7128.20  2.5520430E-02
   7128.40  2.6553677E-02
   7128.60  2.7838478E-02
   7128.80  2.9216075E-02
   7129.00  3.0525844E-02
   7129.20  3.1758386E-02
   7129.40  3.3016593E-02
   7129.60  3.4427408E-02
   7129.80  3.5885415E-02
   7130.00  3.7212145E-02
   7130.20  3.8780755E-02
   7130.40  4.0865877E-02
   7130.60  4.3274572E-02
   7130.80  4.5778601E-02
   7131.00  4.8224515E-02
   7131.20  5.0540432E-02
   7131.40  5.2717606E-02
   7131.60  5.4771373E-02
   7131.80  5.6708555E-02
   7132.00  5.8524948E-02
   7132.20  6.0223949E-02
   7132.40  6.1834063E-02
   7132.60  6.3413934E-02
   7132.80  6.5038289E-02
   7133.00  6.6770477E-02
   7133.20  6.8626141E-02
   7133.40  7.0538957E-02
   7133.60  7.2348003E-02
   7133.80  7.3811981E-02
   7134.00  7.4635518E-02
   7134.20  7.4478104E-02
   7134.40  7.2986626E-02
   7134.60  6.9997415E-02
   7134.80  6.5812351E-02
   7135.00  6.1077737E-02
   7135.20  5.6396129E-02
   7135.40  5.2123871E-02
   7135.60  4.8394064E-02
   7135.80  4.5204779E-02
   7136.00  4.2488862E-02
   7136.20  4.0152402E-02
   7136.40  3.8094092E-02
   7136.60  3.6217472E-02
   7136.80  3.4443393E-02
   7137.00  3.2721724E-02
   7137.20  3.1037313E-02
   7137.40  2.9406833E-02
   7137.60  2.7866795E-02
   7137.80  2.6461753E-02
   7138.00  2.5234003E-02
   7138.20  2.4219433E-02
   7138.40  2.3444371E-02
   7138.60  2.2924708E-02
   7138.80  2.2664189E-02
   7139.00  2.2652296E-02
   7139.20  2.2862728E-02
   7139.40  2.3254306E-02
   7139.60  2.3776351E-02
   7139.80  2.4377717E-02
   7140.00  2.5016284E-02
   7140.20  2.5664245E-02
   7140.40  2.6307324E-02
   7140.60  2.6935637E-02
   7140.80  2.7549516E-02
   7141.00  2.8145787E-02
   7141.20  2.8719017E-02
   7141.40  2.9266118E-02
   7141.60  2.9790052E-02
   7141.80  3.0302336E-02
   7142.00  3.0821088E-02
   7142.20  3.1365781E-02
   7142.40  3.1946938E-02
   7142.60  3.2568494E-02
   7142.80  3.3210413E-02
   7143.00  3.3840819E-02
   7143.20  3.4421620E-02
   7143.40  3.4918818E-02
   7143.60  3.5310305E-02
   7143.80  3.5587783E-02
   7144.00  3.5753246E-02
   7144.20  3.5812528E-02
   7144.40  3.5769844E-02
   7144.60  3.5625584E-02
   7144.80  3.5378050E-02
   7145.00  3.5026741E-02
   7145.20  3.4577379E-02
   7145.40  3.4044588E-02
   7145.60  3.3411498E-02
   7145.80  3.2789677E-02
   7146.00  3.2173034E-02
   7146.20  3.1592373E-02
   7146.40  3.1073645E-02
   7146.60  3.0636674E-02
   7146.80  3.0294912E-02
   7147.00  3.0055984E-02
   7147.20  2.9922238E-02
   7147.40  2.9891848E-02
   7147.60  2.9959684E-02
   7147.80  3.0118338E-02
   7148.00  3.0349891E-02
   7148.20  3.0647772E-02
   7148.40  3.1003905E-02
   7148.60  3.1406568E-02
   7148.80  3.1854615E-02
   7149.00  3.2340433E-02
   7149.20  3.2867183E-02
   7149.40  3.3409677E-02
   7149.60  3.3975885E-02
   7149.80  3.4562078E-02
   7150.00  3.5166833E-02
   7150.20  3.5789090E-02
   7150.40  3.6428272E-02
   7150.60  3.7083302E-02
   7150.80  3.7752214E-02
   7151.00  3.8431547E-02
   7151.20  3.9116101E-02
   7151.40  3.9798334E-02
   7151.60  4.0469061E-02
   7151.80  4.1116245E-02
   7152.00  4.1726792E-02
   7152.20  4.2286754E-02
   7152.40  4.2782268E-02
   7152.60  4.3200833E-02
   7152.80  4.3532266E-02
   7153.00  4.3769796E-02
   7153.20  4.3910403E-02
   7153.40  4.3955169E-02
   7153.60  4.3909279E-02
   7153.80  4.3781503E-02
   7154.00  4.3582987E-02
   7154.20  4.3327169E-02
   7154.40  4.3027850E-02
   7154.60  4.2698996E-02
   7154.80  4.2353843E-02
   7155.00  4.2004410E-02
   7155.20  4.1660884E-02
   7155.40  4.1331957E-02
   7155.60  4.1023992E-02
   7155.80  4.0741447E-02
   7156.00  4.0486740E-02
   7156.20  4.0260936E-02
   7156.40  4.0065530E-02
   7156.60  3.9899260E-02
   7156.80  3.9760196E-02
   7157.00  3.9645558E-02
   7157.20  3.9551967E-02
   7157.40  3.9476098E-02
   7157.60  3.9414492E-02
   7157.80  3.9363718E-02
   7158.00  3.9319399E-02
   7158.20  3.9280819E-02
   7158.40  3.9244120E-02
   7158.60  3.9207090E-02
   7158.80  3.9167740E-02
   7159.00  3.9124473E-02
   7159.20  3.9076186E-02
   7159.40  3.9023047E-02
   7159.60  3.8962750E-02
   7159.80  3.8896361E-02
   7160.00  3.8830005E-02
   7160.20  3.8752601E-02
   7160.40  3.8670827E-02
   7160.60  3.8585439E-02
   7160.80  3.8497526E-02
   7161.00  3.8408273E-02
   7161.20  3.8319584E-02
   7161.40  3.8231872E-02
   7161.60  3.8146687E-02
   7161.80  3.8063869E-02
   7162.00  3.7985922E-02
   7162.20  3.7911991E-02
   7162.40  3.7843670E-02
   7162.60  3.7781168E-02
   7162.80  3.7724716E-02
   7163.00  3.7674351E-02
   7163.20  3.7629920E-02
   7163.40  3.7591192E-02
   7163.60  3.7557662E-02
   7163.80  3.7528226E-02
   7164.00  3.7501791E-02
   7164.20  3.7477189E-02
   7164.40  3.7454340E-02
   7164.60  3.7429017E-02
   7164.80  3.7399709E-02
   7165.00  3.7364752E-02
   7165.20  3.7321560E-02
   7165.40  3.7267113E-02
   7165.60  3.7198390E-02
   7165.80  3.7112680E-02
   7166.00  3.7007433E-02
   7166.20  3.6880371E-02
   7166.40  3.6729898E-02
   7166.60  3.6553735E-02
   7166.80  3.6350652E-02
   7167.00  3.6120076E-02
   7167.20  3.5861721E-02
   7167.40  3.5575860E-02
   7167.60  3.5264198E-02
   7167.80  3.4927551E-02
   7168.00  3.4563804E-02
   7168.20  3.4178858E-02
   7168.40  3.3781867E-02
   7168.60  3.3370243E-02
   7168.80  3.2947005E-02
   7169.00  3.2515452E-02
   7169.20  3.2078971E-02
   7169.40  3.1639267E-02
   7169.60  3.1198583E-02
   7169.80  3.0759353E-02
   7170.00  3.0322893E-02
   7170.20  2.9890397E-02
   7170.40  2.9463057E-02
   7170.60  2.9042509E-02
   7170.80  2.8629438E-02
   7171.00  2.8224656E-02
   7171.20  2.7829212E-02
   7171.40  2.7444316E-02
   7171.60  2.7071290E-02
   7171.80  2.6711563E-02
   7172.00  2.6366500E-02
