  7112.000   26  1  1  4.7529157E-02 -1.0341651E+00 -1.8639338E+00  1  1  7.2657317E+03  0.0000000E+00  0.0000000E+00  2.2465074E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2393173E-05
   7097.20  1.2552963E-03
   7097.40  2.2344210E-05
   7097.60  1.9997134E-05
   7097.80  1.9637900E-05
   7098.00  1.9633684E-05
   7098.20  1.9898504E-05
   7098.40  2.2396302E-05
   7098.60  2.2621241E-05
   7098.80  2.9520986E-05
   7099.00  4.6202613E-05
   7099.20  2.3112794E-04
   7099.40  2.2920112E-05
   7099.60  2.0922651E-05
   7099.80  2.0710472E-05
   7100.00  2.0809469E-05
   7100.20  2.1047967E-05
   7100.40  2.1393723E-05
   7100.60  2.1852331E-05
   7100.80  2.2451268E-05
   7101.00  2.3241654E-05
   7101.20  2.4311348E-05
   7101.40  2.5815282E-05
   7101.60  2.8045055E-05
   7101.80  3.1600775E-05
   7102.00  3.7887482E-05
   7102.20  5.0884977E-05
   7102.40  8.5945198E-05
   7102.60  2.5381245E-04
   7102.80  1.9808525E-02
   7103.00  3.8406098E-04
   7103.20  3.8964825E-04
   7103.40  1.4941867E-04
   7103.60  9.8106799E-05
   7103.80  4.9032065E-05
   7104.00  5.2505977E-05
   7104.20  2.8062625E-04
   7104.40  9.5371507E-05
   7104.60  4.9338053E-05
   7104.80  5.1564604E-05
   7105.00  7.3949260E-05
   7105.20  3.4435309E-04
   7105.40  5.0033063E-04
   7105.60  2.9907549E-03
   7105.80  2.3365454E-04
   7106.00  8.8217830E-05
   7106.20  3.7048959E-04
   7106.40  6.1571086E-05
   7106.60  5.3747735E-05
   7106.80  5.8251464E-05
   7107.00  7.5261895E-05
   7107.20  1.7411860E-04
   7107.40  1.0077599E-03
   7107.60  2.8308002E-04
   7107.80  2.7894836E-03
   7108.00  1.3021037E-02
   7108.20  8.8344259E-04
   7108.40  3.3257934E-04
