  7112.000   26  1  1  3.4195736E-02 -3.9914441E+00 -2.7385854E+00  1  1  7.2667160E+03  0.0000000E+00  0.0000000E+00  3.6042655E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.5781853E-05
   7097.20  2.8773443E-05
   7097.40  3.5885458E-05
   7097.60  6.3181075E-05
   7097.80  6.2509805E-04
   7098.00  1.8920868E-04
   7098.20  5.2285969E-05
   7098.40  3.8070319E-05
   7098.60  3.5673602E-05
   7098.80  3.7270212E-05
   7099.00  4.2319524E-05
   7099.20  5.3459064E-05
   7099.40  8.1657011E-05
   7099.60  1.9367519E-04
   7099.80  3.3024991E-03
   7100.00  9.4625963E-04
   7100.20  3.5731971E-04
   7100.40  1.5675405E-04
   7100.60  1.7856418E-04
   7100.80  2.3070745E-03
   7101.00  2.0584943E-03
   7101.20  4.3941319E-04
   7101.40  1.1915924E-04
   7101.60  1.0717631E-04
   7101.80  1.3764750E-03
   7102.00  2.2904861E-04
   7102.20  1.4203033E-04
   7102.40  1.6753985E-04
   7102.60  2.8964313E-03
   7102.80  5.6673753E-04
   7103.00  5.0302931E-04
   7103.20  1.2220876E-04
   7103.40  1.1327526E-03
   7103.60  5.1722724E-04
   7103.80  1.3219638E-04
   7104.00  1.4863667E-04
   7104.20  4.3349417E-04
   7104.40  9.8556499E-03
   7104.60  5.3043907E-03
   7104.80  2.2253593E-03
   7105.00  4.0282877E-04
   7105.20  8.2232938E-03
   7105.40  1.4622797E-03
   7105.60  2.7955826E-03
   7105.80  5.2625497E-04
   7106.00  1.8472938E-03
   7106.20  7.4824383E-03
   7106.40  2.7906602E-04
   7106.60  8.0229181E-04
   7106.80  3.2590426E-04
   7107.00  1.0978756E-02
   7107.20  3.7682634E-04
   7107.40  1.4844361E-02
   7107.60  3.9321664E-03
   7107.80  3.6851901E-03
   7108.00  2.4329232E-03
   7108.20  2.7623687E-02
   7108.40  7.4113335E-03
   7108.60  8.5593590E-03
   7108.80  1.8952066E-02
   7109.00  5.4704893E-03
   7109.20  1.6116025E-02
   7109.40  1.1681089E-02
   7109.60  1.3935582E-02
   7109.80  1.2447446E-02
   7110.00  1.4707365E-02
   7110.20  1.5037304E-02
   7110.40  1.5622836E-02
   7110.60  1.6192783E-02
   7110.80  1.8291433E-02
   7111.00  2.0016838E-02
   7111.20  3.8217319E-02
   7111.40  7.8634141E-02
   7111.60  6.8949602E-02
   7111.80  5.6687964E-02
   7112.00  3.5469912E-02
   7112.20  2.7880288E-02
   7112.40  2.5548661E-02
   7112.60  2.0644115E-02
   7112.80  1.6468924E-02
   7113.00  1.4742716E-02
   7113.20  1.5863369E-02
   7113.40  2.1511701E-02
   7113.60  3.2910693E-02
   7113.80  2.9185079E-02
   7114.00  1.5402020E-02
   7114.20  1.0487503E-02
   7114.40  8.8130454E-03
   7114.60  8.4741975E-03
   7114.80  9.1877191E-03
   7115.00  1.0655086E-02
   7115.20  1.1854278E-02
   7115.40  1.0662148E-02
   7115.60  8.0060994E-03
   7115.80  6.0690366E-03
   7116.00  5.0284087E-03
   7116.20  4.5245257E-03
   7116.40  4.3249178E-03
   7116.60  4.3132811E-03
   7116.80  4.4242264E-03
   7117.00  4.6153420E-03
   7117.20  4.8931842E-03
   7117.40  5.3536643E-03
   7117.60  6.0564194E-03
   7117.80  6.7324490E-03
   7118.00  7.0696503E-03
   7118.20  7.3970485E-03
   7118.40  7.9988743E-03
   7118.60  8.7061044E-03
   7118.80  9.2695968E-03
   7119.00  9.4895340E-03
   7119.20  9.3500796E-03
   7119.40  9.1637715E-03
   7119.60  9.2815029E-03
   7119.80  9.7983876E-03
   7120.00  1.0645423E-02
   7120.20  1.1701862E-02
   7120.40  1.2831215E-02
   7120.60  1.3905138E-02
   7120.80  1.4796610E-02
   7121.00  1.5395295E-02
   7121.20  1.5675116E-02
   7121.40  1.5812306E-02
   7121.60  1.5994713E-02
   7121.80  1.6447746E-02
   7122.00  1.7121740E-02
   7122.20  1.7870092E-02
   7122.40  1.8708486E-02
   7122.60  1.9619849E-02
   7122.80  2.0563435E-02
   7123.00  2.1513930E-02
   7123.20  2.2469350E-02
   7123.40  2.3441957E-02
   7123.60  2.4440835E-02
   7123.80  2.5452731E-02
   7124.00  2.6430374E-02
   7124.20  2.7294809E-02
   7124.40  2.7949790E-02
