  7112.000   26  1  1  2.5943095E-02 -2.3133493E+00 -8.1123049E-01  1  1  7.2656895E+03  0.0000000E+00  0.0000000E+00  2.6910353E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0849730E-04
   7097.20  7.1452849E-05
   7097.40  7.0527836E-05
   7097.60  8.4731815E-05
   7097.80  1.2325059E-04
   7098.00  2.4077101E-04
   7098.20  1.0089566E-03
   7098.40  5.9712210E-03
   7098.60  2.3086987E-03
   7098.80  3.4525354E-04
   7099.00  2.1705241E-04
   7099.20  2.7049691E-04
   7099.40  7.9210844E-05
   7099.60  5.8690900E-05
   7099.80  5.9307307E-05
   7100.00  2.5863995E-04
   7100.20  4.4176146E-05
   7100.40  3.8543324E-05
   7100.60  3.7891821E-05
   7100.80  4.5830566E-05
   7101.00  7.4832482E-05
   7101.20  4.6233542E-05
   7101.40  5.5258157E-05
   7101.60  9.7698718E-05
   7101.80  7.4248742E-03
   7102.00  2.4073696E-03
   7102.20  1.3992968E-04
   7102.40  9.5048894E-05
   7102.60  1.1105174E-03
   7102.80  5.4475233E-04
   7103.00  2.9632643E-04
   7103.20  1.6734937E-04
   7103.40  1.8850691E-04
   7103.60  6.6756709E-04
   7103.80  8.2348304E-05
   7104.00  6.5953476E-05
   7104.20  2.1617015E-04
   7104.40  9.1928949E-05
   7104.60  2.7641909E-04
   7104.80  3.5070930E-04
   7105.00  1.0123894E-03
   7105.20  1.7268684E-03
   7105.40  8.8390673E-04
   7105.60  4.9150294E-04
   7105.80  1.8029903E-03
   7106.00  3.0347906E-04
   7106.20  2.9367941E-04
   7106.40  8.8126234E-04
   7106.60  4.7545223E-04
   7106.80  9.3024419E-04
   7107.00  1.4787319E-03
   7107.20  2.7423233E-04
   7107.40  5.2851879E-04
   7107.60  4.9879948E-03
   7107.80  4.3003429E-03
   7108.00  1.4288308E-03
   7108.20  2.4628177E-03
   7108.40  3.5229586E-02
   7108.60  6.8465589E-02
   7108.80  3.1310535E-02
   7109.00  6.7936174E-02
   7109.20  7.6134539E-03
   7109.40  1.1808953E-02
   7109.60  2.8887909E-02
   7109.80  8.5265841E-02
   7110.00  2.5384499E-03
   7110.20  2.2215868E-03
   7110.40  4.3045730E-03
   7110.60  9.6305120E-03
   7110.80  9.0387295E-03
   7111.00  8.5459722E-03
   7111.20  1.4202759E-02
   7111.40  2.6469448E-02
   7111.60  2.5431599E-02
   7111.80  1.4202619E-02
   7112.00  1.2687618E-02
   7112.20  1.0642930E-02
   7112.40  1.6315273E-02
   7112.60  1.9198002E-02
   7112.80  1.9951377E-02
   7113.00  1.5374416E-02
   7113.20  8.9826571E-03
   7113.40  5.9791002E-03
   7113.60  4.9232949E-03
   7113.80  4.9219231E-03
   7114.00  6.5001483E-03
   7114.20  1.0470581E-02
   7114.40  4.1772911E-03
   7114.60  2.4871137E-03
   7114.80  2.1420794E-03
   7115.00  2.0858269E-03
   7115.20  2.1885988E-03
   7115.40  2.4323198E-03
   7115.60  2.7505242E-03
   7115.80  2.7661873E-03
   7116.00  2.3692913E-03
   7116.20  2.0575356E-03
   7116.40  1.9375562E-03
   7116.60  1.9467471E-03
   7116.80  2.0453325E-03
   7117.00  2.2143097E-03
   7117.20  2.4253516E-03
   7117.40  2.6022441E-03
   7117.60  2.6680151E-03
   7117.80  2.6822208E-03
   7118.00  2.7380597E-03
   7118.20  2.8567196E-03
   7118.40  3.0228858E-03
   7118.60  3.2125949E-03
   7118.80  3.4066977E-03
   7119.00  3.6186620E-03
   7119.20  3.8750779E-03
   7119.40  4.1838039E-03
   7119.60  4.5358473E-03
   7119.80  4.9294262E-03
   7120.00  5.3841490E-03
   7120.20  5.9183224E-03
   7120.40  6.5392498E-03
   7120.60  7.2498776E-03
