  7112.000   26  1  1  1.3518775E-02 -4.0270842E+00 -1.6597696E+00  1  1  7.2656185E+03  0.0000000E+00  0.0000000E+00  1.1679198E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0150508E-05
   7097.20  2.0251451E-05
   7097.40  2.0375004E-05
   7097.60  2.0525042E-05
   7097.80  2.0706594E-05
   7098.00  2.0926661E-05
   7098.20  2.1195752E-05
   7098.40  2.1529541E-05
   7098.60  2.1953449E-05
   7098.80  2.2514121E-05
   7099.00  2.3314476E-05
   7099.20  2.4655317E-05
   7099.40  2.8010154E-05
   7099.60  6.1303478E-05
   7099.80  5.9623759E-05
   7100.00  3.2704614E-05
   7100.20  3.3573171E-05
   7100.40  3.8344860E-05
   7100.60  4.8291258E-05
   7100.80  7.2029668E-05
   7101.00  1.6128367E-04
   7101.20  2.7169543E-03
   7101.40  5.2909496E-04
   7101.60  5.4339643E-03
   7101.80  5.1739417E-04
   7102.00  1.2629331E-04
   7102.20  6.9040416E-05
   7102.40  5.0523892E-05
   7102.60  4.2827993E-05
   7102.80  3.9714865E-05
   7103.00  3.9433377E-05
   7103.20  4.2007869E-05
   7103.40  4.9522244E-05
   7103.60  7.0911022E-05
   7103.80  1.6418035E-04
   7104.00  3.2784152E-03
   7104.20  4.0957226E-04
   7104.40  1.0013873E-04
   7104.60  5.9723132E-05
   7104.80  4.8043592E-05
   7105.00  4.4105592E-05
   7105.20  4.3467588E-05
   7105.40  4.4945779E-05
   7105.60  4.8504483E-05
   7105.80  5.5033887E-05
   7106.00  6.7225363E-05
   7106.20  9.3694678E-05
   7106.40  1.7497113E-04
   7106.60  8.9095819E-04
   7106.80  4.9538779E-03
   7107.00  5.2474920E-03
   7107.20  1.1421696E-02
   7107.40  2.1233034E-04
   7107.60  1.2930843E-04
   7107.80  1.2446536E-04
   7108.00  1.5517371E-04
   7108.20  3.5192866E-04
   7108.40  5.9130269E-03
   7108.60  1.0780744E-02
   7108.80  2.9736973E-02
   7109.00  1.4834399E-02
   7109.20  1.0197037E-02
   7109.40  6.1400383E-03
   7109.60  6.1678545E-03
   7109.80  1.1683123E-02
   7110.00  1.7452190E-02
   7110.20  1.4184953E-02
   7110.40  1.1556662E-02
   7110.60  1.2543954E-02
   7110.80  1.6266651E-02
   7111.00  1.9129703E-02
   7111.20  1.9852637E-02
   7111.40  2.0408279E-02
   7111.60  2.1823312E-02
   7111.80  2.1091697E-02
   7112.00  2.0267391E-02
   7112.20  2.0672636E-02
   7112.40  2.2684892E-02
   7112.60  2.6538465E-02
   7112.80  3.1297262E-02
   7113.00  3.5114707E-02
   7113.20  3.5172736E-02
   7113.40  3.1009469E-02
   7113.60  2.5848683E-02
   7113.80  2.1648735E-02
   7114.00  1.8626295E-02
   7114.20  1.6521943E-02
   7114.40  1.5078538E-02
   7114.60  1.4032989E-02
   7114.80  1.3432962E-02
   7115.00  1.3089665E-02
   7115.20  1.2931625E-02
   7115.40  1.2934369E-02
   7115.60  1.3123775E-02
   7115.80  1.3521659E-02
   7116.00  1.4034608E-02
   7116.20  1.4377697E-02
   7116.40  1.4222468E-02
   7116.60  1.3532538E-02
   7116.80  1.2593642E-02
   7117.00  1.1702178E-02
   7117.20  1.0996467E-02
   7117.40  1.0496751E-02
   7117.60  1.0175627E-02
   7117.80  9.9938753E-03
   7118.00  9.9112233E-03
   7118.20  9.8890276E-03
   7118.40  9.8934033E-03
   7118.60  9.8989971E-03
   7118.80  9.8904666E-03
   7119.00  9.8601700E-03
   7119.20  9.8043023E-03
   7119.40  9.7197404E-03
   7119.60  9.6044608E-03
   7119.80  9.4612474E-03
   7120.00  9.3033040E-03
   7120.20  9.1581781E-03
   7120.40  9.0641372E-03
   7120.60  9.0552198E-03
   7120.80  9.1425170E-03
   7121.00  9.3086388E-03
   7121.20  9.5252246E-03
   7121.40  9.7774103E-03
   7121.60  1.0068431E-02
   7121.80  1.0406607E-02
   7122.00  1.0796048E-02
   7122.20  1.1236658E-02
   7122.40  1.1725939E-02
   7122.60  1.2258770E-02
   7122.80  1.2826600E-02
   7123.00  1.3417630E-02
   7123.20  1.4017803E-02
   7123.40  1.4612568E-02
   7123.60  1.5188980E-02
   7123.80  1.5739546E-02
   7124.00  1.6254813E-02
   7124.20  1.6734055E-02
   7124.40  1.7181749E-02
   7124.60  1.7607302E-02
   7124.80  1.8024530E-02
   7125.00  1.8451090E-02
   7125.20  1.8907990E-02
   7125.40  1.9464976E-02
   7125.60  2.0060754E-02
   7125.80  2.0767630E-02
   7126.00  2.1618400E-02
   7126.20  2.2635544E-02
   7126.40  2.3845248E-02
   7126.60  2.5261740E-02
   7126.80  2.6883407E-02
   7127.00  2.8685874E-02
   7127.20  3.0618394E-02
   7127.40  3.2763368E-02
   7127.60  3.4718450E-02
   7127.80  3.6579398E-02
   7128.00  3.8216126E-02
   7128.20  3.9606228E-02
   7128.40  4.0759981E-02
   7128.60  4.1682500E-02
   7128.80  4.2412964E-02
   7129.00  4.2987085E-02
   7129.20  4.3440201E-02
   7129.40  4.3802101E-02
   7129.60  4.4101704E-02
   7129.80  4.4363748E-02
   7130.00  4.4609249E-02
   7130.20  4.4855503E-02
   7130.40  4.5116521E-02
   7130.60  4.5402959E-02
   7130.80  4.5722043E-02
   7131.00  4.6077967E-02
   7131.20  4.6472039E-02
   7131.40  4.6903917E-02
   7131.60  4.7372173E-02
   7131.80  4.7874423E-02
   7132.00  4.8407683E-02
   7132.20  4.8968851E-02
   7132.40  4.9555102E-02
   7132.60  5.0163429E-02
   7132.80  5.0790182E-02
   7133.00  5.1430435E-02
   7133.20  5.2075731E-02
   7133.40  5.2714041E-02
   7133.60  5.3328206E-02
   7133.80  5.3895484E-02
   7134.00  5.4387873E-02
   7134.20  5.4773314E-02
   7134.40  5.5017298E-02
   7134.60  5.5086730E-02
   7134.80  5.4953360E-02
   7135.00  5.4597146E-02
   7135.20  5.4008924E-02
   7135.40  5.3191904E-02
   7135.60  5.2161503E-02
   7135.80  5.0941224E-02
   7136.00  4.9562372E-02
   7136.20  4.8067575E-02
   7136.40  4.6497260E-02
   7136.60  4.4890876E-02
   7136.80  4.3284477E-02
   7137.00  4.1710123E-02
   7137.20  4.0194011E-02
   7137.40  3.8757445E-02
   7137.60  3.7416629E-02
   7137.80  3.6183091E-02
   7138.00  3.5065142E-02
   7138.20  3.4067882E-02
   7138.40  3.3193633E-02
   7138.60  3.2442738E-02
   7138.80  3.1813262E-02
   7139.00  3.1301257E-02
   7139.20  3.0901186E-02
   7139.40  3.0605956E-02
   7139.60  3.0407167E-02
   7139.80  3.0295535E-02
   7140.00  3.0261377E-02
   7140.20  3.0294958E-02
   7140.40  3.0386986E-02
