  7112.000   26  1  1  8.2595535E-03 -3.6132651E+00 -2.7316552E+00  1  1  7.2665526E+03  0.0000000E+00  0.0000000E+00  1.7773738E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9786899E-05
   7097.20  1.9888290E-05
   7097.40  2.0014527E-05
   7097.60  2.0174706E-05
   7097.80  2.0386521E-05
   7098.00  2.0689733E-05
   7098.20  2.1195204E-05
   7098.40  2.2339088E-05
   7098.60  2.7577517E-05
   7098.80  2.6085189E-03
   7099.00  2.8584659E-05
   7099.20  2.4318454E-05
   7099.40  4.6421779E-05
   7099.60  2.5157178E-05
   7099.80  2.4443408E-05
   7100.00  2.5307389E-05
   7100.20  2.6868422E-05
   7100.40  2.9470262E-05
   7100.60  3.4221405E-05
   7100.80  4.4660822E-05
   7101.00  7.7267907E-05
   7101.20  3.3165776E-04
   7101.40  1.7754888E-03
   7101.60  1.2201640E-04
   7101.80  6.3942788E-05
   7102.00  5.9406266E-05
   7102.20  9.2709235E-05
   7102.40  4.3880668E-03
   7102.60  2.3409911E-02
   7102.80  1.9883090E-04
   7103.00  2.3795384E-02
   7103.20  4.3376682E-04
   7103.40  8.2377414E-05
   7103.60  5.3360218E-05
   7103.80  7.8337665E-05
   7104.00  1.2863163E-04
   7104.20  5.2781281E-05
   7104.40  1.8206469E-04
   7104.60  7.1888655E-05
   7104.80  2.0365425E-04
   7105.00  2.5177636E-04
   7105.20  9.2513188E-05
   7105.40  2.1734631E-04
   7105.60  1.4239613E-04
   7105.80  3.9015529E-03
   7106.00  1.7879890E-04
   7106.20  3.3261579E-04
   7106.40  4.0893561E-02
   7106.60  6.8489629E-02
   7106.80  5.4234936E-04
   7107.00  2.9691092E-04
   7107.20  5.2418898E-03
   7107.40  5.5222132E-04
   7107.60  6.4368821E-04
   7107.80  4.7745691E-04
   7108.00  4.8914218E-03
   7108.20  5.1819448E-02
   7108.40  8.5784552E-04
   7108.60  2.0579768E-03
   7108.80  4.9759948E-02
   7109.00  8.4874891E-03
   7109.20  1.1990370E-02
   7109.40  1.7964229E-02
   7109.60  1.4529939E-02
   7109.80  1.0504888E-02
   7110.00  5.8943908E-03
   7110.20  1.2307399E-02
   7110.40  9.2785096E-03
   7110.60  6.9096126E-03
   7110.80  3.4219441E-03
   7111.00  3.1317190E-03
   7111.20  5.5633077E-03
   7111.40  1.0900023E-02
   7111.60  1.6439003E-02
   7111.80  2.8977873E-02
   7112.00  1.8936363E-02
   7112.20  1.9036646E-02
   7112.40  3.3853562E-02
   7112.60  6.1530766E-02
   7112.80  7.5462287E-02
   7113.00  7.6318734E-02
   7113.20  7.7161628E-02
   7113.40  6.7329903E-02
   7113.60  5.3569333E-02
   7113.80  4.1069711E-02
   7114.00  3.0770407E-02
   7114.20  2.3343324E-02
   7114.40  1.8459157E-02
   7114.60  1.5302224E-02
   7114.80  1.3213772E-02
   7115.00  1.1786783E-02
   7115.20  1.0604142E-02
   7115.40  9.9670516E-03
   7115.60  9.6043607E-03
   7115.80  9.5403969E-03
   7116.00  9.8771689E-03
   7116.20  1.0784067E-02
   7116.40  1.2252234E-02
   7116.60  1.3499849E-02
   7116.80  1.3721271E-02
   7117.00  1.3340013E-02
   7117.20  1.2545209E-02
   7117.40  1.1420356E-02
   7117.60  1.0310041E-02
   7117.80  9.3759047E-03
   7118.00  8.6369356E-03
   7118.20  8.0653549E-03
   7118.40  7.5852665E-03
   7118.60  7.1695839E-03
   7118.80  6.8228448E-03
   7119.00  6.5144308E-03
   7119.20  6.2418623E-03
   7119.40  6.0289452E-03
   7119.60  5.8958341E-03
   7119.80  5.8240556E-03
   7120.00  5.7886034E-03
   7120.20  5.7745678E-03
   7120.40  5.7555299E-03
   7120.60  5.7344525E-03
   7120.80  5.7529783E-03
   7121.00  5.8261707E-03
   7121.20  5.9379950E-03
   7121.40  6.0710197E-03
   7121.60  6.2161224E-03
   7121.80  6.3701787E-03
   7122.00  6.5326059E-03
   7122.20  6.7030862E-03
   7122.40  6.8821200E-03
   7122.60  7.0638776E-03
   7122.80  7.2428960E-03
   7123.00  7.4144127E-03
   7123.20  7.5776350E-03
   7123.40  7.7401959E-03
   7123.60  7.9218571E-03
