  7112.000   26  1  1  2.3255844E-02 -2.7662713E+00 -9.3827058E-01  1  1  7.2657571E+03  0.0000000E+00  0.0000000E+00  1.3282210E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.4179889E-05
   7097.20  5.2304075E-05
   7097.40  6.7035961E-05
   7097.60  9.5724606E-05
   7097.80  1.6232709E-04
   7098.00  4.0863605E-04
   7098.20  1.7746491E-03
   7098.40  2.3054770E-02
   7098.60  7.5135677E-04
   7098.80  2.3905377E-04
   7099.00  1.2331512E-04
   7099.20  7.9628639E-05
   7099.40  5.8586303E-05
   7099.60  4.6875489E-05
   7099.80  3.9701291E-05
   7100.00  3.5010800E-05
   7100.20  3.1794151E-05
   7100.40  2.9504994E-05
   7100.60  2.7833271E-05
   7100.80  2.6591646E-05
   7101.00  2.5661885E-05
   7101.20  2.4964699E-05
   7101.40  2.4450815E-05
   7101.60  2.4089650E-05
   7101.80  2.3874331E-05
   7102.00  2.5062150E-05
   7102.20  2.3881051E-05
   7102.40  2.4305137E-05
   7102.60  2.6411031E-05
   7102.80  1.5079066E-04
   7103.00  3.0806588E-05
   7103.20  5.3897142E-05
   7103.40  3.4776267E-05
   7103.60  2.9801266E-05
   7103.80  6.8835998E-05
   7104.00  4.9816176E-05
   7104.20  3.0024663E-05
   7104.40  3.0605075E-05
   7104.60  4.7450459E-05
   7104.80  1.3564747E-04
   7105.00  3.4816256E-05
   7105.20  3.2570084E-05
   7105.40  3.6213564E-05
   7105.60  1.5609475E-04
   7105.80  4.7358609E-05
   7106.00  3.9272100E-05
   7106.20  4.1477811E-05
   7106.40  4.6757076E-05
   7106.60  5.7223545E-05
   7106.80  8.5289777E-05
   7107.00  2.8625779E-04
   7107.20  9.5520298E-04
   7107.40  2.9050578E-04
   7107.60  7.0722039E-03
   7107.80  2.5914922E-04
   7108.00  1.2510850E-02
   7108.20  1.3035381E-03
   7108.40  1.7381501E-04
   7108.60  1.9721245E-04
   7108.80  6.1046805E-04
   7109.00  1.5407457E-03
   7109.20  1.7460610E-02
   7109.40  1.1418007E-03
   7109.60  1.6115703E-02
   7109.80  6.4759996E-02
   7110.00  6.6146868E-02
   7110.20  2.7135569E-02
   7110.40  1.3495480E-02
   7110.60  1.7300226E-02
   7110.80  8.2570487E-03
   7111.00  6.2884942E-03
   7111.20  6.5527138E-03
   7111.40  1.2112694E-02
   7111.60  9.6952173E-03
   7111.80  5.1844515E-03
   7112.00  4.7666637E-03
   7112.20  5.9223545E-03
   7112.40  4.7152680E-03
   7112.60  3.8650857E-03
   7112.80  3.1069504E-03
   7113.00  2.5927468E-03
   7113.20  2.2933383E-03
   7113.40  2.1156753E-03
   7113.60  2.0146620E-03
   7113.80  1.9691060E-03
   7114.00  1.9685680E-03
   7114.20  2.0079265E-03
   7114.40  2.0849417E-03
   7114.60  2.1991041E-03
   7114.80  2.3497150E-03
   7115.00  2.5382341E-03
   7115.20  2.7659523E-03
   7115.40  3.0390430E-03
   7115.60  3.3584881E-03
   7115.80  3.7275559E-03
   7116.00  4.1496314E-03
   7116.20  4.6132677E-03
   7116.40  5.1515598E-03
   7116.60  5.7524371E-03
   7116.80  6.4182897E-03
   7117.00  7.1506354E-03
   7117.20  7.9498389E-03
   7117.40  8.8148757E-03
   7117.60  9.7431458E-03
   7117.80  1.0730013E-02
   7118.00  1.1769162E-02
   7118.20  1.2855297E-02
   7118.40  1.3981950E-02
   7118.60  1.5143690E-02
   7118.80  1.6337487E-02
   7119.00  1.7563934E-02
   7119.20  1.8828158E-02
   7119.40  2.0139318E-02
   7119.60  2.1507749E-02
   7119.80  2.2938095E-02
   7120.00  2.4417739E-02
   7120.20  2.5903022E-02
   7120.40  2.7311232E-02
   7120.60  2.8530802E-02
   7120.80  2.9454631E-02
   7121.00  3.0022052E-02
   7121.20  3.0240935E-02
   7121.40  3.0176514E-02
   7121.60  2.9915245E-02
   7121.80  2.9540062E-02
   7122.00  2.9140516E-02
   7122.20  2.8760037E-02
   7122.40  2.8427994E-02
   7122.60  2.8158822E-02
   7122.80  2.7956308E-02
   7123.00  2.7817039E-02
   7123.20  2.7733260E-02
   7123.40  2.7695509E-02
   7123.60  2.7695038E-02
   7123.80  2.7725070E-02
   7124.00  2.7779140E-02
   7124.20  2.7845372E-02
   7124.40  2.7906455E-02
