  7112.000   26  1  1  2.8545823E-02 -1.9593085E+00 -5.0154950E-01  1  1  7.2652454E+03  0.0000000E+00  0.0000000E+00  3.3674667E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.9910540E-04
   7097.20  1.8530924E-04
   7097.40  1.0224734E-04
   7097.60  7.0459552E-05
   7097.80  5.4728594E-05
   7098.00  4.5798888E-05
   7098.20  4.0318696E-05
   7098.40  3.6837987E-05
   7098.60  3.4682507E-05
   7098.80  3.3578869E-05
   7099.00  3.3589721E-05
   7099.20  3.5355909E-05
   7099.40  4.1466842E-05
   7099.60  6.6477400E-05
   7099.80  4.2378360E-04
   7100.00  3.0750347E-04
   7100.20  6.1591213E-05
   7100.40  3.9475583E-05
   7100.60  3.3442137E-05
   7100.80  3.1506135E-05
   7101.00  4.2292681E-05
   7101.20  3.1635074E-05
   7101.40  3.0316306E-05
   7101.60  3.0767224E-05
   7101.80  3.1802227E-05
   7102.00  3.3484525E-05
   7102.20  3.6218677E-05
   7102.40  4.1222721E-05
   7102.60  5.3476492E-05
   7102.80  1.1985792E-04
   7103.00  2.3314628E-03
   7103.20  1.2666596E-04
   7103.40  1.3002340E-04
   7103.60  7.1353938E-04
   7103.80  1.2893907E-03
   7104.00  1.3020173E-03
   7104.20  1.6212779E-03
   7104.40  2.6587134E-03
   7104.60  8.3080954E-04
   7104.80  4.5457716E-03
   7105.00  8.4695317E-02
   7105.20  4.6870607E-04
   7105.40  4.1665500E-04
   7105.60  1.4570313E-03
   7105.80  3.3118419E-03
   7106.00  2.8505631E-03
   7106.20  1.0702472E-03
   7106.40  5.4461666E-04
   7106.60  3.9508345E-04
   7106.80  6.7375130E-03
   7107.00  5.1844744E-02
   7107.20  2.6982807E-03
   7107.40  9.5771291E-04
   7107.60  7.3055748E-02
   7107.80  1.0613017E-02
   7108.00  1.7807878E-03
   7108.20  1.7086656E-02
   7108.40  6.3667633E-03
   7108.60  1.3630665E-02
   7108.80  4.8674529E-03
   7109.00  7.4519927E-03
   7109.20  4.5332627E-03
   7109.40  2.4928188E-03
   7109.60  6.0513882E-03
   7109.80  8.3601431E-03
   7110.00  6.3850907E-03
   7110.20  8.4662632E-03
   7110.40  4.1898508E-02
   7110.60  7.2760938E-02
   7110.80  1.9514061E-02
   7111.00  2.7926565E-02
   7111.20  2.8137233E-02
   7111.40  1.3805481E-02
   7111.60  5.7883172E-02
   7111.80  1.4165498E-02
   7112.00  1.0995030E-02
   7112.20  3.6851601E-03
   7112.40  2.0797351E-03
   7112.60  3.3887597E-03
   7112.80  3.3285135E-03
   7113.00  7.9072917E-03
   7113.20  6.2266354E-03
   7113.40  5.2831298E-03
   7113.60  5.4732906E-03
   7113.80  9.2653610E-03
   7114.00  1.6080642E-02
   7114.20  9.5149686E-03
   7114.40  9.1579604E-03
   7114.60  4.9714354E-03
   7114.80  5.8657228E-03
   7115.00  3.7262000E-03
   7115.20  2.4344915E-03
   7115.40  1.3021129E-03
   7115.60  9.6385924E-04
   7115.80  7.8599750E-04
   7116.00  6.3308192E-04
   7116.20  5.6393062E-04
   7116.40  5.1982171E-04
   7116.60  4.9843805E-04
   7116.80  5.0388726E-04
   7117.00  5.5129033E-04
   7117.20  6.8102892E-04
   7117.40  9.6176845E-04
   7117.60  1.1370320E-03
   7117.80  7.7167566E-04
   7118.00  5.2760949E-04
   7118.20  4.5372849E-04
   7118.40  4.2745399E-04
   7118.60  4.0210678E-04
   7118.80  3.8577597E-04
   7119.00  3.8593120E-04
   7119.20  4.0168080E-04
   7119.40  4.3134851E-04
   7119.60  4.7457435E-04
   7119.80  5.3247812E-04
   7120.00  6.0771759E-04
   7120.20  7.0487880E-04
   7120.40  8.3139856E-04
   7120.60  9.9913377E-04
   7120.80  1.2257493E-03
   7121.00  1.5295917E-03
   7121.20  1.9002471E-03
   7121.40  2.3177877E-03
   7121.60  2.7298939E-03
   7121.80  3.2536722E-03
   7122.00  4.0136409E-03
   7122.20  5.0529644E-03
   7122.40  6.2065531E-03
   7122.60  7.0016076E-03
   7122.80  7.5123041E-03
   7123.00  8.4826907E-03
   7123.20  9.6180461E-03
   7123.40  9.9894559E-03
   7123.60  1.0615608E-02
   7123.80  1.2139800E-02
   7124.00  1.1734606E-02
   7124.20  1.0452424E-02
   7124.40  1.1199513E-02
   7124.60  1.3018471E-02
   7124.80  1.5215656E-02
   7125.00  1.7391964E-02
   7125.20  1.9207612E-02
   7125.40  2.0439979E-02
   7125.60  2.1057510E-02
   7125.80  2.1147997E-02
   7126.00  2.1128870E-02
   7126.20  2.1655965E-02
   7126.40  2.2976120E-02
   7126.60  2.4847375E-02
   7126.80  2.6748020E-02
   7127.00  2.8251452E-02
   7127.20  2.9439206E-02
   7127.40  3.0819858E-02
   7127.60  3.2825968E-02
   7127.80  3.4267611E-02
   7128.00  3.4833480E-02
   7128.20  3.4881047E-02
   7128.40  3.5053124E-02
   7128.60  3.5962702E-02
   7128.80  3.8026773E-02
   7129.00  4.1420691E-02
   7129.20  4.6126604E-02
   7129.40  5.2020862E-02
   7129.60  5.8760115E-02
   7129.80  6.5439226E-02
   7130.00  7.0845530E-02
   7130.20  7.4370326E-02
   7130.40  7.6344977E-02
   7130.60  7.7479488E-02
   7130.80  7.8285981E-02
   7131.00  7.8944204E-02
   7131.20  7.9423582E-02
   7131.40  7.9619565E-02
   7131.60  7.9428002E-02
   7131.80  7.8777282E-02
   7132.00  7.7644489E-02
   7132.20  7.6060492E-02
   7132.40  7.4098818E-02
   7132.60  7.1856190E-02
   7132.80  6.9431813E-02
   7133.00  6.6911803E-02
   7133.20  6.4345066E-02
   7133.40  6.1838549E-02
   7133.60  5.9585609E-02
   7133.80  5.7966062E-02
   7134.00  5.7357106E-02
   7134.20  5.7158593E-02
   7134.40  5.6240520E-02
   7134.60  5.4768233E-02
   7134.80  5.3151458E-02
   7135.00  5.1533035E-02
   7135.20  4.9948138E-02
   7135.40  4.8412954E-02
   7135.60  4.6944596E-02
   7135.80  4.5561096E-02
   7136.00  4.4279510E-02
   7136.20  4.3114993E-02
   7136.40  4.2080726E-02
   7136.60  4.1186701E-02
   7136.80  4.0437926E-02
   7137.00  3.9832944E-02
   7137.20  3.9363869E-02
   7137.40  3.9017474E-02
   7137.60  3.8777418E-02
   7137.80  3.8628806E-02
   7138.00  3.8557828E-02
   7138.20  3.8552189E-02
   7138.40  3.8601726E-02
   7138.60  3.8697186E-02
   7138.80  3.8829981E-02
   7139.00  3.8991072E-02
   7139.20  3.9167755E-02
   7139.40  3.9348653E-02
   7139.60  3.9529897E-02
   7139.80  3.9705165E-02
   7140.00  3.9870720E-02
   7140.20  4.0025665E-02
   7140.40  4.0171522E-02
   7140.60  4.0311097E-02
   7140.80  4.0446885E-02
   7141.00  4.0579137E-02
   7141.20  4.0704903E-02
   7141.40  4.0817604E-02
   7141.60  4.0907759E-02
   7141.80  4.0964736E-02
   7142.00  4.0978895E-02
   7142.20  4.0943314E-02
   7142.40  4.0854733E-02
   7142.60  4.0713759E-02
   7142.80  4.0524068E-02
   7143.00  4.0291826E-02
   7143.20  4.0025354E-02
   7143.40  3.9734842E-02
   7143.60  3.9432234E-02
   7143.80  3.9135443E-02
   7144.00  3.8850033E-02
   7144.20  3.8557692E-02
   7144.40  3.8348934E-02
   7144.60  3.8198022E-02
   7144.80  3.8114461E-02
   7145.00  3.8103544E-02
   7145.20  3.8165711E-02
   7145.40  3.8296201E-02
   7145.60  3.8485109E-02
   7145.80  3.8718079E-02
   7146.00  3.8969917E-02
   7146.20  3.9210980E-02
   7146.40  3.9442983E-02
   7146.60  3.9651990E-02
   7146.80  3.9827318E-02
   7147.00  3.9962688E-02
   7147.20  4.0075207E-02
   7147.40  4.0129820E-02
   7147.60  4.0150644E-02
   7147.80  4.0145313E-02
   7148.00  4.0117982E-02
   7148.20  4.0083533E-02
   7148.40  4.0026935E-02
   7148.60  3.9959892E-02
   7148.80  3.9879907E-02
   7149.00  3.9794954E-02
   7149.20  3.9692214E-02
   7149.40  3.9575910E-02
   7149.60  3.9444058E-02
   7149.80  3.9297256E-02
   7150.00  3.9139234E-02
   7150.20  3.8961283E-02
   7150.40  3.8771727E-02
   7150.60  3.8557509E-02
   7150.80  3.8323738E-02
   7151.00  3.8068641E-02
   7151.20  3.7790678E-02
   7151.40  3.7487462E-02
   7151.60  3.7156929E-02
   7151.80  3.6797420E-02
   7152.00  3.6407839E-02
   7152.20  3.5987212E-02
   7152.40  3.5532686E-02
   7152.60  3.5050553E-02
   7152.80  3.4540485E-02
   7153.00  3.4004644E-02
   7153.20  3.3446140E-02
   7153.40  3.2868587E-02
   7153.60  3.2274280E-02
   7153.80  3.1667944E-02
   7154.00  3.1054261E-02
   7154.20  3.0436482E-02
   7154.40  2.9817559E-02
   7154.60  2.9199888E-02
   7154.80  2.8585287E-02
   7155.00  2.7975415E-02
   7155.20  2.7370918E-02
   7155.40  2.6772062E-02
   7155.60  2.6179141E-02
   7155.80  2.5592218E-02
   7156.00  2.5011439E-02
   7156.20  2.4437210E-02
   7156.40  2.3870417E-02
   7156.60  2.3311650E-02
   7156.80  2.2762107E-02
   7157.00  2.2222035E-02
   7157.20  2.1692956E-02
   7157.40  2.1175855E-02
   7157.60  2.0671692E-02
   7157.80  2.0181269E-02
   7158.00  1.9705653E-02
   7158.20  1.9244933E-02
   7158.40  1.8800337E-02
   7158.60  1.8372365E-02
   7158.80  1.7962172E-02
   7159.00  1.7571126E-02
   7159.20  1.7200923E-02
   7159.40  1.6853561E-02
   7159.60  1.6531328E-02
   7159.80  1.6236995E-02
   7160.00  1.5972855E-02
   7160.20  1.5741314E-02
   7160.40  1.5544636E-02
   7160.60  1.5384750E-02
   7160.80  1.5263088E-02
   7161.00  1.5180719E-02
   7161.20  1.5138138E-02
   7161.40  1.5134551E-02
   7161.60  1.5169153E-02
   7161.80  1.5242775E-02
   7162.00  1.5363917E-02
   7162.20  1.5510987E-02
   7162.40  1.5680086E-02
   7162.60  1.5874569E-02
   7162.80  1.6091109E-02
   7163.00  1.6326326E-02
   7163.20  1.6577308E-02
   7163.40  1.6840943E-02
   7163.60  1.7114405E-02
   7163.80  1.7402922E-02
   7164.00  1.7689353E-02
   7164.20  1.7979456E-02
   7164.40  1.8271970E-02
   7164.60  1.8565598E-02
   7164.80  1.8859090E-02
   7165.00  1.9151326E-02
   7165.20  1.9440987E-02
   7165.40  1.9726720E-02
   7165.60  2.0007127E-02
   7165.80  2.0280810E-02
   7166.00  2.0546535E-02
   7166.20  2.0802995E-02
   7166.40  2.1049076E-02
   7166.60  2.1283915E-02
   7166.80  2.1507166E-02
   7167.00  2.1718726E-02
   7167.20  2.1918730E-02
   7167.40  2.2107417E-02
   7167.60  2.2285287E-02
   7167.80  2.2453068E-02
