  7112.000   26  1  1  1.7495580E-02 -3.4650012E+00 -4.7235125E-01  1  1  7.2652596E+03  0.0000000E+00  0.0000000E+00  3.5567298E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.1555222E-05
   7097.20  3.0007781E-05
   7097.40  2.9074690E-05
   7097.60  2.8610988E-05
   7097.80  2.8572633E-05
   7098.00  2.9016486E-05
   7098.20  3.0154646E-05
   7098.40  3.2582991E-05
   7098.60  3.8256107E-05
   7098.80  5.7774222E-05
   7099.00  1.0160378E-03
   7099.20  4.4227639E-04
   7099.40  3.6177227E-04
   7099.60  9.8366732E-05
   7099.80  3.5768522E-03
   7100.00  7.1326718E-05
   7100.20  9.2281959E-05
   7100.40  2.8253388E-04
   7100.60  1.0644787E-03
   7100.80  1.3783142E-04
   7101.00  1.0625285E-04
   7101.20  3.6536554E-04
   7101.40  2.0814895E-03
   7101.60  1.5042483E-04
   7101.80  1.0863130E-04
   7102.00  3.8650557E-03
   7102.20  8.7856432E-03
   7102.40  1.1350615E-03
   7102.60  1.5893217E-04
   7102.80  1.5457615E-02
   7103.00  2.2890893E-04
   7103.20  2.5260069E-03
   7103.40  3.6724585E-04
   7103.60  2.1495861E-02
   7103.80  5.3274349E-04
   7104.00  1.5006463E-04
   7104.20  2.1529706E-04
   7104.40  2.6208760E-03
   7104.60  1.2177872E-03
   7104.80  3.9877746E-03
   7105.00  1.0734179E-03
   7105.20  1.4407383E-02
   7105.40  6.3739224E-02
   7105.60  1.5135475E-03
   7105.80  2.0297485E-03
   7106.00  5.0550266E-04
   7106.20  4.0084794E-04
   7106.40  2.8720273E-04
   7106.60  1.6075020E-02
   7106.80  9.9795432E-03
   7107.00  1.1426330E-03
   7107.20  2.3507628E-02
   7107.40  2.7317140E-03
   7107.60  1.5645988E-03
   7107.80  2.1515740E-03
   7108.00  8.3713197E-04
   7108.20  6.0508741E-03
   7108.40  4.0020330E-02
   7108.60  4.0957937E-02
   7108.80  9.3591092E-04
   7109.00  3.2286690E-02
   7109.20  4.9484264E-03
   7109.40  1.0258666E-02
   7109.60  1.4101668E-02
   7109.80  9.3393560E-03
   7110.00  1.1680036E-02
   7110.20  1.8750438E-02
   7110.40  1.8932216E-02
   7110.60  1.5164251E-02
   7110.80  1.4755416E-02
   7111.00  1.6106172E-02
   7111.20  1.9746449E-02
   7111.40  2.3633085E-02
   7111.60  1.0533385E-02
   7111.80  9.7402581E-03
   7112.00  1.3332413E-02
   7112.20  1.9458649E-02
   7112.40  2.4471751E-02
   7112.60  2.8699627E-02
   7112.80  2.2871019E-02
   7113.00  1.6982396E-02
   7113.20  1.8700341E-02
   7113.40  2.8122364E-02
   7113.60  3.2312954E-02
   7113.80  1.9091845E-02
   7114.00  1.3994353E-02
   7114.20  8.1788240E-03
   7114.40  4.8053645E-03
   7114.60  3.6003302E-03
   7114.80  3.0242982E-03
   7115.00  2.6540692E-03
   7115.20  2.4474209E-03
   7115.40  2.3075471E-03
   7115.60  2.2108835E-03
   7115.80  2.1454197E-03
   7116.00  2.1061231E-03
   7116.20  2.0917660E-03
   7116.40  2.1028122E-03
   7116.60  2.1404469E-03
   7116.80  2.2061576E-03
   7117.00  2.3012316E-03
   7117.20  2.4253121E-03
   7117.40  2.5731793E-03
   7117.60  2.7301268E-03
   7117.80  2.8757270E-03
   7118.00  3.0042618E-03
   7118.20  3.1291683E-03
   7118.40  3.2628095E-03
   7118.60  3.4076236E-03
   7118.80  3.5634870E-03
   7119.00  3.7321913E-03
   7119.20  3.9134948E-03
   7119.40  4.1043681E-03
   7119.60  4.3051141E-03
   7119.80  4.5217442E-03
   7120.00  4.7685417E-03
   7120.20  5.0605824E-03
   7120.40  5.4089911E-03
   7120.60  5.8180572E-03
   7120.80  6.2835750E-03
   7121.00  6.7933786E-03
   7121.20  7.3136171E-03
   7121.40  7.8237289E-03
   7121.60  8.3265107E-03
   7121.80  8.8451263E-03
   7122.00  9.3973064E-03
   7122.20  1.0017932E-02
   7122.40  1.0719891E-02
   7122.60  1.1501402E-02
   7122.80  1.2379243E-02
   7123.00  1.3363901E-02
   7123.20  1.4440584E-02
   7123.40  1.5599472E-02
   7123.60  1.6827170E-02
   7123.80  1.8218380E-02
   7124.00  1.9885419E-02
   7124.20  2.1834852E-02
   7124.40  2.3969127E-02
   7124.60  2.5886280E-02
   7124.80  2.6885924E-02
   7125.00  2.6996686E-02
   7125.20  2.6960724E-02
   7125.40  2.6752296E-02
   7125.60  2.5747658E-02
   7125.80  2.3913266E-02
   7126.00  2.2284746E-02
   7126.20  2.1353913E-02
   7126.40  2.1067068E-02
   7126.60  2.1221585E-02
   7126.80  2.1651489E-02
   7127.00  2.2259956E-02
   7127.20  2.2984134E-02
   7127.40  2.3845811E-02
   7127.60  2.4613393E-02
   7127.80  2.5270676E-02
   7128.00  2.5786273E-02
   7128.20  2.6213510E-02
   7128.40  2.6640510E-02
   7128.60  2.7170755E-02
   7128.80  2.7948593E-02
   7129.00  2.9116973E-02
   7129.20  3.0712726E-02
   7129.40  3.2638792E-02
   7129.60  3.4737851E-02
   7129.80  3.6867937E-02
   7130.00  3.8934562E-02
   7130.20  4.0892312E-02
   7130.40  4.2729489E-02
   7130.60  4.4440097E-02
   7130.80  4.6000235E-02
   7131.00  4.7362597E-02
   7131.20  4.8478543E-02
   7131.40  4.9328745E-02
   7131.60  4.9936401E-02
