  7112.000   26  1  1  9.5424438E-03 -2.3992938E+00 -1.2977879E+00  1  1  7.2651772E+03  0.0000000E+00  0.0000000E+00  2.3306229E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.9387237E-05
   7097.20  2.2619879E-05
   7097.40  2.1605177E-05
   7097.60  2.1569483E-05
   7097.80  2.1858250E-05
   7098.00  2.2427329E-05
   7098.20  2.3383206E-05
   7098.40  2.5010138E-05
   7098.60  2.8018502E-05
   7098.80  3.4509801E-05
   7099.00  5.3133238E-05
   7099.20  1.5697064E-04
   7099.40  3.1220978E-02
   7099.60  1.3879090E-04
   7099.80  5.3712353E-05
   7100.00  4.1213995E-05
   7100.20  6.2764024E-05
   7100.40  4.8738858E-04
   7100.60  4.1964112E-05
   7100.80  3.4959189E-05
   7101.00  4.7767254E-05
   7101.20  3.8669703E-04
   7101.40  1.1386341E-04
   7101.60  3.8242249E-05
   7101.80  2.9782869E-05
   7102.00  2.8008345E-05
   7102.20  2.8791242E-05
   7102.40  3.3358561E-05
   7102.60  5.9614376E-05
   7102.80  7.7090137E-03
   7103.00  6.4966427E-05
   7103.20  7.7270859E-04
   7103.40  6.9032442E-04
   7103.60  6.5404062E-05
   7103.80  4.9573879E-05
   7104.00  6.3171901E-05
   7104.20  8.4423625E-05
   7104.40  1.5484164E-04
   7104.60  8.3070774E-05
   7104.80  8.8879477E-04
   7105.00  6.6581200E-05
   7105.20  4.1994544E-05
   7105.40  4.2055487E-05
   7105.60  5.1559716E-05
   7105.80  1.2261299E-04
   7106.00  1.3026154E-03
   7106.20  8.4383016E-05
   7106.40  5.9598738E-05
   7106.60  6.3954197E-05
   7106.80  3.7753113E-04
   7107.00  1.1434901E-04
   7107.20  6.6676795E-04
   7107.40  5.7352760E-04
   7107.60  2.3166013E-03
   7107.80  6.8412530E-02
   7108.00  2.4790510E-03
   7108.20  9.1984409E-04
   7108.40  5.8100404E-04
   7108.60  1.8237629E-04
   7108.80  2.8304682E-03
   7109.00  1.0923168E-02
   7109.20  6.2915663E-04
   7109.40  1.3313309E-03
   7109.60  2.7156083E-02
   7109.80  3.6983721E-02
   7110.00  3.6354302E-03
   7110.20  1.3767486E-02
   7110.40  2.2336927E-02
   7110.60  6.4617699E-03
   7110.80  6.6430136E-03
   7111.00  1.8436262E-02
   7111.20  9.0179985E-03
   7111.40  9.0618348E-03
   7111.60  2.2154500E-02
   7111.80  9.4169325E-03
   7112.00  6.7817433E-03
   7112.20  6.0590700E-03
   7112.40  6.7899445E-03
   7112.60  9.2949779E-03
   7112.80  1.6201981E-02
   7113.00  3.3052035E-02
   7113.20  6.2992340E-02
   7113.40  4.4479234E-02
   7113.60  3.0014367E-02
   7113.80  2.7956264E-02
   7114.00  3.5069810E-02
   7114.20  6.5000557E-02
   7114.40  5.3654364E-02
   7114.60  2.8534535E-02
   7114.80  1.7631097E-02
   7115.00  1.2658744E-02
   7115.20  1.0187545E-02
   7115.40  9.1049888E-03
   7115.60  9.3400802E-03
   7115.80  1.1967004E-02
   7116.00  1.9290817E-02
   7116.20  2.5442931E-02
   7116.40  2.0255365E-02
   7116.60  1.5828900E-02
   7116.80  1.6053880E-02
   7117.00  1.5532242E-02
   7117.20  1.2991866E-02
   7117.40  1.1580921E-02
   7117.60  1.1001082E-02
   7117.80  1.0855332E-02
   7118.00  1.0845830E-02
   7118.20  1.0746139E-02
   7118.40  1.0455989E-02
   7118.60  1.0012547E-02
   7118.80  9.5222978E-03
   7119.00  9.0967079E-03
   7119.20  8.8228958E-03
   7119.40  8.7282815E-03
   7119.60  8.7420077E-03
   7119.80  8.7035759E-03
   7120.00  8.8045239E-03
   7120.20  9.1586322E-03
   7120.40  9.3430275E-03
   7120.60  9.0697875E-03
   7120.80  8.3132492E-03
   7121.00  7.4095040E-03
   7121.20  6.7170566E-03
   7121.40  6.2644956E-03
   7121.60  5.9808770E-03
   7121.80  5.8573798E-03
   7122.00  5.8726950E-03
   7122.20  5.9890281E-03
   7122.40  6.1719785E-03
   7122.60  6.4011379E-03
   7122.80  6.6830756E-03
   7123.00  6.9884863E-03
   7123.20  7.3299975E-03
   7123.40  7.7260848E-03
   7123.60  8.1777053E-03
   7123.80  8.7196417E-03
   7124.00  9.3824341E-03
   7124.20  1.0202918E-02
   7124.40  1.1209266E-02
   7124.60  1.2455918E-02
   7124.80  1.4106554E-02
   7125.00  1.6370375E-02
   7125.20  1.9504656E-02
   7125.40  2.3635765E-02
   7125.60  2.7585398E-02
   7125.80  2.9348157E-02
   7126.00  2.8866952E-02
   7126.20  2.7407634E-02
   7126.40  2.5852778E-02
   7126.60  2.4572759E-02
   7126.80  2.3673902E-02
   7127.00  2.3192671E-02
   7127.20  2.3025539E-02
   7127.40  2.3076485E-02
   7127.60  2.3294846E-02
   7127.80  2.3660178E-02
   7128.00  2.4193992E-02
   7128.20  2.4901881E-02
   7128.40  2.5808145E-02
   7128.60  2.7036844E-02
   7128.80  2.8510785E-02
   7129.00  3.0261777E-02
   7129.20  3.2266557E-02
   7129.40  3.4479127E-02
   7129.60  3.6724155E-02
   7129.80  3.8808913E-02
   7130.00  4.0621450E-02
   7130.20  4.2232743E-02
   7130.40  4.3843017E-02
   7130.60  4.5601797E-02
   7130.80  4.7439014E-02
   7131.00  4.9139938E-02
   7131.20  5.0653564E-02
   7131.40  5.2019064E-02
   7131.60  5.3208203E-02
   7131.80  5.4178471E-02
   7132.00  5.4920633E-02
   7132.20  5.5466755E-02
   7132.40  5.5898028E-02
   7132.60  5.6354373E-02
   7132.80  5.7016439E-02
   7133.00  5.8048648E-02
   7133.20  5.9549594E-02
   7133.40  6.1542941E-02
   7133.60  6.3979704E-02
   7133.80  6.6721432E-02
   7134.00  6.9510129E-02
   7134.20  7.1957220E-02
   7134.40  7.3601976E-02
   7134.60  7.4042402E-02
   7134.80  7.3093050E-02
   7135.00  7.0842349E-02
   7135.20  6.7556718E-02
   7135.40  6.3573701E-02
   7135.60  5.9240621E-02
   7135.80  5.4872599E-02
   7136.00  5.0708334E-02
   7136.20  4.6884621E-02
   7136.40  4.3448710E-02
   7136.60  4.0390801E-02
   7136.80  3.7674871E-02
   7137.00  3.5258507E-02
   7137.20  3.3104214E-02
   7137.40  3.1181560E-02
   7137.60  2.9466935E-02
   7137.80  2.7943564E-02
   7138.00  2.6598353E-02
   7138.20  2.5421286E-02
   7138.40  2.4403195E-02
   7138.60  2.3534786E-02
   7138.80  2.2806032E-02
   7139.00  2.2205519E-02
   7139.20  2.1721038E-02
   7139.40  2.1340047E-02
   7139.60  2.1050263E-02
   7139.80  2.0840348E-02
   7140.00  2.0700482E-02
   7140.20  2.0622426E-02
   7140.40  2.0599604E-02
   7140.60  2.0627036E-02
   7140.80  2.0701166E-02
   7141.00  2.0819506E-02
   7141.20  2.0982060E-02
   7141.40  2.1185702E-02
   7141.60  2.1427941E-02
   7141.80  2.1707594E-02
   7142.00  2.2023201E-02
   7142.20  2.2372676E-02
   7142.40  2.2753095E-02
   7142.60  2.3160605E-02
   7142.80  2.3590284E-02
   7143.00  2.4036341E-02
   7143.20  2.4492044E-02
   7143.40  2.4950241E-02
   7143.60  2.5403612E-02
   7143.80  2.5845126E-02
   7144.00  2.6268564E-02
   7144.20  2.6669180E-02
   7144.40  2.7043950E-02
   7144.60  2.7391854E-02
   7144.80  2.7713703E-02
   7145.00  2.8012257E-02
   7145.20  2.8288039E-02
   7145.40  2.8545699E-02
   7145.60  2.8801804E-02
   7145.80  2.9054870E-02
   7146.00  2.9310358E-02
   7146.20  2.9573416E-02
   7146.40  2.9848960E-02
   7146.60  3.0141110E-02
   7146.80  3.0453744E-02
   7147.00  3.0790421E-02
   7147.20  3.1154343E-02
   7147.40  3.1548460E-02
   7147.60  3.1975181E-02
   7147.80  3.2436580E-02
   7148.00  3.2934410E-02
   7148.20  3.3469365E-02
   7148.40  3.4041413E-02
   7148.60  3.4636424E-02
   7148.80  3.5282546E-02
   7149.00  3.5937818E-02
   7149.20  3.6618936E-02
   7149.40  3.7323822E-02
   7149.60  3.8050766E-02
   7149.80  3.8794142E-02
   7150.00  3.9548770E-02
   7150.20  4.0309129E-02
   7150.40  4.1069250E-02
   7150.60  4.1827444E-02
   7150.80  4.2566189E-02
   7151.00  4.3283299E-02
   7151.20  4.3970910E-02
   7151.40  4.4621326E-02
   7151.60  4.5227092E-02
   7151.80  4.5781852E-02
   7152.00  4.6279533E-02
   7152.20  4.6715551E-02
   7152.40  4.7086758E-02
   7152.60  4.7391512E-02
   7152.80  4.7629568E-02
   7153.00  4.7802457E-02
   7153.20  4.7912830E-02
   7153.40  4.7964540E-02
   7153.60  4.7962378E-02
   7153.80  4.7911669E-02
   7154.00  4.7818353E-02
   7154.20  4.7688047E-02
   7154.40  4.7525994E-02
   7154.60  4.7337220E-02
   7154.80  4.7126105E-02
   7155.00  4.6896408E-02
   7155.20  4.6651282E-02
   7155.40  4.6393532E-02
   7155.60  4.6124675E-02
   7155.80  4.5846015E-02
   7156.00  4.5558412E-02
   7156.20  4.5262501E-02
   7156.40  4.4958818E-02
   7156.60  4.4647617E-02
   7156.80  4.4326801E-02
   7157.00  4.3998897E-02
   7157.20  4.3664489E-02
   7157.40  4.3324101E-02
   7157.60  4.2978389E-02
   7157.80  4.2628193E-02
   7158.00  4.2274461E-02
   7158.20  4.1918322E-02
   7158.40  4.1561173E-02
   7158.60  4.1203956E-02
   7158.80  4.0848694E-02
   7159.00  4.0496591E-02
   7159.20  4.0149198E-02
   7159.40  3.9808180E-02
   7159.60  3.9475246E-02
   7159.80  3.9152126E-02
   7160.00  3.8840516E-02
   7160.20  3.8542120E-02
   7160.40  3.8258653E-02
   7160.60  3.7991129E-02
   7160.80  3.7740588E-02
   7161.00  3.7510333E-02
   7161.20  3.7295493E-02
   7161.40  3.7098229E-02
   7161.60  3.6917889E-02
   7161.80  3.6753069E-02
   7162.00  3.6601699E-02
   7162.20  3.6461317E-02
   7162.40  3.6331370E-02
   7162.60  3.6204525E-02
   7162.80  3.6079715E-02
   7163.00  3.5954329E-02
   7163.20  3.5825813E-02
   7163.40  3.5691358E-02
   7163.60  3.5549082E-02
   7163.80  3.5397727E-02
   7164.00  3.5236769E-02
   7164.20  3.5065103E-02
   7164.40  3.4882571E-02
   7164.60  3.4689581E-02
   7164.80  3.4486746E-02
   7165.00  3.4274735E-02
   7165.20  3.4053655E-02
   7165.40  3.3824256E-02
   7165.60  3.3588802E-02
   7165.80  3.3345311E-02
   7166.00  3.3096604E-02
   7166.20  3.2842830E-02
   7166.40  3.2584681E-02
   7166.60  3.2322913E-02
