  7112.000   26  1  1  1.4235177E-02 -2.3380974E+00 -1.6265638E+00  1  1  7.2656575E+03  0.0000000E+00  0.0000000E+00  2.5692711E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9641771E-05
   7097.20  1.9681638E-05
   7097.40  1.9742897E-05
   7097.60  1.9828354E-05
   7097.80  1.9942550E-05
   7098.00  2.0092604E-05
   7098.20  2.0290196E-05
   7098.40  2.0554614E-05
   7098.60  2.0920208E-05
   7098.80  2.1453750E-05
   7099.00  2.2301666E-05
   7099.20  2.3845035E-05
   7099.40  2.7376937E-05
   7099.60  4.0010879E-05
   7099.80  2.2499190E-04
   7100.00  1.4217440E-04
   7100.20  3.8756980E-05
   7100.40  3.0090914E-05
   7100.60  3.1550670E-05
   7100.80  4.2582908E-05
   7101.00  3.1870778E-05
   7101.20  3.6638837E-05
   7101.40  5.1509571E-05
   7101.60  2.0416121E-04
   7101.80  1.8065315E-04
   7102.00  4.2636422E-04
   7102.20  2.8068766E-03
   7102.40  1.6139960E-04
   7102.60  4.9919071E-04
   7102.80  5.4726229E-05
   7103.00  5.5243181E-05
   7103.20  1.7791196E-04
   7103.40  1.4819972E-04
   7103.60  7.8571073E-05
   7103.80  1.0170988E-03
   7104.00  1.1694790E-04
   7104.20  1.3130627E-04
   7104.40  1.2148870E-03
   7104.60  4.5355697E-04
   7104.80  1.0409030E-03
   7105.00  4.8254301E-03
   7105.20  1.3781147E-04
   7105.40  7.2055038E-05
   7105.60  5.8667590E-05
   7105.80  5.8521857E-05
   7106.00  7.9248108E-05
   7106.20  7.9427336E-04
   7106.40  1.6407587E-04
   7106.60  4.1742038E-03
   7106.80  4.1752458E-04
   7107.00  9.0542450E-04
   7107.20  7.6010805E-03
   7107.40  1.0935625E-02
   7107.60  2.5796280E-04
   7107.80  1.7730134E-04
   7108.00  6.7172217E-04
   7108.20  2.9412580E-04
   7108.40  3.3653831E-03
   7108.60  8.3221573E-04
   7108.80  1.1491565E-03
   7109.00  6.4824208E-03
   7109.20  8.5781931E-03
   7109.40  2.8262240E-03
   7109.60  1.5307341E-03
   7109.80  1.4741067E-03
   7110.00  2.6026906E-02
   7110.20  7.1222834E-03
   7110.40  1.0044386E-02
   7110.60  5.9875888E-03
   7110.80  9.6008611E-03
   7111.00  6.6222655E-03
   7111.20  9.8448914E-03
   7111.40  1.2442966E-02
   7111.60  1.3131608E-02
   7111.80  1.3950442E-02
   7112.00  1.5470584E-02
   7112.20  1.9025876E-02
   7112.40  2.1410410E-02
   7112.60  1.7161729E-02
   7112.80  1.9548683E-02
   7113.00  1.8299540E-02
   7113.20  2.2021845E-02
   7113.40  1.8234295E-02
   7113.60  1.8959106E-02
   7113.80  2.6315883E-02
   7114.00  3.5774895E-02
   7114.20  3.5165193E-02
   7114.40  2.5955190E-02
   7114.60  2.0154917E-02
   7114.80  1.8655768E-02
   7115.00  1.9752150E-02
   7115.20  2.0878046E-02
   7115.40  1.9887241E-02
   7115.60  1.7765798E-02
   7115.80  1.5979350E-02
   7116.00  1.5068396E-02
   7116.20  1.4691356E-02
   7116.40  1.4352617E-02
   7116.60  1.4000712E-02
   7116.80  1.4632921E-02
   7117.00  1.6944144E-02
   7117.20  2.1613439E-02
   7117.40  2.8159258E-02
   7117.60  3.1502926E-02
   7117.80  2.6737907E-02
   7118.00  1.9319044E-02
   7118.20  1.4042605E-02
   7118.40  1.1049147E-02
   7118.60  9.3688042E-03
   7118.80  8.1646617E-03
   7119.00  7.2542038E-03
   7119.20  6.7560416E-03
   7119.40  6.6384251E-03
   7119.60  6.7317830E-03
   7119.80  6.7032382E-03
   7120.00  6.3651226E-03
   7120.20  6.0292810E-03
   7120.40  5.9387596E-03
   7120.60  6.0803078E-03
   7120.80  6.2313242E-03
   7121.00  6.2387978E-03
   7121.20  6.1566756E-03
   7121.40  6.0950291E-03
   7121.60  6.1541557E-03
   7121.80  6.3863886E-03
   7122.00  6.7985539E-03
   7122.20  7.3682024E-03
   7122.40  8.0786056E-03
   7122.60  8.9521032E-03
   7122.80  9.9430038E-03
   7123.00  1.0523045E-02
   7123.20  1.0652645E-02
   7123.40  1.0924331E-02
   7123.60  1.1682545E-02
   7123.80  1.2951603E-02
   7124.00  1.4522355E-02
   7124.20  1.5935039E-02
