  7112.000   26  1  1  7.4280398E-03 -8.8379419E-01 -7.9614131E-01  1  1  7.2653430E+03  0.0000000E+00  0.0000000E+00  1.4511309E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.9769786E-05
   7097.20  3.2921529E-05
   7097.40  3.8743536E-05
   7097.60  5.0810162E-05
   7097.80  8.2165649E-05
   7098.00  2.1480818E-04
   7098.20  4.2759714E-03
   7098.40  5.9024082E-04
   7098.60  1.2704527E-04
   7098.80  6.7683791E-05
   7099.00  5.1304683E-05
   7099.20  4.7779688E-05
   7099.40  5.3436075E-05
   7099.60  7.8671209E-05
   7099.80  2.2957991E-04
   7100.00  2.7401243E-02
   7100.20  2.1759962E-04
   7100.40  2.5703813E-04
   7100.60  5.4040853E-03
   7100.80  1.4286771E-04
   7101.00  7.8358342E-05
   7101.20  5.8916419E-04
   7101.40  8.1989828E-05
   7101.60  3.9993901E-05
   7101.80  3.2812493E-05
   7102.00  3.0198222E-05
   7102.20  2.9137396E-05
   7102.40  2.8929617E-05
   7102.60  2.9431281E-05
   7102.80  3.0859616E-05
   7103.00  3.4317080E-05
   7103.20  4.7355182E-05
   7103.40  1.2926203E-03
   7103.60  6.7413332E-05
   7103.80  7.2842681E-05
   7104.00  6.5823667E-04
   7104.20  6.3631810E-04
   7104.40  5.3731783E-04
   7104.60  1.0043538E-04
   7104.80  6.8933611E-04
   7105.00  6.3738564E-05
   7105.20  7.1425976E-05
   7105.40  1.0081574E-04
   7105.60  2.1239953E-04
   7105.80  1.9551174E-03
   7106.00  9.9926901E-04
   7106.20  5.8930299E-04
   7106.40  6.7933139E-04
   7106.60  4.9133612E-02
   7106.80  8.3668835E-04
   7107.00  4.6247264E-04
   7107.20  1.4307634E-04
   7107.40  1.1738087E-04
   7107.60  1.5384986E-04
   7107.80  1.9155103E-03
   7108.00  4.0568362E-04
   7108.20  5.0847993E-03
   7108.40  9.1291370E-04
   7108.60  5.9209017E-02
   7108.80  2.3633554E-02
   7109.00  1.4227605E-03
   7109.20  8.5544330E-04
   7109.40  2.1665094E-03
   7109.60  1.0768679E-01
   7109.80  1.9061028E-03
   7110.00  1.1625275E-03
   7110.20  3.1801706E-04
   7110.40  8.5172962E-03
   7110.60  5.2070126E-04
   7110.80  2.8729698E-03
   7111.00  1.9107084E-03
   7111.20  3.0182830E-03
   7111.40  1.3482187E-03
   7111.60  2.9173764E-02
   7111.80  4.9213657E-03
   7112.00  2.2152104E-03
   7112.20  1.1820473E-02
   7112.40  4.1002375E-02
   7112.60  1.3066099E-02
   7112.80  2.1241093E-02
   7113.00  9.2848825E-02
   7113.20  1.9072086E-02
   7113.40  1.1096626E-02
   7113.60  1.3692608E-02
   7113.80  1.4268483E-02
   7114.00  1.4610609E-02
   7114.20  1.5011074E-02
   7114.40  7.0878424E-03
   7114.60  4.2603374E-03
   7114.80  3.2322648E-03
   7115.00  2.8106010E-03
   7115.20  2.7699175E-03
   7115.40  3.4117871E-03
   7115.60  6.5544015E-03
   7115.80  1.3613295E-02
   7116.00  5.4122418E-03
   7116.20  2.8995961E-03
   7116.40  2.2706423E-03
   7116.60  2.0968137E-03
   7116.80  2.0505294E-03
   7117.00  2.1443992E-03
   7117.20  2.2983898E-03
   7117.40  2.5024803E-03
   7117.60  2.7471319E-03
   7117.80  3.0108254E-03
   7118.00  3.2612815E-03
   7118.20  3.4996775E-03
   7118.40  3.7738608E-03
   7118.60  4.1172309E-03
   7118.80  4.5361089E-03
   7119.00  5.0305127E-03
   7119.20  5.5989526E-03
   7119.40  6.2220389E-03
   7119.60  6.8299949E-03
   7119.80  7.2935687E-03
   7120.00  7.5094128E-03
   7120.20  7.5221776E-03
   7120.40  7.5036794E-03
   7120.60  7.6107174E-03
   7120.80  7.8998832E-03
   7121.00  8.3489197E-03
   7121.20  8.9101635E-03
   7121.40  9.5421074E-03
   7121.60  1.0219629E-02
   7121.80  1.0928137E-02
