  7112.000   26  1  1  1.6538721E-02 -1.1401965E+00 -1.8469371E+00  1  1  7.2657659E+03  0.0000000E+00  0.0000000E+00  1.7715203E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9792978E-05
   7097.20  1.9586584E-05
   7097.40  1.9564114E-05
   7097.60  2.0333969E-05
   7097.80  2.0507470E-05
   7098.00  1.9594554E-05
   7098.20  1.9582639E-05
   7098.40  1.9644052E-05
   7098.60  1.9737579E-05
   7098.80  1.9856700E-05
   7099.00  2.0001294E-05
   7099.20  2.0173625E-05
   7099.40  2.0377673E-05
   7099.60  2.0619012E-05
   7099.80  2.0905306E-05
   7100.00  2.1247084E-05
   7100.20  2.1658908E-05
   7100.40  2.2161254E-05
   7100.60  2.2784011E-05
   7100.80  2.3572105E-05
   7101.00  2.4595741E-05
   7101.20  2.5970284E-05
   7101.40  2.7897222E-05
   7101.60  3.0758436E-05
   7101.80  3.5356381E-05
   7102.00  4.3644299E-05
   7102.20  6.1572968E-05
   7102.40  1.1588790E-04
   7102.60  5.0949047E-04
   7102.80  3.7644831E-03
   7103.00  2.5330565E-04
   7103.20  6.9903354E-04
   7103.40  1.5166115E-02
   7103.60  3.0026727E-04
   7103.80  8.3634235E-05
   7104.00  6.8974285E-05
   7104.20  2.3971045E-04
   7104.40  4.9360440E-05
   7104.60  1.0566965E-04
   7104.80  5.3567954E-05
   7105.00  7.0052830E-05
   7105.20  1.2823042E-04
   7105.40  6.9843639E-04
   7105.60  4.9941158E-03
   7105.80  2.8032243E-04
   7106.00  1.0396924E-04
   7106.20  9.7479916E-05
   7106.40  1.6883440E-04
   7106.60  2.0247131E-03
   7106.80  4.8336384E-04
   7107.00  1.3084263E-04
   7107.20  1.0017722E-04
   7107.40  1.1491438E-04
   7107.60  1.9926386E-04
   7107.80  1.3782107E-03
   7108.00  1.0129082E-03
   7108.20  3.4347271E-03
   7108.40  1.1503673E-02
   7108.60  2.3384772E-02
   7108.80  4.1198648E-04
   7109.00  5.0343985E-04
   7109.20  3.4525394E-03
   7109.40  8.0444735E-04
   7109.60  7.4000394E-02
   7109.80  2.0594758E-03
   7110.00  3.7416996E-03
   7110.20  2.9762007E-03
   7110.40  1.2603591E-03
   7110.60  9.4675816E-03
   7110.80  1.0503353E-03
   7111.00  2.8428371E-03
   7111.20  5.1471998E-03
   7111.40  2.3389277E-03
   7111.60  5.3070093E-03
   7111.80  5.0823152E-03
   7112.00  1.3318837E-02
   7112.20  2.8883411E-02
   7112.40  1.4773526E-02
   7112.60  1.5686361E-02
   7112.80  2.2753230E-02
   7113.00  2.1558028E-02
   7113.20  1.9248230E-02
   7113.40  1.6047057E-02
   7113.60  1.4554184E-02
   7113.80  1.8985130E-02
   7114.00  4.3938629E-02
   7114.20  7.5435763E-02
   7114.40  3.6475997E-02
   7114.60  2.5145403E-02
   7114.80  2.8127090E-02
   7115.00  3.4847184E-02
   7115.20  3.2147891E-02
   7115.40  2.3736477E-02
   7115.60  1.7339614E-02
