  7112.000   26  1  1  2.5167998E-02 -7.1137956E-01 -2.4696062E+00  1  1  7.2664283E+03  0.0000000E+00  0.0000000E+00  2.3442760E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2888797E-05
   7097.20  2.1996900E-05
   7097.40  2.1562794E-05
   7097.60  2.1400737E-05
   7097.80  2.1435600E-05
   7098.00  2.1647928E-05
   7098.20  2.2056747E-05
   7098.40  2.2724006E-05
   7098.60  2.3781337E-05
   7098.80  2.5498621E-05
   7099.00  2.8490456E-05
   7099.20  3.4341375E-05
   7099.40  4.8266381E-05
   7099.60  9.6621428E-05
   7099.80  6.0031396E-04
   7100.00  1.0328149E-03
   7100.20  1.1280528E-04
   7100.40  5.2375813E-05
   7100.60  3.6670263E-05
   7100.80  3.0701679E-05
   7101.00  2.8786189E-05
   7101.20  4.4399202E-05
   7101.40  3.3653077E-05
   7101.60  2.7169312E-05
   7101.80  3.1031658E-05
   7102.00  2.6160113E-04
   7102.20  3.9646945E-05
   7102.40  3.0114526E-05
   7102.60  3.4573804E-05
   7102.80  7.6492319E-05
   7103.00  7.0025407E-04
   7103.20  4.6570765E-05
   7103.40  3.1713828E-05
   7103.60  2.9365757E-05
   7103.80  3.3886237E-05
   7104.00  5.3543230E-05
   7104.20  3.1140571E-05
   7104.40  3.4312219E-05
   7104.60  8.2658706E-05
   7104.80  7.0126497E-05
   7105.00  1.8742288E-04
   7105.20  4.7435202E-05
   7105.40  5.3222889E-05
   7105.60  1.4674891E-04
   7105.80  1.0326938E-04
   7106.00  9.9348900E-04
   7106.20  7.6848736E-05
   7106.40  7.0033349E-05
   7106.60  1.0304662E-04
   7106.80  6.3888711E-04
   7107.00  2.6866446E-03
   7107.20  2.3173447E-04
   7107.40  1.0104225E-03
   7107.60  1.1153898E-02
   7107.80  4.0726279E-02
   7108.00  3.4342241E-04
   7108.20  1.8380516E-03
   7108.40  5.7450149E-04
   7108.60  6.5699174E-04
   7108.80  1.9390287E-03
   7109.00  7.4223694E-03
   7109.20  8.5763332E-04
   7109.40  2.1187530E-03
   7109.60  1.6807336E-02
   7109.80  1.5761072E-03
   7110.00  6.3654270E-04
   7110.20  3.7803785E-03
   7110.40  5.3539436E-03
   7110.60  1.7851719E-01
   7110.80  3.2078363E-03
   7111.00  7.0551398E-02
   7111.20  1.9395927E-02
   7111.40  1.0808700E-02
   7111.60  1.0654540E-02
   7111.80  2.9881563E-03
   7112.00  3.6429639E-02
   7112.20  3.7863652E-02
   7112.40  6.5335175E-02
   7112.60  1.7693291E-02
   7112.80  9.5830367E-03
   7113.00  1.1649366E-02
   7113.20  5.5819609E-02
   7113.40  7.2945280E-03
   7113.60  4.8122483E-03
   7113.80  4.1378042E-03
   7114.00  4.0587543E-03
   7114.20  4.6088161E-03
   7114.40  6.5796414E-03
   7114.60  8.3833758E-03
   7114.80  8.0980240E-03
   7115.00  1.1929596E-02
   7115.20  2.9622430E-02
   7115.40  1.2144678E-01
   7115.60  5.4797769E-02
   7115.80  2.1757603E-02
   7116.00  1.6141374E-02
   7116.20  1.8592629E-02
   7116.40  2.8858845E-02
   7116.60  4.1609306E-02
   7116.80  3.4294431E-02
   7117.00  2.1749382E-02
   7117.20  1.4870422E-02
   7117.40  1.1536937E-02
   7117.60  1.0062077E-02
   7117.80  9.8336533E-03
   7118.00  1.0775436E-02
   7118.20  1.2868135E-02
   7118.40  1.6030650E-02
   7118.60  1.7738380E-02
   7118.80  1.6249993E-02
   7119.00  1.3675281E-02
   7119.20  1.1586211E-02
   7119.40  1.0111963E-02
   7119.60  9.0328112E-03
   7119.80  8.1667957E-03
   7120.00  7.4096809E-03
   7120.20  6.7018966E-03
   7120.40  6.0095943E-03
   7120.60  5.3862704E-03
   7120.80  4.9633419E-03
   7121.00  4.7978182E-03
   7121.20  4.8328363E-03
   7121.40  4.9769034E-03
   7121.60  5.1629826E-03
   7121.80  5.3428560E-03
   7122.00  5.5747097E-03
   7122.20  6.0877150E-03
   7122.40  6.3828299E-03
   7122.60  5.9065155E-03
   7122.80  5.8637098E-03
   7123.00  6.0233029E-03
   7123.20  6.2374136E-03
   7123.40  6.4793342E-03
   7123.60  6.7471661E-03
   7123.80  7.0447389E-03
   7124.00  7.3777361E-03
   7124.20  7.7528458E-03
   7124.40  8.1774650E-03
   7124.60  8.6578513E-03
   7124.80  9.1989044E-03
   7125.00  9.8146772E-03
   7125.20  1.0500778E-02
   7125.40  1.1222223E-02
   7125.60  1.1951843E-02
   7125.80  1.2639438E-02
   7126.00  1.3282558E-02
   7126.20  1.3915448E-02
   7126.40  1.4574193E-02
   7126.60  1.5276340E-02
   7126.80  1.6027740E-02
   7127.00  1.6830145E-02
   7127.20  1.7667049E-02
   7127.40  1.8484727E-02
   7127.60  1.9214005E-02
   7127.80  1.9843066E-02
   7128.00  2.0418843E-02
   7128.20  2.0879657E-02
   7128.40  2.1134424E-02
   7128.60  2.1210702E-02
   7128.80  2.1273350E-02
   7129.00  2.1394865E-02
   7129.20  2.1584684E-02
   7129.40  2.1801953E-02
   7129.60  2.2067385E-02
   7129.80  2.2420637E-02
   7130.00  2.2917213E-02
