  7112.000   26  1  1  2.1811899E-02 -2.3792973E+00 -1.0064872E+00  1  1  7.2657025E+03  0.0000000E+00  0.0000000E+00  2.1972859E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  8.8874604E-05
   7097.20  5.9361231E-05
   7097.40  4.7727055E-05
   7097.60  4.2659544E-05
   7097.80  4.1027775E-05
   7098.00  4.2014438E-05
   7098.20  4.6060108E-05
   7098.40  5.5411807E-05
   7098.60  7.7801064E-05
   7098.80  1.5110903E-04
   7099.00  9.3544559E-04
   7099.20  1.1068438E-03
   7099.40  5.5757079E-02
   7099.60  4.6325234E-04
   7099.80  1.3044510E-04
   7100.00  7.3204610E-05
   7100.20  5.3237161E-05
   7100.40  4.4260949E-05
   7100.60  3.9927841E-05
   7100.80  3.8209624E-05
   7101.00  3.8613838E-05
   7101.20  4.1844987E-05
   7101.40  5.1494653E-05
   7101.60  8.8012976E-05
   7101.80  8.4818885E-04
   7102.00  2.2037341E-03
   7102.20  1.2785963E-04
   7102.40  2.6814998E-04
   7102.60  1.6293244E-02
   7102.80  9.0084750E-04
   7103.00  7.1331747E-05
   7103.20  4.9249714E-05
   7103.40  4.6371532E-05
   7103.60  5.0502939E-05
   7103.80  9.1239464E-05
   7104.00  1.2880855E-04
   7104.20  1.4644866E-04
   7104.40  2.8440009E-04
   7104.60  3.5120673E-04
   7104.80  3.2999482E-03
   7105.00  1.8962566E-04
   7105.20  9.0362369E-04
   7105.40  1.7254558E-04
   7105.60  5.0674227E-04
   7105.80  1.8199184E-03
   7106.00  2.3950846E-03
   7106.20  3.0427844E-04
   7106.40  1.5593071E-04
   7106.60  1.4482022E-04
   7106.80  1.8662150E-04
   7107.00  2.5998943E-03
   7107.20  4.9962838E-04
   7107.40  3.7011416E-02
   7107.60  2.1114789E-03
   7107.80  7.0659207E-03
   7108.00  2.9036941E-03
   7108.20  9.2544406E-02
   7108.40  6.1089437E-03
   7108.60  3.4966962E-03
   7108.80  1.9161059E-02
   7109.00  1.6194479E-02
   7109.20  5.0989302E-03
   7109.40  5.1133741E-03
   7109.60  5.3757650E-03
   7109.80  1.7178416E-02
   7110.00  1.1114655E-02
   7110.20  7.2324561E-02
   7110.40  1.7583873E-02
   7110.60  1.9764105E-02
   7110.80  2.6674120E-02
   7111.00  2.0797897E-02
   7111.20  2.4162394E-02
   7111.40  2.0119122E-02
   7111.60  1.0267581E-02
   7111.80  9.9216217E-03
   7112.00  1.9382815E-02
   7112.20  2.9272915E-02
   7112.40  2.5114148E-02
   7112.60  2.2084939E-02
   7112.80  1.7644297E-02
   7113.00  1.1223076E-02
   7113.20  7.5991146E-03
   7113.40  5.1540707E-03
   7113.60  3.6832425E-03
   7113.80  3.2280351E-03
   7114.00  4.2947090E-03
   7114.20  5.5578120E-03
   7114.40  2.3130038E-03
   7114.60  1.6100976E-03
   7114.80  2.1959355E-03
   7115.00  1.6205592E-03
   7115.20  1.1043338E-03
   7115.40  9.4344149E-04
   7115.60  8.7710352E-04
   7115.80  8.5237548E-04
   7116.00  8.5237575E-04
   7116.20  8.6960159E-04
   7116.40  8.9914989E-04
   7116.60  9.3645461E-04
   7116.80  9.7689794E-04
   7117.00  1.0196221E-03
   7117.20  1.0578507E-03
   7117.40  1.0946856E-03
   7117.60  1.1338476E-03
   7117.80  1.1833506E-03
   7118.00  1.2545060E-03
   7118.20  1.3577174E-03
   7118.40  1.5010746E-03
   7118.60  1.6924116E-03
   7118.80  1.9386569E-03
   7119.00  2.2427127E-03
   7119.20  2.5976116E-03
   7119.40  2.9802976E-03
   7119.60  3.3488293E-03
   7119.80  3.6483482E-03
   7120.00  3.8319738E-03
   7120.20  3.8885818E-03
   7120.40  3.8488016E-03
   7120.60  3.7620018E-03
   7120.80  3.6718475E-03
   7121.00  3.6069492E-03
   7121.20  3.5825960E-03
   7121.40  3.6060720E-03
   7121.60  3.6815950E-03
   7121.80  3.8190442E-03
   7122.00  4.0105252E-03
   7122.20  4.2646615E-03
   7122.40  4.5798451E-03
   7122.60  4.9571297E-03
   7122.80  5.4016218E-03
   7123.00  5.9234644E-03
   7123.20  6.5388396E-03
   7123.40  7.2741312E-03
   7123.60  8.1615368E-03
   7123.80  9.2490102E-03
   7124.00  1.0614128E-02
   7124.20  1.2330013E-02
   7124.40  1.4517244E-02
   7124.60  1.7336033E-02
   7124.80  2.0943060E-02
   7125.00  2.5393281E-02
   7125.20  3.0395489E-02
   7125.40  3.4909159E-02
   7125.60  3.7178143E-02
   7125.80  3.6252006E-02
   7126.00  3.2383701E-02
   7126.20  2.9809292E-02
   7126.40  2.8084177E-02
   7126.60  2.6931981E-02
   7126.80  2.6043213E-02
   7127.00  2.5538924E-02
   7127.20  2.5713216E-02
   7127.40  2.6855019E-02
   7127.60  2.9062609E-02
   7127.80  3.2230095E-02
   7128.00  3.5960064E-02
   7128.20  3.9657341E-02
   7128.40  4.2641232E-02
   7128.60  4.5042878E-02
   7128.80  4.7405279E-02
   7129.00  5.0212173E-02
   7129.20  5.3651023E-02
   7129.40  5.7666490E-02
   7129.60  6.2048144E-02
   7129.80  6.6473120E-02
   7130.00  7.0540145E-02
   7130.20  7.3853559E-02
   7130.40  7.6154331E-02
   7130.60  7.7413679E-02
   7130.80  7.7800885E-02
   7131.00  7.7566735E-02
   7131.20  7.6938178E-02
   7131.40  7.6066175E-02
   7131.60  7.5036564E-02
   7131.80  7.3882866E-02
   7132.00  7.2642069E-02
   7132.20  7.1321333E-02
   7132.40  6.9920273E-02
   7132.60  6.8430826E-02
   7132.80  6.6834627E-02
   7133.00  6.5105611E-02
   7133.20  6.3221293E-02
   7133.40  6.1191130E-02
   7133.60  5.9099354E-02
   7133.80  5.7125295E-02
   7134.00  5.5477407E-02
   7134.20  5.4267073E-02
   7134.40  5.3453944E-02
   7134.60  5.2901282E-02
   7134.80  5.2457644E-02
   7135.00  5.2004832E-02
   7135.20  5.1470640E-02
   7135.40  5.0823030E-02
   7135.60  5.0059113E-02
   7135.80  4.9194308E-02
   7136.00  4.8252144E-02
   7136.20  4.7262810E-02
   7136.40  4.6256257E-02
   7136.60  4.5258418E-02
   7136.80  4.4291010E-02
   7137.00  4.3370561E-02
   7137.20  4.2509222E-02
   7137.40  4.1716423E-02
   7137.60  4.1003551E-02
   7137.80  4.0359707E-02
   7138.00  3.9784035E-02
   7138.20  3.9274454E-02
   7138.40  3.8827702E-02
   7138.60  3.8439772E-02
   7138.80  3.8106771E-02
   7139.00  3.7824545E-02
   7139.20  3.7589071E-02
   7139.40  3.7396516E-02
   7139.60  3.7243432E-02
   7139.80  3.7126566E-02
   7140.00  3.7042974E-02
   7140.20  3.6989914E-02
   7140.40  3.6964812E-02
   7140.60  3.6965214E-02
   7140.80  3.6988659E-02
   7141.00  3.7032589E-02
   7141.20  3.7094242E-02
   7141.40  3.7170615E-02
   7141.60  3.7258400E-02
   7141.80  3.7353925E-02
   7142.00  3.7453260E-02
   7142.20  3.7542257E-02
   7142.40  3.7635845E-02
   7142.60  3.7720134E-02
   7142.80  3.7790953E-02
   7143.00  3.7844654E-02
   7143.20  3.7878362E-02
   7143.40  3.7890202E-02
   7143.60  3.7879509E-02
   7143.80  3.7846859E-02
   7144.00  3.7790229E-02
   7144.20  3.7715493E-02
   7144.40  3.7628556E-02
   7144.60  3.7532927E-02
   7144.80  3.7432200E-02
   7145.00  3.7329758E-02
   7145.20  3.7228465E-02
   7145.40  3.7130375E-02
   7145.60  3.7036606E-02
   7145.80  3.6947260E-02
   7146.00  3.6860533E-02
   7146.20  3.6776504E-02
   7146.40  3.6691890E-02
   7146.60  3.6603881E-02
   7146.80  3.6509508E-02
   7147.00  3.6405916E-02
   7147.20  3.6290526E-02
   7147.40  3.6162127E-02
   7147.60  3.6018773E-02
   7147.80  3.5858565E-02
   7148.00  3.5680781E-02
   7148.20  3.5484594E-02
   7148.40  3.5270333E-02
   7148.60  3.5037926E-02
   7148.80  3.4788123E-02
   7149.00  3.4522110E-02
   7149.20  3.4240837E-02
   7149.40  3.3945847E-02
   7149.60  3.3639256E-02
   7149.80  3.3322727E-02
   7150.00  3.2998370E-02
   7150.20  3.2668405E-02
   7150.40  3.2335369E-02
   7150.60  3.2001167E-02
   7150.80  3.1667860E-02
   7151.00  3.1337321E-02
   7151.20  3.1010739E-02
   7151.40  3.0685945E-02
   7151.60  3.0368944E-02
   7151.80  3.0061671E-02
   7152.00  2.9761618E-02
   7152.20  2.9468420E-02
   7152.40  2.9181529E-02
   7152.60  2.8899834E-02
   7152.80  2.8621912E-02
   7153.00  2.8346317E-02
   7153.20  2.8071568E-02
   7153.40  2.7796845E-02
   7153.60  2.7519463E-02
   7153.80  2.7238050E-02
   7154.00  2.6953132E-02
   7154.20  2.6662798E-02
   7154.40  2.6366269E-02
   7154.60  2.6062886E-02
   7154.80  2.5752133E-02
   7155.00  2.5433657E-02
   7155.20  2.5107642E-02
   7155.40  2.4773735E-02
   7155.60  2.4432095E-02
   7155.80  2.4083080E-02
   7156.00  2.3727286E-02
   7156.20  2.3365524E-02
   7156.40  2.2998874E-02
   7156.60  2.2628680E-02
   7156.80  2.2256834E-02
   7157.00  2.1884912E-02
   7157.20  2.1514825E-02
   7157.40  2.1148688E-02
   7157.60  2.0788641E-02
   7157.80  2.0436746E-02
   7158.00  2.0094998E-02
   7158.20  1.9765232E-02
