  7112.000   26  1  1  2.1302871E-02 -1.6154066E+00 -2.6385843E+00  1  1  7.2665698E+03  0.0000000E+00  0.0000000E+00  1.8087747E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9147478E-05
   7097.20  1.9205059E-05
   7097.40  1.9276207E-05
   7097.60  1.9362411E-05
   7097.80  1.9465893E-05
   7098.00  1.9589260E-05
   7098.20  1.9735902E-05
   7098.40  1.9910058E-05
   7098.60  2.0117798E-05
   7098.80  2.0366807E-05
   7099.00  2.0667503E-05
   7099.20  2.1034965E-05
   7099.40  2.1490771E-05
   7099.60  2.2066679E-05
   7099.80  2.2812601E-05
   7100.00  2.3810208E-05
   7100.20  2.5200880E-05
   7100.40  2.7253870E-05
   7100.60  3.0546875E-05
   7100.80  3.6562526E-05
   7101.00  5.0455357E-05
   7101.20  1.0574065E-04
   7101.40  4.7776736E-03
   7101.60  2.2672306E-04
   7101.80  8.4836920E-03
   7102.00  7.3227436E-04
   7102.20  1.5480086E-03
   7102.40  1.5427233E-04
   7102.60  7.0921444E-05
   7102.80  4.9159904E-05
   7103.00  4.1150572E-05
   7103.20  3.8750391E-05
   7103.40  4.1172099E-05
   7103.60  5.7087760E-05
   7103.80  3.1161702E-04
   7104.00  1.8832988E-04
   7104.20  6.0935001E-05
   7104.40  6.3426744E-05
   7104.60  1.3792802E-04
   7104.80  9.3669272E-03
   7105.00  2.3548896E-04
   7105.20  6.9757016E-05
   7105.40  4.8964319E-05
   7105.60  4.3802915E-05
   7105.80  4.3473080E-05
   7106.00  4.6164168E-05
   7106.20  5.3172948E-05
   7106.40  9.8633759E-05
   7106.60  9.7250119E-05
   7106.80  1.6934913E-04
   7107.00  1.3519583E-03
   7107.20  1.3005154E-02
   7107.40  2.8404650E-04
   7107.60  2.7742737E-04
   7107.80  1.9382765E-04
   7108.00  6.0809702E-03
   7108.20  3.1115146E-04
   7108.40  1.6379579E-03
   7108.60  2.8579398E-03
   7108.80  1.2672506E-02
   7109.00  7.8062775E-04
   7109.20  1.2113535E-02
   7109.40  9.3128723E-04
   7109.60  2.5099126E-04
   7109.80  3.0385821E-04
   7110.00  1.8439905E-03
   7110.20  1.1747545E-03
   7110.40  4.8364253E-02
   7110.60  2.9154782E-02
   7110.80  3.1762866E-03
   7111.00  3.6165080E-03
   7111.20  1.6468412E-02
   7111.40  1.0568356E-02
   7111.60  6.1253901E-03
   7111.80  1.2806155E-02
   7112.00  2.0248153E-02
   7112.20  2.5821124E-02
   7112.40  2.1566713E-02
   7112.60  1.6618561E-02
   7112.80  1.7118850E-02
   7113.00  2.4043645E-02
   7113.20  3.5029699E-02
   7113.40  3.4641788E-02
   7113.60  3.2052223E-02
   7113.80  3.7613074E-02
   7114.00  3.8333195E-02
   7114.20  3.4695091E-02
   7114.40  3.2563035E-02
   7114.60  2.9252491E-02
   7114.80  2.4191461E-02
   7115.00  1.9383530E-02
   7115.20  1.6278838E-02
   7115.40  1.4547116E-02
   7115.60  1.3768368E-02
   7115.80  1.3718250E-02
   7116.00  1.4331983E-02
   7116.20  1.5759717E-02
   7116.40  1.8031399E-02
   7116.60  1.9769244E-02
   7116.80  1.8466542E-02
   7117.00  1.4692069E-02
   7117.20  1.2057527E-02
   7117.40  1.0404967E-02
   7117.60  9.4359325E-03
   7117.80  8.9039919E-03
   7118.00  8.6750206E-03
   7118.20  8.6881973E-03
   7118.40  8.9155335E-03
   7118.60  9.3071994E-03
   7118.80  9.7053156E-03
   7119.00  9.8513310E-03
   7119.20  9.6517066E-03
   7119.40  9.2930175E-03
   7119.60  8.9890027E-03
   7119.80  8.8375487E-03
   7120.00  8.8496296E-03
   7120.20  9.0043163E-03
   7120.40  9.2856079E-03
   7120.60  9.6453406E-03
   7120.80  9.8935534E-03
   7121.00  9.7916447E-03
   7121.20  9.3652080E-03
   7121.40  8.8223644E-03
   7121.60  8.2979904E-03
   7121.80  7.8653801E-03
   7122.00  7.5854187E-03
   7122.20  7.4917679E-03
   7122.40  7.5713757E-03
   7122.60  7.7919062E-03
   7122.80  8.1420908E-03
   7123.00  8.6385021E-03
   7123.20  9.3144844E-03
   7123.40  1.0211464E-02
   7123.60  1.1378739E-02
   7123.80  1.2843342E-02
   7124.00  1.4619100E-02
   7124.20  1.6656119E-02
   7124.40  1.8805868E-02
   7124.60  2.0813903E-02
   7124.80  2.2391034E-02
   7125.00  2.3360000E-02
   7125.20  2.3755756E-02
   7125.40  2.3785446E-02
   7125.60  2.3702828E-02
   7125.80  2.3713503E-02
   7126.00  2.3948229E-02
   7126.20  2.4475411E-02
   7126.40  2.5320269E-02
   7126.60  2.6476860E-02
   7126.80  2.7912005E-02
   7127.00  2.9564819E-02
   7127.20  3.1407998E-02
   7127.40  3.3240793E-02
   7127.60  3.5023151E-02
   7127.80  3.6698196E-02
   7128.00  3.8179603E-02
   7128.20  3.9537644E-02
   7128.40  4.0828338E-02
   7128.60  4.2115812E-02
   7128.80  4.3453560E-02
   7129.00  4.4875034E-02
   7129.20  4.6394256E-02
   7129.40  4.7982126E-02
   7129.60  4.9715241E-02
   7129.80  5.1305763E-02
   7130.00  5.2750691E-02
   7130.20  5.4133416E-02
   7130.40  5.5357305E-02
   7130.60  5.6405545E-02
