  7112.000   26  1  1  1.9859711E-02 -2.4928463E+00 -1.3603947E+00  1  1  7.2657187E+03  0.0000000E+00  0.0000000E+00  3.2129109E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.7647348E-04
   7097.20  1.3890658E-01
   7097.40  3.8481469E-04
   7097.60  1.1206478E-04
   7097.80  6.2045847E-05
   7098.00  4.4914942E-05
   7098.20  3.7384488E-05
   7098.40  3.3762165E-05
   7098.60  3.2169987E-05
   7098.80  3.1937652E-05
   7099.00  3.2951800E-05
   7099.20  3.5579340E-05
   7099.40  4.1071292E-05
   7099.60  5.3485741E-05
   7099.80  9.2472971E-05
   7100.00  5.9722534E-04
   7100.20  8.4614455E-04
   7100.40  3.8060616E-03
   7100.60  1.9665776E-03
   7100.80  1.3373078E-04
   7101.00  7.4270221E-05
   7101.20  1.9731165E-04
   7101.40  5.1302595E-05
   7101.60  5.6917877E-05
   7101.80  8.6246822E-05
   7102.00  4.0007632E-04
   7102.20  5.3328418E-04
   7102.40  1.4248434E-02
   7102.60  2.1710779E-04
   7102.80  1.3467303E-03
   7103.00  2.7284417E-02
   7103.20  1.4752425E-04
   7103.40  9.3789606E-05
   7103.60  1.3775128E-04
   7103.80  2.1537330E-04
   7104.00  3.2977525E-04
   7104.20  2.1252008E-02
   7104.40  5.0021173E-04
   7104.60  5.2411270E-04
   7104.80  1.4600386E-04
   7105.00  5.6966010E-04
   7105.20  7.3787832E-04
   7105.40  1.3199683E-04
   7105.60  1.0628401E-04
   7105.80  1.9950151E-04
   7106.00  1.6145874E-03
   7106.20  7.4212840E-04
   7106.40  1.0717567E-02
   7106.60  4.4919825E-04
   7106.80  1.9149631E-03
   7107.00  1.2844943E-03
   7107.20  1.0366586E-02
   7107.40  2.9645474E-02
   7107.60  8.2189675E-04
   7107.80  3.5744612E-04
   7108.00  7.5039457E-03
   7108.20  3.0732941E-03
   7108.40  6.4495238E-04
   7108.60  1.3604707E-03
   7108.80  4.8143461E-03
   7109.00  3.2470663E-03
   7109.20  6.8681924E-03
   7109.40  1.1295508E-02
   7109.60  8.3093770E-04
   7109.80  5.1790543E-04
   7110.00  2.6243076E-02
   7110.20  1.5070828E-02
   7110.40  7.0784548E-03
   7110.60  6.9344434E-03
   7110.80  8.0461663E-03
   7111.00  1.9920069E-02
   7111.20  1.3076376E-02
   7111.40  1.7595565E-02
   7111.60  2.6868079E-02
   7111.80  3.0312672E-02
   7112.00  1.7292284E-02
   7112.20  1.6298027E-02
   7112.40  2.4712239E-02
   7112.60  4.3577642E-02
   7112.80  5.1228588E-02
   7113.00  9.7217902E-02
   7113.20  3.0138134E-02
   7113.40  1.6793448E-02
   7113.60  1.1303352E-02
   7113.80  7.1842437E-03
   7114.00  4.8038354E-03
   7114.20  3.5893453E-03
   7114.40  2.9561773E-03
   7114.60  2.7172244E-03
   7114.80  3.0064803E-03
   7115.00  4.5235737E-03
   7115.20  9.3876771E-03
   7115.40  1.8567865E-02
   7115.60  2.2783753E-02
   7115.80  1.5737234E-02
   7116.00  1.0007515E-02
   7116.20  7.2390243E-03
   7116.40  6.0534863E-03
   7116.60  5.2565480E-03
   7116.80  4.1306566E-03
   7117.00  3.2426445E-03
   7117.20  2.8463882E-03
   7117.40  2.7752191E-03
   7117.60  2.9303028E-03
   7117.80  3.2650859E-03
   7118.00  3.6801960E-03
   7118.20  3.9484009E-03
   7118.40  4.0209642E-03
   7118.60  4.0287011E-03
   7118.80  4.0898679E-03
   7119.00  4.1731546E-03
   7119.20  4.2299522E-03
   7119.40  4.2726222E-03
   7119.60  4.2132917E-03
   7119.80  4.1350110E-03
   7120.00  4.1951559E-03
   7120.20  4.2933189E-03
   7120.40  4.2383110E-03
   7120.60  4.0741763E-03
   7120.80  3.9809781E-03
   7121.00  3.9238917E-03
   7121.20  3.7764117E-03
   7121.40  3.7374061E-03
