  7112.000   26  1  1  2.4762729E-02 -1.9076557E+00 -1.9283302E+00  1  1  7.2659628E+03  0.0000000E+00  0.0000000E+00  2.7718151E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  9.4717196E-05
   7097.20  5.2382314E-05
   7097.40  3.9662306E-05
   7097.60  3.4855838E-05
   7097.80  3.3486445E-05
   7098.00  3.4760479E-05
   7098.20  4.0414177E-05
   7098.40  6.1644452E-05
   7098.60  2.6447130E-04
   7098.80  6.1495906E-04
   7099.00  7.9208928E-05
   7099.20  6.0278426E-05
   7099.40  1.9369007E-04
   7099.60  1.8465858E-04
   7099.80  5.1289691E-05
   7100.00  4.1897439E-05
   7100.20  4.1962558E-05
   7100.40  4.6153782E-05
   7100.60  5.5553021E-05
   7100.80  7.7114495E-05
   7101.00  1.5717616E-04
   7101.20  1.3671783E-03
   7101.40  2.5987965E-03
   7101.60  1.6264508E-02
   7101.80  2.5687677E-03
   7102.00  1.8632854E-04
   7102.20  1.9501557E-04
   7102.40  4.3141221E-02
   7102.60  1.6469747E-04
   7102.80  8.8084100E-05
   7103.00  7.2262318E-05
   7103.20  1.1723889E-04
   7103.40  3.1795319E-04
   7103.60  1.6472594E-04
   7103.80  2.0580163E-04
   7104.00  2.3558878E-04
   7104.20  1.1458710E-04
   7104.40  8.2283286E-05
   7104.60  1.0480357E-04
   7104.80  1.5789131E-04
   7105.00  1.9907714E-04
   7105.20  2.2743011E-03
   7105.40  2.1789571E-03
   7105.60  1.6129342E-03
   7105.80  2.1130504E-03
   7106.00  6.0520138E-02
   7106.20  1.8184335E-03
   7106.40  5.2056484E-04
   7106.60  2.1666166E-03
   7106.80  4.8643424E-04
   7107.00  5.1695991E-03
   7107.20  2.9223143E-04
   7107.40  3.1076236E-04
   7107.60  2.5808233E-03
   7107.80  5.7845067E-03
   7108.00  5.6150173E-04
   7108.20  8.1384339E-04
   7108.40  3.2744184E-03
   7108.60  2.4738565E-02
   7108.80  1.6828080E-02
   7109.00  8.7009376E-04
   7109.20  1.8040068E-03
   7109.40  8.9705584E-03
   7109.60  1.7089037E-03
   7109.80  5.3165503E-03
   7110.00  2.3136676E-03
