  7112.000   26  1  1  1.0164071E-01 -2.3519067E+00 -2.5888712E+00  1  1  7.2664078E+03  0.0000000E+00  0.0000000E+00  3.2687695E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2968547E-05
   7097.20  2.3376686E-05
   7097.40  2.3864728E-05
   7097.60  2.4455804E-05
   7097.80  2.5186420E-05
   7098.00  2.6113004E-05
   7098.20  2.7329996E-05
   7098.40  2.9009945E-05
   7098.60  3.1501036E-05
   7098.80  3.5619267E-05
   7099.00  4.3759084E-05
   7099.20  6.6262876E-05
   7099.40  2.1901163E-04
   7099.60  1.0509991E-03
   7099.80  2.8925503E-02
   7100.00  1.3330099E-04
   7100.20  7.2432081E-05
   7100.40  6.9190575E-05
   7100.60  1.1210736E-04
   7100.80  1.2508117E-04
   7101.00  2.2565892E-04
   7101.20  1.3915895E-03
   7101.40  1.9798641E-03
   7101.60  5.7213539E-02
   7101.80  3.7703585E-04
   7102.00  1.9834702E-04
   7102.20  3.8967400E-04
   7102.40  1.9369736E-03
   7102.60  1.6670315E-03
   7102.80  5.0792898E-04
   7103.00  2.1547478E-04
   7103.20  4.6523302E-04
   7103.40  2.6558689E-03
   7103.60  1.8801407E-03
   7103.80  5.5343434E-03
   7104.00  5.5707762E-04
   7104.20  8.6973823E-04
   7104.40  6.7623585E-03
   7104.60  1.5764927E-03
   7104.80  2.0009108E-02
   7105.00  6.2330157E-04
   7105.20  2.0464757E-04
   7105.40  1.3431250E-04
   7105.60  1.2246959E-04
   7105.80  1.8585241E-04
   7106.00  9.7390691E-03
   7106.20  5.0218428E-04
   7106.40  3.3193028E-04
   7106.60  1.5731581E-03
   7106.80  1.7373317E-02
   7107.00  2.0743306E-03
   7107.20  3.2828664E-03
   7107.40  5.1217603E-04
   7107.60  2.6184676E-04
   7107.80  4.3959075E-04
   7108.00  1.5411540E-02
   7108.20  1.0950486E-02
   7108.40  8.8162374E-04
   7108.60  4.0602708E-03
   7108.80  4.1612705E-02
   7109.00  8.0303510E-03
   7109.20  1.0680922E-03
   7109.40  1.3893753E-03
   7109.60  2.0534870E-03
   7109.80  6.1978807E-03
   7110.00  1.8473517E-03
   7110.20  2.7733726E-03
   7110.40  2.6181528E-02
   7110.60  2.5800373E-02
   7110.80  3.3871352E-02
   7111.00  5.7465760E-02
   7111.20  4.6568171E-02
   7111.40  3.6029431E-02
   7111.60  2.5427720E-02
   7111.80  2.4942156E-02
   7112.00  3.1105706E-02
   7112.20  3.3239214E-02
   7112.40  3.9931317E-02
   7112.60  4.9503862E-02
   7112.80  4.2212733E-02
   7113.00  3.3240649E-02
   7113.20  2.9434001E-02
   7113.40  2.7441339E-02
   7113.60  2.4730393E-02
   7113.80  2.0312299E-02
   7114.00  1.5099171E-02
   7114.20  1.1503447E-02
   7114.40  9.2290576E-03
   7114.60  8.2452864E-03
   7114.80  7.7741061E-03
   7115.00  7.6579555E-03
   7115.20  7.7824584E-03
   7115.40  7.9573703E-03
   7115.60  7.8903259E-03
   7115.80  7.4580156E-03
   7116.00  6.8188560E-03
   7116.20  6.2440546E-03
   7116.40  5.8547360E-03
   7116.60  5.6666716E-03
   7116.80  5.6638652E-03
   7117.00  5.8336767E-03
   7117.20  6.1604539E-03
   7117.40  6.5883472E-03
   7117.60  7.0136065E-03
   7117.80  7.3939847E-03
   7118.00  7.7729777E-03
   7118.20  8.0804857E-03
   7118.40  8.1432358E-03
   7118.60  8.0403373E-03
   7118.80  8.0655994E-03
   7119.00  8.4323965E-03
