  7112.000   26  1  1  2.6131649E-02 -1.0965436E+00 -1.0898645E+00  1  1  7.2656683E+03  0.0000000E+00  0.0000000E+00  2.1985121E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.6403360E-04
   7097.20  9.9225714E-05
   7097.40  7.4501369E-05
   7097.60  7.4911080E-05
   7097.80  9.5111458E-05
   7098.00  1.6561790E-04
   7098.20  5.9914943E-04
   7098.40  1.3826935E-02
   7098.60  2.4874984E-03
   7098.80  9.2137421E-04
   7099.00  1.8176705E-04
   7099.20  9.1143900E-05
   7099.40  6.1458237E-05
   7099.60  4.7827337E-05
   7099.80  4.0428102E-05
   7100.00  3.5999312E-05
   7100.20  3.3197812E-05
   7100.40  3.1377974E-05
   7100.60  3.0215233E-05
   7100.80  2.9536513E-05
   7101.00  2.9261860E-05
   7101.20  2.9383631E-05
   7101.40  2.9996730E-05
   7101.60  3.1452342E-05
   7101.80  3.5570936E-05
   7102.00  2.6295633E-04
   7102.20  5.1940478E-05
   7102.40  6.3052786E-05
   7102.60  1.6740732E-04
   7102.80  3.5446568E-02
   7103.00  1.5748201E-04
   7103.20  9.5111017E-04
   7103.40  5.9223192E-05
   7103.60  1.0278597E-04
   7103.80  7.8924857E-04
   7104.00  5.5950882E-05
   7104.20  6.6481901E-05
   7104.40  7.6449541E-05
   7104.60  2.0771758E-04
   7104.80  3.5341446E-04
   7105.00  1.9522270E-04
   7105.20  8.3430167E-04
   7105.40  5.8875432E-04
   7105.60  1.0008968E-03
   7105.80  3.0055493E-04
   7106.00  6.6074085E-02
   7106.20  3.6811070E-04
   7106.40  6.6966118E-04
   7106.60  3.0271425E-02
   7106.80  4.5598165E-04
   7107.00  3.3806399E-03
   7107.20  2.2239589E-04
   7107.40  3.1416800E-04
   7107.60  1.1299830E-02
   7107.80  4.1313818E-04
   7108.00  2.0222238E-03
   7108.20  1.5308614E-02
   7108.40  2.0531202E-03
   7108.60  4.4900341E-02
   7108.80  1.9870834E-01
   7109.00  2.4318308E-03
   7109.20  1.4038366E-02
   7109.40  8.0334244E-03
   7109.60  1.8479501E-03
   7109.80  3.6080916E-02
   7110.00  5.8910341E-02
   7110.20  1.9664010E-02
   7110.40  1.4090905E-03
   7110.60  2.7239471E-03
   7110.80  2.2314435E-03
   7111.00  4.5959599E-03
   7111.20  1.9479413E-03
   7111.40  1.0141847E-02
   7111.60  5.5968435E-03
   7111.80  2.6190904E-03
   7112.00  5.0035663E-03
   7112.20  5.7765428E-03
   7112.40  5.3789097E-03
   7112.60  1.6248233E-02
   7112.80  2.6725418E-03
   7113.00  4.6370582E-03
   7113.20  3.8930508E-03
   7113.40  3.2689788E-03
   7113.60  3.1843558E-03
   7113.80  3.3646060E-03
   7114.00  2.1112125E-03
   7114.20  1.5713341E-03
   7114.40  1.3796870E-03
   7114.60  1.2708980E-03
   7114.80  1.2067376E-03
   7115.00  1.1667910E-03
   7115.20  1.1414783E-03
   7115.40  1.1270330E-03
   7115.60  1.1217789E-03
   7115.80  1.1026316E-03
   7116.00  1.1166092E-03
   7116.20  1.1394376E-03
   7116.40  1.1723953E-03
   7116.60  1.2176432E-03
   7116.80  1.2786262E-03
   7117.00  1.3606321E-03
   7117.20  1.4710288E-03
   7117.40  1.6168104E-03
   7117.60  1.7920844E-03
   7117.80  1.9523561E-03
   7118.00  2.0297441E-03
   7118.20  2.0297800E-03
   7118.40  2.0238522E-03
   7118.60  2.0536677E-03
   7118.80  2.1225180E-03
   7119.00  2.2202010E-03
   7119.20  2.3362198E-03
   7119.40  2.4691378E-03
   7119.60  2.6315609E-03
   7119.80  2.8402045E-03
   7120.00  3.1043387E-03
   7120.20  3.4278700E-03
   7120.40  3.8158607E-03
   7120.60  4.2777748E-03
   7120.80  4.8286299E-03
   7121.00  5.4899942E-03
   7121.20  6.2914299E-03
   7121.40  7.2735497E-03
   7121.60  8.4920257E-03
   7121.80  1.0003385E-02
   7122.00  1.1875776E-02
   7122.20  1.4189899E-02
   7122.40  1.7055621E-02
   7122.60  2.0590723E-02
   7122.80  2.4801371E-02
   7123.00  2.9431535E-02
   7123.20  3.3959676E-02
   7123.40  3.7864915E-02
   7123.60  4.1124360E-02
   7123.80  4.3684388E-02
   7124.00  4.6058358E-02
   7124.20  4.8388145E-02
   7124.40  5.0425053E-02
   7124.60  5.1355166E-02
   7124.80  5.0753519E-02
   7125.00  4.9802910E-02
   7125.20  5.0087807E-02
   7125.40  5.1658974E-02
   7125.60  5.4557681E-02
   7125.80  5.8125952E-02
   7126.00  6.1445278E-02
   7126.20  6.2896115E-02
   7126.40  6.1710107E-02
   7126.60  5.8662064E-02
   7126.80  5.5374824E-02
   7127.00  5.2988769E-02
   7127.20  5.1791168E-02
   7127.40  5.1479220E-02
   7127.60  5.1623015E-02
   7127.80  5.1813195E-02
   7128.00  5.1675504E-02
   7128.20  5.0997440E-02
   7128.40  4.9802061E-02
   7128.60  4.8276190E-02
   7128.80  4.6646488E-02
   7129.00  4.5088335E-02
   7129.20  4.3702203E-02
   7129.40  4.2530197E-02
   7129.60  4.1581070E-02
   7129.80  4.0870571E-02
   7130.00  4.0422872E-02
   7130.20  4.0262514E-02
   7130.40  4.0413898E-02
   7130.60  4.0892908E-02
   7130.80  4.1695966E-02
   7131.00  4.2789313E-02
   7131.20  4.4102691E-02
   7131.40  4.5528812E-02
   7131.60  4.6936725E-02
   7131.80  4.8193444E-02
   7132.00  4.9189034E-02
   7132.20  4.9854923E-02
   7132.40  5.0169567E-02
   7132.60  5.0151914E-02
   7132.80  4.9850374E-02
   7133.00  4.9332108E-02
   7133.20  4.8674852E-02
   7133.40  4.7961580E-02
   7133.60  4.7274200E-02
   7133.80  4.6687046E-02
   7134.00  4.6256291E-02
   7134.20  4.5991470E-02
   7134.40  4.5843616E-02
   7134.60  4.5765474E-02
   7134.80  4.5712523E-02
   7135.00  4.5641274E-02
   7135.20  4.5518765E-02
   7135.40  4.5333522E-02
   7135.60  4.5095814E-02
   7135.80  4.4829831E-02
   7136.00  4.4562978E-02
   7136.20  4.4315865E-02
   7136.40  4.4096071E-02
   7136.60  4.3894879E-02
   7136.80  4.3688140E-02
   7137.00  4.3441137E-02
   7137.20  4.3116304E-02
   7137.40  4.2682124E-02
   7137.60  4.2120800E-02
   7137.80  4.1432394E-02
   7138.00  4.0633051E-02
