  7112.000   26  1  1  1.0901193E-02 -2.9333202E+00 -1.5370015E+00  1  1  7.2654050E+03  0.0000000E+00  0.0000000E+00  2.7854898E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0293257E-05
   7097.20  2.0449617E-05
   7097.40  2.0666988E-05
   7097.60  2.0971627E-05
   7097.80  2.1411882E-05
   7098.00  2.2083347E-05
   7098.20  2.3198150E-05
   7098.40  2.5313635E-05
   7098.60  3.0333646E-05
   7098.80  4.8826838E-05
   7099.00  3.3218041E-04
   7099.20  1.8940636E-04
   7099.40  4.5627900E-05
   7099.60  3.3540605E-05
   7099.80  3.8313216E-05
   7100.00  7.2677202E-04
   7100.20  3.8346093E-05
   7100.40  4.7126977E-05
   7100.60  1.1324613E-03
   7100.80  6.9612529E-05
   7101.00  7.4061069E-05
   7101.20  2.5004454E-04
   7101.40  3.9551546E-03
   7101.60  1.3037540E-04
   7101.80  5.7074317E-05
   7102.00  4.2403016E-05
   7102.20  3.9895951E-05
   7102.40  4.6610648E-05
   7102.60  9.3507923E-05
   7102.80  2.4257438E-02
   7103.00  1.1127684E-04
   7103.20  9.2187519E-04
   7103.40  4.6448200E-04
   7103.60  9.0909568E-05
   7103.80  2.6813161E-04
   7104.00  8.1101354E-05
   7104.20  2.0118449E-03
   7104.40  9.3308086E-05
   7104.60  9.3169152E-05
   7104.80  1.5748273E-02
   7105.00  9.4080069E-05
   7105.20  3.5935856E-04
   7105.40  6.0550547E-05
   7105.60  8.4925412E-05
   7105.80  2.1188326E-03
   7106.00  6.4641211E-04
   7106.20  1.3075116E-04
   7106.40  1.1200622E-04
   7106.60  5.9630886E-04
   7106.80  1.9642730E-04
   7107.00  3.0552414E-04
   7107.20  1.6559904E-03
   7107.40  1.2107538E-03
   7107.60  3.1947185E-02
   7107.80  1.4935669E-03
   7108.00  5.1702315E-04
   7108.20  3.9524111E-04
   7108.40  5.2172872E-03
   7108.60  1.3811532E-03
   7108.80  4.0045209E-04
   7109.00  3.3189626E-03
   7109.20  8.4102872E-02
   7109.40  3.0225957E-03
   7109.60  4.3635300E-02
   7109.80  1.6011159E-02
   7110.00  2.1800144E-02
   7110.20  1.2765022E-02
   7110.40  1.1900832E-02
   7110.60  1.0025412E-02
   7110.80  7.7230103E-03
   7111.00  5.3787125E-03
   7111.20  8.9639847E-03
   7111.40  7.5159729E-03
   7111.60  8.7586235E-03
   7111.80  1.0137331E-02
   7112.00  1.4619205E-02
   7112.20  1.3516378E-02
   7112.40  2.2926185E-02
   7112.60  3.9877846E-02
   7112.80  3.3512368E-02
   7113.00  2.8819225E-02
   7113.20  4.3472465E-02
   7113.40  4.7385528E-02
   7113.60  3.2866130E-02
   7113.80  2.9370373E-02
   7114.00  3.7183822E-02
   7114.20  5.7688872E-02
   7114.40  6.5186553E-02
   7114.60  4.9942414E-02
   7114.80  3.2387977E-02
   7115.00  2.1364673E-02
   7115.20  1.5432795E-02
   7115.40  1.2137654E-02
   7115.60  1.0266415E-02
   7115.80  9.2285542E-03
   7116.00  9.1360103E-03
   7116.20  9.8442643E-03
   7116.40  1.1120208E-02
   7116.60  1.2457348E-02
   7116.80  1.3800985E-02
   7117.00  1.5170088E-02
   7117.20  1.5521389E-02
   7117.40  1.4584371E-02
   7117.60  1.3369427E-02
   7117.80  1.2368605E-02
   7118.00  1.1487080E-02
   7118.20  1.0614884E-02
   7118.40  9.8778340E-03
   7118.60  9.3229905E-03
   7118.80  8.7896133E-03
   7119.00  8.2023145E-03
   7119.20  7.6632222E-03
   7119.40  7.2660922E-03
   7119.60  7.0096847E-03
   7119.80  6.8618951E-03
   7120.00  6.8215495E-03
   7120.20  6.8982959E-03
   7120.40  6.9755353E-03
   7120.60  6.8656036E-03
   7120.80  6.6236894E-03
   7121.00  6.3903830E-03
   7121.20  6.2653491E-03
   7121.40  6.2958574E-03
   7121.60  6.4242852E-03
   7121.80  6.5036401E-03
   7122.00  6.5268763E-03
   7122.20  6.6272456E-03
   7122.40  6.8042933E-03
   7122.60  7.0189792E-03
   7122.80  7.2137600E-03
   7123.00  7.3110457E-03
   7123.20  7.3430036E-03
   7123.40  7.4247247E-03
   7123.60  7.5936528E-03
   7123.80  7.8469250E-03
   7124.00  8.1722747E-03
   7124.20  8.5413239E-03
   7124.40  8.9418926E-03
   7124.60  9.3955256E-03
   7124.80  9.9166979E-03
   7125.00  1.0482282E-02
   7125.20  1.1052990E-02
   7125.40  1.1626080E-02
   7125.60  1.2258221E-02
   7125.80  1.3011267E-02
   7126.00  1.3818932E-02
   7126.20  1.4455413E-02
   7126.40  1.4786690E-02
   7126.60  1.5080224E-02
   7126.80  1.5518744E-02
   7127.00  1.6177789E-02
   7127.20  1.7099055E-02
   7127.40  1.8302449E-02
   7127.60  1.9744268E-02
   7127.80  2.1250726E-02
   7128.00  2.2563932E-02
   7128.20  2.3451493E-02
   7128.40  2.4006089E-02
   7128.60  2.4406387E-02
   7128.80  2.4879064E-02
   7129.00  2.5756997E-02
   7129.20  2.7084921E-02
   7129.40  2.8938386E-02
   7129.60  3.1405800E-02
   7129.80  3.4551642E-02
   7130.00  3.8325453E-02
   7130.20  4.2458542E-02
   7130.40  4.6415875E-02
   7130.60  4.9578361E-02
   7130.80  5.1625040E-02
   7131.00  5.2680941E-02
   7131.20  5.3097925E-02
   7131.40  5.3306792E-02
   7131.60  5.3668798E-02
   7131.80  5.4292730E-02
   7132.00  5.5133740E-02
   7132.20  5.6163381E-02
   7132.40  5.7420600E-02
   7132.60  5.8963152E-02
   7132.80  6.0801998E-02
   7133.00  6.2878044E-02
   7133.20  6.5086629E-02
   7133.40  6.7310705E-02
   7133.60  6.9435078E-02
   7133.80  7.1344304E-02
   7134.00  7.2910169E-02
   7134.20  7.3982649E-02
   7134.40  7.4397161E-02
   7134.60  7.4021732E-02
   7134.80  7.2831271E-02
   7135.00  7.0932090E-02
   7135.20  6.8497586E-02
   7135.40  6.5696928E-02
   7135.60  6.2692270E-02
   7135.80  5.9599277E-02
   7136.00  5.6505953E-02
   7136.20  5.3477634E-02
   7136.40  5.0558235E-02
   7136.60  4.7771785E-02
   7136.80  4.5128269E-02
   7137.00  4.2631105E-02
   7137.20  4.0281833E-02
   7137.40  3.8083540E-02
   7137.60  3.6040715E-02
   7137.80  3.4159103E-02
   7138.00  3.2445831E-02
   7138.20  3.0907800E-02
   7138.40  2.9552299E-02
   7138.60  2.8385256E-02
   7138.80  2.7410753E-02
   7139.00  2.6630614E-02
   7139.20  2.6043392E-02
   7139.40  2.5643986E-02
   7139.60  2.5422643E-02
   7139.80  2.5363820E-02
   7140.00  2.5445674E-02
   7140.20  2.5640367E-02
   7140.40  2.5915707E-02
   7140.60  2.6238382E-02
   7140.80  2.6577953E-02
   7141.00  2.6910137E-02
   7141.20  2.7219285E-02
   7141.40  2.7498834E-02
   7141.60  2.7750153E-02
   7141.80  2.7979668E-02
   7142.00  2.8197353E-02
   7142.20  2.8417778E-02
   7142.40  2.8649660E-02
   7142.60  2.8899460E-02
   7142.80  2.9174155E-02
   7143.00  2.9478640E-02
   7143.20  2.9815734E-02
   7143.40  3.0186228E-02
   7143.60  3.0588642E-02
   7143.80  3.1019669E-02
   7144.00  3.1474089E-02
   7144.20  3.1945387E-02
   7144.40  3.2426013E-02
   7144.60  3.2907973E-02
   7144.80  3.3383012E-02
   7145.00  3.3843594E-02
   7145.20  3.4282610E-02
   7145.40  3.4694328E-02
   7145.60  3.5074440E-02
   7145.80  3.5420108E-02
   7146.00  3.5729736E-02
   7146.20  3.6002960E-02
   7146.40  3.6236020E-02
