  7112.000   26  1  1  8.9905582E-02 -1.9438216E+00 -1.1109183E+00  1  1  7.2653846E+03  0.0000000E+00  0.0000000E+00  2.4238949E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.9101081E-05
   7097.20  2.6393913E-05
   7097.40  2.4736767E-05
   7097.60  2.3665515E-05
   7097.80  2.2953483E-05
   7098.00  2.2480691E-05
   7098.20  2.2181190E-05
   7098.40  2.2019560E-05
   7098.60  2.1981148E-05
   7098.80  2.2069099E-05
   7099.00  2.2308697E-05
   7099.20  2.2760980E-05
   7099.40  2.3562338E-05
   7099.60  2.5040313E-05
   7099.80  2.8127667E-05
   7100.00  3.6455202E-05
   7100.20  7.7659988E-05
   7100.40  1.7836371E-02
   7100.60  3.2076516E-04
   7100.80  9.0044524E-05
   7101.00  3.6619362E-05
   7101.20  2.9369281E-05
   7101.40  2.7200688E-05
   7101.60  2.6629969E-05
   7101.80  2.6900663E-05
   7102.00  2.7908320E-05
   7102.20  3.0036816E-05
   7102.40  3.5350789E-05
   7102.60  7.3198298E-05
   7102.80  1.1877797E-04
   7103.00  6.5607011E-05
   7103.20  3.2875274E-04
   7103.40  2.7361731E-03
   7103.60  1.7964017E-04
   7103.80  1.5528360E-04
   7104.00  6.6534194E-04
   7104.20  1.8195754E-03
   7104.40  1.7217497E-04
   7104.60  9.0846840E-05
   7104.80  1.1239962E-04
   7105.00  1.5116253E-04
   7105.20  1.4263602E-04
   7105.40  3.2025564E-04
   7105.60  5.4089218E-02
   7105.80  3.0902296E-04
   7106.00  2.2122189E-04
   7106.20  7.6192197E-04
   7106.40  1.1136391E-02
   7106.60  3.1967534E-04
   7106.80  1.3735683E-04
   7107.00  1.3370667E-04
   7107.20  2.6974611E-04
   7107.40  1.4201628E-04
   7107.60  6.0476179E-04
   7107.80  6.5225191E-04
   7108.00  1.1356887E-03
   7108.20  4.3309600E-03
   7108.40  6.9651187E-04
   7108.60  3.7473383E-02
   7108.80  2.6149243E-03
   7109.00  8.0912092E-04
   7109.20  1.5858461E-02
   7109.40  2.6656269E-04
   7109.60  9.3063797E-03
   7109.80  2.1273733E-03
   7110.00  1.2633485E-03
   7110.20  3.8794512E-03
   7110.40  2.5293090E-03
   7110.60  4.9659468E-02
   7110.80  2.3861414E-03
   7111.00  6.4625877E-03
   7111.20  3.8826083E-03
   7111.40  8.2847989E-03
   7111.60  7.2452706E-03
   7111.80  1.5451476E-02
   7112.00  3.3675549E-02
   7112.20  2.5094346E-02
   7112.40  1.8187022E-02
   7112.60  1.1464469E-02
   7112.80  1.6272835E-02
   7113.00  2.7466730E-02
   7113.20  2.0158653E-02
   7113.40  1.0230348E-02
   7113.60  6.4227651E-03
   7113.80  4.6708392E-03
   7114.00  3.7125014E-03
   7114.20  3.1306044E-03
   7114.40  2.7034922E-03
   7114.60  2.4664201E-03
   7114.80  2.3106191E-03
   7115.00  2.2135337E-03
   7115.20  2.1616519E-03
   7115.40  2.1461523E-03
   7115.60  2.1630038E-03
   7115.80  2.2099616E-03
   7116.00  2.2866560E-03
   7116.20  2.3944558E-03
   7116.40  2.5365526E-03
   7116.60  2.7183114E-03
   7116.80  2.9478897E-03
   7117.00  3.2373051E-03
   7117.20  3.6041122E-03
   7117.40  4.0740483E-03
   7117.60  4.6852597E-03
   7117.80  5.4949765E-03
   7118.00  6.5900793E-03
   7118.20  8.1016998E-03
   7118.40  1.0229404E-02
   7118.60  1.3260291E-02
   7118.80  1.7549241E-02
   7119.00  2.3371932E-02
   7119.20  3.0561378E-02
   7119.40  3.8077112E-02
   7119.60  4.4026081E-02
   7119.80  4.6827601E-02
   7120.00  4.6181072E-02
   7120.20  4.3431634E-02
   7120.40  4.0027130E-02
   7120.60  3.6919179E-02
   7120.80  3.4569235E-02
   7121.00  3.3154499E-02
   7121.20  3.2619619E-02
   7121.40  3.2469526E-02
   7121.60  3.2507294E-02
   7121.80  3.2687429E-02
   7122.00  3.2636479E-02
   7122.20  3.1752835E-02
   7122.40  3.0591748E-02
   7122.60  2.9754952E-02
   7122.80  2.9304847E-02
   7123.00  2.9159209E-02
   7123.20  2.9221608E-02
   7123.40  2.9404070E-02
   7123.60  2.9637962E-02
   7123.80  2.9912568E-02
   7124.00  3.0311381E-02
   7124.20  3.0999627E-02
   7124.40  3.2166270E-02
   7124.60  3.3962422E-02
   7124.80  3.6437610E-02
   7125.00  3.9474668E-02
   7125.20  4.2823859E-02
   7125.40  4.6252280E-02
   7125.60  4.9623944E-02
   7125.80  5.2836810E-02
   7126.00  5.5709659E-02
   7126.20  5.7938230E-02
   7126.40  5.9199712E-02
   7126.60  5.9347877E-02
   7126.80  5.8361590E-02
   7127.00  5.6416400E-02
   7127.20  5.4015219E-02
   7127.40  5.1389265E-02
   7127.60  4.8753374E-02
   7127.80  4.6251240E-02
   7128.00  4.3972680E-02
   7128.20  4.1966690E-02
   7128.40  4.0248583E-02
   7128.60  3.8807225E-02
   7128.80  3.7613994E-02
   7129.00  3.6632402E-02
   7129.20  3.5850543E-02
   7129.40  3.5186593E-02
   7129.60  3.4637825E-02
   7129.80  3.4182356E-02
   7130.00  3.3802555E-02
   7130.20  3.3484408E-02
   7130.40  3.3216826E-02
   7130.60  3.2990749E-02
   7130.80  3.2801373E-02
   7131.00  3.2642449E-02
   7131.20  3.2511253E-02
   7131.40  3.2406425E-02
   7131.60  3.2328201E-02
   7131.80  3.2278203E-02
   7132.00  3.2258934E-02
   7132.20  3.2273188E-02
   7132.40  3.2323715E-02
   7132.60  3.2412307E-02
   7132.80  3.2539336E-02
   7133.00  3.2703257E-02
   7133.20  3.2900206E-02
   7133.40  3.3123641E-02
   7133.60  3.3364680E-02
   7133.80  3.3612295E-02
   7134.00  3.3853611E-02
   7134.20  3.4074433E-02
   7134.40  3.4259790E-02
   7134.60  3.4391298E-02
   7134.80  3.4459808E-02
   7135.00  3.4449677E-02
   7135.20  3.4350781E-02
   7135.40  3.4157024E-02
   7135.60  3.3867648E-02
   7135.80  3.3488157E-02
   7136.00  3.3030693E-02
   7136.20  3.2520911E-02
   7136.40  3.1973712E-02
   7136.60  3.1412269E-02
   7136.80  3.0859687E-02
   7137.00  3.0336816E-02
   7137.20  2.9860495E-02
   7137.40  2.9442686E-02
   7137.60  2.9090396E-02
   7137.80  2.8806403E-02
   7138.00  2.8590362E-02
   7138.20  2.8440145E-02
   7138.40  2.8352992E-02
   7138.60  2.8326049E-02
   7138.80  2.8356519E-02
   7139.00  2.8441183E-02
   7139.20  2.8575637E-02
   7139.40  2.8754405E-02
   7139.60  2.8971162E-02
   7139.80  2.9219166E-02
   7140.00  2.9491944E-02
   7140.20  2.9783949E-02
   7140.40  3.0091018E-02
   7140.60  3.0409965E-02
   7140.80  3.0738245E-02
   7141.00  3.1073828E-02
   7141.20  3.1413917E-02
   7141.40  3.1755057E-02
   7141.60  3.2092774E-02
