  7112.000   26  1  1  2.9937070E-02 -2.3255429E+00 -1.9396078E+00  1  1  7.2663464E+03  0.0000000E+00  0.0000000E+00  2.1406283E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.2575167E-04
   7097.20  1.0658940E-04
   7097.40  1.3968213E-04
   7097.60  2.8543962E-04
   7097.80  1.8731954E-03
   7098.00  1.3236201E-02
   7098.20  5.1072397E-04
   7098.40  1.8140231E-04
   7098.60  1.2147367E-04
   7098.80  3.6191271E-04
   7099.00  2.1309209E-04
   7099.20  6.4621084E-05
   7099.40  4.6140264E-05
   7099.60  3.9167365E-05
   7099.80  3.5587836E-05
   7100.00  3.3597201E-05
   7100.20  3.2599186E-05
   7100.40  3.2432287E-05
   7100.60  3.3278486E-05
   7100.80  3.6122896E-05
   7101.00  4.6152923E-05
   7101.20  1.4516760E-04
   7101.40  2.3380566E-04
   7101.60  5.8669157E-05
   7101.80  1.9303676E-04
   7102.00  1.2982364E-04
   7102.20  3.3777079E-03
   7102.40  1.4829452E-03
   7102.60  1.0026268E-04
   7102.80  3.9848821E-04
   7103.00  8.2876167E-04
   7103.20  1.1318135E-03
   7103.40  8.3371063E-05
   7103.60  1.1374864E-04
   7103.80  3.5558304E-04
   7104.00  2.5667631E-02
   7104.20  2.6563440E-04
   7104.40  1.0866025E-04
   7104.60  8.6940721E-05
   7104.80  3.3506867E-04
   7105.00  1.1358562E-04
   7105.20  3.5356596E-04
   7105.40  5.7708669E-04
   7105.60  7.2526817E-04
   7105.80  1.1940364E-03
   7106.00  2.4528249E-04
   7106.20  3.2917316E-04
   7106.40  2.5411899E-02
   7106.60  4.8294797E-04
   7106.80  4.4538564E-04
   7107.00  1.2147411E-03
   7107.20  4.2084509E-02
   7107.40  1.0702652E-03
   7107.60  9.4071769E-04
   7107.80  8.2159975E-03
   7108.00  2.1098882E-03
   7108.20  6.0188162E-03
   7108.40  2.7365722E-03
   7108.60  1.5673456E-02
   7108.80  3.2227094E-03
   7109.00  3.4068628E-03
   7109.20  3.5788884E-02
   7109.40  1.3504925E-01
   7109.60  2.4230838E-02
   7109.80  1.0803183E-02
   7110.00  1.1476106E-01
   7110.20  1.3463941E-02
   7110.40  8.1022296E-03
   7110.60  1.9225110E-02
   7110.80  7.8553978E-03
   7111.00  5.4696174E-03
   7111.20  7.3215745E-03
   7111.40  7.5899900E-03
   7111.60  6.7282354E-03
   7111.80  1.1211107E-02
   7112.00  2.7472006E-02
   7112.20  1.4242615E-02
   7112.40  5.1355662E-03
   7112.60  4.1003365E-03
   7112.80  5.1254528E-03
   7113.00  9.3852972E-03
   7113.20  1.7620717E-02
   7113.40  1.2806003E-02
   7113.60  7.9369353E-03
   7113.80  7.9079962E-03
   7114.00  1.7061140E-02
   7114.20  6.5516278E-02
   7114.40  1.4781031E-02
   7114.60  6.0687052E-03
   7114.80  3.9238057E-03
   7115.00  2.9449148E-03
   7115.20  2.5535088E-03
   7115.40  2.3570640E-03
   7115.60  2.2765760E-03
   7115.80  2.2785087E-03
   7116.00  2.3493717E-03
   7116.20  2.4858658E-03
   7116.40  2.6902630E-03
   7116.60  2.9808727E-03
   7116.80  3.3359296E-03
   7117.00  3.7572979E-03
   7117.20  4.2198940E-03
   7117.40  4.6835826E-03
   7117.60  5.1137305E-03
   7117.80  5.5106446E-03
   7118.00  5.9145810E-03
   7118.20  6.3856063E-03
   7118.40  6.9901311E-03
   7118.60  7.8087465E-03
   7118.80  8.9572210E-03
   7119.00  1.0586553E-02
   7119.20  1.2708564E-02
   7119.40  1.4778131E-02
   7119.60  1.6199154E-02
   7119.80  1.6790178E-02
   7120.00  1.6374892E-02
   7120.20  1.5690529E-02
   7120.40  1.5319004E-02
   7120.60  1.5265949E-02
   7120.80  1.5391335E-02
   7121.00  1.5597868E-02
   7121.20  1.5869259E-02
   7121.40  1.6259543E-02
   7121.60  1.6836764E-02
   7121.80  1.7583697E-02
   7122.00  1.8374842E-02
   7122.20  1.9174279E-02
   7122.40  2.0129092E-02
   7122.60  2.1364352E-02
   7122.80  2.2892806E-02
   7123.00  2.4687357E-02
   7123.20  2.6736332E-02
   7123.40  2.9020291E-02
   7123.60  3.1444387E-02
   7123.80  3.3823313E-02
   7124.00  3.6081296E-02
   7124.20  3.7904415E-02
   7124.40  3.9454699E-02
   7124.60  4.0866946E-02
   7124.80  4.2222815E-02
   7125.00  4.3532896E-02
   7125.20  4.4721057E-02
   7125.40  4.5756525E-02
   7125.60  4.6508467E-02
   7125.80  4.6882495E-02
   7126.00  4.6802178E-02
   7126.20  4.6191122E-02
   7126.40  4.5151508E-02
   7126.60  4.3714084E-02
   7126.80  4.2041440E-02
   7127.00  4.0377280E-02
   7127.20  3.8952999E-02
   7127.40  3.7806357E-02
   7127.60  3.6872529E-02
   7127.80  3.6053486E-02
   7128.00  3.5298660E-02
   7128.20  3.4618489E-02
   7128.40  3.4075969E-02
   7128.60  3.3653308E-02
   7128.80  3.3381335E-02
   7129.00  3.3245182E-02
   7129.20  3.3221817E-02
   7129.40  3.3290894E-02
   7129.60  3.3442379E-02
   7129.80  3.3747957E-02
   7130.00  3.4087344E-02
   7130.20  3.4532680E-02
   7130.40  3.5084956E-02
   7130.60  3.5730618E-02
   7130.80  3.6442092E-02
   7131.00  3.7184184E-02
   7131.20  3.7922724E-02
   7131.40  3.8630828E-02
   7131.60  3.9291154E-02
   7131.80  3.9894294E-02
   7132.00  4.0433647E-02
   7132.20  4.0900955E-02
   7132.40  4.1281374E-02
   7132.60  4.1549962E-02
   7132.80  4.1673149E-02
   7133.00  4.1622552E-02
   7133.20  4.1408636E-02
   7133.40  4.1117141E-02
   7133.60  4.0889776E-02
   7133.80  4.0844101E-02
   7134.00  4.1019960E-02
   7134.20  4.1393979E-02
   7134.40  4.1918147E-02
   7134.60  4.2543834E-02
   7134.80  4.3227947E-02
   7135.00  4.3934493E-02
   7135.20  4.4627060E-02
   7135.40  4.5267349E-02
   7135.60  4.5822459E-02
   7135.80  4.6263179E-02
   7136.00  4.6565680E-02
   7136.20  4.6714003E-02
   7136.40  4.6701925E-02
   7136.60  4.6533564E-02
   7136.80  4.6223031E-02
   7137.00  4.5792531E-02
   7137.20  4.5269893E-02
   7137.40  4.4685663E-02
   7137.60  4.4070289E-02
   7137.80  4.3451276E-02
   7138.00  4.2851683E-02
   7138.20  4.2288911E-02
   7138.40  4.1774301E-02
   7138.60  4.1313278E-02
   7138.80  4.0906258E-02
   7139.00  4.0549642E-02
   7139.20  4.0237294E-02
   7139.40  3.9961869E-02
   7139.60  3.9715735E-02
   7139.80  3.9492122E-02
   7140.00  3.9285543E-02
   7140.20  3.9091953E-02
   7140.40  3.8908863E-02
   7140.60  3.8688734E-02
   7140.80  3.8526784E-02
   7141.00  3.8376525E-02
   7141.20  3.8235847E-02
   7141.40  3.8106355E-02
   7141.60  3.7990227E-02
   7141.80  3.7889852E-02
   7142.00  3.7807547E-02
   7142.20  3.7745403E-02
   7142.40  3.7705126E-02
   7142.60  3.7687926E-02
   7142.80  3.7694263E-02
   7143.00  3.7723859E-02
   7143.20  3.7775665E-02
   7143.40  3.7847888E-02
   7143.60  3.7937861E-02
   7143.80  3.8042260E-02
   7144.00  3.8157288E-02
   7144.20  3.8278749E-02
   7144.40  3.8402236E-02
   7144.60  3.8523991E-02
   7144.80  3.8638761E-02
   7145.00  3.8742053E-02
   7145.20  3.8829551E-02
   7145.40  3.8897694E-02
   7145.60  3.8942956E-02
   7145.80  3.8963160E-02
   7146.00  3.8955831E-02
   7146.20  3.8919743E-02
   7146.40  3.8854538E-02
   7146.60  3.8760128E-02
   7146.80  3.8637390E-02
   7147.00  3.8488134E-02
   7147.20  3.8314073E-02
   7147.40  3.8117677E-02
   7147.60  3.7901807E-02
   7147.80  3.7669060E-02
   7148.00  3.7421924E-02
   7148.20  3.7163306E-02
   7148.40  3.6895752E-02
   7148.60  3.6621556E-02
   7148.80  3.6342704E-02
   7149.00  3.6060668E-02
   7149.20  3.5776715E-02
   7149.40  3.5491829E-02
   7149.60  3.5206777E-02
   7149.80  3.4922207E-02
   7150.00  3.4638116E-02
   7150.20  3.4354400E-02
   7150.40  3.4070959E-02
   7150.60  3.3787527E-02
   7150.80  3.3503873E-02
   7151.00  3.3219701E-02
   7151.20  3.2934329E-02
   7151.40  3.2647292E-02
   7151.60  3.2358245E-02
   7151.80  3.2066637E-02
   7152.00  3.1772022E-02
   7152.20  3.1474208E-02
   7152.40  3.1172736E-02
   7152.60  3.0863256E-02
   7152.80  3.0553246E-02
   7153.00  3.0238563E-02
   7153.20  2.9919066E-02
   7153.40  2.9594617E-02
   7153.60  2.9263159E-02
   7153.80  2.8928844E-02
   7154.00  2.8589318E-02
   7154.20  2.8240740E-02
   7154.40  2.7891044E-02
   7154.60  2.7536463E-02
   7154.80  2.7177116E-02
   7155.00  2.6813586E-02
   7155.20  2.6446451E-02
   7155.40  2.6076286E-02
   7155.60  2.5703737E-02
   7155.80  2.5329260E-02
   7156.00  2.4953548E-02
   7156.20  2.4577280E-02
   7156.40  2.4201195E-02
   7156.60  2.3827085E-02
   7156.80  2.3455083E-02
   7157.00  2.3085328E-02
   7157.20  2.2718560E-02
   7157.40  2.2355310E-02
   7157.60  2.1996096E-02
   7157.80  2.1641031E-02
   7158.00  2.1291339E-02
   7158.20  2.0948064E-02
   7158.40  2.0611906E-02
   7158.60  2.0284108E-02
   7158.80  1.9966833E-02
   7159.00  1.9660948E-02
   7159.20  1.9368199E-02
   7159.40  1.9090361E-02
   7159.60  1.8829682E-02
   7159.80  1.8587273E-02
   7160.00  1.8364510E-02
   7160.20  1.8162834E-02
   7160.40  1.7983538E-02
   7160.60  1.7829499E-02
   7160.80  1.7699212E-02
   7161.00  1.7592792E-02
   7161.20  1.7511300E-02
   7161.40  1.7454811E-02
   7161.60  1.7423101E-02
   7161.80  1.7416292E-02
   7162.00  1.7433228E-02
   7162.20  1.7473122E-02
   7162.40  1.7535388E-02
   7162.60  1.7619140E-02
   7162.80  1.7726500E-02
   7163.00  1.7856789E-02
   7163.20  1.8003643E-02
   7163.40  1.8166357E-02
   7163.60  1.8342649E-02
   7163.80  1.8526220E-02
   7164.00  1.8720391E-02
   7164.20  1.8923407E-02
   7164.40  1.9133438E-02
   7164.60  1.9348882E-02
   7164.80  1.9568019E-02
   7165.00  1.9789089E-02
   7165.20  2.0010593E-02
   7165.40  2.0231161E-02
   7165.60  2.0449612E-02
   7165.80  2.0664957E-02
   7166.00  2.0876402E-02
   7166.20  2.1083373E-02
   7166.40  2.1285698E-02
   7166.60  2.1482934E-02
   7166.80  2.1675055E-02
   7167.00  2.1862301E-02
   7167.20  2.2044704E-02
   7167.40  2.2222719E-02
   7167.60  2.2396784E-02
   7167.80  2.2567382E-02
   7168.00  2.2736936E-02
   7168.20  2.2902215E-02
   7168.40  2.3065676E-02
   7168.60  2.3227789E-02
   7168.80  2.3389018E-02
   7169.00  2.3549816E-02
   7169.20  2.3710646E-02
   7169.40  2.3871877E-02
   7169.60  2.4033848E-02
   7169.80  2.4196891E-02
   7170.00  2.4361326E-02
   7170.20  2.4527185E-02
   7170.40  2.4694742E-02
   7170.60  2.4864136E-02
   7170.80  2.5035746E-02
   7171.00  2.5209705E-02
   7171.20  2.5385605E-02
   7171.40  2.5563487E-02
   7171.60  2.5743238E-02
   7171.80  2.5924593E-02
   7172.00  2.6107401E-02
