  7112.000   26  1  1  1.0081982E-02 -3.2401619E+00 -2.3039337E+00  1  1  7.2660900E+03  0.0000000E+00  0.0000000E+00  2.3509731E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9763347E-05
   7097.20  1.9872743E-05
   7097.40  2.0022520E-05
   7097.60  2.0233552E-05
   7097.80  2.0548582E-05
   7098.00  2.1067916E-05
   7098.20  2.2080265E-05
   7098.40  2.4748315E-05
   7098.60  3.8543464E-05
   7098.80  6.7344291E-03
   7099.00  3.8529244E-05
   7099.20  2.6033149E-05
   7099.40  2.4397033E-05
   7099.60  2.5075665E-05
   7099.80  2.9041063E-05
   7100.00  6.5646102E-05
   7100.20  1.3452613E-04
   7100.40  3.4161560E-05
   7100.60  3.1030214E-05
   7100.80  3.4749328E-05
   7101.00  4.7964624E-05
   7101.20  1.1440385E-04
   7101.40  1.1377509E-02
   7101.60  1.5179775E-04
   7101.80  5.6586353E-05
   7102.00  4.4368390E-05
   7102.20  5.1384853E-05
   7102.40  1.4861673E-04
   7102.60  4.7225982E-04
   7102.80  3.7747172E-04
   7103.00  6.6372745E-05
   7103.20  9.8918659E-05
   7103.40  2.4583404E-04
   7103.60  6.6825061E-05
   7103.80  5.5661371E-05
   7104.00  1.0075580E-04
   7104.20  1.9444938E-02
   7104.40  9.1252095E-04
   7104.60  8.1086646E-05
   7104.80  5.7421836E-05
   7105.00  6.9975986E-05
   7105.20  5.8490926E-04
   7105.40  1.2494014E-02
   7105.60  1.0951355E-04
   7105.80  1.1845476E-04
   7106.00  3.9564277E-04
   7106.20  1.6439005E-04
   7106.40  1.5950282E-04
   7106.60  4.7251545E-04
   7106.80  9.7498099E-03
   7107.00  3.1662465E-02
   7107.20  7.3152047E-04
   7107.40  2.9408863E-04
   7107.60  2.4822139E-04
   7107.80  3.2431609E-04
   7108.00  3.1659744E-04
   7108.20  6.4747496E-04
   7108.40  1.0051712E-03
   7108.60  2.5301163E-02
   7108.80  1.9451966E-02
   7109.00  8.2060142E-04
   7109.20  2.7538949E-02
   7109.40  1.3807971E-02
   7109.60  2.7907192E-02
