  7112.000   26  1  1  2.6530467E-02 -3.0833187E+00 -7.5957658E-01  1  1  7.2655433E+03  0.0000000E+00  0.0000000E+00  3.1842957E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.4244123E-05
   7097.20  5.3687923E-05
   7097.40  5.8729591E-05
   7097.60  7.1299189E-05
   7097.80  9.9622150E-05
   7098.00  1.7563266E-04
   7098.20  5.2853277E-04
   7098.40  8.6237088E-02
   7098.60  1.5459850E-02
   7098.80  5.0762840E-04
   7099.00  1.3104580E-03
   7099.20  3.7375821E-04
   7099.40  8.9711624E-05
   7099.60  6.0184235E-05
   7099.80  4.9043279E-05
   7100.00  4.3458088E-05
   7100.20  4.1020628E-05
   7100.40  4.2541978E-05
   7100.60  1.0332857E-04
   7100.80  1.3746557E-04
   7101.00  5.0991479E-05
   7101.20  7.0667887E-05
   7101.40  2.2635568E-04
   7101.60  1.4520944E-03
   7101.80  9.9242954E-04
   7102.00  1.6305751E-04
   7102.20  4.3455601E-04
   7102.40  2.5447884E-04
   7102.60  1.2371183E-03
   7102.80  1.7984854E-03
   7103.00  7.5195955E-05
   7103.20  5.3651755E-05
   7103.40  6.2230420E-05
   7103.60  4.5377625E-05
   7103.80  4.9767813E-05
   7104.00  5.5097018E-05
   7104.20  1.1509390E-04
   7104.40  1.4374222E-04
   7104.60  1.2102521E-04
   7104.80  3.0167328E-04
   7105.00  1.7204821E-03
   7105.20  1.4174225E-03
   7105.40  4.2208702E-04
   7105.60  1.5353106E-03
   7105.80  4.0301781E-04
   7106.00  1.7630978E-04
   7106.20  2.7531236E-04
   7106.40  1.7566699E-02
   7106.60  8.5558057E-03
   7106.80  1.1145849E-02
   7107.00  2.7861419E-04
   7107.20  2.1476846E-03
   7107.40  5.0383725E-03
   7107.60  1.3064401E-02
   7107.80  1.0636959E-01
   7108.00  1.7610225E-03
   7108.20  1.2607877E-03
   7108.40  4.7270344E-03
   7108.60  6.3004296E-03
   7108.80  5.0129522E-03
   7109.00  1.0221774E-02
   7109.20  8.4518923E-02
   7109.40  1.7503235E-02
   7109.60  5.4488125E-02
   7109.80  3.1781500E-02
   7110.00  9.0523824E-03
   7110.20  4.4771358E-03
   7110.40  1.3748732E-02
   7110.60  8.8046423E-03
   7110.80  1.1003747E-02
   7111.00  1.9944039E-02
   7111.20  1.5947032E-02
   7111.40  2.0109671E-02
   7111.60  1.4817730E-02
   7111.80  1.4176697E-02
   7112.00  2.3863069E-02
   7112.20  1.2439033E-02
   7112.40  1.2229789E-02
   7112.60  1.6308985E-02
   7112.80  1.9290129E-02
   7113.00  1.8179102E-02
   7113.20  1.4430276E-02
   7113.40  1.0249218E-02
   7113.60  7.3380529E-03
   7113.80  5.7153606E-03
   7114.00  4.9167295E-03
   7114.20  4.8828994E-03
   7114.40  6.4282159E-03
   7114.60  6.3944069E-03
   7114.80  3.5538795E-03
   7115.00  3.1601896E-03
   7115.20  3.2636597E-03
   7115.40  3.2677035E-03
   7115.60  2.7825050E-03
   7115.80  2.3560724E-03
   7116.00  2.1488535E-03
   7116.20  2.0720777E-03
   7116.40  2.0686279E-03
   7116.60  2.1157059E-03
   7116.80  2.2086223E-03
   7117.00  2.3542095E-03
   7117.20  2.5695700E-03
   7117.40  2.8815101E-03
   7117.60  3.3014351E-03
   7117.80  3.7274961E-03
   7118.00  3.9524522E-03
   7118.20  3.9942489E-03
   7118.40  4.0258889E-03
   7118.60  4.1319486E-03
   7118.80  4.3253908E-03
   7119.00  4.5979241E-03
   7119.20  4.9392934E-03
   7119.40  5.3425118E-03
   7119.60  5.8035239E-03
   7119.80  6.3164852E-03
   7120.00  6.8731980E-03
   7120.20  7.4656583E-03
   7120.40  8.0885005E-03
   7120.60  8.7407821E-03
   7120.80  9.4266349E-03
   7121.00  1.0154909E-02
   7121.20  1.0939151E-02
   7121.40  1.1798837E-02
   7121.60  1.2758775E-02
   7121.80  1.3839639E-02
   7122.00  1.5087331E-02
   7122.20  1.6374961E-02
   7122.40  1.7666724E-02
   7122.60  1.8872838E-02
   7122.80  1.9962038E-02
   7123.00  2.0971452E-02
   7123.20  2.2012362E-02
   7123.40  2.3028003E-02
   7123.60  2.3646275E-02
   7123.80  2.3647988E-02
   7124.00  2.3671973E-02
   7124.20  2.4194681E-02
   7124.40  2.5253031E-02
   7124.60  2.6592403E-02
   7124.80  2.7982561E-02
   7125.00  2.9331478E-02
   7125.20  3.0331690E-02
   7125.40  3.0893484E-02
   7125.60  3.1293082E-02
   7125.80  3.1585025E-02
   7126.00  3.1660666E-02
   7126.20  3.1458788E-02
   7126.40  3.1071556E-02
   7126.60  3.0664803E-02
   7126.80  3.0326197E-02
   7127.00  3.0075526E-02
   7127.20  2.9914119E-02
   7127.40  2.9819540E-02
   7127.60  2.9753973E-02
   7127.80  2.9641803E-02
   7128.00  2.9494825E-02
   7128.20  2.9367505E-02
   7128.40  2.9341905E-02
   7128.60  2.9474245E-02
   7128.80  2.9766381E-02
   7129.00  3.0177709E-02
   7129.20  3.0650878E-02
   7129.40  3.1131106E-02
   7129.60  3.1575620E-02
   7129.80  3.1956607E-02
   7130.00  3.2263838E-02
   7130.20  3.2504052E-02
   7130.40  3.2693768E-02
   7130.60  3.2848655E-02
   7130.80  3.2980450E-02
   7131.00  3.3104850E-02
   7131.20  3.3252873E-02
   7131.40  3.3477213E-02
   7131.60  3.3849004E-02
   7131.80  3.4446727E-02
   7132.00  3.5339572E-02
   7132.20  3.6570122E-02
   7132.40  3.8136787E-02
   7132.60  3.9982608E-02
   7132.80  4.1999746E-02
   7133.00  4.4059392E-02
   7133.20  4.6041610E-02
   7133.40  4.7877107E-02
   7133.60  4.9566520E-02
   7133.80  5.1167396E-02
   7134.00  5.2748700E-02
   7134.20  5.4267153E-02
   7134.40  5.5467721E-02
   7134.60  5.6055145E-02
   7134.80  5.5937413E-02
   7135.00  5.5210818E-02
   7135.20  5.4040841E-02
   7135.40  5.2597576E-02
   7135.60  5.1030771E-02
   7135.80  4.9460449E-02
   7136.00  4.7975591E-02
   7136.20  4.6636536E-02
   7136.40  4.5479662E-02
   7136.60  4.4523029E-02
   7136.80  4.3771531E-02
   7137.00  4.3219626E-02
   7137.20  4.2853495E-02
   7137.40  4.2653394E-02
   7137.60  4.2595129E-02
   7137.80  4.2651644E-02
   7138.00  4.2794982E-02
   7138.20  4.2998330E-02
   7138.40  4.3237996E-02
   7138.60  4.3494670E-02
   7138.80  4.3753529E-02
   7139.00  4.4004222E-02
   7139.20  4.4239587E-02
   7139.40  4.4455491E-02
   7139.60  4.4648395E-02
   7139.80  4.4815394E-02
   7140.00  4.4953923E-02
   7140.20  4.5061512E-02
   7140.40  4.5135695E-02
   7140.60  4.5173483E-02
   7140.80  4.5171711E-02
   7141.00  4.5126998E-02
   7141.20  4.5036227E-02
   7141.40  4.4896692E-02
   7141.60  4.4706582E-02
   7141.80  4.4465237E-02
   7142.00  4.4173474E-02
   7142.20  4.3833955E-02
   7142.40  4.3451225E-02
   7142.60  4.3031476E-02
   7142.80  4.2582756E-02
   7143.00  4.2114547E-02
   7143.20  4.1637540E-02
   7143.40  4.1163136E-02
   7143.60  4.0702861E-02
   7143.80  4.0267794E-02
   7144.00  3.9867990E-02
   7144.20  3.9511873E-02
   7144.40  3.9205847E-02
   7144.60  3.8954037E-02
   7144.80  3.8758220E-02
   7145.00  3.8618049E-02
   7145.20  3.8531333E-02
   7145.40  3.8494433E-02
   7145.60  3.8502742E-02
   7145.80  3.8551050E-02
   7146.00  3.8634077E-02
   7146.20  3.8744535E-02
   7146.40  3.8882757E-02
   7146.60  3.9035968E-02
   7146.80  3.9206718E-02
   7147.00  3.9393577E-02
   7147.20  3.9596030E-02
   7147.40  3.9813879E-02
   7147.60  4.0047327E-02
   7147.80  4.0296560E-02
   7148.00  4.0571728E-02
   7148.20  4.0851093E-02
   7148.40  4.1143089E-02
   7148.60  4.1443507E-02
   7148.80  4.1743478E-02
   7149.00  4.2041446E-02
   7149.20  4.2330517E-02
   7149.40  4.2583165E-02
   7149.60  4.2792438E-02
   7149.80  4.2942766E-02
   7150.00  4.3018723E-02
   7150.20  4.3006695E-02
   7150.40  4.2891799E-02
   7150.60  4.2676416E-02
   7150.80  4.2355719E-02
   7151.00  4.1935204E-02
   7151.20  4.1425542E-02
   7151.40  4.0841562E-02
   7151.60  4.0201121E-02
   7151.80  3.9523093E-02
   7152.00  3.8826004E-02
   7152.20  3.8125706E-02
   7152.40  3.7435422E-02
   7152.60  3.6765380E-02
   7152.80  3.6122370E-02
   7153.00  3.5510471E-02
   7153.20  3.4931337E-02
   7153.40  3.4384465E-02
   7153.60  3.3861066E-02
   7153.80  3.3366725E-02
   7154.00  3.2905515E-02
   7154.20  3.2467132E-02
   7154.40  3.2048285E-02
   7154.60  3.1647142E-02
   7154.80  3.1261644E-02
   7155.00  3.0889686E-02
   7155.20  3.0529475E-02
   7155.40  3.0179606E-02
   7155.60  2.9838934E-02
   7155.80  2.9506817E-02
   7156.00  2.9182015E-02
   7156.20  2.8863838E-02
   7156.40  2.8551660E-02
   7156.60  2.8244694E-02
   7156.80  2.7942381E-02
   7157.00  2.7644198E-02
   7157.20  2.7349683E-02
   7157.40  2.7058801E-02
   7157.60  2.6771028E-02
   7157.80  2.6486173E-02
   7158.00  2.6204182E-02
   7158.20  2.5925467E-02
   7158.40  2.5650078E-02
   7158.60  2.5378421E-02
   7158.80  2.5111117E-02
   7159.00  2.4848922E-02
   7159.20  2.4592903E-02
   7159.40  2.4343824E-02
   7159.60  2.4102545E-02
   7159.80  2.3873612E-02
   7160.00  2.3651632E-02
   7160.20  2.3440086E-02
   7160.40  2.3240213E-02
   7160.60  2.3052503E-02
   7160.80  2.2878416E-02
   7161.00  2.2718407E-02
   7161.20  2.2573277E-02
   7161.40  2.2443656E-02
   7161.60  2.2330236E-02
   7161.80  2.2235840E-02
   7162.00  2.2156707E-02
   7162.20  2.2094102E-02
   7162.40  2.2049078E-02
   7162.60  2.2021116E-02
   7162.80  2.2010095E-02
   7163.00  2.2017484E-02
   7163.20  2.2042144E-02
   7163.40  2.2082988E-02
   7163.60  2.2139546E-02
   7163.80  2.2211225E-02
   7164.00  2.2297057E-02
   7164.20  2.2395839E-02
   7164.40  2.2506364E-02
   7164.60  2.2627309E-02
   7164.80  2.2757402E-02
   7165.00  2.2895133E-02
   7165.20  2.3038728E-02
   7165.40  2.3186607E-02
   7165.60  2.3337096E-02
   7165.80  2.3488560E-02
   7166.00  2.3639662E-02
   7166.20  2.3788718E-02
   7166.40  2.3934021E-02
   7166.60  2.4074100E-02
   7166.80  2.4207596E-02
   7167.00  2.4333213E-02
   7167.20  2.4449827E-02
   7167.40  2.4556764E-02
   7167.60  2.4653177E-02
   7167.80  2.4738319E-02
   7168.00  2.4811911E-02
   7168.20  2.4873825E-02
   7168.40  2.4924270E-02
   7168.60  2.4963646E-02
   7168.80  2.4992589E-02
   7169.00  2.5012125E-02
   7169.20  2.5023121E-02
   7169.40  2.5026545E-02
   7169.60  2.5023572E-02
   7169.80  2.5015447E-02
   7170.00  2.5003397E-02
   7170.20  2.4988615E-02
   7170.40  2.4972258E-02
   7170.60  2.4955435E-02
   7170.80  2.4939305E-02
   7171.00  2.4924817E-02
   7171.20  2.4912640E-02
   7171.40  2.4903459E-02
   7171.60  2.4897948E-02
   7171.80  2.4896664E-02
   7172.00  2.4900101E-02
