  7112.000   26  1  1  4.4249885E-02 -3.2273036E+00 -8.4978283E-01  1  1  7.2652918E+03  0.0000000E+00  0.0000000E+00  3.7088559E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2090419E-05
   7097.20  2.2709689E-05
   7097.40  2.3649236E-05
   7097.60  2.5199315E-05
   7097.80  2.8120906E-05
   7098.00  3.4976476E-05
   7098.20  5.9811214E-05
   7098.40  5.2368040E-04
   7098.60  4.9125290E-04
   7098.80  6.2728659E-05
   7099.00  3.8223160E-05
   7099.20  3.2644282E-05
   7099.40  3.1472371E-05
   7099.60  3.2274168E-05
   7099.80  3.4662685E-05
   7100.00  3.9089383E-05
   7100.20  4.7044845E-05
   7100.40  6.2658708E-05
   7100.60  1.0031417E-04
   7100.80  2.5819223E-04
   7101.00  3.3014849E-03
   7101.20  9.0876113E-02
   7101.40  4.2190263E-03
   7101.60  1.9055326E-04
   7101.80  1.2886583E-04
   7102.00  6.9117522E-05
   7102.20  2.9767733E-04
   7102.40  4.2929090E-04
   7102.60  1.0130880E-04
   7102.80  6.7892037E-05
   7103.00  1.0647959E-03
   7103.20  1.7553715E-04
   7103.40  9.5238266E-03
   7103.60  1.8450029E-04
   7103.80  7.4412209E-05
   7104.00  6.4567434E-05
   7104.20  9.4376288E-05
   7104.40  3.8103924E-04
   7104.60  5.1504129E-04
   7104.80  1.7498328E-03
   7105.00  2.4039180E-04
   7105.20  8.8945749E-05
   7105.40  1.0308182E-04
   7105.60  1.0996756E-02
   7105.80  2.7887631E-04
   7106.00  4.2818871E-04
   7106.20  1.9682331E-02
   7106.40  4.4571444E-04
   7106.60  1.2384005E-04
   7106.80  8.2871519E-03
   7107.00  1.4695098E-04
   7107.20  1.3541959E-03
   7107.40  2.9791129E-04
   7107.60  3.2049293E-04
   7107.80  5.7752357E-04
   7108.00  7.7474905E-03
   7108.20  4.2235491E-03
   7108.40  1.2904590E-02
   7108.60  3.3021076E-02
   7108.80  1.4521308E-02
   7109.00  1.3475838E-02
   7109.20  6.5970835E-02
   7109.40  2.2022965E-03
   7109.60  1.5649126E-03
   7109.80  1.6764827E-03
   7110.00  7.8929720E-03
   7110.20  2.9713462E-03
   7110.40  8.2002329E-03
   7110.60  6.1129655E-03
   7110.80  9.4183074E-03
   7111.00  1.2430825E-02
   7111.20  1.3605222E-02
   7111.40  2.0824578E-02
   7111.60  3.0315930E-02
   7111.80  1.9210094E-02
   7112.00  1.3272405E-02
   7112.20  1.5629144E-02
   7112.40  2.0932307E-02
   7112.60  8.6427836E-03
   7112.80  8.4765660E-03
   7113.00  7.9799458E-03
   7113.20  6.8825768E-03
   7113.40  5.1364258E-03
   7113.60  3.8259594E-03
   7113.80  3.2434691E-03
   7114.00  3.0152818E-03
   7114.20  2.9062257E-03
   7114.40  3.0142768E-03
   7114.60  3.1963774E-03
   7114.80  3.4018408E-03
   7115.00  3.5486159E-03
   7115.20  3.7004177E-03
   7115.40  3.9718441E-03
   7115.60  4.4178246E-03
   7115.80  5.0794577E-03
   7116.00  5.9988649E-03
   7116.20  7.2168733E-03
   7116.40  8.7618083E-03
   7116.60  1.0656578E-02
   7116.80  1.3003272E-02
   7117.00  1.6021457E-02
   7117.20  1.9705180E-02
   7117.40  2.3632302E-02
   7117.60  2.7937436E-02
   7117.80  3.3803470E-02
   7118.00  3.9930536E-02
   7118.20  4.0483169E-02
   7118.40  3.5282618E-02
   7118.60  2.9637661E-02
   7118.80  2.5634168E-02
   7119.00  2.2655513E-02
   7119.20  2.0294667E-02
   7119.40  1.8856055E-02
   7119.60  1.8439708E-02
   7119.80  1.8761822E-02
   7120.00  1.9436017E-02
   7120.20  2.0193441E-02
   7120.40  2.0942902E-02
   7120.60  2.1699586E-02
   7120.80  2.2505421E-02
   7121.00  2.3382726E-02
   7121.20  2.4286843E-02
   7121.40  2.5093936E-02
   7121.60  2.5724652E-02
   7121.80  2.6254468E-02
   7122.00  2.6751651E-02
   7122.20  2.7113434E-02
   7122.40  2.7109974E-02
   7122.60  2.6738842E-02
   7122.80  2.6313926E-02
   7123.00  2.6057344E-02
   7123.20  2.6036027E-02
   7123.40  2.6255237E-02
   7123.60  2.6680345E-02
   7123.80  2.7245453E-02
   7124.00  2.7876353E-02
   7124.20  2.8513096E-02
   7124.40  2.9120717E-02
   7124.60  2.9687172E-02
   7124.80  3.0215651E-02
   7125.00  3.0735157E-02
   7125.20  3.1258735E-02
   7125.40  3.1820797E-02
   7125.60  3.2515067E-02
   7125.80  3.3389921E-02
   7126.00  3.4530795E-02
   7126.20  3.5845168E-02
   7126.40  3.7143361E-02
   7126.60  3.8167113E-02
   7126.80  3.8732991E-02
   7127.00  3.8837050E-02
   7127.20  3.8676825E-02
   7127.40  3.8345701E-02
   7127.60  3.8072384E-02
   7127.80  3.7977133E-02
   7128.00  3.8129799E-02
   7128.20  3.8552374E-02
   7128.40  3.9216957E-02
   7128.60  4.0040920E-02
   7128.80  4.0889933E-02
   7129.00  4.1604368E-02
   7129.20  4.2051781E-02
   7129.40  4.2176675E-02
