  7112.000   26  1  1  7.5551518E-03 -2.9918249E+00 -2.5497128E+00  1  1  7.2663245E+03  0.0000000E+00  0.0000000E+00  1.2248516E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.8118375E-02
   7097.20  9.1085201E-05
   7097.40  3.6642507E-05
   7097.60  2.6926864E-05
   7097.80  2.3597316E-05
   7098.00  2.2095260E-05
   7098.20  2.1312354E-05
   7098.40  2.0872118E-05
   7098.60  2.0618290E-05
   7098.80  2.0476888E-05
   7099.00  2.0409439E-05
   7099.20  2.0394479E-05
   7099.40  2.0419625E-05
   7099.60  2.0477578E-05
   7099.80  2.0564191E-05
   7100.00  2.0677441E-05
   7100.20  2.0816876E-05
   7100.40  2.0983517E-05
   7100.60  2.1179947E-05
   7100.80  2.1410817E-05
   7101.00  2.1684086E-05
   7101.20  2.2013392E-05
   7101.40  2.2423795E-05
   7101.60  2.2965932E-05
   7101.80  2.3757916E-05
   7102.00  2.5139550E-05
   7102.20  2.8498702E-05
   7102.40  4.5955780E-05
   7102.60  2.0139167E-03
   7102.80  4.4892624E-05
   7103.00  8.4898998E-05
   7103.20  5.5965104E-05
   7103.40  3.1224922E-05
   7103.60  2.9197747E-05
   7103.80  2.9200364E-05
   7104.00  2.9854269E-05
   7104.20  3.0913717E-05
   7104.40  3.2379059E-05
   7104.60  3.4415732E-05
   7104.80  3.7558481E-05
   7105.00  4.4096060E-05
   7105.20  7.9106291E-05
   7105.40  3.6556785E-04
   7105.60  6.3027487E-05
   7105.80  6.1803829E-05
   7106.00  7.4309442E-05
   7106.20  1.4087993E-04
   7106.40  2.0385170E-04
   7106.60  2.4374961E-02
   7106.80  1.6052967E-03
   7107.00  2.7723746E-03
   7107.20  3.5218189E-04
   7107.40  4.2233665E-04
   7107.60  1.6562636E-03
   7107.80  2.2674835E-04
   7108.00  2.2014631E-04
   7108.20  3.5354060E-04
   7108.40  1.2689036E-03
   7108.60  1.4519336E-02
   7108.80  2.2852476E-03
   7109.00  1.0579912E-02
   7109.20  4.7017609E-03
   7109.40  1.2783288E-02
   7109.60  2.2188002E-02
   7109.80  8.6219005E-03
   7110.00  8.3205272E-03
   7110.20  5.8833278E-03
   7110.40  5.0610192E-03
   7110.60  3.5058783E-03
   7110.80  4.3453629E-03
   7111.00  6.8218254E-03
   7111.20  1.3975106E-02
   7111.40  3.1088653E-02
   7111.60  3.0445691E-02
   7111.80  1.5390514E-02
   7112.00  1.1932950E-02
   7112.20  1.2568240E-02
   7112.40  1.6891492E-02
   7112.60  2.8538036E-02
   7112.80  5.7701102E-02
   7113.00  1.0295024E-01
   7113.20  9.7317309E-02
   7113.40  6.6603227E-02
   7113.60  4.5393031E-02
   7113.80  3.3110918E-02
   7114.00  2.5864756E-02
   7114.20  2.1388168E-02
   7114.40  1.8561075E-02
   7114.60  1.6863568E-02
   7114.80  1.6120200E-02
   7115.00  1.6399962E-02
   7115.20  1.7910616E-02
   7115.40  2.0619653E-02
   7115.60  2.3328200E-02
   7115.80  2.3947723E-02
   7116.00  2.1847573E-02
   7116.20  1.8960493E-02
   7116.40  1.6381767E-02
   7116.60  1.4343030E-02
   7116.80  1.2768248E-02
   7117.00  1.1540180E-02
   7117.20  1.0566387E-02
   7117.40  9.7836993E-03
   7117.60  9.1499085E-03
   7117.80  8.6361910E-03
   7118.00  8.2232622E-03
   7118.20  7.8968528E-03
   7118.40  7.6429051E-03
   7118.60  7.4506894E-03
   7118.80  7.3132306E-03
   7119.00  7.2195539E-03
   7119.20  7.1484063E-03
   7119.40  7.0686913E-03
   7119.60  6.9478903E-03
   7119.80  6.7741259E-03
   7120.00  6.5907042E-03
   7120.20  6.4825238E-03
   7120.40  6.4807933E-03
   7120.60  6.5309665E-03
   7120.80  6.5494325E-03
   7121.00  6.4525733E-03
   7121.20  6.1969000E-03
   7121.40  5.8849356E-03
   7121.60  5.6860434E-03
   7121.80  5.6212521E-03
   7122.00  5.6249395E-03
   7122.20  5.6497341E-03
   7122.40  5.6760043E-03
   7122.60  5.6985276E-03
   7122.80  5.7190152E-03
   7123.00  5.7403397E-03
   7123.20  5.7675479E-03
   7123.40  5.8090186E-03
   7123.60  5.8674725E-03
   7123.80  5.9535569E-03
   7124.00  6.0778884E-03
   7124.20  6.2539733E-03
   7124.40  6.4993644E-03
   7124.60  6.8372034E-03
   7124.80  7.2983339E-03
   7125.00  7.9235528E-03
   7125.20  8.7656025E-03
   7125.40  9.8884934E-03
   7125.60  1.1359395E-02
   7125.80  1.3223444E-02
   7126.00  1.5452983E-02
   7126.20  1.7889694E-02
   7126.40  2.0251217E-02
   7126.60  2.2209982E-02
   7126.80  2.3686473E-02
   7127.00  2.4787024E-02
   7127.20  2.5685626E-02
   7127.40  2.6487718E-02
   7127.60  2.7212913E-02
   7127.80  2.7860043E-02
   7128.00  2.8497144E-02
   7128.20  2.9232011E-02
   7128.40  3.0038631E-02
   7128.60  3.1042251E-02
   7128.80  3.2272258E-02
   7129.00  3.3729418E-02
   7129.20  3.5343884E-02
   7129.40  3.7164128E-02
   7129.60  3.9087998E-02
   7129.80  4.1051790E-02
   7130.00  4.2991359E-02
   7130.20  4.4850980E-02
   7130.40  4.6590067E-02
   7130.60  4.8187088E-02
   7130.80  4.9637247E-02
   7131.00  5.0948784E-02
   7131.20  5.2134879E-02
   7131.40  5.3206266E-02
   7131.60  5.4165564E-02
   7131.80  5.5002890E-02
   7132.00  5.5696341E-02
   7132.20  5.6214915E-02
   7132.40  5.6524405E-02
   7132.60  5.6596631E-02
   7132.80  5.6418275E-02
   7133.00  5.5999472E-02
   7133.20  5.5375963E-02
