  7112.000   26  1  1  1.1049313E-02 -1.9945051E+00 -3.3171765E-01  1  1  7.2648864E+03  0.0000000E+00  0.0000000E+00  3.4749439E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.9478087E-03
   7097.20  1.9684954E-04
   7097.40  4.6618087E-04
   7097.60  7.3535080E-02
   7097.80  3.7732118E-04
   7098.00  1.1605934E-04
   7098.20  6.4471638E-05
   7098.40  4.5819220E-05
   7098.60  3.7014751E-05
   7098.80  3.2196242E-05
   7099.00  2.9319823E-05
   7099.20  2.7528688E-05
   7099.40  2.6431387E-05
   7099.60  2.5873578E-05
   7099.80  2.5920422E-05
   7100.00  2.7208511E-05
   7100.20  3.4380667E-05
   7100.40  3.5984866E-04
   7100.60  4.8333204E-05
   7100.80  2.8800035E-05
   7101.00  2.6309126E-05
   7101.20  2.5930262E-05
   7101.40  2.6345085E-05
   7101.60  2.7455903E-05
   7101.80  2.9809908E-05
   7102.00  3.6563185E-05
   7102.20  1.2498030E-04
   7102.40  7.8607813E-05
   7102.60  7.0773598E-05
   7102.80  2.1020333E-03
   7103.00  2.8640647E-04
   7103.20  6.1845275E-04
   7103.40  1.2283715E-04
   7103.60  6.8075724E-04
   7103.80  1.7178533E-02
   7104.00  1.7828365E-04
   7104.20  1.9777327E-04
   7104.40  2.6960456E-04
   7104.60  6.8863520E-05
   7104.80  6.4822334E-05
   7105.00  9.1793322E-05
   7105.20  2.9918584E-04
   7105.40  1.8027544E-03
   7105.60  2.5422704E-04
   7105.80  2.2019424E-04
   7106.00  3.1946638E-03
   7106.20  6.7989808E-04
   7106.40  1.1422789E-03
   7106.60  1.3263138E-03
   7106.80  7.8107727E-04
   7107.00  2.0668547E-04
   7107.20  2.1295324E-04
   7107.40  3.8100758E-04
   7107.60  2.7499393E-03
   7107.80  2.0686087E-02
   7108.00  1.7311942E-03
   7108.20  2.8662392E-03
   7108.40  1.3955425E-03
   7108.60  5.2554475E-04
   7108.80  6.0779020E-03
   7109.00  1.0908984E-02
   7109.20  1.9205092E-03
   7109.40  4.4070019E-03
   7109.60  5.2925541E-04
   7109.80  2.1366794E-03
   7110.00  1.3326631E-02
   7110.20  2.1170650E-03
   7110.40  7.1770258E-03
   7110.60  2.0847486E-02
   7110.80  1.0430242E-02
   7111.00  1.0861782E-02
   7111.20  7.2382530E-03
   7111.40  2.8496892E-02
   7111.60  1.2885283E-02
   7111.80  2.5394767E-02
   7112.00  1.1845994E-02
   7112.20  5.7306987E-03
   7112.40  4.2308980E-03
   7112.60  4.0279314E-03
   7112.80  6.3306288E-03
   7113.00  2.3281447E-02
   7113.20  1.4079701E-02
   7113.40  4.1579606E-03
   7113.60  2.2853698E-03
   7113.80  1.8334363E-03
   7114.00  1.3390686E-03
   7114.20  1.3815895E-03
   7114.40  2.2430731E-03
   7114.60  7.9247346E-04
   7114.80  6.2620329E-04
   7115.00  5.7546469E-04
   7115.20  5.4431179E-04
   7115.40  5.1498684E-04
   7115.60  4.8371426E-04
   7115.80  4.5308170E-04
   7116.00  4.2684595E-04
   7116.20  4.0735782E-04
   7116.40  3.9567554E-04
   7116.60  3.9236707E-04
   7116.80  3.9809659E-04
   7117.00  4.1393490E-04
   7117.20  4.4146833E-04
   7117.40  4.8279371E-04
   7117.60  5.4041537E-04
   7117.80  6.1676078E-04
   7118.00  7.1199656E-04
   7118.20  8.1765223E-04
   7118.40  9.1319657E-04
   7118.60  9.8882761E-04
   7118.80  1.0622407E-03
   7119.00  1.1525088E-03
   7119.20  1.2669979E-03
   7119.40  1.4095297E-03
   7119.60  1.5902882E-03
   7119.80  1.8269854E-03
   7120.00  2.1399185E-03
   7120.20  2.5506130E-03
   7120.40  3.0837890E-03
   7120.60  3.7688869E-03
   7120.80  4.6408800E-03
   7121.00  5.7416725E-03
   7121.20  7.1225019E-03
   7121.40  8.8475569E-03
   7121.60  1.1006068E-02
   7121.80  1.3761315E-02
   7122.00  1.7419176E-02
   7122.20  2.2240961E-02
   7122.40  2.7944932E-02
   7122.60  3.3826250E-02
   7122.80  3.8936745E-02
   7123.00  4.2890461E-02
   7123.20  4.5667878E-02
   7123.40  4.7432325E-02
   7123.60  4.8544613E-02
   7123.80  4.9173158E-02
   7124.00  4.9489419E-02
   7124.20  4.9621031E-02
   7124.40  4.9801651E-02
   7124.60  5.0053861E-02
   7124.80  5.0498037E-02
   7125.00  5.1378079E-02
   7125.20  5.2968967E-02
   7125.40  5.5069331E-02
   7125.60  5.6906594E-02
   7125.80  5.7746064E-02
   7126.00  5.6903016E-02
   7126.20  5.4244485E-02
   7126.40  5.0171270E-02
   7126.60  4.5498022E-02
   7126.80  4.0910538E-02
   7127.00  3.7274269E-02
   7127.20  3.4593039E-02
   7127.40  3.2785224E-02
   7127.60  3.1736227E-02
   7127.80  3.1261107E-02
   7128.00  3.1255922E-02
   7128.20  3.1661282E-02
   7128.40  3.2468164E-02
   7128.60  3.3711289E-02
   7128.80  3.5423939E-02
   7129.00  3.7517961E-02
   7129.20  3.9719202E-02
   7129.40  4.1851672E-02
   7129.60  4.4129063E-02
   7129.80  4.6886861E-02
   7130.00  4.9978005E-02
   7130.20  5.2446635E-02
   7130.40  5.3522866E-02
   7130.60  5.3598617E-02
   7130.80  5.3417577E-02
   7131.00  5.3352005E-02
   7131.20  5.3469152E-02
   7131.40  5.3717916E-02
