  7112.000   26  1  1  9.1678977E-02 -1.4795036E+00 -2.5212756E+00  1  1  7.2664734E+03  0.0000000E+00  0.0000000E+00  2.8499033E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0389030E-05
   7097.20  2.0811865E-05
   7097.40  2.1421351E-05
   7097.60  2.2342100E-05
   7097.80  2.3829309E-05
   7098.00  2.6477027E-05
   7098.20  3.1949573E-05
   7098.40  4.6540633E-05
   7098.60  1.1345391E-04
   7098.80  4.4193278E-03
   7099.00  2.0064561E-04
   7099.20  5.8160205E-05
   7099.40  3.7093212E-05
   7099.60  3.1629019E-05
   7099.80  3.4128469E-05
   7100.00  1.0202663E-04
   7100.20  9.6314380E-05
   7100.40  3.1597942E-05
   7100.60  2.6353711E-05
   7100.80  2.5263032E-05
   7101.00  2.5410364E-05
   7101.20  2.6442880E-05
   7101.40  2.8780543E-05
   7101.60  3.4326767E-05
   7101.80  5.3424749E-05
   7102.00  2.9820944E-04
   7102.20  2.7188168E-04
   7102.40  9.2108035E-05
   7102.60  1.2500574E-03
   7102.80  6.0142093E-05
   7103.00  5.0641152E-05
   7103.20  7.4774121E-05
   7103.40  2.5724727E-04
   7103.60  2.4466683E-04
   7103.80  3.4361124E-02
   7104.00  4.5446798E-04
   7104.20  4.6042636E-04
   7104.40  1.7022891E-04
   7104.60  5.6192770E-04
   7104.80  6.9925255E-05
   7105.00  4.8547234E-05
   7105.20  5.8675552E-05
   7105.40  6.0773097E-05
   7105.60  1.4869447E-04
   7105.80  5.4958574E-05
   7106.00  9.4006238E-05
   7106.20  1.5883214E-04
   7106.40  7.3828245E-05
   7106.60  4.9856226E-04
   7106.80  1.2477413E-04
   7107.00  2.8861407E-03
   7107.20  3.5479705E-03
   7107.40  1.1401514E-03
   7107.60  2.6032349E-04
   7107.80  6.7076805E-04
   7108.00  1.4171579E-04
   7108.20  2.2810759E-04
   7108.40  5.8347014E-04
   7108.60  5.7978314E-03
   7108.80  9.9702831E-03
   7109.00  2.4125263E-03
   7109.20  4.2417065E-03
   7109.40  1.3564372E-02
   7109.60  5.1285284E-04
   7109.80  2.1897841E-03
   7110.00  2.5281262E-03
   7110.20  1.3927390E-03
   7110.40  4.1865654E-03
   7110.60  2.5343958E-02
   7110.80  4.0758847E-04
   7111.00  2.3003329E-03
   7111.20  4.3315942E-03
   7111.40  2.0622452E-02
   7111.60  1.6914635E-02
   7111.80  1.4791112E-02
   7112.00  1.5870848E-02
   7112.20  1.1394355E-02
   7112.40  1.4010790E-02
   7112.60  2.5433025E-02
   7112.80  1.8544027E-02
   7113.00  1.6583370E-02
   7113.20  2.5086029E-02
   7113.40  3.2280250E-02
   7113.60  2.5860534E-02
   7113.80  2.3281791E-02
   7114.00  2.7633764E-02
   7114.20  2.3108181E-02
   7114.40  1.3799514E-02
   7114.60  1.0586518E-02
   7114.80  1.2623537E-02
   7115.00  1.7807682E-02
   7115.20  1.5946826E-02
   7115.40  1.4077361E-02
   7115.60  1.6714660E-02
   7115.80  2.6949261E-02
   7116.00  4.1277932E-02
   7116.20  3.4399887E-02
   7116.40  2.2074598E-02
   7116.60  1.5368744E-02
   7116.80  1.1957307E-02
   7117.00  1.0138657E-02
   7117.20  8.9369765E-03
   7117.40  8.6424423E-03
   7117.60  8.8552514E-03
   7117.80  9.5961427E-03
   7118.00  1.0726910E-02
   7118.20  1.1657029E-02
   7118.40  1.1893105E-02
   7118.60  1.1775898E-02
   7118.80  1.1797925E-02
   7119.00  1.2094820E-02
   7119.20  1.2381871E-02
   7119.40  1.2313780E-02
   7119.60  1.1950462E-02
   7119.80  1.1547952E-02
   7120.00  1.1235165E-02
   7120.20  1.1078720E-02
   7120.40  1.1112738E-02
   7120.60  1.1314951E-02
   7120.80  1.1619189E-02
   7121.00  1.1970293E-02
   7121.20  1.2366114E-02
   7121.40  1.2823215E-02
   7121.60  1.3343785E-02
   7121.80  1.3918391E-02
   7122.00  1.4533724E-02
   7122.20  1.5148446E-02
   7122.40  1.5706492E-02
   7122.60  1.6177776E-02
   7122.80  1.6562800E-02
   7123.00  1.6874892E-02
   7123.20  1.7162840E-02
   7123.40  1.7402341E-02
   7123.60  1.7619576E-02
   7123.80  1.7848252E-02
   7124.00  1.8090125E-02
   7124.20  1.8355775E-02
   7124.40  1.8734456E-02
