  7112.000   26  1  1  1.0926642E-02 -4.3108004E+00 -8.5564810E-01  1  1  7.2653092E+03  0.0000000E+00  0.0000000E+00  3.7112699E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.7073119E-05
   7097.20  2.6005347E-05
   7097.40  2.5618873E-05
   7097.60  2.6105767E-05
   7097.80  2.8941458E-05
   7098.00  5.0366045E-05
   7098.20  4.2098126E-04
   7098.40  3.6451675E-05
   7098.60  3.0326338E-05
   7098.80  4.0167973E-05
   7099.00  3.0017589E-04
   7099.20  5.1309365E-05
   7099.40  2.9789309E-05
   7099.60  2.7374300E-05
   7099.80  2.7384034E-05
   7100.00  2.8524474E-05
   7100.20  3.1008593E-05
   7100.40  3.6585416E-05
   7100.60  5.6002732E-05
   7100.80  6.2212724E-04
   7101.00  1.1555979E-04
   7101.20  1.0860787E-04
   7101.40  8.9824979E-04
   7101.60  4.3376670E-04
   7101.80  1.1963153E-02
   7102.00  1.9238091E-04
   7102.20  2.2796802E-04
   7102.40  6.6129135E-03
   7102.60  1.0040409E-04
   7102.80  6.5380106E-05
   7103.00  8.5003064E-05
   7103.20  1.6468127E-04
   7103.40  4.9929406E-05
   7103.60  4.6923094E-05
   7103.80  6.9235236E-05
   7104.00  4.4890364E-05
   7104.20  5.8715297E-05
   7104.40  6.2171726E-05
   7104.60  2.0883795E-03
   7104.80  1.4360016E-04
   7105.00  6.9864661E-04
   7105.20  2.9012358E-04
   7105.40  2.2530103E-04
   7105.60  1.3631549E-03
   7105.80  4.3161959E-03
   7106.00  3.2318435E-04
   7106.20  2.9837801E-04
   7106.40  8.6720265E-04
   7106.60  1.5106840E-01
   7106.80  8.8564703E-03
   7107.00  9.4176751E-04
   7107.20  9.8995887E-03
   7107.40  9.8226629E-04
   7107.60  2.6781356E-04
   7107.80  3.8488739E-04
   7108.00  5.7853790E-04
   7108.20  1.0658721E-02
   7108.40  3.2922933E-03
   7108.60  2.4041423E-03
   7108.80  4.1706943E-03
   7109.00  8.0740222E-03
   7109.20  9.8819986E-03
   7109.40  1.5714245E-02
   7109.60  1.2272102E-02
   7109.80  2.0161509E-02
   7110.00  3.5977679E-02
   7110.20  6.7925683E-02
   7110.40  4.0025623E-02
   7110.60  3.5038511E-02
   7110.80  3.2358484E-02
   7111.00  2.8278360E-02
   7111.20  2.3033736E-02
   7111.40  2.1208686E-02
   7111.60  3.2295931E-02
   7111.80  2.2802006E-02
   7112.00  1.5711481E-02
   7112.20  1.4483340E-02
   7112.40  2.3132121E-02
   7112.60  2.7243667E-02
   7112.80  2.1868669E-02
   7113.00  1.4334382E-02
   7113.20  9.3118326E-03
   7113.40  6.6129177E-03
   7113.60  7.8442180E-03
   7113.80  3.4730586E-03
   7114.00  2.2812995E-03
   7114.20  1.8699785E-03
   7114.40  1.6374369E-03
   7114.60  1.5328433E-03
   7114.80  1.5529313E-03
   7115.00  1.7349912E-03
   7115.20  1.9098435E-03
   7115.40  1.7456106E-03
   7115.60  1.5981524E-03
   7115.80  1.5469397E-03
   7116.00  1.5510845E-03
   7116.20  1.5957321E-03
   7116.40  1.6751222E-03
   7116.60  1.7878072E-03
   7116.80  1.9386405E-03
   7117.00  2.1399865E-03
   7117.20  2.4137203E-03
   7117.40  2.7957588E-03
   7117.60  3.3441469E-03
   7117.80  4.1473930E-03
   7118.00  5.3011758E-03
   7118.20  6.7635035E-03
   7118.40  8.1392654E-03
   7118.60  8.9739473E-03
   7118.80  9.2679228E-03
   7119.00  9.1828266E-03
   7119.20  8.8098923E-03
   7119.40  8.2259761E-03
   7119.60  7.5034773E-03
   7119.80  6.7290284E-03
   7120.00  6.0194633E-03
   7120.20  5.4420034E-03
   7120.40  4.9471923E-03
   7120.60  4.5899890E-03
   7120.80  4.2926287E-03
   7121.00  4.0459926E-03
   7121.20  3.8296299E-03
   7121.40  3.6515008E-03
   7121.60  3.5272086E-03
   7121.80  3.4945494E-03
   7122.00  3.6475423E-03
   7122.20  4.1131432E-03
   7122.40  5.1305261E-03
   7122.60  7.0059701E-03
   7122.80  9.7501923E-03
   7123.00  1.2532256E-02
   7123.20  1.3530133E-02
   7123.40  1.2554196E-02
   7123.60  1.1968615E-02
   7123.80  1.2623705E-02
   7124.00  1.4293946E-02
   7124.20  1.6570154E-02
   7124.40  1.8873917E-02
   7124.60  2.0913278E-02
   7124.80  2.2709939E-02
   7125.00  2.3713580E-02
   7125.20  2.3216872E-02
   7125.40  2.1544603E-02
   7125.60  1.9773422E-02
   7125.80  1.8670129E-02
   7126.00  1.8669825E-02
   7126.20  1.9935180E-02
   7126.40  2.2237365E-02
   7126.60  2.4999269E-02
   7126.80  2.7617548E-02
   7127.00  2.9767266E-02
   7127.20  3.1438210E-02
   7127.40  3.2821261E-02
   7127.60  3.4050114E-02
   7127.80  3.5317995E-02
   7128.00  3.6736462E-02
   7128.20  3.8367828E-02
   7128.40  4.0228733E-02
   7128.60  4.2284141E-02
   7128.80  4.4437049E-02
   7129.00  4.6537728E-02
   7129.20  4.8419573E-02
   7129.40  4.9949857E-02
   7129.60  5.1064367E-02
   7129.80  5.1776561E-02
   7130.00  5.2150031E-02
   7130.20  5.2267706E-02
   7130.40  5.2214059E-02
   7130.60  5.2070666E-02
   7130.80  5.1921120E-02
   7131.00  5.1847994E-02
   7131.20  5.1904581E-02
   7131.40  5.2081570E-02
   7131.60  5.2318313E-02
   7131.80  5.2571741E-02
   7132.00  5.2878244E-02
   7132.20  5.3344531E-02
   7132.40  5.4083119E-02
   7132.60  5.5146003E-02
   7132.80  5.6491657E-02
   7133.00  5.7988831E-02
   7133.20  5.9448056E-02
   7133.40  6.0677613E-02
   7133.60  6.1538667E-02
   7133.80  6.1975971E-02
   7134.00  6.2011713E-02
   7134.20  6.1718289E-02
   7134.40  6.1187109E-02
   7134.60  6.0507555E-02
   7134.80  5.9755194E-02
   7135.00  5.8988642E-02
   7135.20  5.8251926E-02
   7135.40  5.7579494E-02
   7135.60  5.7000725E-02
   7135.80  5.6543040E-02
   7136.00  5.6232111E-02
   7136.20  5.6091907E-02
   7136.40  5.6141423E-02
   7136.60  5.6390340E-02
   7136.80  5.6831718E-02
   7137.00  5.7427604E-02
   7137.20  5.8085966E-02
   7137.40  5.8631161E-02
   7137.60  5.8791639E-02
   7137.80  5.8248297E-02
   7138.00  5.6773502E-02
   7138.20  5.4386972E-02
   7138.40  5.1370499E-02
   7138.60  4.8110962E-02
   7138.80  4.4924698E-02
   7139.00  4.1988859E-02
   7139.20  3.9363788E-02
   7139.40  3.7045304E-02
   7139.60  3.5004852E-02
   7139.80  3.3211498E-02
   7140.00  3.1639166E-02
   7140.20  3.0268295E-02
   7140.40  2.9083570E-02
   7140.60  2.8053639E-02
   7140.80  2.7204930E-02
   7141.00  2.6500799E-02
   7141.20  2.5924137E-02
   7141.40  2.5455844E-02
   7141.60  2.5075873E-02
   7141.80  2.4764608E-02
   7142.00  2.4504559E-02
   7142.20  2.4282006E-02
