  7112.000   26  1  1  2.9745458E-02 -2.6684475E+00 -1.5933128E+00  1  1  7.2657152E+03  0.0000000E+00  0.0000000E+00  4.4711857E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.7785936E-01
   7097.20  4.7675420E-04
   7097.40  1.3623991E-04
   7097.60  7.3343978E-05
   7097.80  5.1702150E-05
   7098.00  4.2120452E-05
   7098.20  3.7430900E-05
   7098.40  3.5245419E-05
   7098.60  3.4678641E-05
   7098.80  3.5500830E-05
   7099.00  3.7965751E-05
   7099.20  4.3050159E-05
   7099.40  5.3607060E-05
   7099.60  8.0007590E-05
   7099.80  1.9645518E-04
   7100.00  1.2048767E-02
   7100.20  4.6629318E-02
   7100.40  2.0182678E-02
   7100.60  2.4038610E-04
   7100.80  9.7099111E-05
   7101.00  9.3906473E-05
   7101.20  5.5358999E-05
   7101.40  5.4879054E-05
   7101.60  6.7572874E-05
   7101.80  1.4309210E-04
   7102.00  2.8625560E-02
   7102.20  1.7575282E-04
   7102.40  1.2898402E-04
   7102.60  4.1720943E-04
   7102.80  1.3033000E-02
   7103.00  2.3871602E-04
   7103.20  6.9058112E-04
   7103.40  1.9115160E-03
   7103.60  1.6707958E-04
   7103.80  3.4399219E-03
   7104.00  1.6299790E-03
   7104.20  2.3956010E-02
   7104.40  2.1772594E-04
   7104.60  2.1871688E-04
   7104.80  3.7068665E-03
   7105.00  2.2150007E-03
   7105.20  7.9891145E-04
   7105.40  1.7477978E-04
   7105.60  1.1956448E-04
   7105.80  1.5790707E-04
   7106.00  1.3585114E-03
   7106.20  1.2707169E-03
   7106.40  1.6349482E-04
   7106.60  2.4720401E-04
   7106.80  1.6672202E-04
   7107.00  3.9836370E-04
   7107.20  5.6834011E-03
   7107.40  3.7824829E-03
   7107.60  2.1694492E-03
   7107.80  9.0082107E-04
   7108.00  2.9210863E-02
   7108.20  2.0235764E-03
   7108.40  1.4563549E-03
   7108.60  4.2925288E-02
   7108.80  1.4242054E-03
   7109.00  2.2111121E-02
   7109.20  2.7439436E-02
   7109.40  1.5670037E-03
   7109.60  2.5701292E-03
   7109.80  1.2344663E-02
   7110.00  1.0141141E-02
   7110.20  2.6350789E-02
   7110.40  1.8074853E-02
   7110.60  1.3638305E-02
   7110.80  1.2147466E-02
   7111.00  1.6524327E-02
   7111.20  1.9611299E-02
   7111.40  3.4387634E-02
   7111.60  2.3045603E-02
   7111.80  2.2542229E-02
   7112.00  1.7272830E-02
   7112.20  2.1911915E-02
   7112.40  5.9113701E-02
   7112.60  3.9360228E-02
   7112.80  7.3121156E-02
   7113.00  5.6102034E-02
   7113.20  2.4650474E-02
   7113.40  1.7226299E-02
   7113.60  1.1005513E-02
   7113.80  6.8488613E-03
   7114.00  4.4746378E-03
   7114.20  3.2356922E-03
   7114.40  2.6531641E-03
   7114.60  2.4926165E-03
   7114.80  2.7807498E-03
   7115.00  3.8956394E-03
   7115.20  7.2006714E-03
   7115.40  1.5449536E-02
   7115.60  2.4307910E-02
   7115.80  2.0285411E-02
   7116.00  1.0327633E-02
   7116.20  6.1568478E-03
   7116.40  4.3365547E-03
   7116.60  3.4388358E-03
   7116.80  2.9872842E-03
   7117.00  2.8005853E-03
   7117.20  2.8051414E-03
   7117.40  2.9641184E-03
   7117.60  3.2263600E-03
   7117.80  3.4970956E-03
   7118.00  3.6771034E-03
   7118.20  3.7197243E-03
   7118.40  3.6991859E-03
   7118.60  3.7251005E-03
   7118.80  3.8834778E-03
   7119.00  4.1928501E-03
   7119.20  4.5128753E-03
   7119.40  4.6204054E-03
   7119.60  4.4699846E-03
   7119.80  4.2388941E-03
   7120.00  4.1141155E-03
   7120.20  4.1435117E-03
   7120.40  4.2721931E-03
   7120.60  4.4219575E-03
   7120.80  4.5717059E-03
   7121.00  4.7704494E-03
   7121.20  5.0859762E-03
   7121.40  5.5599518E-03
   7121.60  6.2162483E-03
   7121.80  7.1074181E-03
