  7112.000   26  1  1  2.7815579E-02 -3.6886386E+00 -1.1328557E+00  1  1  7.2655203E+03  0.0000000E+00  0.0000000E+00  3.8754420E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.2388337E-05
   7097.20  4.6043353E-05
   7097.40  5.5486023E-05
   7097.60  7.4462161E-05
   7097.80  1.1829477E-04
   7098.00  2.6592389E-04
   7098.20  2.2180440E-03
   7098.40  1.8233188E-03
   7098.60  1.9129542E-02
   7098.80  4.5700361E-04
   7099.00  1.6487942E-04
   7099.20  1.6601084E-04
   7099.40  9.2261920E-05
   7099.60  5.6960252E-05
   7099.80  2.3677099E-04
   7100.00  4.1164111E-05
   7100.20  3.6740867E-05
   7100.40  3.4874819E-05
   7100.60  3.4229898E-05
   7100.80  3.4673241E-05
   7101.00  3.6589918E-05
   7101.20  4.1782829E-05
   7101.40  8.0468267E-05
   7101.60  9.5860249E-05
   7101.80  9.1204750E-04
   7102.00  1.1080959E-03
   7102.20  9.8812301E-04
   7102.40  3.1988533E-04
   7102.60  9.3246639E-05
   7102.80  2.3975499E-04
   7103.00  9.7257683E-05
   7103.20  5.3557340E-05
   7103.40  4.1149972E-05
   7103.60  4.2557309E-05
   7103.80  5.1858785E-05
   7104.00  3.4712337E-04
   7104.20  1.0725571E-04
   7104.40  4.2117142E-04
   7104.60  1.1470108E-03
   7104.80  4.6071672E-04
   7105.00  1.4603099E-04
   7105.20  1.7519093E-04
   7105.40  1.0203288E-04
   7105.60  1.2139444E-04
   7105.80  2.3132132E-04
   7106.00  5.9898928E-04
   7106.20  1.3112702E-03
   7106.40  2.1240372E-03
   7106.60  3.9959762E-02
   7106.80  3.4576763E-03
   7107.00  3.9263911E-03
   7107.20  1.0327807E-03
   7107.40  5.6190209E-04
   7107.60  1.5585718E-03
   7107.80  6.8073738E-04
   7108.00  5.9736215E-02
   7108.20  7.0859931E-03
   7108.40  1.0860633E-02
   7108.60  1.2395863E-03
   7108.80  1.4355932E-02
   7109.00  1.9526737E-02
   7109.20  6.9994108E-03
   7109.40  2.7876728E-02
   7109.60  2.7806276E-02
   7109.80  3.2982398E-02
   7110.00  3.9205616E-02
   7110.20  2.5308407E-02
   7110.40  1.4433353E-02
   7110.60  1.0752146E-02
   7110.80  1.0902475E-02
   7111.00  1.1452158E-02
   7111.20  1.4162857E-02
   7111.40  2.5716926E-02
   7111.60  3.1497340E-02
   7111.80  1.9898115E-02
   7112.00  1.0977356E-02
   7112.20  1.0514281E-02
   7112.40  1.5429929E-02
   7112.60  2.5620448E-02
   7112.80  3.4166007E-02
   7113.00  2.4943461E-02
   7113.20  1.5051151E-02
   7113.40  1.0880463E-02
   7113.60  9.5758211E-03
   7113.80  1.0121181E-02
   7114.00  1.3586645E-02
   7114.20  2.3288586E-02
   7114.40  4.7285221E-02
   7114.60  4.5717779E-02
   7114.80  2.1072578E-02
   7115.00  1.1215892E-02
   7115.20  7.4018381E-03
   7115.40  5.6799850E-03
   7115.60  4.8280319E-03
   7115.80  4.4144321E-03
   7116.00  4.2729037E-03
   7116.20  4.3480397E-03
   7116.40  4.6475663E-03
   7116.60  5.2292503E-03
   7116.80  6.1648627E-03
   7117.00  7.3019172E-03
   7117.20  8.0760948E-03
   7117.40  8.0626720E-03
   7117.60  6.5427150E-03
   7117.80  5.6459927E-03
   7118.00  5.8475681E-03
   7118.20  6.6698059E-03
   7118.40  7.9392098E-03
   7118.60  9.6460195E-03
   7118.80  1.1666232E-02
   7119.00  1.3481740E-02
   7119.20  1.4381604E-02
   7119.40  1.4306203E-02
   7119.60  1.3877953E-02
   7119.80  1.3608557E-02
   7120.00  1.3664550E-02
   7120.20  1.4030525E-02
   7120.40  1.4623855E-02
   7120.60  1.5354576E-02
   7120.80  1.6178736E-02
   7121.00  1.7108362E-02
   7121.20  1.8163187E-02
   7121.40  1.9295820E-02
   7121.60  2.0336446E-02
   7121.80  2.1012719E-02
   7122.00  2.1254385E-02
   7122.20  2.1172621E-02
   7122.40  2.0955138E-02
   7122.60  2.0713511E-02
   7122.80  2.0451115E-02
   7123.00  2.0219189E-02
   7123.20  2.0062632E-02
   7123.40  2.0077913E-02
   7123.60  2.0313113E-02
   7123.80  2.0767917E-02
   7124.00  2.1437224E-02
   7124.20  2.2402339E-02
   7124.40  2.3688147E-02
   7124.60  2.4990236E-02
   7124.80  2.5792904E-02
   7125.00  2.6252399E-02
   7125.20  2.6803801E-02
   7125.40  2.7535200E-02
   7125.60  2.8336550E-02
   7125.80  2.9030826E-02
   7126.00  2.9524453E-02
   7126.20  2.9873575E-02
   7126.40  3.0239210E-02
   7126.60  3.0753728E-02
   7126.80  3.1438837E-02
   7127.00  3.2224277E-02
   7127.20  3.3010267E-02
   7127.40  3.3716063E-02
   7127.60  3.4287680E-02
   7127.80  3.4665767E-02
   7128.00  3.4758797E-02
   7128.20  3.4509425E-02
   7128.40  3.4065400E-02
   7128.60  3.3745361E-02
   7128.80  3.3664447E-02
   7129.00  3.3631971E-02
   7129.20  3.3480588E-02
   7129.40  3.3229822E-02
   7129.60  3.2936538E-02
   7129.80  3.2592726E-02
   7130.00  3.2175792E-02
   7130.20  3.1709068E-02
   7130.40  3.1261446E-02
   7130.60  3.0911178E-02
   7130.80  3.0719629E-02
   7131.00  3.0731293E-02
   7131.20  3.0977083E-02
   7131.40  3.1467383E-02
   7131.60  3.2183635E-02
   7131.80  3.3078113E-02
   7132.00  3.4079908E-02
   7132.20  3.5108440E-02
   7132.40  3.6101912E-02
   7132.60  3.7034429E-02
   7132.80  3.7903918E-02
   7133.00  3.8715825E-02
   7133.20  3.9451264E-02
   7133.40  4.0043200E-02
   7133.60  4.0394113E-02
   7133.80  4.0405244E-02
   7134.00  4.0024958E-02
   7134.20  3.9303810E-02
   7134.40  3.8397818E-02
   7134.60  3.7497461E-02
   7134.80  3.6717156E-02
   7135.00  3.6089609E-02
   7135.20  3.5613542E-02
   7135.40  3.5286190E-02
   7135.60  3.5107223E-02
   7135.80  3.5072992E-02
   7136.00  3.5174489E-02
   7136.20  3.5400096E-02
   7136.40  3.5738132E-02
   7136.60  3.6178514E-02
   7136.80  3.6713175E-02
   7137.00  3.7334509E-02
   7137.20  3.8034842E-02
   7137.40  3.8804476E-02
   7137.60  3.9628595E-02
   7137.80  4.0485168E-02
   7138.00  4.1342829E-02
   7138.20  4.2161221E-02
   7138.40  4.2894964E-02
   7138.60  4.3502300E-02
   7138.80  4.3956072E-02
   7139.00  4.4251448E-02
   7139.20  4.4406605E-02
   7139.40  4.4456155E-02
   7139.60  4.4440278E-02
   7139.80  4.4395293E-02
   7140.00  4.4348262E-02
   7140.20  4.4316362E-02
   7140.40  4.4308654E-02
   7140.60  4.4329045E-02
   7140.80  4.4378454E-02
   7141.00  4.4455564E-02
   7141.20  4.4563250E-02
   7141.40  4.4685879E-02
   7141.60  4.4812359E-02
   7141.80  4.4926364E-02
   7142.00  4.5007224E-02
   7142.20  4.5033020E-02
   7142.40  4.4984637E-02
   7142.60  4.4851041E-02
   7142.80  4.4631368E-02
   7143.00  4.4334051E-02
   7143.20  4.3973097E-02
   7143.40  4.3563580E-02
   7143.60  4.3118141E-02
   7143.80  4.2645594E-02
   7144.00  4.2151437E-02
   7144.20  4.1639199E-02
   7144.40  4.1111838E-02
   7144.60  4.0572727E-02
   7144.80  4.0026169E-02
   7145.00  3.9477579E-02
   7145.20  3.8933128E-02
   7145.40  3.8398962E-02
   7145.60  3.7881314E-02
   7145.80  3.7386388E-02
   7146.00  3.6919711E-02
   7146.20  3.6486073E-02
   7146.40  3.6088818E-02
   7146.60  3.5730402E-02
   7146.80  3.5411035E-02
   7147.00  3.5130010E-02
   7147.20  3.4885665E-02
   7147.40  3.4675235E-02
   7147.60  3.4494491E-02
   7147.80  3.4345878E-02
   7148.00  3.4220837E-02
   7148.20  3.4114095E-02
   7148.40  3.4034313E-02
   7148.60  3.3982996E-02
   7148.80  3.3934097E-02
   7149.00  3.3901035E-02
   7149.20  3.3881584E-02
   7149.40  3.3874527E-02
   7149.60  3.3878802E-02
   7149.80  3.3893106E-02
   7150.00  3.3916390E-02
   7150.20  3.3947638E-02
   7150.40  3.3985892E-02
   7150.60  3.4030385E-02
   7150.80  3.4079741E-02
   7151.00  3.4132650E-02
   7151.20  3.4187657E-02
   7151.40  3.4240657E-02
   7151.60  3.4287848E-02
   7151.80  3.4338746E-02
   7152.00  3.4385028E-02
   7152.20  3.4425283E-02
   7152.40  3.4454147E-02
   7152.60  3.4479251E-02
   7152.80  3.4496393E-02
   7153.00  3.4504910E-02
   7153.20  3.4505490E-02
   7153.40  3.4498265E-02
   7153.60  3.4483671E-02
   7153.80  3.4462014E-02
   7154.00  3.4433515E-02
   7154.20  3.4398138E-02
   7154.40  3.4355552E-02
   7154.60  3.4305368E-02
   7154.80  3.4246509E-02
   7155.00  3.4177570E-02
   7155.20  3.4097345E-02
   7155.40  3.4004219E-02
   7155.60  3.3896600E-02
   7155.80  3.3772904E-02
   7156.00  3.3631651E-02
   7156.20  3.3471599E-02
   7156.40  3.3292048E-02
   7156.60  3.3092068E-02
   7156.80  3.2871441E-02
   7157.00  3.2630864E-02
   7157.20  3.2371617E-02
   7157.40  3.2095933E-02
   7157.60  3.1804908E-02
   7157.80  3.1501432E-02
   7158.00  3.1187713E-02
   7158.20  3.0867512E-02
   7158.40  3.0542602E-02
   7158.60  3.0214593E-02
   7158.80  2.9885676E-02
   7159.00  2.9555870E-02
   7159.20  2.9225880E-02
   7159.40  2.8895598E-02
   7159.60  2.8565422E-02
   7159.80  2.8235096E-02
   7160.00  2.7903490E-02
   7160.20  2.7569773E-02
   7160.40  2.7235947E-02
   7160.60  2.6901414E-02
   7160.80  2.6566703E-02
   7161.00  2.6233034E-02
   7161.20  2.5897888E-02
   7161.40  2.5568301E-02
   7161.60  2.5243411E-02
   7161.80  2.4924875E-02
   7162.00  2.4614592E-02
   7162.20  2.4314721E-02
   7162.40  2.4027398E-02
   7162.60  2.3755256E-02
   7162.80  2.3499821E-02
   7163.00  2.3262417E-02
   7163.20  2.3044415E-02
   7163.40  2.2846871E-02
   7163.60  2.2670584E-02
   7163.80  2.2515932E-02
   7164.00  2.2383528E-02
   7164.20  2.2272921E-02
   7164.40  2.2183887E-02
   7164.60  2.2116095E-02
   7164.80  2.2069096E-02
   7165.00  2.2042301E-02
   7165.20  2.2035108E-02
   7165.40  2.2046849E-02
   7165.60  2.2076811E-02
   7165.80  2.2123701E-02
   7166.00  2.2186371E-02
   7166.20  2.2263532E-02
   7166.40  2.2353709E-02
   7166.60  2.2456491E-02
   7166.80  2.2568964E-02
   7167.00  2.2688943E-02
   7167.20  2.2814512E-02
   7167.40  2.2943440E-02
   7167.60  2.3073499E-02
   7167.80  2.3202737E-02
   7168.00  2.3329345E-02
   7168.20  2.3451820E-02
   7168.40  2.3569053E-02
   7168.60  2.3680276E-02
   7168.80  2.3785077E-02
   7169.00  2.3883325E-02
   7169.20  2.3975436E-02
   7169.40  2.4061822E-02
   7169.60  2.4143059E-02
   7169.80  2.4219940E-02
   7170.00  2.4293309E-02
   7170.20  2.4364031E-02
   7170.40  2.4432957E-02
   7170.60  2.4500847E-02
   7170.80  2.4568464E-02
   7171.00  2.4636364E-02
   7171.20  2.4704870E-02
   7171.40  2.4774608E-02
   7171.60  2.4845770E-02
   7171.80  2.4918429E-02
   7172.00  2.4992689E-02
