  7112.000   26  1  1  1.2103785E-02 -2.6402057E+00 -3.9239335E-01  1  1  7.2647957E+03  0.0000000E+00  0.0000000E+00  3.6337669E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4855622E-05
   7097.20  2.6425468E-05
   7097.40  2.9313672E-05
   7097.60  3.5422335E-05
   7097.80  5.2410298E-05
   7098.00  1.4427472E-04
   7098.20  6.6070358E-03
   7098.40  1.5971364E-04
   7098.60  6.2382417E-05
   7098.80  5.4066177E-05
   7099.00  7.5927205E-05
   7099.20  2.8173977E-04
   7099.40  1.3694345E-03
   7099.60  2.7915896E-04
   7099.80  7.2238789E-05
   7100.00  4.7606354E-05
   7100.20  6.1342974E-05
   7100.40  1.5382745E-04
   7100.60  3.8704923E-05
   7100.80  3.7076755E-05
   7101.00  4.9182702E-05
   7101.20  1.5299699E-04
   7101.40  9.1349235E-03
   7101.60  8.8264713E-05
   7101.80  4.1514549E-05
   7102.00  3.2477687E-05
   7102.20  2.9650315E-05
   7102.40  2.8957528E-05
   7102.60  2.9541366E-05
   7102.80  3.1544125E-05
   7103.00  3.6340673E-05
   7103.20  5.0435899E-05
   7103.40  1.4617040E-04
   7103.60  3.4310521E-03
   7103.80  2.3094352E-04
   7104.00  6.0235893E-05
   7104.20  5.3272856E-05
   7104.40  5.2465581E-05
   7104.60  6.6833331E-05
   7104.80  1.1130765E-04
   7105.00  3.4760292E-04
   7105.20  1.1360026E-01
   7105.40  3.7399614E-04
   7105.60  1.3164772E-04
   7105.80  7.9160264E-04
   7106.00  1.0554433E-04
   7106.20  9.4526775E-05
   7106.40  1.9554851E-04
   7106.60  2.2438485E-03
   7106.80  7.6324611E-04
   7107.00  5.7505086E-04
   7107.20  1.0864992E-02
   7107.40  7.3481375E-04
   7107.60  7.6663478E-04
   7107.80  2.2379805E-03
   7108.00  1.3370815E-03
   7108.20  1.6168234E-03
   7108.40  3.3621449E-04
   7108.60  7.6409384E-04
   7108.80  2.2391770E-02
   7109.00  2.9037937E-03
   7109.20  3.8281685E-04
   7109.40  2.6536901E-03
   7109.60  6.8471264E-04
   7109.80  5.6481454E-03
   7110.00  3.2898355E-03
   7110.20  4.5177689E-03
   7110.40  1.0894468E-02
   7110.60  4.1890529E-03
   7110.80  3.1008907E-02
   7111.00  1.2659559E-02
   7111.20  5.0735706E-03
   7111.40  9.1306461E-03
   7111.60  1.2859838E-02
   7111.80  3.6754192E-02
   7112.00  2.8246290E-02
   7112.20  1.4548512E-02
   7112.40  8.7076922E-03
   7112.60  6.7408319E-03
   7112.80  6.1616154E-03
   7113.00  6.1621429E-03
   7113.20  6.1963913E-03
   7113.40  6.8289453E-03
   7113.60  8.3612880E-03
   7113.80  1.1047347E-02
   7114.00  1.3865499E-02
   7114.20  1.5280081E-02
   7114.40  1.7259506E-02
   7114.60  1.2666980E-02
   7114.80  7.0835011E-03
   7115.00  4.6697668E-03
   7115.20  3.6138078E-03
   7115.40  2.9057577E-03
   7115.60  2.3700184E-03
   7115.80  2.0633958E-03
   7116.00  1.8802634E-03
   7116.20  1.7740345E-03
   7116.40  1.7261063E-03
   7116.60  1.7304272E-03
   7116.80  1.7888284E-03
   7117.00  1.9096740E-03
   7117.20  2.1063083E-03
   7117.40  2.3923620E-03
   7117.60  2.7706722E-03
   7117.80  3.2176796E-03
   7118.00  3.6732413E-03
   7118.20  4.0420673E-03
   7118.40  4.2323325E-03
   7118.60  4.2588766E-03
   7118.80  4.2396856E-03
   7119.00  4.2434318E-03
   7119.20  4.2607285E-03
   7119.40  4.2929267E-03
   7119.60  4.4014083E-03
   7119.80  4.6610601E-03
   7120.00  5.1186215E-03
   7120.20  5.8010195E-03
   7120.40  6.7294675E-03
   7120.60  7.9275843E-03
   7120.80  9.4199294E-03
   7121.00  1.1267435E-02
   7121.20  1.3494944E-02
   7121.40  1.6034704E-02
   7121.60  1.8652842E-02
   7121.80  2.1049024E-02
   7122.00  2.3132355E-02
   7122.20  2.5015524E-02
   7122.40  2.6657376E-02
   7122.60  2.7908559E-02
   7122.80  2.8822831E-02
   7123.00  2.9599662E-02
   7123.20  3.0392204E-02
   7123.40  3.1167814E-02
   7123.60  3.1907114E-02
   7123.80  3.2615059E-02
   7124.00  3.3325035E-02
   7124.20  3.4077683E-02
   7124.40  3.4894925E-02
   7124.60  3.5831465E-02
   7124.80  3.6850281E-02
   7125.00  3.8029447E-02
   7125.20  3.9457983E-02
   7125.40  4.1200897E-02
   7125.60  4.3223290E-02
   7125.80  4.5518255E-02
   7126.00  4.8262005E-02
   7126.20  5.1670081E-02
   7126.40  5.5769891E-02
   7126.60  6.0483142E-02
   7126.80  6.5596121E-02
   7127.00  7.0923789E-02
   7127.20  7.5463224E-02
   7127.40  7.7555998E-02
   7127.60  7.6214176E-02
   7127.80  7.2224049E-02
   7128.00  6.7307012E-02
   7128.20  6.3468466E-02
   7128.40  6.0995581E-02
   7128.60  5.9582549E-02
   7128.80  5.8439812E-02
   7129.00  5.6780175E-02
   7129.20  5.4364036E-02
   7129.40  5.1544739E-02
   7129.60  4.8790435E-02
   7129.80  4.6353860E-02
   7130.00  4.4291189E-02
   7130.20  4.2578087E-02
   7130.40  4.1180619E-02
   7130.60  4.0076173E-02
   7130.80  3.9245592E-02
   7131.00  3.8656208E-02
   7131.20  3.8253343E-02
   7131.40  3.7968683E-02
   7131.60  3.7741076E-02
   7131.80  3.7540232E-02
   7132.00  3.7381285E-02
   7132.20  3.7324891E-02
   7132.40  3.7467585E-02
   7132.60  3.7934081E-02
   7132.80  3.8861744E-02
   7133.00  4.0353311E-02
   7133.20  4.2356512E-02
   7133.40  4.4510599E-02
   7133.60  4.6212275E-02
   7133.80  4.7042748E-02
   7134.00  4.7036088E-02
   7134.20  4.6434577E-02
   7134.40  4.5459190E-02
   7134.60  4.4326168E-02
   7134.80  4.3191236E-02
   7135.00  4.2134367E-02
   7135.20  4.1209324E-02
   7135.40  4.0434700E-02
   7135.60  3.9790434E-02
   7135.80  3.9213256E-02
   7136.00  3.8713765E-02
   7136.20  3.8239865E-02
   7136.40  3.7780926E-02
   7136.60  3.7339029E-02
   7136.80  3.6924485E-02
   7137.00  3.6550773E-02
   7137.20  3.6231036E-02
   7137.40  3.5975202E-02
   7137.60  3.5788553E-02
   7137.80  3.5671132E-02
   7138.00  3.5617799E-02
   7138.20  3.5618388E-02
   7138.40  3.5658064E-02
   7138.60  3.5717709E-02
   7138.80  3.5774179E-02
   7139.00  3.5801087E-02
   7139.20  3.5769751E-02
   7139.40  3.5651282E-02
   7139.60  3.5420208E-02
   7139.80  3.5059755E-02
   7140.00  3.4567845E-02
   7140.20  3.3961875E-02
   7140.40  3.3278324E-02
   7140.60  3.2575194E-02
   7140.80  3.1895355E-02
   7141.00  3.1274773E-02
   7141.20  3.0739059E-02
   7141.40  3.0300731E-02
   7141.60  2.9960612E-02
   7141.80  2.9712817E-02
   7142.00  2.9547980E-02
   7142.20  2.9455299E-02
   7142.40  2.9423194E-02
   7142.60  2.9439248E-02
   7142.80  2.9487874E-02
   7143.00  2.9556605E-02
   7143.20  2.9626811E-02
   7143.40  2.9680554E-02
   7143.60  2.9700841E-02
