  7112.000   26  1  1  9.0186289E-03 -3.0814426E+00 -2.4051900E+00  1  1  7.2662959E+03  0.0000000E+00  0.0000000E+00  1.8964665E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0260681E-05
   7097.20  2.0320293E-05
   7097.40  2.0425798E-05
   7097.60  2.0581552E-05
   7097.80  2.0797673E-05
   7098.00  2.1092472E-05
   7098.20  2.1497743E-05
   7098.40  2.2070045E-05
   7098.60  2.2916539E-05
   7098.80  2.4260034E-05
   7099.00  2.6630222E-05
   7099.20  3.1567075E-05
   7099.40  4.5353106E-05
   7099.60  1.2158236E-04
   7099.80  1.1701136E-02
   7100.00  7.7767920E-04
   7100.20  7.3606296E-05
   7100.40  3.8270175E-05
   7100.60  3.1425261E-05
   7100.80  2.9523222E-05
   7101.00  2.9774813E-05
   7101.20  3.2161484E-05
   7101.40  3.9387506E-05
   7101.60  7.0804906E-05
   7101.80  1.3283000E-03
   7102.00  1.3712132E-04
   7102.20  5.5086080E-05
   7102.40  5.3093579E-05
   7102.60  1.1206946E-04
   7102.80  2.1688125E-04
   7103.00  1.3326132E-03
   7103.20  2.8504366E-04
   7103.40  1.5680138E-04
   7103.60  1.9402915E-04
   7103.80  1.6622644E-03
   7104.00  9.5026187E-05
   7104.20  5.4594518E-05
   7104.40  4.6859100E-05
   7104.60  4.6996603E-05
   7104.80  5.4470087E-05
   7105.00  9.7128991E-05
   7105.20  1.1173433E-02
   7105.40  1.0441421E-04
   7105.60  3.2186109E-04
   7105.80  7.9073331E-04
   7106.00  1.3547769E-04
   7106.20  1.8808197E-04
   7106.40  1.7745285E-02
   7106.60  1.1604383E-03
   7106.80  1.5818973E-02
   7107.00  6.0162067E-02
   7107.20  3.9851774E-04
   7107.40  2.0352731E-04
   7107.60  1.0110670E-03
   7107.80  6.4928284E-04
   7108.00  3.2903125E-03
   7108.20  4.1539634E-04
   7108.40  3.0103504E-03
   7108.60  3.8621413E-02
   7108.80  2.8814694E-03
   7109.00  2.9249267E-02
   7109.20  2.1415476E-03
   7109.40  1.7631384E-03
   7109.60  3.4234654E-02
   7109.80  8.6766568E-03
   7110.00  1.2811999E-02
   7110.20  7.0063498E-03
   7110.40  1.0242863E-02
   7110.60  4.7850859E-03
   7110.80  3.3739252E-03
   7111.00  3.3625908E-03
   7111.20  7.4948577E-03
   7111.40  2.2342904E-02
   7111.60  3.1533298E-02
   7111.80  6.3480914E-02
   7112.00  4.6228976E-02
   7112.20  2.3087887E-02
   7112.40  1.5677002E-02
   7112.60  1.6825259E-02
   7112.80  2.7387879E-02
   7113.00  5.3051477E-02
   7113.20  6.2235944E-02
   7113.40  4.8498619E-02
   7113.60  5.1526339E-02
   7113.80  5.6691968E-02
   7114.00  3.8491301E-02
   7114.20  2.4184920E-02
   7114.40  1.7329764E-02
   7114.60  1.3757189E-02
   7114.80  1.1744447E-02
   7115.00  1.0638700E-02
   7115.20  1.0223031E-02
   7115.40  1.0545258E-02
   7115.60  1.1918219E-02
   7115.80  1.5015372E-02
   7116.00  1.9056462E-02
   7116.20  2.0627496E-02
   7116.40  1.8407127E-02
   7116.60  1.5443239E-02
   7116.80  1.3269485E-02
   7117.00  1.1836079E-02
   7117.20  1.0867642E-02
   7117.40  1.0159383E-02
   7117.60  9.5636838E-03
   7117.80  9.0159855E-03
   7118.00  8.5385093E-03
   7118.20  8.1673594E-03
   7118.40  7.8958623E-03
   7118.60  7.6888913E-03
   7118.80  7.5191414E-03
   7119.00  7.3732634E-03
   7119.20  7.2464279E-03
   7119.40  7.1473227E-03
   7119.60  7.0780092E-03
   7119.80  7.0283181E-03
   7120.00  6.9988710E-03
   7120.20  6.9857364E-03
   7120.40  6.9622662E-03
   7120.60  6.8945658E-03
   7120.80  6.7648011E-03
   7121.00  6.5729664E-03
   7121.20  6.3086293E-03
   7121.40  5.9597557E-03
   7121.60  5.6001885E-03
   7121.80  5.3570954E-03
   7122.00  5.2606295E-03
   7122.20  5.2599186E-03
   7122.40  5.3139272E-03
   7122.60  5.4032187E-03
   7122.80  5.5214708E-03
   7123.00  5.6658498E-03
   7123.20  5.8335492E-03
   7123.40  6.0493515E-03
   7123.60  6.2479927E-03
   7123.80  6.4559429E-03
   7124.00  6.6761944E-03
   7124.20  6.9166424E-03
   7124.40  7.1873913E-03
   7124.60  7.5009676E-03
   7124.80  7.8477951E-03
   7125.00  8.2291157E-03
   7125.20  8.6288915E-03
   7125.40  9.0267533E-03
   7125.60  9.4124731E-03
   7125.80  9.7738542E-03
   7126.00  1.0151632E-02
   7126.20  1.0578205E-02
   7126.40  1.1151723E-02
   7126.60  1.1924629E-02
   7126.80  1.2962678E-02
   7127.00  1.4337634E-02
   7127.20  1.6067330E-02
   7127.40  1.8158173E-02
   7127.60  2.0535377E-02
   7127.80  2.3007528E-02
   7128.00  2.5402069E-02
   7128.20  2.7399411E-02
   7128.40  2.8991666E-02
   7128.60  3.0295469E-02
   7128.80  3.1458981E-02
   7129.00  3.2623873E-02
   7129.20  3.3890536E-02
   7129.40  3.5292590E-02
   7129.60  3.6849401E-02
   7129.80  3.8462360E-02
   7130.00  4.0057248E-02
   7130.20  4.1635570E-02
   7130.40  4.3261951E-02
   7130.60  4.4994052E-02
   7130.80  4.6853072E-02
   7131.00  4.8831052E-02
   7131.20  5.0901471E-02
   7131.40  5.3022101E-02
   7131.60  5.5136838E-02
   7131.80  5.7178415E-02
   7132.00  5.9074192E-02
   7132.20  6.0754866E-02
   7132.40  6.2162935E-02
   7132.60  6.3259144E-02
   7132.80  6.4026051E-02
   7133.00  6.4465295E-02
   7133.20  6.4583916E-02
   7133.40  6.4412754E-02
   7133.60  6.3980555E-02
   7133.80  6.3309310E-02
   7134.00  6.2416067E-02
   7134.20  6.1321847E-02
   7134.40  6.0059756E-02
   7134.60  5.8667082E-02
   7134.80  5.7168962E-02
   7135.00  5.5572707E-02
   7135.20  5.3877305E-02
   7135.40  5.2086605E-02
   7135.60  5.0215474E-02
   7135.80  4.8288119E-02
   7136.00  4.6333235E-02
   7136.20  4.4380848E-02
   7136.40  4.2460611E-02
   7136.60  4.0602147E-02
   7136.80  3.8835688E-02
   7137.00  3.7192237E-02
   7137.20  3.5702791E-02
   7137.40  3.4397709E-02
   7137.60  3.3303273E-02
   7137.80  3.2438896E-02
   7138.00  3.1813947E-02
   7138.20  3.1426079E-02
   7138.40  3.1261142E-02
   7138.60  3.1294794E-02
   7138.80  3.1495785E-02
   7139.00  3.1829698E-02
   7139.20  3.2262427E-02
   7139.40  3.2763039E-02
   7139.60  3.3301897E-02
   7139.80  3.3861451E-02
   7140.00  3.4426584E-02
   7140.20  3.4985245E-02
   7140.40  3.5528195E-02
   7140.60  3.6048693E-02
   7140.80  3.6541910E-02
   7141.00  3.7004612E-02
   7141.20  3.7434754E-02
   7141.40  3.7830844E-02
   7141.60  3.8192388E-02
   7141.80  3.8519501E-02
   7142.00  3.8812931E-02
   7142.20  3.9073738E-02
   7142.40  3.9303283E-02
   7142.60  3.9503110E-02
   7142.80  3.9675162E-02
   7143.00  3.9821570E-02
   7143.20  3.9944822E-02
   7143.40  4.0047366E-02
   7143.60  4.0131930E-02
   7143.80  4.0201218E-02
   7144.00  4.0258011E-02
   7144.20  4.0305201E-02
   7144.40  4.0345504E-02
   7144.60  4.0381548E-02
   7144.80  4.0415716E-02
   7145.00  4.0450110E-02
   7145.20  4.0486549E-02
   7145.40  4.0526575E-02
   7145.60  4.0571346E-02
   7145.80  4.0621758E-02
   7146.00  4.0678482E-02
   7146.20  4.0741578E-02
   7146.40  4.0811176E-02
   7146.60  4.0887068E-02
   7146.80  4.0977857E-02
   7147.00  4.1071951E-02
   7147.20  4.1168944E-02
   7147.40  4.1268396E-02
   7147.60  4.1369837E-02
   7147.80  4.1472572E-02
   7148.00  4.1575947E-02
   7148.20  4.1679326E-02
   7148.40  4.1784667E-02
   7148.60  4.1885582E-02
   7148.80  4.1983979E-02
   7149.00  4.2078876E-02
   7149.20  4.2169206E-02
   7149.40  4.2253765E-02
   7149.60  4.2331231E-02
   7149.80  4.2400356E-02
   7150.00  4.2458099E-02
   7150.20  4.2506803E-02
   7150.40  4.2543491E-02
   7150.60  4.2566933E-02
   7150.80  4.2576424E-02
   7151.00  4.2570695E-02
   7151.20  4.2548976E-02
   7151.40  4.2510760E-02
   7151.60  4.2454725E-02
   7151.80  4.2381673E-02
   7152.00  4.2290551E-02
   7152.20  4.2183719E-02
   7152.40  4.2056632E-02
   7152.60  4.1911403E-02
   7152.80  4.1748295E-02
   7153.00  4.1567789E-02
   7153.20  4.1371185E-02
   7153.40  4.1159010E-02
   7153.60  4.0932406E-02
   7153.80  4.0692887E-02
   7154.00  4.0442211E-02
   7154.20  4.0182738E-02
   7154.40  3.9916568E-02
   7154.60  3.9645295E-02
   7154.80  3.9371152E-02
   7155.00  3.9097259E-02
   7155.20  3.8825895E-02
   7155.40  3.8559384E-02
   7155.60  3.8299537E-02
   7155.80  3.8047547E-02
   7156.00  3.7804409E-02
   7156.20  3.7570737E-02
   7156.40  3.7346770E-02
   7156.60  3.7132406E-02
   7156.80  3.6924885E-02
   7157.00  3.6728907E-02
   7157.20  3.6540821E-02
   7157.40  3.6357929E-02
   7157.60  3.6183204E-02
   7157.80  3.6013745E-02
   7158.00  3.5848721E-02
   7158.20  3.5687382E-02
   7158.40  3.5529320E-02
   7158.60  3.5373857E-02
   7158.80  3.5220395E-02
   7159.00  3.5068570E-02
   7159.20  3.4918100E-02
   7159.40  3.4768763E-02
   7159.60  3.4620369E-02
   7159.80  3.4472746E-02
   7160.00  3.4326104E-02
   7160.20  3.4177053E-02
