  7112.000   26  1  1  3.0649718E-02 -4.0560956E+00 -2.0961274E+00  1  1  7.2667123E+03  0.0000000E+00  0.0000000E+00  3.7407637E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0448258E-05
   7097.20  2.0550126E-05
   7097.40  2.0712075E-05
   7097.60  2.0941524E-05
   7097.80  2.1252988E-05
   7098.00  2.1670521E-05
   7098.20  2.2234303E-05
   7098.40  2.3013374E-05
   7098.60  2.4133562E-05
   7098.80  2.5845945E-05
   7099.00  2.8722489E-05
   7099.20  3.4356876E-05
   7099.40  4.9019795E-05
   7099.60  1.2588209E-04
   7099.80  6.5030369E-03
   7100.00  3.7450043E-04
   7100.20  1.1479051E-03
   7100.40  2.4476756E-03
   7100.60  5.3877922E-04
   7100.80  6.6580617E-05
   7101.00  7.4623782E-05
   7101.20  1.1838037E-03
   7101.40  1.3385400E-03
   7101.60  1.8101476E-04
   7101.80  3.3161939E-03
   7102.00  1.0279371E-04
   7102.20  5.7314372E-04
   7102.40  1.2108519E-02
   7102.60  1.0218028E-04
   7102.80  1.0772233E-04
   7103.00  4.0212929E-03
   7103.20  5.6603889E-03
   7103.40  9.9819895E-05
   7103.60  1.0255128E-04
   7103.80  2.2407198E-04
   7104.00  2.7789985E-04
   7104.20  4.0761678E-04
   7104.40  5.0582567E-04
   7104.60  2.9494007E-03
   7104.80  1.5291591E-03
   7105.00  3.8214992E-03
   7105.20  2.0384245E-03
   7105.40  5.5017518E-04
   7105.60  6.9548813E-03
   7105.80  5.4674685E-03
   7106.00  7.8525198E-04
   7106.20  1.1642459E-02
   7106.40  4.4302323E-04
   7106.60  2.1306667E-04
   7106.80  2.9155536E-04
   7107.00  6.2899350E-03
   7107.20  1.7885735E-03
   7107.40  7.1882097E-03
   7107.60  1.3610776E-03
   7107.80  5.1705825E-03
   7108.00  8.9388707E-04
   7108.20  2.1726603E-04
   7108.40  9.3331100E-04
   7108.60  2.3153596E-03
   7108.80  5.3592131E-03
   7109.00  2.7830898E-03
   7109.20  4.6491591E-03
   7109.40  2.0602622E-02
   7109.60  1.0148299E-02
   7109.80  8.6769744E-03
   7110.00  8.4231198E-03
   7110.20  1.4173016E-02
   7110.40  2.7523825E-02
   7110.60  3.2367107E-02
   7110.80  3.1220730E-02
   7111.00  2.9119117E-02
   7111.20  2.7139692E-02
   7111.40  2.9546938E-02
   7111.60  3.2078126E-02
   7111.80  2.8035925E-02
   7112.00  2.8477030E-02
   7112.20  3.0459576E-02
   7112.40  3.0585442E-02
   7112.60  2.1669153E-02
   7112.80  1.4642839E-02
   7113.00  1.0959296E-02
