  7112.000   26  1  1  2.8682139E-02 -4.2003644E-01 -2.6251782E+00  1  1  7.2665989E+03  0.0000000E+00  0.0000000E+00  1.9308625E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.8875364E-05
   7097.20  1.8916711E-05
   7097.40  1.8970358E-05
   7097.60  1.9037423E-05
   7097.80  1.9119631E-05
   7098.00  1.9219068E-05
   7098.20  1.9338469E-05
   7098.40  1.9481293E-05
   7098.60  1.9652419E-05
   7098.80  1.9858072E-05
   7099.00  2.0106765E-05
   7099.20  2.0410308E-05
   7099.40  2.0786236E-05
   7099.60  2.1259976E-05
   7099.80  2.1871052E-05
   7100.00  2.2683690E-05
   7100.20  2.3811174E-05
   7100.40  2.5466038E-05
   7100.60  2.8098213E-05
   7100.80  3.2832856E-05
   7101.00  4.3268390E-05
   7101.20  7.7536492E-05
   7101.40  4.4941120E-04
   7101.60  5.6649132E-04
   7101.80  1.2293194E-04
   7102.00  6.0913912E-04
   7102.20  2.2124129E-04
   7102.40  1.7707481E-04
   7102.60  2.0329542E-03
   7102.80  5.2987923E-04
   7103.00  1.0798600E-04
   7103.20  5.7992542E-05
   7103.40  4.2990513E-05
   7103.60  3.7020152E-05
   7103.80  3.4773620E-05
   7104.00  3.5079704E-05
   7104.20  3.9616245E-05
   7104.40  7.1951176E-05
   7104.60  5.3252694E-04
   7104.80  6.1919479E-05
   7105.00  7.8701236E-05
   7105.20  3.5305157E-04
   7105.40  1.4787282E-02
   7105.60  1.6766570E-04
   7105.80  6.4882813E-05
   7106.00  4.8824544E-05
   7106.20  4.5039412E-05
   7106.40  4.5738827E-05
   7106.60  4.9788598E-05
   7106.80  5.8743230E-05
   7107.00  8.0285745E-05
   7107.20  2.1932187E-04
   7107.40  5.3321751E-04
   7107.60  4.1709455E-03
   7107.80  3.3521983E-04
   7108.00  5.0610099E-04
   7108.20  2.4533224E-04
