  7112.000   26  1  1  1.2101384E-02 -4.7161656E+00 -3.4888071E-01  1  1  7.2647028E+03  0.0000000E+00  0.0000000E+00  4.6387362E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.3689689E-05
   7097.20  3.6840673E-05
   7097.40  3.3134655E-05
   7097.60  3.1079874E-05
   7097.80  3.0134528E-05
   7098.00  3.0231961E-05
   7098.20  3.1873030E-05
   7098.40  3.7295347E-05
   7098.60  6.0289546E-05
   7098.80  9.6468671E-04
   7099.00  1.6543251E-04
   7099.20  1.1660043E-04
   7099.40  5.8510810E-04
   7099.60  5.4205129E-05
   7099.80  3.6922302E-05
   7100.00  3.4486644E-05
   7100.20  4.1361924E-05
   7100.40  4.6608519E-04
   7100.60  6.6576114E-04
   7100.80  1.1141165E-04
   7101.00  5.8578974E-03
   7101.20  1.4001260E-04
   7101.40  6.6163128E-04
   7101.60  7.4468926E-05
   7101.80  1.1039382E-04
   7102.00  1.1527356E-04
   7102.20  8.5146893E-04
   7102.40  1.2399736E-03
   7102.60  2.2243587E-04
   7102.80  4.8476500E-04
   7103.00  1.5052326E-04
   7103.20  4.3592362E-04
   7103.40  1.0718959E-03
   7103.60  8.1837944E-05
   7103.80  5.6559279E-05
   7104.00  6.9689157E-05
   7104.20  1.7260687E-04
   7104.40  1.1722393E-03
   7104.60  5.4910321E-04
   7104.80  1.3472529E-04
   7105.00  3.5065276E-04
   7105.20  6.8229010E-04
   7105.40  1.5564357E-04
   7105.60  3.6615342E-03
   7105.80  1.0260919E-02
   7106.00  2.6293488E-04
   7106.20  1.0731671E-03
   7106.40  5.8636294E-03
   7106.60  5.9961375E-04
   7106.80  3.2209017E-03
   7107.00  2.5550456E-03
   7107.20  3.9019105E-02
   7107.40  1.2910862E-03
   7107.60  3.2045467E-04
   7107.80  6.9206405E-03
   7108.00  1.4631185E-02
   7108.20  3.6653586E-03
   7108.40  7.4469771E-03
   7108.60  1.4653916E-02
   7108.80  2.6003772E-02
   7109.00  9.6953260E-03
   7109.20  7.5382558E-03
   7109.40  6.8429490E-03
   7109.60  1.0666867E-02
   7109.80  9.3124084E-03
   7110.00  1.2517331E-02
   7110.20  9.5961662E-03
   7110.40  1.2209780E-02
   7110.60  1.6222374E-02
   7110.80  1.7172240E-02
   7111.00  1.5800472E-02
   7111.20  1.3583991E-02
   7111.40  1.2972684E-02
   7111.60  1.5481039E-02
   7111.80  2.1029761E-02
   7112.00  2.4990875E-02
   7112.20  1.4890299E-02
   7112.40  1.0125367E-02
   7112.60  8.1114548E-03
   7112.80  6.3564994E-03
   7113.00  5.2475727E-03
   7113.20  4.8861981E-03
   7113.40  5.4225585E-03
   7113.60  5.0305511E-03
   7113.80  4.5007127E-03
   7114.00  4.4080194E-03
   7114.20  4.7022416E-03
   7114.40  5.6184049E-03
   7114.60  8.1183584E-03
   7114.80  1.1248422E-02
   7115.00  8.0091673E-03
   7115.20  4.6678648E-03
   7115.40  3.4883075E-03
   7115.60  3.7708338E-03
   7115.80  4.5202775E-03
   7116.00  5.1025198E-03
   7116.20  5.9888632E-03
   7116.40  7.5936191E-03
   7116.60  1.0092517E-02
   7116.80  1.3148391E-02
   7117.00  1.5768203E-02
   7117.20  1.7306087E-02
   7117.40  1.8021636E-02
   7117.60  1.8112675E-02
   7117.80  1.7417827E-02
   7118.00  1.6325880E-02
   7118.20  1.5354607E-02
   7118.40  1.4533987E-02
   7118.60  1.3977532E-02
   7118.80  1.3876506E-02
   7119.00  1.4196908E-02
   7119.20  1.4749896E-02
   7119.40  1.5332079E-02
   7119.60  1.5811054E-02
   7119.80  1.6155636E-02
   7120.00  1.6404683E-02
   7120.20  1.6613118E-02
   7120.40  1.6811771E-02
   7120.60  1.7011007E-02
