  7112.000   26  1  1  1.4825969E-02 -3.0880485E+00 -2.6411275E+00  1  1  7.2663518E+03  0.0000000E+00  0.0000000E+00  2.5503068E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0015671E-05
   7097.20  2.0362258E-05
   7097.40  2.1260503E-05
   7097.60  2.5596496E-05
   7097.80  1.0797500E-03
   7098.00  2.7370225E-05
   7098.20  2.1851279E-05
   7098.40  2.1066860E-05
   7098.60  2.1261340E-05
   7098.80  1.2156513E-04
   7099.00  2.1518318E-05
   7099.20  2.1190277E-05
   7099.40  2.1483412E-05
   7099.60  2.1720539E-05
   7099.80  2.2037307E-05
   7100.00  2.2668400E-05
   7100.20  2.4204331E-05
   7100.40  1.1199328E-04
   7100.60  2.6760930E-05
   7100.80  2.9843343E-05
   7101.00  3.9624112E-05
   7101.20  9.5097419E-05
   7101.40  1.1779443E-02
   7101.60  3.2573318E-04
   7101.80  4.7799054E-05
   7102.00  3.3697507E-05
   7102.20  3.0052372E-05
   7102.40  2.9667267E-05
   7102.60  6.9232187E-05
   7102.80  3.6400576E-05
   7103.00  3.7963292E-05
   7103.20  3.3215807E-05
   7103.40  4.4387030E-05
   7103.60  6.3801771E-05
   7103.80  4.6438766E-04
   7104.00  4.5266138E-04
   7104.20  5.2254154E-05
   7104.40  5.0102251E-05
   7104.60  5.2179472E-05
   7104.80  7.0125913E-05
   7105.00  1.6361140E-04
   7105.20  1.1900556E-02
   7105.40  2.4147461E-04
   7105.60  9.2242768E-05
   7105.80  8.0546237E-05
   7106.00  9.4956569E-05
   7106.20  2.3741556E-04
   7106.40  2.9158758E-04
   7106.60  4.5046398E-02
   7106.80  1.0336070E-03
   7107.00  6.5996832E-02
   7107.20  5.2980578E-04
   7107.40  2.5352395E-04
   7107.60  2.8667993E-04
   7107.80  6.4556984E-03
   7108.00  2.1064902E-02
   7108.20  9.2982135E-04
   7108.40  2.0496717E-02
   7108.60  5.9667277E-02
   7108.80  3.7523403E-03
   7109.00  2.4690493E-03
   7109.20  6.1910785E-02
   7109.40  1.2756964E-02
   7109.60  5.4325428E-03
   7109.80  2.1383864E-02
   7110.00  1.8064419E-02
   7110.20  8.8051338E-03
   7110.40  1.0174370E-02
   7110.60  5.6352205E-03
   7110.80  5.6505833E-03
   7111.00  5.4898989E-03
   7111.20  5.8623929E-03
   7111.40  7.2178669E-03
   7111.60  9.9229432E-03
   7111.80  1.6710943E-02
   7112.00  3.1105779E-02
   7112.20  7.3503066E-02
   7112.40  1.4250563E-01
   7112.60  1.2825362E-01
   7112.80  1.2632267E-01
   7113.00  9.3987473E-02
   7113.20  5.9090253E-02
   7113.40  4.0732942E-02
   7113.60  3.0020169E-02
   7113.80  2.2112768E-02
   7114.00  1.7391607E-02
   7114.20  1.4580137E-02
   7114.40  1.2746092E-02
   7114.60  1.1427185E-02
   7114.80  1.0406002E-02
   7115.00  9.4582054E-03
   7115.20  8.8110752E-03
   7115.40  8.2983738E-03
   7115.60  7.9136101E-03
   7115.80  7.5567113E-03
   7116.00  7.4603872E-03
   7116.20  7.5352328E-03
   7116.40  7.8138298E-03
   7116.60  8.3003283E-03
   7116.80  8.8729636E-03
   7117.00  9.2826775E-03
   7117.20  9.4803457E-03
   7117.40  9.5870568E-03
   7117.60  9.5519904E-03
   7117.80  9.4650636E-03
   7118.00  9.5044945E-03
   7118.20  9.6188506E-03
   7118.40  9.6307193E-03
   7118.60  9.5263401E-03
   7118.80  9.4013613E-03
