  7112.000   26  1  1  1.5645180E-02 -2.6317065E+00 -1.6491005E+00  1  1  7.2656222E+03  0.0000000E+00  0.0000000E+00  3.0832484E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0264042E-05
   7097.20  2.0412424E-05
   7097.40  2.0601323E-05
   7097.60  2.0841953E-05
   7097.80  2.1151792E-05
   7098.00  2.1558482E-05
   7098.20  2.2108275E-05
   7098.40  2.2884369E-05
   7098.60  2.4050639E-05
   7098.80  2.5976425E-05
   7099.00  2.9679170E-05
   7099.20  3.9103232E-05
   7099.40  8.6770349E-05
   7099.60  6.1644549E-03
   7099.80  1.3702316E-04
   7100.00  2.9788807E-03
   7100.20  1.2013524E-04
   7100.40  2.9349636E-03
   7100.60  1.2418002E-04
   7100.80  5.0083940E-05
   7101.00  5.1731973E-05
   7101.20  1.1506629E-04
   7101.40  3.6878464E-05
   7101.60  3.7664658E-05
   7101.80  4.3954030E-05
   7102.00  6.1502751E-05
   7102.20  1.4144504E-04
   7102.40  1.2729057E-02
   7102.60  2.2193545E-04
   7102.80  2.9164729E-04
   7103.00  1.6070350E-03
   7103.20  4.9497361E-04
   7103.40  1.9888878E-04
   7103.60  1.3103703E-04
   7103.80  4.8874522E-04
   7104.00  2.5665823E-03
   7104.20  8.4100632E-04
   7104.40  3.0188219E-04
   7104.60  1.7744443E-04
   7104.80  4.8513441E-04
   7105.00  9.7485172E-04
   7105.20  1.6019427E-04
   7105.40  9.0653155E-05
   7105.60  1.7002233E-04
   7105.80  1.8675995E-03
   7106.00  2.2635111E-04
   7106.20  1.0233603E-04
   7106.40  2.4326739E-04
   7106.60  3.1868612E-04
   7106.80  1.6040067E-04
   7107.00  3.2391453E-04
   7107.20  4.6249948E-03
   7107.40  1.1982604E-02
   7107.60  1.4608341E-02
   7107.80  3.7142385E-04
   7108.00  9.8145260E-04
   7108.20  1.0107242E-03
   7108.40  1.9351662E-02
   7108.60  6.7820952E-04
   7108.80  1.1708840E-02
   7109.00  3.5260501E-03
   7109.20  3.1622170E-02
   7109.40  1.5815172E-02
   7109.60  1.8555327E-03
   7109.80  1.1342625E-02
   7110.00  4.2483946E-03
   7110.20  1.9648198E-02
   7110.40  8.8166473E-03
   7110.60  1.5355837E-02
   7110.80  8.0456820E-03
   7111.00  5.9922597E-03
   7111.20  8.2228990E-03
   7111.40  1.6666742E-02
   7111.60  1.0053334E-02
   7111.80  1.6000975E-02
   7112.00  2.3431139E-02
   7112.20  2.0406269E-02
   7112.40  1.6616310E-02
   7112.60  2.3122542E-02
   7112.80  2.0072521E-02
   7113.00  2.3329351E-02
   7113.20  3.0299404E-02
   7113.40  3.0387850E-02
   7113.60  3.1597343E-02
   7113.80  4.4412511E-02
   7114.00  6.9953459E-02
   7114.20  8.9488108E-02
   7114.40  7.8215174E-02
   7114.60  3.9497670E-02
   7114.80  2.1856641E-02
   7115.00  1.4408360E-02
   7115.20  1.0821570E-02
   7115.40  8.8261287E-03
   7115.60  7.9735156E-03
   7115.80  7.5995165E-03
   7116.00  7.2133274E-03
   7116.20  6.5704819E-03
   7116.40  6.0908815E-03
   7116.60  5.7988358E-03
   7116.80  5.7189035E-03
   7117.00  5.8594691E-03
   7117.20  6.1913707E-03
   7117.40  6.5424933E-03
   7117.60  6.7020647E-03
   7117.80  6.7381171E-03
   7118.00  6.7313349E-03
   7118.20  6.5547671E-03
   7118.40  6.2342623E-03
   7118.60  5.9884770E-03
   7118.80  5.8968725E-03
   7119.00  5.8835169E-03
   7119.20  5.9601957E-03
   7119.40  6.1096934E-03
   7119.60  6.1862961E-03
   7119.80  6.3196032E-03
   7120.00  6.6323471E-03
   7120.20  7.0228885E-03
   7120.40  7.3025909E-03
   7120.60  7.3410745E-03
   7120.80  7.0018475E-03
   7121.00  6.2828794E-03
   7121.20  5.9140652E-03
   7121.40  5.7319980E-03
   7121.60  5.6518180E-03
   7121.80  5.6982788E-03
   7122.00  5.8720113E-03
   7122.20  6.1668368E-03
   7122.40  6.5948681E-03
   7122.60  7.2385782E-03
   7122.80  8.0385996E-03
   7123.00  8.8273793E-03
   7123.20  9.3113020E-03
   7123.40  9.4747512E-03
   7123.60  9.5515697E-03
   7123.80  9.7268919E-03
   7124.00  1.0075109E-02
   7124.20  1.0625064E-02
   7124.40  1.1385345E-02
   7124.60  1.2324215E-02
   7124.80  1.3333566E-02
   7125.00  1.4269523E-02
   7125.20  1.5098416E-02
   7125.40  1.5877015E-02
   7125.60  1.6581785E-02
