  7112.000   26  1  1  8.2038585E-03 -2.1284745E+00 -1.8472626E+00  1  1  7.2657299E+03  0.0000000E+00  0.0000000E+00  1.5605791E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9675143E-05
   7097.20  1.9740170E-05
   7097.40  1.9826784E-05
   7097.60  1.9937984E-05
   7097.80  2.0078581E-05
   7098.00  2.0255951E-05
   7098.20  2.0481434E-05
   7098.40  2.0772978E-05
   7098.60  2.1160632E-05
   7098.80  2.1698463E-05
   7099.00  2.2493471E-05
   7099.20  2.3787639E-05
   7099.40  2.6243864E-05
   7099.60  3.2325944E-05
   7099.80  5.8714812E-05
   7100.00  1.6152919E-03
   7100.20  9.6319567E-05
   7100.40  4.0717511E-05
   7100.60  3.4618002E-05
   7100.80  3.6287348E-05
   7101.00  4.4276686E-05
   7101.20  6.8409266E-05
   7101.40  1.8497823E-04
   7101.60  1.1057573E-02
   7101.80  2.9354348E-04
   7102.00  8.2701585E-05
   7102.20  4.9593785E-05
   7102.40  3.9370162E-05
   7102.60  3.5826626E-05
   7102.80  3.5582098E-05
   7103.00  3.8566026E-05
   7103.20  4.8878672E-05
   7103.40  1.0765685E-04
   7103.60  1.0339873E-03
   7103.80  4.1435390E-04
   7104.00  5.5255388E-04
   7104.20  9.3026280E-05
   7104.40  8.5195258E-05
   7104.60  1.8155208E-03
   7104.80  1.0697398E-04
   7105.00  5.5863009E-05
   7105.20  5.7674902E-05
   7105.40  1.4051785E-04
   7105.60  3.2232778E-04
   7105.80  1.4238044E-04
   7106.00  3.0928639E-04
   7106.20  7.1485240E-05
   7106.40  6.9146672E-05
   7106.60  1.7696549E-04
   7106.80  1.3674240E-04
   7107.00  1.1473661E-03
   7107.20  3.3320235E-04
   7107.40  9.9505661E-04
   7107.60  2.9518323E-03
   7107.80  1.0286565E-03
   7108.00  3.7837661E-03
   7108.20  1.3041695E-03
