  7112.000   26  1  1  4.3000914E-02 -3.5746442E+00 -3.5931132E-01  1  1  7.2651977E+03  0.0000000E+00  0.0000000E+00  6.8913083E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  6.8121563E-04
   7097.20  1.4288393E-02
   7097.40  1.4629181E-04
   7097.60  6.8239529E-05
   7097.80  5.0691794E-05
   7098.00  4.5180616E-05
   7098.20  4.4920390E-05
   7098.40  4.9303129E-05
   7098.60  6.1565327E-05
   7098.80  9.5690980E-05
   7099.00  2.3714851E-04
   7099.20  3.4981081E-03
   7099.40  8.5335567E-04
   7099.60  1.5996373E-04
   7099.80  7.8854885E-05
   7100.00  5.4747433E-05
   7100.20  4.4981511E-05
   7100.40  4.0727183E-05
   7100.60  3.9410005E-05
   7100.80  4.0399587E-05
   7101.00  4.4290353E-05
   7101.20  5.3874293E-05
   7101.40  8.0500272E-05
   7101.60  2.0707578E-04
   7101.80  4.3991913E-02
   7102.00  6.1116984E-04
   7102.20  9.1257739E-03
   7102.40  1.2185287E-03
   7102.60  7.9508174E-05
   7102.80  5.3978272E-05
   7103.00  4.6189797E-05
   7103.20  4.3690018E-05
   7103.40  4.4838221E-05
   7103.60  8.3958588E-05
   7103.80  6.3999467E-05
   7104.00  5.4981608E-05
   7104.20  7.0049580E-05
   7104.40  1.9349015E-03
   7104.60  1.2147328E-04
   7104.80  8.9362930E-04
   7105.00  7.5210327E-04
   7105.20  3.5358049E-04
   7105.40  9.9657702E-04
   7105.60  5.9718648E-04
   7105.80  1.6155755E-03
   7106.00  4.5773287E-04
   7106.20  4.0509629E-04
   7106.40  3.8629074E-02
   7106.60  3.0174892E-03
   7106.80  8.7386145E-03
   7107.00  1.3434115E-03
   7107.20  1.1530942E-03
   7107.40  4.6988086E-03
   7107.60  1.0350046E-03
   7107.80  8.2672652E-03
   7108.00  3.1255591E-02
   7108.20  1.4671194E-03
   7108.40  2.6535220E-02
   7108.60  4.5737564E-03
   7108.80  2.7881516E-03
   7109.00  9.3499004E-03
   7109.20  4.1453664E-02
   7109.40  1.2472442E-02
   7109.60  4.3045643E-02
   7109.80  4.9577701E-02
   7110.00  3.1543666E-02
   7110.20  4.2873600E-02
   7110.40  3.5155603E-02
   7110.60  1.9064653E-02
   7110.80  1.6714635E-02
   7111.00  1.1520718E-02
   7111.20  6.5324006E-03
   7111.40  6.9909874E-03
   7111.60  8.4292715E-03
   7111.80  1.5066823E-02
   7112.00  1.5009514E-02
   7112.20  2.9061893E-02
   7112.40  1.3046680E-02
   7112.60  5.0554760E-03
   7112.80  3.1422661E-03
   7113.00  2.3637738E-03
   7113.20  1.6242409E-03
   7113.40  1.1327083E-03
   7113.60  8.7635514E-04
   7113.80  7.4140440E-04
   7114.00  6.9875484E-04
   7114.20  8.3707278E-04
   7114.40  3.1837282E-03
   7114.60  2.3517917E-03
   7114.80  7.2078474E-04
   7115.00  5.4836380E-04
   7115.20  5.0338906E-04
   7115.40  4.8815004E-04
   7115.60  4.8570935E-04
   7115.80  4.9491080E-04
   7116.00  5.1706713E-04
   7116.20  5.5156343E-04
   7116.40  5.9364840E-04
   7116.60  6.3608228E-04
   7116.80  6.7563030E-04
   7117.00  7.1659412E-04
   7117.20  7.6452277E-04
   7117.40  8.2143522E-04
   7117.60  8.8919106E-04
   7117.80  9.7040655E-04
   7118.00  1.0634105E-03
   7118.20  1.1624798E-03
   7118.40  1.2700385E-03
   7118.60  1.4063288E-03
   7118.80  1.6007385E-03
   7119.00  1.8691840E-03
   7119.20  2.1799661E-03
   7119.40  2.4358883E-03
   7119.60  2.5889815E-03
   7119.80  2.6710812E-03
   7120.00  2.6933682E-03
   7120.20  2.6656754E-03
   7120.40  2.6131705E-03
   7120.60  2.5594995E-03
   7120.80  2.5140930E-03
   7121.00  2.4728295E-03
   7121.20  2.4269221E-03
   7121.40  2.3737842E-03
   7121.60  2.3199378E-03
   7121.80  2.2748307E-03
   7122.00  2.2488002E-03
   7122.20  2.2600995E-03
   7122.40  2.3144539E-03
   7122.60  2.4214343E-03
   7122.80  2.6007303E-03
   7123.00  2.8650994E-03
   7123.20  3.2391408E-03
   7123.40  3.7650989E-03
   7123.60  4.4768322E-03
   7123.80  5.3254588E-03
   7124.00  6.1140084E-03
   7124.20  6.7423665E-03
   7124.40  7.4068625E-03
   7124.60  8.3472837E-03
   7124.80  9.7409552E-03
   7125.00  1.1783205E-02
   7125.20  1.4763470E-02
   7125.40  1.9083009E-02
   7125.60  2.5100333E-02
   7125.80  3.2714427E-02
   7126.00  4.0107238E-02
   7126.20  4.4461043E-02
   7126.40  4.4744315E-02
   7126.60  4.2471623E-02
   7126.80  3.9807017E-02
   7127.00  3.7469921E-02
   7127.20  3.5347149E-02
   7127.40  3.2972173E-02
   7127.60  3.0273918E-02
   7127.80  2.7951752E-02
   7128.00  2.6555374E-02
   7128.20  2.6039782E-02
