  7112.000   26  1  1  1.0233342E-02 -3.2237727E+00 -8.4562982E-01  1  1  7.2650967E+03  0.0000000E+00  0.0000000E+00  3.5923285E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.8407044E-05
   7097.20  3.6284515E-05
   7097.40  3.1095819E-05
   7097.60  2.8446253E-05
   7097.80  2.7010424E-05
   7098.00  2.6295813E-05
   7098.20  2.6134554E-05
   7098.40  2.6575816E-05
   7098.60  2.8036755E-05
   7098.80  3.2297385E-05
   7099.00  5.2068178E-05
   7099.20  2.0921006E-03
   7099.40  7.5898346E-05
   7099.60  1.4675056E-04
   7099.80  7.7641796E-05
   7100.00  3.7217522E-05
   7100.20  3.4607417E-05
   7100.40  3.7087936E-05
   7100.60  4.5418105E-05
   7100.80  9.1034979E-05
   7101.00  2.4600888E-04
   7101.20  3.8763113E-04
   7101.40  1.0733215E-03
   7101.60  3.1293829E-04
   7101.80  1.5751195E-04
   7102.00  2.2752696E-04
   7102.20  1.0783842E-04
   7102.40  2.6370389E-04
   7102.60  9.3799091E-04
   7102.80  5.2830647E-02
   7103.00  5.1023549E-04
   7103.20  4.8945566E-04
   7103.40  1.5053635E-04
   7103.60  1.5456642E-04
   7103.80  1.4846978E-04
   7104.00  1.4813464E-03
   7104.20  2.8487379E-03
   7104.40  6.4741110E-03
   7104.60  2.7598910E-04
   7104.80  3.6377493E-04
   7105.00  2.1862483E-04
   7105.20  7.5190331E-04
   7105.40  2.0793289E-04
   7105.60  9.3089103E-03
   7105.80  1.1233063E-03
   7106.00  2.6041288E-02
   7106.20  5.3591947E-03
   7106.40  1.1763665E-03
   7106.60  8.7384560E-03
   7106.80  2.1070945E-02
   7107.00  9.9441431E-03
   7107.20  8.7883280E-02
   7107.40  6.5682277E-02
   7107.60  8.2334516E-04
   7107.80  8.9584296E-04
   7108.00  1.2805969E-03
   7108.20  9.6166959E-04
   7108.40  9.1254513E-04
   7108.60  3.8550785E-03
   7108.80  5.6976523E-03
   7109.00  2.3303293E-03
   7109.20  5.0453719E-03
   7109.40  3.5246749E-03
   7109.60  3.4260010E-03
   7109.80  6.6223569E-03
   7110.00  4.2733993E-03
   7110.20  8.7346658E-03
