  7112.000   26  1  1  2.5889779E-02 -3.9288156E+00 -1.8124232E+00  1  1  7.2661532E+03  0.0000000E+00  0.0000000E+00  3.8962202E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0239910E-05
   7097.20  2.0525698E-05
   7097.40  2.0953720E-05
   7097.60  2.1686504E-05
   7097.80  2.3346711E-05
   7098.00  3.1356127E-05
   7098.20  4.6105213E-04
   7098.40  3.1852644E-05
   7098.60  3.6466513E-05
   7098.80  1.5784842E-04
   7099.00  1.0374098E-04
   7099.20  3.6665343E-04
   7099.40  1.0632808E-04
   7099.60  3.7686467E-05
   7099.80  3.0450297E-05
   7100.00  2.9648498E-05
   7100.20  3.1959837E-05
   7100.40  3.9931270E-05
   7100.60  8.8127772E-05
   7100.80  9.8772969E-04
   7101.00  1.9032261E-04
   7101.20  1.4447398E-03
   7101.40  6.9267230E-05
   7101.60  1.5103539E-04
   7101.80  4.3574056E-05
   7102.00  4.8330083E-05
   7102.20  6.8481007E-05
   7102.40  2.0336182E-04
   7102.60  6.4139015E-04
   7102.80  5.0761591E-04
   7103.00  4.0414737E-03
   7103.20  1.7167804E-03
   7103.40  4.6450842E-04
   7103.60  1.1750510E-04
   7103.80  7.9692378E-04
   7104.00  1.7942108E-02
   7104.20  7.3517334E-03
   7104.40  1.1075686E-04
   7104.60  8.3214128E-05
   7104.80  9.2188619E-05
   7105.00  1.4215244E-04
   7105.20  6.5217332E-04
   7105.40  4.1234758E-03
   7105.60  1.0276208E-02
   7105.80  5.4146549E-04
   7106.00  8.5321874E-03
   7106.20  8.1923576E-04
   7106.40  2.5558360E-03
   7106.60  4.3786347E-04
   7106.80  1.1363712E-02
   7107.00  9.7577171E-02
   7107.20  6.7847306E-04
   7107.40  1.6400514E-03
   7107.60  5.7723348E-03
   7107.80  8.3099917E-04
   7108.00  4.6804335E-04
   7108.20  1.5505432E-03
   7108.40  4.0535356E-04
   7108.60  5.2193407E-03
   7108.80  8.4161808E-03
   7109.00  1.5932232E-02
   7109.20  6.9145361E-03
   7109.40  7.0556111E-03
   7109.60  2.0409391E-02
   7109.80  2.8591882E-02
   7110.00  1.4225817E-02
   7110.20  1.2419415E-02
   7110.40  1.6227599E-02
   7110.60  1.8795256E-02
   7110.80  3.0106302E-02
   7111.00  4.4087446E-02
   7111.20  3.8721077E-02
   7111.40  3.2205213E-02
   7111.60  3.3722477E-02
   7111.80  3.2684845E-02
   7112.00  2.8407594E-02
   7112.20  2.8242494E-02
   7112.40  2.6884450E-02
   7112.60  2.2764722E-02
   7112.80  2.6330718E-02
   7113.00  3.1861475E-02
   7113.20  3.3536740E-02
   7113.40  2.1780862E-02
   7113.60  1.2373180E-02
   7113.80  8.0438977E-03
   7114.00  5.7143396E-03
   7114.20  4.7337514E-03
   7114.40  4.5256264E-03
   7114.60  5.3771003E-03
   7114.80  8.6491452E-03
   7115.00  1.5302062E-02
   7115.20  1.1569543E-02
   7115.40  6.8133240E-03
   7115.60  6.9790970E-03
   7115.80  4.7120424E-03
   7116.00  2.6591178E-03
   7116.20  1.9949499E-03
   7116.40  1.7290689E-03
   7116.60  1.6228111E-03
   7116.80  1.6034544E-03
   7117.00  1.6273623E-03
   7117.20  1.7028227E-03
   7117.40  1.8119143E-03
   7117.60  1.9656078E-03
   7117.80  2.1892411E-03
   7118.00  2.5196630E-03
   7118.20  2.9897768E-03
   7118.40  3.4244398E-03
   7118.60  3.7291171E-03
   7118.80  4.3611828E-03
   7119.00  5.3971159E-03
   7119.20  6.5179797E-03
   7119.40  7.2977795E-03
   7119.60  7.7950755E-03
   7119.80  8.4840774E-03
   7120.00  8.7310870E-03
   7120.20  7.8464917E-03
   7120.40  7.2559884E-03
   7120.60  7.3872605E-03
   7120.80  8.0670057E-03
