  7112.000   26  1  1  9.3495557E-03 -2.8932654E+00 -2.6304935E-01  1  1  7.2650580E+03  0.0000000E+00  0.0000000E+00  2.4583259E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.1382489E-03
   7097.20  9.3635847E-03
   7097.40  2.7416866E-04
   7097.60  1.0346759E-04
   7097.80  6.6975940E-05
   7098.00  5.2342292E-05
   7098.20  4.5192671E-05
   7098.40  4.1713680E-05
   7098.60  4.0698837E-05
   7098.80  4.2108665E-05
   7099.00  4.7184350E-05
   7099.20  6.0533752E-05
   7099.40  1.0271611E-04
   7099.60  3.7426337E-04
   7099.80  9.5191476E-03
   7100.00  2.4487381E-04
   7100.20  4.2489200E-04
   7100.40  2.8666942E-04
   7100.60  7.1178293E-05
   7100.80  4.8312773E-05
   7101.00  4.1724820E-05
   7101.20  4.0536840E-05
   7101.40  4.4218843E-05
   7101.60  6.2367346E-05
   7101.80  3.7869073E-04
   7102.00  4.0017026E-04
   7102.20  1.4511293E-04
   7102.40  1.3057821E-04
   7102.60  3.0914618E-04
   7102.80  5.0820106E-04
   7103.00  2.0179425E-04
   7103.20  1.0902535E-02
   7103.40  1.0736377E-04
   7103.60  7.4340967E-05
   7103.80  5.5008932E-05
   7104.00  7.5556634E-04
   7104.20  1.4716898E-04
   7104.40  1.0144724E-04
   7104.60  9.8429949E-05
   7104.80  2.2867655E-04
   7105.00  1.0218720E-02
   7105.20  6.3400956E-04
   7105.40  3.4915575E-03
   7105.60  2.1663820E-03
   7105.80  1.3943651E-03
   7106.00  5.2210191E-04
   7106.20  8.2084897E-02
   7106.40  4.4691703E-04
   7106.60  2.2642748E-03
   7106.80  2.3344825E-04
   7107.00  2.1022553E-04
   7107.20  2.1326363E-04
   7107.40  3.6792413E-04
   7107.60  2.6495985E-03
   7107.80  6.8317587E-03
   7108.00  7.5425016E-03
   7108.20  2.3724779E-03
   7108.40  3.7544995E-03
   7108.60  7.2950922E-03
   7108.80  2.3546053E-03
   7109.00  3.9771038E-02
   7109.20  1.0683457E-01
   7109.40  2.7525261E-03
   7109.60  2.0498043E-02
   7109.80  3.0856459E-02
   7110.00  5.2549714E-03
   7110.20  1.4194147E-02
   7110.40  3.9544870E-02
   7110.60  2.2169666E-02
   7110.80  1.4900550E-02
   7111.00  2.2929195E-02
   7111.20  7.3638197E-02
   7111.40  4.3875448E-02
   7111.60  1.6754273E-02
   7111.80  1.0096777E-02
   7112.00  1.1047864E-02
   7112.20  1.6757305E-02
   7112.40  2.5782772E-02
   7112.60  9.8992205E-03
   7112.80  7.9628448E-03
   7113.00  1.8207807E-02
   7113.20  1.7166165E-02
   7113.40  5.5949358E-03
   7113.60  4.6311479E-03
   7113.80  3.9196820E-03
   7114.00  2.8343466E-03
   7114.20  2.2017826E-03
   7114.40  1.9794681E-03
   7114.60  2.3911024E-03
   7114.80  3.1820277E-03
   7115.00  1.6036545E-03
   7115.20  2.5985327E-03
   7115.40  2.6568653E-03
   7115.60  8.7332179E-04
   7115.80  6.5241618E-04
   7116.00  5.8202479E-04
   7116.20  5.5089524E-04
   7116.40  5.3850168E-04
   7116.60  5.3892399E-04
   7116.80  5.4877614E-04
   7117.00  5.6409018E-04
   7117.20  5.8003701E-04
   7117.40  5.9235047E-04
   7117.60  5.9911467E-04
   7117.80  6.0168851E-04
   7118.00  6.0458284E-04
   7118.20  6.1400873E-04
   7118.40  6.3552685E-04
   7118.60  6.7287786E-04
