  7112.000   26  1  1  2.4309255E-02 -1.1308670E+00  0.0000000E+00  1  1  7.2639193E+03  0.0000000E+00  0.0000000E+00  4.8831129E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0673679E-02
   7097.20  7.6800793E-04
   7097.40  1.6842630E-04
   7097.60  8.1640231E-05
   7097.80  5.3924026E-05
   7098.00  4.1711977E-05
   7098.20  3.5322869E-05
   7098.40  3.1611316E-05
   7098.60  2.9311192E-05
   7098.80  2.7837120E-05
   7099.00  2.6890451E-05
   7099.20  2.6311998E-05
   7099.40  2.6022376E-05
   7099.60  2.5996755E-05
   7099.80  2.6276900E-05
   7100.00  2.7048286E-05
   7100.20  2.9635971E-05
   7100.40  3.5632261E-05
   7100.60  1.2187862E-04
   7100.80  1.0109413E-04
   7101.00  3.7003794E-05
   7101.20  3.2424529E-05
   7101.40  3.2490363E-05
   7101.60  3.4274935E-05
   7101.80  3.7696769E-05
   7102.00  4.3821751E-05
   7102.20  5.5998267E-05
   7102.40  8.6828320E-05
   7102.60  2.2239458E-04
   7102.80  1.0596706E-02
   7103.00  4.8295289E-04
   7103.20  9.8779469E-04
   7103.40  1.3813085E-04
   7103.60  1.4456677E-04
   7103.80  3.4107918E-04
   7104.00  9.6347729E-03
   7104.20  7.1810447E-04
   7104.40  1.8216781E-04
   7104.60  9.5453075E-05
   7104.80  7.9407550E-05
   7105.00  3.1734968E-04
   7105.20  6.5824531E-05
   7105.40  1.1634472E-04
   7105.60  8.5716173E-05
   7105.80  6.7189962E-05
   7106.00  7.4282859E-05
   7106.20  9.6494336E-05
   7106.40  3.5923399E-04
   7106.60  2.2227326E-04
   7106.80  1.8544436E-04
   7107.00  3.5385271E-04
   7107.20  8.5304392E-04
   7107.40  1.3399269E-02
   7107.60  2.6120400E-03
   7107.80  6.4752280E-04
   7108.00  6.0931298E-04
   7108.20  6.0630608E-03
   7108.40  1.2452756E-01
   7108.60  3.3638086E-03
   7108.80  8.2525627E-03
   7109.00  8.9548003E-04
   7109.20  3.2469616E-03
   7109.40  8.5026672E-03
   7109.60  6.4043337E-04
   7109.80  5.7698956E-04
   7110.00  1.4531936E-03
   7110.20  5.9873273E-04
   7110.40  2.4685077E-04
   7110.60  3.1201400E-04
   7110.80  6.0038272E-03
   7111.00  2.3188106E-03
   7111.20  8.1673171E-04
   7111.40  4.7885566E-03
   7111.60  3.8865152E-02
   7111.80  1.4409594E-02
   7112.00  2.1628519E-01
   7112.20  1.2002822E-02
   7112.40  4.3609629E-03
   7112.60  4.8209491E-03
   7112.80  7.0727220E-03
   7113.00  2.1558160E-02
   7113.20  4.8461683E-02
   7113.40  3.6031754E-02
   7113.60  2.4634415E-02
   7113.80  1.7584977E-02
   7114.00  1.0872154E-02
   7114.20  9.4944952E-03
   7114.40  1.0061606E-02
   7114.60  1.1726346E-02
   7114.80  1.3812681E-02
   7115.00  1.4745120E-02
   7115.20  1.3251976E-02
   7115.40  1.5505587E-02
   7115.60  7.5853346E-03
   7115.80  4.0012963E-03
   7116.00  2.7840452E-03
   7116.20  2.0787788E-03
   7116.40  1.7283791E-03
   7116.60  1.7237344E-03
   7116.80  1.9557617E-03
   7117.00  1.2781942E-03
   7117.20  1.0333687E-03
   7117.40  9.2143441E-04
   7117.60  8.5157089E-04
   7117.80  8.0164572E-04
   7118.00  7.7084827E-04
   7118.20  7.5665442E-04
   7118.40  7.5839658E-04
   7118.60  7.7830024E-04
   7118.80  8.2132484E-04
   7119.00  8.9567061E-04
   7119.20  1.0133091E-03
   7119.40  1.1900405E-03
   7119.60  1.4462448E-03
   7119.80  1.8124577E-03
   7120.00  2.3607661E-03
   7120.20  3.2048450E-03
   7120.40  4.4607437E-03
   7120.60  6.1732370E-03
   7120.80  8.0956144E-03
   7121.00  9.4948296E-03
   7121.20  9.6687486E-03
   7121.40  8.8448014E-03
   7121.60  7.7815474E-03
   7121.80  6.9688609E-03
   7122.00  6.5609323E-03
   7122.20  6.3740101E-03
   7122.40  6.0209701E-03
   7122.60  5.5873695E-03
   7122.80  5.2392563E-03
   7123.00  5.0409894E-03
   7123.20  5.0262409E-03
   7123.40  5.2059484E-03
   7123.60  5.5959255E-03
   7123.80  6.2499111E-03
   7124.00  7.2029363E-03
   7124.20  8.5632560E-03
   7124.40  1.0571720E-02
   7124.60  1.3190719E-02
   7124.80  1.6155266E-02
   7125.00  1.9144696E-02
   7125.20  2.1802333E-02
   7125.40  2.4252795E-02
   7125.60  2.7021166E-02
   7125.80  3.0618036E-02
   7126.00  3.5174702E-02
   7126.20  4.0169899E-02
   7126.40  4.4244373E-02
   7126.60  4.6031092E-02
   7126.80  4.5848538E-02
   7127.00  4.4908665E-02
   7127.20  4.3816503E-02
   7127.40  4.2758213E-02
   7127.60  4.1949604E-02
   7127.80  4.1192705E-02
   7128.00  3.9934550E-02
   7128.20  3.8132201E-02
   7128.40  3.6644444E-02
   7128.60  3.6068813E-02
   7128.80  3.6465713E-02
   7129.00  3.7713966E-02
   7129.20  3.9885619E-02
   7129.40  4.2524961E-02
   7129.60  4.5489519E-02
   7129.80  4.8383672E-02
   7130.00  5.0804338E-02
   7130.20  5.2510635E-02
   7130.40  5.3471006E-02
   7130.60  5.3785272E-02
   7130.80  5.3609974E-02
   7131.00  5.3129980E-02
   7131.20  5.2540580E-02
   7131.40  5.2018302E-02
   7131.60  5.1690834E-02
   7131.80  5.1612217E-02
   7132.00  5.1745675E-02
   7132.20  5.1968018E-02
   7132.40  5.2125396E-02
   7132.60  5.2126077E-02
   7132.80  5.1976418E-02
   7133.00  5.1715960E-02
   7133.20  5.1342555E-02
   7133.40  5.0794694E-02
   7133.60  4.9972980E-02
   7133.80  4.8796966E-02
   7134.00  4.7289913E-02
   7134.20  4.5632985E-02
   7134.40  4.4132007E-02
   7134.60  4.3095532E-02
   7134.80  4.2735078E-02
   7135.00  4.3054498E-02
   7135.20  4.3875991E-02
   7135.40  4.4940368E-02
   7135.60  4.6016309E-02
   7135.80  4.6949038E-02
   7136.00  4.7645635E-02
   7136.20  4.8041340E-02
   7136.40  4.8092691E-02
   7136.60  4.7790416E-02
   7136.80  4.7171717E-02
   7137.00  4.6315251E-02
   7137.20  4.5325522E-02
   7137.40  4.4311655E-02
