  7112.000   26  1  1  2.5094360E-02 -1.7997936E+00 -1.0607125E+00  1  1  7.2656699E+03  0.0000000E+00  0.0000000E+00  2.6888227E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.3716358E-05
   7097.20  5.3248607E-05
   7097.40  1.0537273E-04
   7097.60  5.0267398E-03
   7097.80  2.7137164E-04
   7098.00  6.6161734E-05
   7098.20  4.2831421E-05
   7098.40  3.6270321E-05
   7098.60  3.4398119E-05
   7098.80  3.4976225E-05
   7099.00  3.7980695E-05
   7099.20  4.5124628E-05
   7099.40  6.2732083E-05
   7099.60  1.2134384E-04
   7099.80  6.0425059E-04
   7100.00  2.8111675E-03
   7100.20  1.8584346E-04
   7100.40  7.7740045E-05
   7100.60  9.2799829E-05
   7100.80  4.2660093E-05
   7101.00  3.9066722E-05
   7101.20  3.8878478E-05
   7101.40  4.1810537E-05
   7101.60  5.0204680E-05
   7101.80  7.5636947E-05
   7102.00  2.4182447E-04
   7102.20  1.3153946E-03
   7102.40  6.7703731E-04
   7102.60  2.7361361E-03
   7102.80  2.1382744E-04
   7103.00  7.6570414E-05
   7103.20  6.1519204E-05
   7103.40  2.9416214E-04
   7103.60  7.0019619E-05
   7103.80  4.6977896E-05
   7104.00  5.3480192E-05
   7104.20  1.1919112E-04
   7104.40  2.3042979E-04
   7104.60  4.8349863E-04
   7104.80  1.5859172E-04
   7105.00  3.6765242E-03
   7105.20  3.4433378E-04
   7105.40  7.1717693E-03
   7105.60  9.2460677E-03
   7105.80  1.7840737E-03
   7106.00  2.0948226E-02
   7106.20  3.9494411E-04
   7106.40  1.3321277E-03
   7106.60  8.9708143E-03
   7106.80  3.8706361E-04
   7107.00  5.0834614E-04
   7107.20  5.3824917E-03
   7107.40  4.8929229E-02
   7107.60  4.7667172E-04
   7107.80  1.5121281E-02
   7108.00  5.0497716E-03
   7108.20  3.0180777E-03
   7108.40  9.3977634E-04
   7108.60  6.5006641E-04
   7108.80  1.5229827E-02
   7109.00  8.2735917E-04
   7109.20  2.7670412E-02
   7109.40  2.4723821E-03
   7109.60  1.2224035E-03
   7109.80  4.9734646E-03
   7110.00  1.2551079E-01
   7110.20  9.7982166E-02
   7110.40  4.9366515E-02
   7110.60  5.9405173E-03
   7110.80  4.6668668E-03
   7111.00  7.0368858E-03
   7111.20  1.7065732E-02
   7111.40  1.3922026E-02
   7111.60  1.9795656E-02
   7111.80  1.1892704E-02
   7112.00  1.1309671E-02
   7112.20  1.1898851E-02
   7112.40  9.8052444E-03
   7112.60  1.0393525E-02
   7112.80  1.1000788E-02
   7113.00  1.2719931E-02
   7113.20  1.2067887E-02
   7113.40  1.2813904E-02
   7113.60  1.0771209E-02
   7113.80  7.8451463E-03
   7114.00  8.4879012E-03
   7114.20  2.2679136E-02
   7114.40  5.4473075E-03
   7114.60  2.1671073E-03
   7114.80  1.7041393E-03
   7115.00  1.5702435E-03
   7115.20  1.5551546E-03
   7115.40  1.6280826E-03
   7115.60  1.8023045E-03
   7115.80  2.1076506E-03
   7116.00  2.5548718E-03
   7116.20  2.6865492E-03
   7116.40  2.2988586E-03
   7116.60  1.8267000E-03
   7116.80  1.5345738E-03
   7117.00  1.3931575E-03
   7117.20  1.3370762E-03
   7117.40  1.3330367E-03
   7117.60  1.3702834E-03
   7117.80  1.4435560E-03
   7118.00  1.5539897E-03
   7118.20  1.7108112E-03
   7118.40  1.9319585E-03
   7118.60  2.2468782E-03
   7118.80  2.6963743E-03
   7119.00  3.3347021E-03
   7119.20  4.2373085E-03
   7119.40  5.4676317E-03
   7119.60  6.9836865E-03
   7119.80  8.5928509E-03
   7120.00  1.0026779E-02
   7120.20  1.1051772E-02
   7120.40  1.1697270E-02
   7120.60  1.1970932E-02
   7120.80  1.1826014E-02
   7121.00  1.1505113E-02
   7121.20  1.1206797E-02
   7121.40  1.1003172E-02
   7121.60  1.0915969E-02
   7121.80  1.0950063E-02
   7122.00  1.1118491E-02
   7122.20  1.1414682E-02
   7122.40  1.1889038E-02
   7122.60  1.2591075E-02
   7122.80  1.3553349E-02
   7123.00  1.4777588E-02
   7123.20  1.6224421E-02
   7123.40  1.7805478E-02
   7123.60  1.9402246E-02
   7123.80  2.0926538E-02
   7124.00  2.2418046E-02
   7124.20  2.3893623E-02
   7124.40  2.5402875E-02
   7124.60  2.6855654E-02
   7124.80  2.8526593E-02
   7125.00  3.0948819E-02
   7125.20  3.4182924E-02
   7125.40  3.7839345E-02
   7125.60  4.1313917E-02
   7125.80  4.4341188E-02
   7126.00  4.7096374E-02
   7126.20  4.9323495E-02
   7126.40  5.0776383E-02
   7126.60  5.1668754E-02
   7126.80  5.2007272E-02
   7127.00  5.1460124E-02
   7127.20  4.9982495E-02
   7127.40  4.8018091E-02
   7127.60  4.6192626E-02
   7127.80  4.4511357E-02
   7128.00  4.3007239E-02
   7128.20  4.1851910E-02
   7128.40  4.1155963E-02
   7128.60  4.0793429E-02
   7128.80  4.0620054E-02
   7129.00  4.0611678E-02
   7129.20  4.0811023E-02
   7129.40  4.1257581E-02
   7129.60  4.1973546E-02
   7129.80  4.2923576E-02
   7130.00  4.4060138E-02
   7130.20  4.5287495E-02
   7130.40  4.6486214E-02
   7130.60  4.7546392E-02
   7130.80  4.8397240E-02
   7131.00  4.9016158E-02
   7131.20  4.9436964E-02
   7131.40  4.9737031E-02
