  7112.000   26  1  1  1.9628052E-02 -3.6120055E+00 -2.7958790E+00  1  1  7.2664968E+03  0.0000000E+00  0.0000000E+00  2.2370558E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9435101E-05
   7097.20  1.9467783E-05
   7097.40  1.9509272E-05
   7097.60  1.9559460E-05
   7097.80  1.9618566E-05
   7098.00  1.9687007E-05
   7098.20  1.9765315E-05
   7098.40  1.9854214E-05
   7098.60  1.9954649E-05
   7098.80  2.0067828E-05
   7099.00  2.0195340E-05
   7099.20  2.0339372E-05
   7099.40  2.0503012E-05
   7099.60  2.0691030E-05
   7099.80  2.0911235E-05
   7100.00  2.1177653E-05
   7100.20  2.1518869E-05
   7100.40  2.2002583E-05
   7100.60  2.2830147E-05
   7100.80  2.4866542E-05
   7101.00  3.6492131E-05
   7101.20  4.4858442E-04
   7101.40  3.0810559E-05
   7101.60  2.5648818E-05
   7101.80  2.5114095E-05
   7102.00  2.6056359E-05
   7102.20  1.0079123E-04
   7102.40  3.2092643E-05
   7102.60  3.1598434E-05
   7102.80  2.1965312E-04
   7103.00  3.9547495E-05
   7103.20  3.5270799E-05
   7103.40  4.4708630E-05
   7103.60  9.1532283E-05
   7103.80  3.8096747E-05
   7104.00  4.0638848E-05
   7104.20  6.0379155E-05
   7104.40  1.7805576E-04
   7104.60  4.6949341E-04
   7104.80  7.1945034E-05
   7105.00  1.0564797E-04
   7105.20  3.7703860E-04
   7105.40  8.0005546E-05
   7105.60  8.6919351E-05
   7105.80  1.5639598E-03
   7106.00  2.0673169E-04
   7106.20  1.0807228E-03
   7106.40  2.3108276E-03
   7106.60  9.8550581E-03
   7106.80  4.2482751E-04
   7107.00  2.6242936E-04
   7107.20  2.7240737E-04
   7107.40  8.2335824E-04
   7107.60  5.5456324E-04
   7107.80  3.8666723E-03
   7108.00  7.8071224E-03
   7108.20  2.4583618E-02
   7108.40  3.9734652E-03
   7108.60  6.8202510E-03
   7108.80  3.7490496E-03
   7109.00  1.5694591E-02
   7109.20  1.3917213E-02
   7109.40  1.6299836E-02
   7109.60  1.6715217E-02
   7109.80  1.0706664E-02
   7110.00  6.0381525E-03
   7110.20  3.9948810E-03
   7110.40  6.4813742E-03
   7110.60  1.0531384E-02
   7110.80  4.5572021E-03
