  7112.000   26  1  1  3.2171037E-02 -2.8786875E+00 -6.9842554E-01  1  1  7.2652749E+03  0.0000000E+00  0.0000000E+00  2.9049070E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.1827585E-02
   7097.20  6.9756463E-02
   7097.40  3.8216419E-04
   7097.60  1.4171321E-04
   7097.80  8.2893085E-05
   7098.00  5.8687175E-05
   7098.20  4.6242782E-05
   7098.40  3.8979849E-05
   7098.60  3.4378603E-05
   7098.80  3.1294163E-05
   7099.00  2.9143241E-05
   7099.20  2.7603023E-05
   7099.40  2.6483238E-05
   7099.60  2.5667481E-05
   7099.80  2.5081848E-05
   7100.00  2.4679341E-05
   7100.20  2.4431994E-05
   7100.40  2.4324910E-05
   7100.60  2.4356628E-05
   7100.80  2.4539590E-05
   7101.00  2.4905896E-05
   7101.20  2.5522076E-05
   7101.40  2.6520925E-05
   7101.60  2.8189313E-05
   7101.80  3.1232143E-05
   7102.00  3.7823630E-05
   7102.20  5.8103964E-05
   7102.40  2.3521508E-04
   7102.60  1.2896424E-03
   7102.80  6.8860674E-03
   7103.00  9.7453998E-05
   7103.20  2.1551362E-03
   7103.40  2.2798097E-03
   7103.60  2.0928574E-04
   7103.80  4.8353193E-05
   7104.00  3.8289756E-05
   7104.20  3.5831490E-05
   7104.40  3.5604341E-05
   7104.60  3.6548661E-05
   7104.80  3.8438311E-05
   7105.00  4.1392244E-05
   7105.20  4.5868536E-05
   7105.40  5.2988621E-05
   7105.60  6.5805904E-05
   7105.80  9.5767223E-05
   7106.00  2.4015081E-04
   7106.20  1.6349105E-03
   7106.40  9.4830083E-03
   7106.60  2.6100402E-04
   7106.80  1.6824573E-04
   7107.00  2.2880925E-04
   7107.20  2.9434901E-02
   7107.40  3.9498289E-04
   7107.60  6.9452814E-04
   7107.80  2.7831610E-03
   7108.00  2.7097459E-01
   7108.20  2.1589977E-02
   7108.40  1.1467122E-03
   7108.60  2.3289314E-03
   7108.80  3.1924929E-03
   7109.00  9.5064997E-03
   7109.20  4.1494402E-03
   7109.40  5.4882461E-04
   7109.60  9.7611916E-03
   7109.80  6.0417887E-03
   7110.00  7.6282351E-03
   7110.20  9.9910209E-03
   7110.40  3.6296215E-03
   7110.60  4.4991245E-03
   7110.80  2.0419458E-03
   7111.00  1.0306099E-02
   7111.20  5.9992583E-03
   7111.40  2.8981865E-03
   7111.60  1.3014462E-03
