  7112.000   26  1  1  2.4499152E-02 -3.7559531E+00 -7.0433463E-01  1  1  7.2654190E+03  0.0000000E+00  0.0000000E+00  3.5207300E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0250141E-04
   7097.20  8.8701656E-05
   7097.40  2.0112472E-04
   7097.60  6.4279082E-04
   7097.80  8.3183734E-05
   7098.00  5.9699816E-05
   7098.20  5.9681345E-05
   7098.40  7.2917640E-05
   7098.60  1.1722788E-04
   7098.80  3.5300728E-04
   7099.00  3.3229214E-02
   7099.20  2.0370010E-03
   7099.40  1.9127703E-04
   7099.60  8.8594928E-05
   7099.80  6.1109340E-05
   7100.00  5.1851287E-05
   7100.20  5.7007522E-05
   7100.40  1.3957578E-03
   7100.60  6.9859083E-05
   7100.80  4.9621808E-05
   7101.00  5.5184529E-05
   7101.20  8.4524387E-05
   7101.40  7.2189526E-04
   7101.60  5.5041802E-04
   7101.80  5.2238382E-04
   7102.00  7.8628699E-04
   7102.20  3.0741408E-04
   7102.40  8.9262390E-05
   7102.60  7.6113781E-05
   7102.80  1.7708259E-04
   7103.00  5.9728484E-04
   7103.20  1.3401763E-02
   7103.40  1.2083155E-04
   7103.60  7.0417350E-05
   7103.80  6.6817029E-05
   7104.00  7.6646939E-05
   7104.20  1.1259363E-04
   7104.40  4.7438507E-04
   7104.60  1.6494523E-03
   7104.80  4.2391255E-04
   7105.00  5.9051983E-03
   7105.20  6.4613747E-04
   7105.40  4.1259958E-02
   7105.60  6.6344725E-04
   7105.80  9.9007466E-04
   7106.00  1.0495004E-02
   7106.20  5.9680186E-04
   7106.40  8.1764408E-04
   7106.60  9.1485335E-04
   7106.80  4.1108187E-04
   7107.00  2.1428699E-03
   7107.20  1.7115499E-03
   7107.40  9.9094427E-04
   7107.60  2.5045523E-02
   7107.80  8.7238943E-03
   7108.00  1.6286126E-02
   7108.20  3.6796459E-03
   7108.40  1.7266713E-01
   7108.60  4.7183341E-03
   7108.80  1.6606632E-02
   7109.00  3.6732606E-02
   7109.20  2.0762395E-02
   7109.40  2.5001118E-02
   7109.60  5.2605501E-02
   7109.80  4.4473200E-02
   7110.00  2.4226108E-02
   7110.20  2.3438164E-02
   7110.40  3.0859781E-02
   7110.60  3.3849041E-02
   7110.80  2.1287708E-02
   7111.00  1.7577641E-02
   7111.20  1.6607478E-02
   7111.40  1.2818748E-02
   7111.60  1.1665205E-02
   7111.80  1.9906274E-02
   7112.00  3.1403176E-02
   7112.20  1.6582527E-02
   7112.40  1.0623106E-02
   7112.60  8.5101122E-03
   7112.80  7.3517790E-03
   7113.00  6.6625035E-03
   7113.20  5.8535749E-03
   7113.40  5.0774624E-03
   7113.60  4.0283376E-03
   7113.80  3.0119869E-03
   7114.00  2.4089203E-03
   7114.20  2.0118826E-03
   7114.40  2.0517592E-03
   7114.60  2.6390651E-03
   7114.80  5.0880138E-03
   7115.00  3.3425139E-03
   7115.20  2.2634951E-03
   7115.40  1.7873589E-03
   7115.60  1.6294086E-03
   7115.80  1.5663501E-03
   7116.00  1.5191136E-03
   7116.20  1.4781124E-03
   7116.40  1.4566718E-03
   7116.60  1.4647228E-03
   7116.80  1.5050040E-03
   7117.00  1.5760231E-03
   7117.20  1.6735049E-03
   7117.40  1.7901758E-03
   7117.60  1.9160379E-03
   7117.80  2.0411939E-03
   7118.00  2.1615162E-03
   7118.20  2.2837040E-03
   7118.40  2.4236646E-03
   7118.60  2.5975519E-03
   7118.80  2.8109693E-03
   7119.00  3.0507985E-03
   7119.20  3.2838091E-03
   7119.40  3.4651684E-03
   7119.60  3.5590091E-03
   7119.80  3.5597972E-03
   7120.00  3.4955790E-03
   7120.20  3.4058155E-03
   7120.40  3.3181865E-03
   7120.60  3.2444881E-03
   7120.80  3.1876109E-03
   7121.00  3.1475218E-03
   7121.20  3.1234419E-03
   7121.40  3.1134017E-03
   7121.60  3.1129894E-03
   7121.80  3.1197158E-03
   7122.00  3.1253570E-03
   7122.20  3.1366091E-03
   7122.40  3.1713779E-03
   7122.60  3.2534161E-03
   7122.80  3.4079484E-03
   7123.00  3.6735270E-03
   7123.20  4.0947788E-03
   7123.40  4.6980446E-03
   7123.60  5.5621675E-03
   7123.80  6.7355815E-03
   7124.00  8.1252287E-03
   7124.20  9.2452261E-03
   7124.40  9.7431297E-03
   7124.60  1.0146291E-02
   7124.80  1.0920367E-02
   7125.00  1.2179421E-02
   7125.20  1.3990820E-02
   7125.40  1.6244480E-02
   7125.60  1.8393880E-02
   7125.80  1.9963695E-02
   7126.00  2.1345798E-02
   7126.20  2.2921618E-02
   7126.40  2.4544987E-02
   7126.60  2.5832377E-02
   7126.80  2.6645022E-02
   7127.00  2.7157605E-02
   7127.20  2.7563284E-02
   7127.40  2.7914252E-02
   7127.60  2.8068430E-02
   7127.80  2.8033135E-02
   7128.00  2.8116266E-02
   7128.20  2.8627631E-02
   7128.40  2.9614700E-02
   7128.60  3.0868482E-02
   7128.80  3.2198380E-02
   7129.00  3.3704567E-02
   7129.20  3.5567507E-02
   7129.40  3.7758658E-02
   7129.60  4.0049965E-02
   7129.80  4.2140601E-02
   7130.00  4.3766766E-02
   7130.20  4.4784692E-02
   7130.40  4.5261430E-02
   7130.60  4.5463083E-02
   7130.80  4.5738587E-02
   7131.00  4.6373116E-02
   7131.20  4.7514909E-02
   7131.40  4.9184752E-02
   7131.60  5.1310639E-02
   7131.80  5.3747982E-02
   7132.00  5.6282174E-02
   7132.20  5.8643668E-02
   7132.40  6.0561723E-02
   7132.60  6.1854119E-02
   7132.80  6.2501353E-02
   7133.00  6.2647860E-02
   7133.20  6.2529559E-02
   7133.40  6.2388472E-02
   7133.60  6.2429143E-02
   7133.80  6.2815661E-02
   7134.00  6.3649875E-02
   7134.20  6.4888970E-02
   7134.40  6.6297604E-02
   7134.60  6.7566697E-02
   7134.80  6.8464143E-02
   7135.00  6.8872037E-02
   7135.20  6.8772927E-02
   7135.40  6.8231515E-02
   7135.60  6.7378796E-02
   7135.80  6.6346129E-02
   7136.00  6.5236151E-02
   7136.20  6.4113570E-02
   7136.40  6.3010467E-02
   7136.60  6.1936784E-02
   7136.80  6.0890078E-02
   7137.00  5.9862584E-02
   7137.20  5.8845916E-02
   7137.40  5.7833386E-02
   7137.60  5.6821077E-02
   7137.80  5.5807432E-02
   7138.00  5.4789995E-02
   7138.20  5.3770729E-02
   7138.40  5.2752192E-02
   7138.60  5.1737194E-02
   7138.80  5.0729746E-02
   7139.00  4.9734784E-02
   7139.20  4.8759100E-02
   7139.40  4.7809820E-02
   7139.60  4.6895025E-02
   7139.80  4.6022145E-02
   7140.00  4.5196954E-02
   7140.20  4.4424250E-02
   7140.40  4.3706697E-02
   7140.60  4.3044999E-02
   7140.80  4.2438355E-02
   7141.00  4.1884841E-02
   7141.20  4.1381634E-02
   7141.40  4.0925563E-02
   7141.60  4.0513364E-02
   7141.80  4.0142249E-02
   7142.00  3.9809649E-02
   7142.20  3.9513357E-02
   7142.40  3.9232452E-02
   7142.60  3.9003836E-02
   7142.80  3.8804143E-02
   7143.00  3.8631068E-02
