  7112.000   26  1  1  4.0125702E-02 -2.2869605E+00 -1.1506973E+00  1  1  7.2655973E+03  0.0000000E+00  0.0000000E+00  3.1253977E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4395194E-05
   7097.20  2.3963366E-05
   7097.40  2.4204190E-05
   7097.60  2.4813612E-05
   7097.80  2.5768389E-05
   7098.00  2.7158697E-05
   7098.20  2.9199074E-05
   7098.40  3.2355434E-05
   7098.60  3.7975347E-05
   7098.80  5.6560405E-05
   7099.00  1.3963555E-04
   7099.20  8.8955885E-05
   7099.40  1.6654652E-04
   7099.60  4.4794452E-04
   7099.80  7.5757827E-03
   7100.00  1.6527422E-03
   7100.20  2.4920683E-04
   7100.40  1.0923684E-04
   7100.60  6.8770790E-05
   7100.80  5.4304178E-05
   7101.00  2.5787146E-04
   7101.20  1.0273030E-04
   7101.40  4.2090722E-05
   7101.60  4.4899640E-05
   7101.80  9.4525615E-05
   7102.00  2.0506777E-04
   7102.20  2.1320890E-04
   7102.40  1.6702044E-04
   7102.60  6.1121751E-05
   7102.80  4.1213743E-04
   7103.00  1.0830807E-04
   7103.20  4.2664786E-05
   7103.40  7.5351753E-05
   7103.60  8.9705707E-04
   7103.80  1.4295466E-03
   7104.00  1.1803291E-04
   7104.20  4.6428666E-05
   7104.40  6.3802037E-05
   7104.60  3.0451156E-04
   7104.80  4.5862920E-05
   7105.00  4.3207286E-05
   7105.20  2.2397482E-04
   7105.40  6.6227162E-05
   7105.60  1.9953375E-04
   7105.80  2.2436218E-04
   7106.00  4.8742421E-03
   7106.20  1.0810968E-04
   7106.40  2.6553654E-04
   7106.60  3.8361595E-04
   7106.80  1.7793706E-04
   7107.00  7.0673157E-04
   7107.20  3.7025569E-03
   7107.40  9.4859193E-04
   7107.60  2.7187465E-04
   7107.80  4.5386489E-03
   7108.00  1.0371179E-03
   7108.20  7.2910762E-04
   7108.40  1.2998469E-03
   7108.60  6.6392816E-04
   7108.80  1.0662014E-03
   7109.00  3.8056827E-03
   7109.20  6.5849536E-03
   7109.40  3.4439421E-03
   7109.60  5.1260801E-03
   7109.80  2.9010236E-02
   7110.00  4.2516916E-04
   7110.20  5.7371959E-03
   7110.40  3.0923499E-03
   7110.60  1.1571567E-02
   7110.80  5.0636924E-02
   7111.00  3.1813591E-02
   7111.20  1.5629050E-02
   7111.40  1.6905952E-02
   7111.60  1.3192167E-02
   7111.80  9.5763263E-03
   7112.00  2.2117672E-02
   7112.20  1.2474295E-02
   7112.40  8.2373751E-03
   7112.60  7.0640791E-03
   7112.80  8.3127588E-03
   7113.00  9.3156503E-03
   7113.20  1.4204939E-02
   7113.40  1.4978270E-02
   7113.60  2.8698751E-02
   7113.80  4.1247530E-02
   7114.00  2.2655317E-02
   7114.20  1.2527707E-02
   7114.40  8.5605740E-03
   7114.60  6.6649756E-03
   7114.80  5.3754575E-03
   7115.00  4.7683746E-03
   7115.20  4.3510056E-03
   7115.40  4.0689464E-03
   7115.60  3.9058068E-03
   7115.80  3.8544476E-03
   7116.00  3.9135266E-03
   7116.20  4.0946591E-03
   7116.40  4.4364586E-03
   7116.60  5.0403211E-03
   7116.80  6.1742916E-03
   7117.00  8.3679548E-03
   7117.20  1.0553805E-02
   7117.40  1.1062851E-02
   7117.60  1.1531700E-02
   7117.80  1.1573945E-02
   7118.00  1.1197852E-02
   7118.20  1.1666435E-02
   7118.40  1.3710752E-02
   7118.60  1.6838342E-02
   7118.80  2.0771639E-02
   7119.00  2.5011696E-02
   7119.20  2.8589713E-02
   7119.40  3.0533405E-02
   7119.60  3.0758302E-02
   7119.80  3.0057749E-02
   7120.00  2.9248543E-02
   7120.20  2.8696491E-02
   7120.40  2.8403362E-02
   7120.60  2.8253141E-02
   7120.80  2.8176909E-02
   7121.00  2.8162342E-02
   7121.20  2.8203803E-02
   7121.40  2.8280966E-02
   7121.60  2.8364862E-02
   7121.80  2.8449082E-02
   7122.00  2.8572631E-02
   7122.20  2.8657284E-02
   7122.40  2.8627254E-02
   7122.60  2.8369087E-02
   7122.80  2.7947365E-02
   7123.00  2.7748714E-02
   7123.20  2.7846776E-02
   7123.40  2.8301718E-02
   7123.60  2.8965922E-02
   7123.80  2.9702475E-02
   7124.00  3.0409075E-02
   7124.20  3.1114156E-02
   7124.40  3.1784262E-02
   7124.60  3.2444108E-02
   7124.80  3.3122490E-02
   7125.00  3.3805314E-02
   7125.20  3.4467672E-02
   7125.40  3.5060499E-02
   7125.60  3.5528137E-02
   7125.80  3.5864810E-02
   7126.00  3.6140187E-02
   7126.20  3.6436024E-02
   7126.40  3.6766888E-02
   7126.60  3.7053604E-02
   7126.80  3.7221877E-02
   7127.00  3.7223502E-02
   7127.20  3.7081900E-02
   7127.40  3.6870207E-02
   7127.60  3.6670078E-02
   7127.80  3.6534608E-02
   7128.00  3.6468541E-02
   7128.20  3.6426201E-02
   7128.40  3.6323119E-02
   7128.60  3.6067663E-02
   7128.80  3.5651343E-02
   7129.00  3.5223407E-02
   7129.20  3.4993039E-02
   7129.40  3.5060770E-02
   7129.60  3.5379535E-02
   7129.80  3.5822154E-02
   7130.00  3.6262733E-02
   7130.20  3.6636121E-02
   7130.40  3.6953348E-02
   7130.60  3.7266315E-02
   7130.80  3.7617355E-02
   7131.00  3.8017499E-02
   7131.20  3.8454506E-02
   7131.40  3.8905220E-02
   7131.60  3.9343319E-02
   7131.80  3.9743136E-02
   7132.00  4.0080323E-02
   7132.20  4.0333258E-02
   7132.40  4.0486266E-02
   7132.60  4.0532758E-02
   7132.80  4.0478760E-02
   7133.00  4.0345413E-02
   7133.20  4.0168126E-02
   7133.40  3.9983293E-02
   7133.60  3.9816462E-02
   7133.80  3.9674054E-02
   7134.00  3.9530843E-02
   7134.20  3.9308454E-02
   7134.40  3.9020052E-02
   7134.60  3.8680637E-02
   7134.80  3.8306739E-02
   7135.00  3.7912393E-02
   7135.20  3.7509475E-02
   7135.40  3.7108338E-02
   7135.60  3.6735731E-02
   7135.80  3.6364857E-02
   7136.00  3.6020061E-02
   7136.20  3.5706411E-02
   7136.40  3.5426562E-02
   7136.60  3.5180577E-02
   7136.80  3.4965956E-02
   7137.00  3.4779420E-02
   7137.20  3.4609361E-02
   7137.40  3.4447538E-02
   7137.60  3.4287119E-02
   7137.80  3.4124635E-02
   7138.00  3.3960476E-02
   7138.20  3.3798254E-02
   7138.40  3.3642977E-02
   7138.60  3.3499380E-02
   7138.80  3.3370061E-02
   7139.00  3.3258854E-02
   7139.20  3.3165890E-02
   7139.40  3.3091017E-02
   7139.60  3.3033163E-02
   7139.80  3.2990231E-02
   7140.00  3.2959452E-02
   7140.20  3.2937288E-02
   7140.40  3.2919427E-02
   7140.60  3.2901068E-02
   7140.80  3.2877329E-02
   7141.00  3.2843715E-02
   7141.20  3.2796412E-02
   7141.40  3.2733239E-02
   7141.60  3.2653371E-02
   7141.80  3.2557884E-02
   7142.00  3.2449528E-02
   7142.20  3.2332240E-02
   7142.40  3.2210842E-02
   7142.60  3.2090103E-02
   7142.80  3.1974412E-02
   7143.00  3.1867477E-02
   7143.20  3.1772010E-02
   7143.40  3.1687872E-02
   7143.60  3.1614857E-02
   7143.80  3.1553108E-02
   7144.00  3.1501862E-02
   7144.20  3.1460164E-02
   7144.40  3.1426960E-02
   7144.60  3.1401235E-02
   7144.80  3.1382013E-02
   7145.00  3.1368346E-02
   7145.20  3.1359582E-02
   7145.40  3.1355297E-02
   7145.60  3.1355326E-02
   7145.80  3.1359327E-02
   7146.00  3.1367204E-02
   7146.20  3.1378922E-02
   7146.40  3.1394360E-02
   7146.60  3.1413458E-02
   7146.80  3.1436124E-02
   7147.00  3.1462063E-02
   7147.20  3.1490871E-02
   7147.40  3.1522161E-02
   7147.60  3.1555840E-02
   7147.80  3.1589941E-02
   7148.00  3.1624279E-02
   7148.20  3.1657795E-02
   7148.40  3.1689429E-02
   7148.60  3.1718119E-02
   7148.80  3.1742708E-02
   7149.00  3.1761583E-02
   7149.20  3.1775134E-02
   7149.40  3.1779336E-02
   7149.60  3.1774136E-02
   7149.80  3.1758334E-02
   7150.00  3.1732160E-02
   7150.20  3.1692972E-02
   7150.40  3.1642385E-02
   7150.60  3.1578843E-02
