  7112.000   26  1  1  1.4106146E-02 -1.0902990E+00 -1.7760155E+00  1  1  7.2657390E+03  0.0000000E+00  0.0000000E+00  1.6021254E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.8944388E-05
   7097.20  1.8949413E-05
   7097.40  1.8964254E-05
   7097.60  1.8988715E-05
   7097.80  1.9023025E-05
   7098.00  1.9067712E-05
   7098.20  1.9123607E-05
   7098.40  1.9191822E-05
   7098.60  1.9273786E-05
   7098.80  1.9371429E-05
   7099.00  1.9487253E-05
   7099.20  1.9624663E-05
   7099.40  1.9788545E-05
   7099.60  1.9986495E-05
   7099.80  2.0231864E-05
   7100.00  2.0553847E-05
   7100.20  2.1045164E-05
   7100.40  2.2278806E-05
   7100.60  7.2235930E-05
   7100.80  2.4562841E-05
   7101.00  2.3311394E-05
   7101.20  2.3991356E-05
   7101.40  2.5258784E-05
   7101.60  2.7234979E-05
   7101.80  3.0452285E-05
   7102.00  3.6280376E-05
   7102.20  4.8921735E-05
   7102.40  8.7032899E-05
   7102.60  3.4807302E-04
   7102.80  4.3299729E-03
   7103.00  1.7219066E-04
   7103.20  9.4457620E-05
   7103.40  2.1558716E-04
   7103.60  9.3401700E-04
   7103.80  8.7771537E-05
   7104.00  5.9440044E-05
   7104.20  7.4514712E-05
   7104.40  3.6697344E-04
   7104.60  3.4077673E-04
   7104.80  7.7027772E-05
   7105.00  6.6682723E-05
   7105.20  1.0287959E-04
   7105.40  6.0543539E-04
   7105.60  9.0566405E-04
   7105.80  1.2230174E-04
   7106.00  1.0464609E-04
   7106.20  5.5835525E-04
   7106.40  3.2328779E-04
   7106.60  8.2367867E-05
   7106.80  6.2287368E-05
   7107.00  6.2727585E-05
   7107.20  7.5011675E-05
   7107.40  1.1314858E-04
   7107.60  3.0278348E-04
   7107.80  5.4891940E-02
   7108.00  1.2468281E-03
   7108.20  2.7606799E-04
   7108.40  1.8895667E-04
   7108.60  1.6273341E-02
   7108.80  2.3581919E-04
   7109.00  4.0083975E-04
   7109.20  1.0279348E-02
   7109.40  1.6031348E-03
   7109.60  6.0477522E-03
   7109.80  1.1784688E-03
   7110.00  2.8618848E-03
   7110.20  1.1409620E-02
   7110.40  2.7905174E-04
   7110.60  2.0338504E-04
   7110.80  2.8903578E-04
   7111.00  1.8297485E-03
   7111.20  1.3473776E-03
   7111.40  9.7974141E-03
   7111.60  1.4927854E-02
   7111.80  7.2673956E-03
   7112.00  1.7111500E-02
   7112.20  8.5350900E-03
   7112.40  6.4156037E-03
   7112.60  7.1589683E-03
   7112.80  1.3336205E-02
   7113.00  2.7830200E-02
   7113.20  3.4885076E-02
