  7112.000   26  1  1  9.0608206E-03 -1.6168253E+00 -7.2211382E-01  1  1  7.2648828E+03  0.0000000E+00  0.0000000E+00  2.6846495E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4718645E-03
   7097.20  4.1922155E-04
   7097.40  1.0164729E-04
   7097.60  2.9444089E-04
   7097.80  7.3433190E-05
   7098.00  3.6555246E-05
   7098.20  2.9752781E-05
   7098.40  2.6974439E-05
   7098.60  2.5575449E-05
   7098.80  2.4854926E-05
   7099.00  2.4553933E-05
   7099.20  2.4572209E-05
   7099.40  2.4897242E-05
   7099.60  2.5604344E-05
   7099.80  2.7059611E-05
   7100.00  1.5410939E-04
   7100.20  3.2508579E-05
   7100.40  3.9309053E-05
   7100.60  5.8687596E-05
   7100.80  1.5573113E-04
   7101.00  4.6663620E-02
   7101.20  1.7205629E-03
   7101.40  9.0180527E-05
   7101.60  5.2575036E-05
   7101.80  6.2223158E-05
   7102.00  5.7451882E-05
   7102.20  5.2710649E-05
   7102.40  4.2559483E-04
   7102.60  1.0308245E-04
   7102.80  2.4336044E-03
   7103.00  1.4559522E-04
   7103.20  2.3926373E-04
   7103.40  2.0431912E-03
   7103.60  5.3004041E-03
   7103.80  9.8445799E-03
   7104.00  1.7574261E-04
   7104.20  1.8645856E-04
   7104.40  1.5702643E-04
   7104.60  7.5717804E-04
   7104.80  1.0208456E-04
   7105.00  1.2059600E-04
   7105.20  4.1999390E-04
   7105.40  1.0476157E-03
   7105.60  8.0143915E-04
   7105.80  2.9519131E-04
   7106.00  3.0748099E-04
   7106.20  4.8615979E-04
   7106.40  2.5407772E-04
   7106.60  1.3650937E-03
   7106.80  2.1093481E-03
   7107.00  3.0256183E-04
   7107.20  2.5253920E-03
   7107.40  2.4565448E-03
   7107.60  1.6729624E-03
   7107.80  3.4949726E-04
   7108.00  5.8228827E-02
   7108.20  3.6516208E-03
   7108.40  1.0837058E-03
   7108.60  8.1495322E-03
   7108.80  3.1681431E-03
   7109.00  1.7847341E-03
   7109.20  3.5906856E-03
   7109.40  9.3641453E-03
   7109.60  2.6128853E-02
   7109.80  4.5898729E-02
   7110.00  1.3676985E-02
   7110.20  7.4059404E-03
   7110.40  3.3949489E-03
   7110.60  2.2469505E-03
   7110.80  5.0775920E-03
   7111.00  4.1684247E-03
   7111.20  7.5806477E-03
   7111.40  6.5948470E-03
   7111.60  9.2952286E-03
   7111.80  1.2581909E-02
   7112.00  1.2286502E-02
   7112.20  1.2380469E-02
   7112.40  1.0900714E-02
   7112.60  1.8279145E-02
   7112.80  2.2196872E-02
   7113.00  1.5376347E-02
   7113.20  1.9546535E-02
   7113.40  2.3565133E-02
   7113.60  1.8388914E-02
   7113.80  2.0789971E-02
   7114.00  3.1035600E-02
   7114.20  4.4175278E-02
   7114.40  3.5175776E-02
   7114.60  1.8138869E-02
   7114.80  1.2434238E-02
   7115.00  1.0872553E-02
   7115.20  1.3105463E-02
   7115.40  2.0493456E-02
   7115.60  2.7794195E-02
   7115.80  2.0862467E-02
   7116.00  1.3262610E-02
   7116.20  9.5409612E-03
   7116.40  8.0088321E-03
   7116.60  7.7492317E-03
   7116.80  8.4968764E-03
   7117.00  9.9803535E-03
   7117.20  1.1022495E-02
   7117.40  1.0548582E-02
   7117.60  9.4828118E-03
   7117.80  8.6255802E-03
   7118.00  7.9702728E-03
   7118.20  7.7075530E-03
   7118.40  7.9074258E-03
   7118.60  8.2955278E-03
   7118.80  8.5292043E-03
   7119.00  8.5403815E-03
   7119.20  8.5259929E-03
   7119.40  8.5273940E-03
   7119.60  8.4544963E-03
   7119.80  8.3361085E-03
   7120.00  8.3046162E-03
   7120.20  8.4932343E-03
   7120.40  8.9981205E-03
   7120.60  9.8807642E-03
   7120.80  1.1159431E-02
   7121.00  1.2761808E-02
   7121.20  1.4456366E-02
   7121.40  1.5871843E-02
   7121.60  1.6733355E-02
   7121.80  1.7142731E-02
   7122.00  1.7498810E-02
   7122.20  1.8133530E-02
   7122.40  1.9128742E-02
   7122.60  2.0290644E-02
   7122.80  2.1160488E-02
   7123.00  2.1358560E-02
   7123.20  2.0926390E-02
   7123.40  2.0164327E-02
   7123.60  1.9092194E-02
   7123.80  1.8077754E-02
   7124.00  1.7255396E-02
   7124.20  1.6699212E-02
   7124.40  1.6448150E-02
   7124.60  1.6443275E-02
   7124.80  1.6639803E-02
   7125.00  1.6968044E-02
   7125.20  1.7485734E-02
   7125.40  1.8137546E-02
   7125.60  1.8902683E-02
   7125.80  1.9785155E-02
   7126.00  2.0721661E-02
   7126.20  2.1696526E-02
   7126.40  2.2667662E-02
   7126.60  2.3657856E-02
   7126.80  2.4742761E-02
   7127.00  2.5959491E-02
   7127.20  2.7232299E-02
   7127.40  2.8381150E-02
   7127.60  2.9239820E-02
   7127.80  2.9894848E-02
   7128.00  3.0506207E-02
   7128.20  3.1381806E-02
   7128.40  3.2668391E-02
   7128.60  3.4472711E-02
   7128.80  3.6760019E-02
   7129.00  3.9335137E-02
   7129.20  4.1892485E-02
   7129.40  4.4175636E-02
   7129.60  4.6100914E-02
   7129.80  4.7736184E-02
   7130.00  4.9202809E-02
   7130.20  5.0604537E-02
   7130.40  5.2006954E-02
   7130.60  5.3431476E-02
   7130.80  5.4850373E-02
   7131.00  5.6195363E-02
   7131.20  5.7383649E-02
   7131.40  5.8350771E-02
   7131.60  5.9068558E-02
   7131.80  5.9540677E-02
   7132.00  5.9788379E-02
   7132.20  5.9846286E-02
   7132.40  5.9766896E-02
   7132.60  5.9605088E-02
   7132.80  5.9418094E-02
   7133.00  5.9228216E-02
   7133.20  5.9022681E-02
   7133.40  5.8757491E-02
   7133.60  5.8365783E-02
   7133.80  5.7766719E-02
   7134.00  5.6877575E-02
   7134.20  5.5637447E-02
   7134.40  5.4074794E-02
   7134.60  5.2371672E-02
   7134.80  5.0798225E-02
   7135.00  4.9526856E-02
   7135.20  4.8557848E-02
   7135.40  4.7799575E-02
   7135.60  4.7160209E-02
   7135.80  4.6577403E-02
   7136.00  4.6014549E-02
   7136.20  4.5450181E-02
   7136.40  4.4871682E-02
   7136.60  4.4270771E-02
   7136.80  4.3642354E-02
   7137.00  4.2987272E-02
   7137.20  4.2315644E-02
   7137.40  4.1649199E-02
   7137.60  4.1018954E-02
