  7112.000   26  1  1  1.7250152E-02 -4.9795541E-01 -4.7302064E-01  1  1  7.2650252E+03  0.0000000E+00  0.0000000E+00  2.2654743E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.3460076E-04
   7097.20  4.1043588E-02
   7097.40  8.7353438E-03
   7097.60  2.6005502E-04
   7097.80  1.0287956E-04
   7098.00  6.3386352E-05
   7098.20  4.6904958E-05
   7098.40  3.8370050E-05
   7098.60  3.3366713E-05
   7098.80  3.0187897E-05
   7099.00  2.8053786E-05
   7099.20  2.6566984E-05
   7099.40  2.5505656E-05
   7099.60  2.4738632E-05
   7099.80  2.4185717E-05
   7100.00  2.3794521E-05
   7100.20  2.3531709E-05
   7100.40  2.3375523E-05
   7100.60  2.3311755E-05
   7100.80  2.3333426E-05
   7101.00  2.3437480E-05
   7101.20  2.3626522E-05
   7101.40  2.3907674E-05
   7101.60  2.4295119E-05
   7101.80  2.4812011E-05
   7102.00  2.5496156E-05
   7102.20  2.6411045E-05
   7102.40  2.7670498E-05
   7102.60  2.9500712E-05
   7102.80  3.2446049E-05
   7103.00  3.8372685E-05
   7103.20  6.3165704E-05
   7103.40  2.9787368E-04
   7103.60  2.4515009E-04
   7103.80  2.8464866E-04
   7104.00  3.1887186E-03
   7104.20  1.2147704E-03
   7104.40  3.0905956E-04
   7104.60  3.6753620E-04
   7104.80  1.1672489E-03
   7105.00  1.9488106E-04
   7105.20  6.7369376E-03
   7105.40  4.0661156E-02
   7105.60  1.9683612E-04
   7105.80  1.6593116E-04
   7106.00  2.0491800E-04
   7106.20  1.0649301E-03
   7106.40  6.9141885E-03
   7106.60  1.7520276E-03
   7106.80  7.6430606E-04
   7107.00  2.5751782E-04
   7107.20  4.3803953E-04
   7107.40  1.0237514E-01
   7107.60  5.7730122E-04
   7107.80  5.3155511E-04
   7108.00  5.2149802E-04
   7108.20  5.3428509E-04
   7108.40  6.5732458E-03
   7108.60  1.2290139E-02
   7108.80  6.0582349E-02
   7109.00  6.8950898E-03
   7109.20  7.3440294E-03
   7109.40  2.6881264E-03
   7109.60  8.4951118E-03
   7109.80  5.9411981E-03
   7110.00  8.8584358E-03
   7110.20  1.8844428E-02
   7110.40  1.3208446E-03
   7110.60  7.4113381E-04
   7110.80  1.1342153E-03
   7111.00  2.3024233E-03
   7111.20  2.2030456E-03
   7111.40  7.1338134E-03
   7111.60  4.9815761E-03
   7111.80  6.1985244E-02
   7112.00  2.8868007E-03
   7112.20  8.0200371E-03
   7112.40  3.8736480E-02
   7112.60  9.0382663E-03
   7112.80  3.4746374E-03
   7113.00  2.6955552E-03
   7113.20  6.9465316E-03
   7113.40  1.0010581E-02
   7113.60  4.1028764E-03
   7113.80  1.1340398E-02
   7114.00  1.2095476E-02
   7114.20  9.1539297E-03
   7114.40  4.4629851E-03
   7114.60  2.7823315E-03
   7114.80  2.1560873E-03
   7115.00  2.6522080E-03
   7115.20  2.5661673E-03
   7115.40  1.1787254E-03
   7115.60  8.8140195E-04
   7115.80  7.3723315E-04
   7116.00  6.4336910E-04
   7116.20  5.7535656E-04
   7116.40  5.2377477E-04
   7116.60  4.6351402E-04
   7116.80  4.3513076E-04
   7117.00  4.1387479E-04
   7117.20  3.9884533E-04
   7117.40  3.8956207E-04
   7117.60  3.8588992E-04
   7117.80  3.8799820E-04
   7118.00  3.9637550E-04
   7118.20  4.1188056E-04
