  7112.000   26  1  1  1.0531894E-02 -2.5304441E+00 -1.8611988E+00  1  1  7.2658253E+03  0.0000000E+00  0.0000000E+00  2.0755651E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9633618E-05
   7097.20  1.9605029E-05
   7097.40  1.9592636E-05
   7097.60  1.9595585E-05
   7097.80  1.9613634E-05
   7098.00  1.9647193E-05
   7098.20  1.9697345E-05
   7098.40  1.9766031E-05
   7098.60  1.9856493E-05
   7098.80  1.9974090E-05
   7099.00  2.0128052E-05
   7099.20  2.0335636E-05
   7099.40  2.0632997E-05
   7099.60  2.1109571E-05
   7099.80  2.2052294E-05
   7100.00  2.4922760E-05
   7100.20  5.6043228E-05
   7100.40  6.0774961E-05
   7100.60  2.8921169E-05
   7100.80  9.7928123E-05
   7101.00  3.2477664E-05
   7101.20  2.5767984E-05
   7101.40  2.6153862E-05
   7101.60  2.8624045E-05
   7101.80  3.5641540E-05
   7102.00  6.9324080E-05
   7102.20  6.7309280E-03
   7102.40  8.7067693E-05
   7102.60  4.3550529E-05
   7102.80  4.0732182E-05
   7103.00  5.0928525E-05
   7103.20  1.1374226E-04
   7103.40  1.6257013E-03
   7103.60  6.9135486E-04
   7103.80  1.0309200E-04
   7104.00  1.3198970E-03
   7104.20  9.0328927E-05
   7104.40  6.4004017E-05
   7104.60  2.0944222E-04
   7104.80  2.4155374E-04
   7105.00  5.8899792E-05
   7105.20  4.8597783E-05
   7105.40  5.6307523E-05
   7105.60  1.5494066E-04
   7105.80  2.9549553E-04
   7106.00  2.1603047E-03
   7106.20  6.7851335E-05
   7106.40  1.3532911E-04
   7106.60  8.1870474E-05
   7106.80  1.2410042E-04
   7107.00  1.2133517E-03
   7107.20  3.7622191E-02
   7107.40  1.8610602E-02
   7107.60  7.6717874E-04
   7107.80  2.6065837E-03
   7108.00  2.6526414E-04
   7108.20  2.7636788E-04
   7108.40  1.3473632E-02
   7108.60  3.1744885E-04
   7108.80  1.5372239E-03
   7109.00  1.7767540E-02
   7109.20  1.2436606E-01
   7109.40  2.5766190E-03
   7109.60  3.5731477E-03
   7109.80  2.9425834E-03
   7110.00  1.5263489E-02
   7110.20  2.4107557E-02
   7110.40  1.7336691E-02
   7110.60  9.5728028E-03
   7110.80  7.7553850E-03
   7111.00  1.4919472E-02
   7111.20  3.3123475E-02
   7111.40  1.2991291E-02
   7111.60  1.4931695E-02
   7111.80  7.1675604E-03
   7112.00  8.7197056E-03
   7112.20  1.3414748E-02
   7112.40  1.6240360E-02
   7112.60  2.1462269E-02
   7112.80  1.6530029E-02
   7113.00  1.3211593E-02
   7113.20  1.6635901E-02
   7113.40  2.4174821E-02
   7113.60  3.0530671E-02
   7113.80  3.3774820E-02
   7114.00  4.1524174E-02
   7114.20  5.2348077E-02
   7114.40  4.4618773E-02
   7114.60  3.2442206E-02
   7114.80  2.5680444E-02
   7115.00  2.2525321E-02
   7115.20  2.1655993E-02
   7115.40  2.2566272E-02
   7115.60  2.4556267E-02
   7115.80  2.5990410E-02
   7116.00  2.5242047E-02
   7116.20  2.2640050E-02
   7116.40  1.9403290E-02
   7116.60  1.6794340E-02
   7116.80  1.4796447E-02
   7117.00  1.3315878E-02
   7117.20  1.2207622E-02
   7117.40  1.1349642E-02
   7117.60  1.0678636E-02
   7117.80  1.0169359E-02
   7118.00  9.7782068E-03
   7118.20  9.4242928E-03
   7118.40  9.0362484E-03
   7118.60  8.6050003E-03
   7118.80  8.1756392E-03
   7119.00  7.8048270E-03
   7119.20  7.5255024E-03
   7119.40  7.3336303E-03
   7119.60  7.1989294E-03
   7119.80  7.0836021E-03
   7120.00  6.9534993E-03
   7120.20  6.7835987E-03
   7120.40  6.5659456E-03
   7120.60  6.3212697E-03
   7120.80  6.0995946E-03
   7121.00  5.9525995E-03
   7121.20  5.8970060E-03
   7121.40  5.9128038E-03
   7121.60  5.9725982E-03
   7121.80  6.0591570E-03
   7122.00  6.1576520E-03
   7122.20  6.2533759E-03
   7122.40  6.3394125E-03
   7122.60  6.4178770E-03
   7122.80  6.4871884E-03
   7123.00  6.5714376E-03
   7123.20  6.6662492E-03
   7123.40  6.7762794E-03
   7123.60  6.9065122E-03
   7123.80  7.0627688E-03
   7124.00  7.2523212E-03
   7124.20  7.4839315E-03
   7124.40  7.7686102E-03
   7124.60  8.1205461E-03
   7124.80  8.5584683E-03
   7125.00  9.1084669E-03
   7125.20  9.8094910E-03
   7125.40  1.0715185E-02
   7125.60  1.1875167E-02
   7125.80  1.2854583E-02
   7126.00  1.3376205E-02
   7126.20  1.3662040E-02
   7126.40  1.3969760E-02
   7126.60  1.4493517E-02
   7126.80  1.5370061E-02
   7127.00  1.6836848E-02
   7127.20  1.9023849E-02
   7127.40  2.1947501E-02
   7127.60  2.5311549E-02
   7127.80  2.8396074E-02
   7128.00  3.0395125E-02
   7128.20  3.1111488E-02
   7128.40  3.1032821E-02
   7128.60  3.0853808E-02
   7128.80  3.0865162E-02
   7129.00  3.1193703E-02
   7129.20  3.1847547E-02
   7129.40  3.2819864E-02
   7129.60  3.4028147E-02
   7129.80  3.5614444E-02
   7130.00  3.7483081E-02
   7130.20  3.9610333E-02
   7130.40  4.1951515E-02
   7130.60  4.4436096E-02
   7130.80  4.6967409E-02
   7131.00  4.9432867E-02
   7131.20  5.1725603E-02
   7131.40  5.3774764E-02
   7131.60  5.5564096E-02
   7131.80  5.7128932E-02
   7132.00  5.8534933E-02
   7132.20  5.9855138E-02
   7132.40  6.1157744E-02
   7132.60  6.2500343E-02
   7132.80  6.3924771E-02
   7133.00  6.5449834E-02
   7133.20  6.7063016E-02
   7133.40  6.8715378E-02
   7133.60  7.0320086E-02
   7133.80  7.1763420E-02
   7134.00  7.2921610E-02
   7134.20  7.3673999E-02
   7134.40  7.3892167E-02
   7134.60  7.3442899E-02
   7134.80  7.2243376E-02
   7135.00  7.0317843E-02
   7135.20  6.7791172E-02
   7135.40  6.4838264E-02
   7135.60  6.1633650E-02
   7135.80  5.8323337E-02
   7136.00  5.5016742E-02
   7136.20  5.1789795E-02
   7136.40  4.8692152E-02
   7136.60  4.5755279E-02
   7136.80  4.2998384E-02
   7137.00  4.0432661E-02
   7137.20  3.8066084E-02
   7137.40  3.5904522E-02
   7137.60  3.3953649E-02
   7137.80  3.2218103E-02
   7138.00  3.0703206E-02
   7138.20  2.9412503E-02
   7138.40  2.8347391E-02
   7138.60  2.7505378E-02
   7138.80  2.6878417E-02
   7139.00  2.6452469E-02
   7139.20  2.6207206E-02
   7139.40  2.6117129E-02
   7139.60  2.6154463E-02
   7139.80  2.6288127E-02
   7140.00  2.6491916E-02
   7140.20  2.6743261E-02
   7140.40  2.7024313E-02
   7140.60  2.7322123E-02
   7140.80  2.7628592E-02
   7141.00  2.7939800E-02
   7141.20  2.8255050E-02
   7141.40  2.8575860E-02
   7141.60  2.8905307E-02
   7141.80  2.9246861E-02
   7142.00  2.9604058E-02
   7142.20  2.9979988E-02
   7142.40  3.0376790E-02
   7142.60  3.0795333E-02
   7142.80  3.1235380E-02
   7143.00  3.1695229E-02
   7143.20  3.2171909E-02
   7143.40  3.2661213E-02
   7143.60  3.3157942E-02
   7143.80  3.3656289E-02
   7144.00  3.4150142E-02
   7144.20  3.4633323E-02
   7144.40  3.5099860E-02
   7144.60  3.5544534E-02
   7144.80  3.5962472E-02
   7145.00  3.6349977E-02
   7145.20  3.6704382E-02
   7145.40  3.7023972E-02
   7145.60  3.7307910E-02
   7145.80  3.7556256E-02
   7146.00  3.7769968E-02
   7146.20  3.7950249E-02
   7146.40  3.8098923E-02
   7146.60  3.8220630E-02
   7146.80  3.8315339E-02
   7147.00  3.8385115E-02
   7147.20  3.8432213E-02
   7147.40  3.8458828E-02
   7147.60  3.8467154E-02
   7147.80  3.8459006E-02
   7148.00  3.8436158E-02
   7148.20  3.8400231E-02
   7148.40  3.8352669E-02
   7148.60  3.8294787E-02
   7148.80  3.8227754E-02
   7149.00  3.8153725E-02
   7149.20  3.8071408E-02
   7149.40  3.7982874E-02
   7149.60  3.7888907E-02
   7149.80  3.7785916E-02
   7150.00  3.7683471E-02
   7150.20  3.7577737E-02
   7150.40  3.7469821E-02
   7150.60  3.7360221E-02
   7150.80  3.7249830E-02
   7151.00  3.7139770E-02
   7151.20  3.7031174E-02
   7151.40  3.6925118E-02
   7151.60  3.6822836E-02
   7151.80  3.6725880E-02
   7152.00  3.6635846E-02
   7152.20  3.6554027E-02
   7152.40  3.6482015E-02
   7152.60  3.6421399E-02
   7152.80  3.6373841E-02
   7153.00  3.6340727E-02
   7153.20  3.6323143E-02
   7153.40  3.6322051E-02
   7153.60  3.6338908E-02
   7153.80  3.6372478E-02
   7154.00  3.6423212E-02
   7154.20  3.6490232E-02
   7154.40  3.6572782E-02
   7154.60  3.6668511E-02
   7154.80  3.6775047E-02
   7155.00  3.6889489E-02
   7155.20  3.7008819E-02
   7155.40  3.7129652E-02
   7155.60  3.7248661E-02
   7155.80  3.7362756E-02
