  7112.000   26  1  1  2.0684563E-02 -3.0413274E+00 -1.8308630E+00  1  1  7.2658261E+03  0.0000000E+00  0.0000000E+00  3.2829423E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0024054E-05
   7097.20  2.0125249E-05
   7097.40  2.0255966E-05
   7097.60  2.0422895E-05
   7097.80  2.0636159E-05
   7098.00  2.0912149E-05
   7098.20  2.1278244E-05
   7098.40  2.1783737E-05
   7098.60  2.2526747E-05
   7098.80  2.3730905E-05
   7099.00  2.6013844E-05
   7099.20  3.1705209E-05
   7099.40  5.7031675E-05
   7099.60  2.0473693E-03
   7099.80  8.5006681E-05
   7100.00  3.8535175E-05
   7100.20  3.4521336E-05
   7100.40  5.7833320E-04
   7100.60  4.2424621E-05
   7100.80  1.1189427E-04
   7101.00  4.9384668E-05
   7101.20  6.9903748E-05
   7101.40  1.5156186E-04
   7101.60  1.2871348E-03
   7101.80  1.0058080E-03
   7102.00  1.5538232E-04
   7102.20  1.3009665E-04
   7102.40  2.4134990E-03
   7102.60  1.7766989E-04
   7102.80  7.7788384E-05
   7103.00  1.2160754E-04
   7103.20  5.0210432E-04
   7103.40  1.8653324E-04
   7103.60  5.2369984E-04
   7103.80  2.0277513E-04
   7104.00  7.0821714E-04
   7104.20  1.6095697E-04
   7104.40  2.5405764E-03
   7104.60  8.9922816E-04
   7104.80  5.2318033E-04
   7105.00  1.1204481E-03
   7105.20  6.5740711E-04
   7105.40  1.0457953E-04
   7105.60  7.3714320E-05
   7105.80  7.5734375E-05
   7106.00  1.0414844E-04
   7106.20  4.7561428E-04
   7106.40  5.5005834E-03
   7106.60  8.1648283E-04
   7106.80  1.7815341E-03
   7107.00  1.7856583E-03
   7107.20  1.1910097E-03
   7107.40  3.2716760E-04
   7107.60  1.1456269E-02
   7107.80  2.4928798E-03
   7108.00  2.4210882E-04
   7108.20  8.8122960E-04
   7108.40  9.6383297E-03
   7108.60  1.1901141E-03
   7108.80  6.3909342E-03
   7109.00  3.9544201E-02
   7109.20  7.1448157E-05
   7109.40  3.5091271E-03
   7109.60  2.4499650E-03
   7109.80  1.6435213E-02
   7110.00  9.7002451E-03
   7110.20  1.0870074E-02
   7110.40  1.1509119E-02
   7110.60  1.0447504E-02
   7110.80  8.1784605E-03
   7111.00  1.1152142E-02
   7111.20  1.2986657E-02
   7111.40  1.7931885E-02
   7111.60  1.8192117E-02
   7111.80  1.5300169E-02
   7112.00  1.9181011E-02
   7112.20  2.1800683E-02
   7112.40  2.1168650E-02
   7112.60  2.0704817E-02
   7112.80  2.1644748E-02
   7113.00  2.2352831E-02
   7113.20  2.1592922E-02
   7113.40  2.1441064E-02
   7113.60  2.4271662E-02
   7113.80  3.0585981E-02
   7114.00  3.4584453E-02
   7114.20  3.0424478E-02
   7114.40  2.5915219E-02
   7114.60  2.5325137E-02
   7114.80  2.5430444E-02
   7115.00  2.2404470E-02
   7115.20  1.8582862E-02
   7115.40  1.5788460E-02
   7115.60  1.4169764E-02
   7115.80  1.3338919E-02
   7116.00  1.3117899E-02
   7116.20  1.2994525E-02
   7116.40  1.2863005E-02
   7116.60  1.3247143E-02
