  7112.000   26  1  1  2.4270359E-02 -1.7258890E+00 -6.3591185E-01  1  1  7.2650533E+03  0.0000000E+00  0.0000000E+00  2.6932464E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  6.1750315E-04
   7097.20  1.6033890E-02
   7097.40  2.5036002E-02
   7097.60  3.6473984E-03
   7097.80  2.4816341E-04
   7098.00  1.0836558E-04
   7098.20  6.8035253E-05
   7098.40  5.0425883E-05
   7098.60  4.1093251E-05
   7098.80  3.5558283E-05
   7099.00  3.2036333E-05
   7099.20  2.9696612E-05
   7099.40  2.8115798E-05
   7099.60  2.7068588E-05
   7099.80  2.6442797E-05
   7100.00  2.6215155E-05
   7100.20  2.6472166E-05
   7100.40  2.7540791E-05
   7100.60  3.0548219E-05
   7100.80  4.0864868E-05
   7101.00  1.2412717E-04
   7101.20  5.8765472E-04
   7101.40  5.3995390E-05
   7101.60  3.3946435E-05
   7101.80  2.9624896E-05
   7102.00  2.8635185E-05
   7102.20  2.9193209E-05
   7102.40  3.1464236E-05
   7102.60  3.8868920E-05
   7102.80  2.6868335E-04
   7103.00  8.0788466E-05
   7103.20  1.1984979E-03
   7103.40  1.6943482E-03
   7103.60  1.6380979E-04
   7103.80  1.2837483E-04
   7104.00  1.0505881E-03
   7104.20  2.5493965E-04
   7104.40  1.3048564E-04
   7104.60  4.9951081E-04
   7104.80  2.4321829E-04
   7105.00  6.8086796E-05
   7105.20  5.3289956E-05
   7105.40  5.5291692E-05
   7105.60  7.3235732E-05
   7105.80  2.0895517E-04
   7106.00  9.7273255E-04
   7106.20  4.2446828E-03
   7106.40  1.7684287E-04
   7106.60  2.5242777E-02
   7106.80  1.5100027E-03
   7107.00  1.6515419E-04
   7107.20  1.5750578E-04
   7107.40  2.9876718E-04
   7107.60  3.9861343E-03
   7107.80  8.6797514E-04
   7108.00  9.5679135E-04
   7108.20  1.1037192E-03
   7108.40  7.3212263E-04
   7108.60  1.3336933E-02
   7108.80  1.2524142E-02
   7109.00  7.6235223E-03
   7109.20  5.2652210E-03
   7109.40  2.4953072E-03
   7109.60  2.1334881E-03
   7109.80  8.2356750E-03
   7110.00  2.1601520E-02
   7110.20  1.1683295E-02
   7110.40  1.1096864E-02
   7110.60  1.8196655E-03
   7110.80  3.3362749E-03
   7111.00  4.3409597E-03
   7111.20  6.7459450E-03
   7111.40  5.0922937E-03
   7111.60  7.2491237E-03
   7111.80  4.0383321E-02
   7112.00  1.5616440E-03
   7112.20  1.2974274E-03
   7112.40  4.1019823E-02
   7112.60  1.9534035E-03
   7112.80  1.5042259E-03
   7113.00  2.0389513E-03
   7113.20  3.6081159E-03
   7113.40  7.4779971E-03
   7113.60  1.3709791E-02
   7113.80  1.7880584E-02
   7114.00  2.0387331E-02
   7114.20  2.6865628E-02
   7114.40  2.7193976E-02
   7114.60  1.0784820E-02
   7114.80  4.6171998E-03
   7115.00  2.5163043E-03
   7115.20  1.6270029E-03
   7115.40  1.1886508E-03
   7115.60  9.5473022E-04
   7115.80  8.2831991E-04
   7116.00  7.6690960E-04
   7116.20  7.3834394E-04
   7116.40  7.6297268E-04
   7116.60  8.2360941E-04
   7116.80  9.2664850E-04
   7117.00  1.0873646E-03
   7117.20  1.3450289E-03
   7117.40  1.7718443E-03
   7117.60  2.4949847E-03
   7117.80  3.9383305E-03
   7118.00  7.3431362E-03
   7118.20  1.4580689E-02
   7118.40  1.3628062E-02
   7118.60  8.1097517E-03
   7118.80  7.0687832E-03
   7119.00  8.5700123E-03
   7119.20  1.2071836E-02
   7119.40  1.7367585E-02
   7119.60  2.3253550E-02
   7119.80  2.6858605E-02
   7120.00  2.7061219E-02
   7120.20  2.5398244E-02
   7120.40  2.3224240E-02
   7120.60  2.1263866E-02
   7120.80  1.9789603E-02
   7121.00  1.8865110E-02
   7121.20  1.8442032E-02
   7121.40  1.8463175E-02
   7121.60  1.8849786E-02
   7121.80  1.9386282E-02
   7122.00  1.9842164E-02
   7122.20  2.0317460E-02
   7122.40  2.1215141E-02
   7122.60  2.2843919E-02
   7122.80  2.5241666E-02
   7123.00  2.8105729E-02
   7123.20  3.0853468E-02
   7123.40  3.2971598E-02
   7123.60  3.4033431E-02
   7123.80  3.3814401E-02
   7124.00  3.2855118E-02
   7124.20  3.1597870E-02
   7124.40  3.0228754E-02
   7124.60  2.8811013E-02
   7124.80  2.7416330E-02
   7125.00  2.6061687E-02
   7125.20  2.4962086E-02
   7125.40  2.4145613E-02
   7125.60  2.3646083E-02
   7125.80  2.3429104E-02
   7126.00  2.3423090E-02
   7126.20  2.3546157E-02
   7126.40  2.3746022E-02
   7126.60  2.4001178E-02
   7126.80  2.4205153E-02
   7127.00  2.4458498E-02
   7127.20  2.4919140E-02
   7127.40  2.5611160E-02
   7127.60  2.6498292E-02
   7127.80  2.7474754E-02
   7128.00  2.8497697E-02
   7128.20  2.9507852E-02
   7128.40  3.0455447E-02
   7128.60  3.1311978E-02
   7128.80  3.2076493E-02
   7129.00  3.2772557E-02
   7129.20  3.3438456E-02
   7129.40  3.4116115E-02
   7129.60  3.4842454E-02
   7129.80  3.5646625E-02
   7130.00  3.6553440E-02
   7130.20  3.7595896E-02
   7130.40  3.8844909E-02
   7130.60  4.0449812E-02
   7130.80  4.2564943E-02
   7131.00  4.4814376E-02
   7131.20  4.7051265E-02
   7131.40  4.9020294E-02
   7131.60  5.0690669E-02
   7131.80  5.1981938E-02
   7132.00  5.2857755E-02
   7132.20  5.3325326E-02
   7132.40  5.3413365E-02
   7132.60  5.3152476E-02
   7132.80  5.2568491E-02
   7133.00  5.1688801E-02
   7133.20  5.0560189E-02
   7133.40  4.9264014E-02
   7133.60  4.7913967E-02
   7133.80  4.6627866E-02
   7134.00  4.5493297E-02
   7134.20  4.4549325E-02
   7134.40  4.3795580E-02
   7134.60  4.3211858E-02
   7134.80  4.2773698E-02
   7135.00  4.2459542E-02
   7135.20  4.2251180E-02
   7135.40  4.2132251E-02
   7135.60  4.2085608E-02
   7135.80  4.2092562E-02
   7136.00  4.2133370E-02
   7136.20  4.2189866E-02
   7136.40  4.2249376E-02
   7136.60  4.2308696E-02
   7136.80  4.2376950E-02
   7137.00  4.2465229E-02
   7137.20  4.2585737E-02
   7137.40  4.2742071E-02
   7137.60  4.2923613E-02
   7137.80  4.3105737E-02
   7138.00  4.3255415E-02
   7138.20  4.3339796E-02
   7138.40  4.3333702E-02
   7138.60  4.3223505E-02
   7138.80  4.3006279E-02
   7139.00  4.2687457E-02
   7139.20  4.2277612E-02
   7139.40  4.1790557E-02
   7139.60  4.1242980E-02
   7139.80  4.0654764E-02
   7140.00  4.0048645E-02
   7140.20  3.9449332E-02
   7140.40  3.8881144E-02
   7140.60  3.8365334E-02
   7140.80  3.7918375E-02
   7141.00  3.7550958E-02
   7141.20  3.7267147E-02
   7141.40  3.7065286E-02
   7141.60  3.6938546E-02
   7141.80  3.6875815E-02
   7142.00  3.6887600E-02
   7142.20  3.6922182E-02
   7142.40  3.6961784E-02
   7142.60  3.7003856E-02
   7142.80  3.7037285E-02
   7143.00  3.7053642E-02
   7143.20  3.7053258E-02
   7143.40  3.7037484E-02
   7143.60  3.7009684E-02
   7143.80  3.6974059E-02
   7144.00  3.6934878E-02
   7144.20  3.6894809E-02
   7144.40  3.6855970E-02
   7144.60  3.6819063E-02
   7144.80  3.6784308E-02
   7145.00  3.6746802E-02
   7145.20  3.6712886E-02
   7145.40  3.6678158E-02
   7145.60  3.6640881E-02
   7145.80  3.6599344E-02
   7146.00  3.6551867E-02
   7146.20  3.6496226E-02
   7146.40  3.6430499E-02
   7146.60  3.6353038E-02
   7146.80  3.6262636E-02
   7147.00  3.6158330E-02
   7147.20  3.6039907E-02
   7147.40  3.5907909E-02
   7147.60  3.5763650E-02
   7147.80  3.5608487E-02
   7148.00  3.5444237E-02
   7148.20  3.5272927E-02
   7148.40  3.5096672E-02
   7148.60  3.4917642E-02
   7148.80  3.4737484E-02
   7149.00  3.4557778E-02
   7149.20  3.4379881E-02
   7149.40  3.4204838E-02
   7149.60  3.4033162E-02
   7149.80  3.3864916E-02
   7150.00  3.3699676E-02
   7150.20  3.3542755E-02
   7150.40  3.3380080E-02
   7150.60  3.3217248E-02
   7150.80  3.3053268E-02
   7151.00  3.2887805E-02
   7151.20  3.2720626E-02
   7151.40  3.2552300E-02
   7151.60  3.2386498E-02
   7151.80  3.2219406E-02
   7152.00  3.2056177E-02
   7152.20  3.1898951E-02
   7152.40  3.1750044E-02
   7152.60  3.1611111E-02
   7152.80  3.1483553E-02
   7153.00  3.1368216E-02
   7153.20  3.1265370E-02
   7153.40  3.1174644E-02
   7153.60  3.1095103E-02
   7153.80  3.1025244E-02
   7154.00  3.0963357E-02
   7154.20  3.0907024E-02
   7154.40  3.0852548E-02
   7154.60  3.0800399E-02
   7154.80  3.0746826E-02
   7155.00  3.0686910E-02
   7155.20  3.0624465E-02
   7155.40  3.0555031E-02
   7155.60  3.0478401E-02
   7155.80  3.0392771E-02
   7156.00  3.0297273E-02
   7156.20  3.0192141E-02
   7156.40  3.0076483E-02
   7156.60  2.9950363E-02
   7156.80  2.9814436E-02
   7157.00  2.9669099E-02
   7157.20  2.9514718E-02
   7157.40  2.9352025E-02
   7157.60  2.9182275E-02
   7157.80  2.9006926E-02
   7158.00  2.8826580E-02
   7158.20  2.8642510E-02
   7158.40  2.8456103E-02
   7158.60  2.8269059E-02
   7158.80  2.8082687E-02
   7159.00  2.7897856E-02
   7159.20  2.7715663E-02
   7159.40  2.7537061E-02
   7159.60  2.7362837E-02
   7159.80  2.7194255E-02
   7160.00  2.7031258E-02
   7160.20  2.6872513E-02
   7160.40  2.6720783E-02
   7160.60  2.6577956E-02
   7160.80  2.6439157E-02
   7161.00  2.6306694E-02
   7161.20  2.6181469E-02
   7161.40  2.6063095E-02
   7161.60  2.5951993E-02
   7161.80  2.5848441E-02
   7162.00  2.5752387E-02
   7162.20  2.5665380E-02
   7162.40  2.5587303E-02
   7162.60  2.5518759E-02
   7162.80  2.5459577E-02
   7163.00  2.5409933E-02
   7163.20  2.5369921E-02
   7163.40  2.5339549E-02
   7163.60  2.5318732E-02
   7163.80  2.5307333E-02
   7164.00  2.5305124E-02
   7164.20  2.5312099E-02
   7164.40  2.5327506E-02
   7164.60  2.5350955E-02
   7164.80  2.5381905E-02
   7165.00  2.5419806E-02
   7165.20  2.5464075E-02
   7165.40  2.5514371E-02
   7165.60  2.5569915E-02
