  7112.000   26  1  1  2.8934522E-02 -3.0634791E+00 -7.3680738E-01  1  1  7.2654662E+03  0.0000000E+00  0.0000000E+00  4.5304222E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  8.7824916E-05
   7097.20  1.6202623E-04
   7097.40  5.4376086E-04
   7097.60  2.0819258E-02
   7097.80  8.3634630E-04
   7098.00  2.1923824E-04
   7098.20  1.5939083E-04
   7098.40  3.3321539E-04
   7098.60  4.4114650E-03
   7098.80  3.7401226E-04
   7099.00  1.3520161E-02
   7099.20  1.0096057E-03
   7099.40  3.0550319E-04
   7099.60  1.4788099E-03
   7099.80  1.2594888E-04
   7100.00  8.5756295E-05
   7100.20  1.0049311E-04
   7100.40  4.3848580E-04
   7100.60  8.0484588E-03
   7100.80  3.8678008E-04
   7101.00  1.8724829E-04
   7101.20  3.3440321E-02
   7101.40  1.4665735E-04
   7101.60  7.6398484E-05
   7101.80  1.0430565E-04
   7102.00  4.7807622E-05
   7102.20  4.3881219E-05
   7102.40  4.3428388E-05
   7102.60  4.4919627E-05
   7102.80  4.8882858E-05
   7103.00  5.9616966E-05
   7103.20  1.8070218E-04
   7103.40  1.5385233E-04
   7103.60  4.9176315E-03
   7103.80  5.3791394E-03
   7104.00  3.5924081E-04
   7104.20  1.5066530E-04
   7104.40  6.4999655E-04
   7104.60  2.5324155E-02
   7104.80  3.1050687E-03
   7105.00  1.2652235E-03
   7105.20  6.6464643E-04
   7105.40  1.7335324E-02
   7105.60  9.9752889E-03
   7105.80  1.3108362E-01
   7106.00  1.0539726E-01
   7106.20  1.2418966E-03
   7106.40  1.2950046E-03
   7106.60  6.1390190E-04
   7106.80  4.0653562E-03
   7107.00  3.2181836E-03
   7107.20  4.5399322E-03
   7107.40  7.9318308E-03
   7107.60  1.9731889E-03
   7107.80  6.4873672E-04
   7108.00  5.7543146E-02
   7108.20  9.8316021E-04
   7108.40  3.0128589E-03
   7108.60  8.8434679E-04
   7108.80  1.3309537E-03
   7109.00  5.7784764E-04
   7109.20  1.3591458E-04
   7109.40  6.6666957E-04
   7109.60  2.0150691E-02
   7109.80  1.5015517E-02
   7110.00  6.9627076E-03
   7110.20  1.6372797E-02
   7110.40  3.4128579E-02
   7110.60  7.5659935E-02
   7110.80  8.8186270E-02
   7111.00  4.4678287E-02
   7111.20  7.5366941E-02
   7111.40  5.7906840E-02
   7111.60  1.8025766E-02
   7111.80  1.5473954E-02
   7112.00  1.7885810E-02
   7112.20  1.8791841E-02
   7112.40  2.2052544E-02
   7112.60  1.8305211E-02
   7112.80  1.2860248E-02
   7113.00  1.3349257E-02
   7113.20  7.2075392E-03
   7113.40  4.4893708E-03
   7113.60  3.2935491E-03
   7113.80  2.6447807E-03
   7114.00  2.2242140E-03
   7114.20  1.9500646E-03
   7114.40  1.8110727E-03
   7114.60  1.9941454E-03
   7114.80  3.8482996E-03
   7115.00  5.3566601E-03
   7115.20  2.1579098E-03
   7115.40  1.4018728E-03
   7115.60  1.2587618E-03
   7115.80  1.4116836E-03
   7116.00  1.9196770E-03
   7116.20  2.6663239E-03
   7116.40  2.4637516E-03
   7116.60  1.7177288E-03
   7116.80  1.2473074E-03
   7117.00  9.9968823E-04
   7117.20  8.6904390E-04
   7117.40  8.0393295E-04
   7117.60  7.8154458E-04
   7117.80  7.9135372E-04
   7118.00  8.2780081E-04
   7118.20  8.8715976E-04
   7118.40  9.6669053E-04
   7118.60  1.0647977E-03
   7118.80  1.1792275E-03
   7119.00  1.2999235E-03
   7119.20  1.4065360E-03
   7119.40  1.4906665E-03
   7119.60  1.5725896E-03
   7119.80  1.6832665E-03
   7120.00  1.8482763E-03
   7120.20  2.0841199E-03
   7120.40  2.3935956E-03
   7120.60  2.7652036E-03
   7120.80  3.2123998E-03
   7121.00  3.8606825E-03
   7121.20  4.9984832E-03
   7121.40  7.0885312E-03
   7121.60  1.0365445E-02
   7121.80  1.2443280E-02
   7122.00  1.0821459E-02
   7122.20  8.7611282E-03
   7122.40  7.5982026E-03
   7122.60  6.5365293E-03
   7122.80  5.8780094E-03
   7123.00  5.4993080E-03
   7123.20  5.4296677E-03
   7123.40  5.6243250E-03
   7123.60  5.9567340E-03
   7123.80  6.3205992E-03
   7124.00  6.7572428E-03
   7124.20  7.3164396E-03
   7124.40  8.0276750E-03
   7124.60  8.9897455E-03
   7124.80  1.0183725E-02
   7125.00  1.1621146E-02
   7125.20  1.3318803E-02
   7125.40  1.5300108E-02
   7125.60  1.7744774E-02
   7125.80  2.0393856E-02
   7126.00  2.3301233E-02
   7126.20  2.6033721E-02
   7126.40  2.7675401E-02
   7126.60  2.7920847E-02
   7126.80  2.7527996E-02
   7127.00  2.7261232E-02
   7127.20  2.6989025E-02
   7127.40  2.5709123E-02
   7127.60  2.3441772E-02
   7127.80  2.1622593E-02
   7128.00  2.0557015E-02
   7128.20  2.0034114E-02
   7128.40  1.9958041E-02
   7128.60  2.0102812E-02
   7128.80  2.0497440E-02
   7129.00  2.1329948E-02
   7129.20  2.2562379E-02
   7129.40  2.4101625E-02
   7129.60  2.5868977E-02
   7129.80  2.7790513E-02
   7130.00  2.9793945E-02
   7130.20  3.1829415E-02
   7130.40  3.3893424E-02
   7130.60  3.6033766E-02
   7130.80  3.8340448E-02
   7131.00  4.0934959E-02
   7131.20  4.3961157E-02
   7131.40  4.7581821E-02
   7131.60  5.1982685E-02
   7131.80  5.7355703E-02
   7132.00  6.3680912E-02
   7132.20  6.9895639E-02
   7132.40  7.2695843E-02
   7132.60  6.8859677E-02
   7132.80  6.1196530E-02
   7133.00  5.4858000E-02
   7133.20  5.1325105E-02
   7133.40  4.9881532E-02
   7133.60  4.9657604E-02
   7133.80  5.0153830E-02
   7134.00  5.1167751E-02
   7134.20  5.2669200E-02
   7134.40  5.4743857E-02
   7134.60  5.7590302E-02
   7134.80  6.1551273E-02
   7135.00  6.7169681E-02
   7135.20  7.5247919E-02
   7135.40  8.6744849E-02
   7135.60  1.0193768E-01
   7135.80  1.1782082E-01
   7136.00  1.2574270E-01
   7136.20  1.1888845E-01
   7136.40  1.0271706E-01
   7136.60  8.6452601E-02
   7136.80  7.3845941E-02
   7137.00  6.4841641E-02
   7137.20  5.8471552E-02
   7137.40  5.3880922E-02
   7137.60  5.0479993E-02
   7137.80  4.7887058E-02
   7138.00  4.5857063E-02
   7138.20  4.4231992E-02
   7138.40  4.2909473E-02
   7138.60  4.1820279E-02
   7138.80  4.0916921E-02
   7139.00  4.0165935E-02
   7139.20  3.9543874E-02
   7139.40  3.9033773E-02
   7139.60  3.8623554E-02
   7139.80  3.8304432E-02
   7140.00  3.8070542E-02
   7140.20  3.7918398E-02
   7140.40  3.7846913E-02
   7140.60  3.7856816E-02
