  7112.000   26  1  1  9.9948412E-03 -4.8190190E+00 -3.8093457E-01  1  1  7.2650325E+03  0.0000000E+00  0.0000000E+00  3.2669084E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2800382E-05
   7097.20  2.1808636E-05
   7097.40  2.1791533E-05
   7097.60  2.1714436E-05
   7097.80  2.1979028E-05
   7098.00  2.2403670E-05
   7098.20  2.3017158E-05
   7098.40  2.3899180E-05
   7098.60  2.5216064E-05
   7098.80  2.7357384E-05
   7099.00  3.1677880E-05
   7099.20  6.3490300E-05
   7099.40  7.0880753E-05
   7099.60  8.5123723E-05
   7099.80  3.3423727E-04
   7100.00  3.7404755E-03
   7100.20  1.5276803E-04
   7100.40  6.6432528E-05
   7100.60  5.5000000E-05
   7100.80  5.2229839E-04
   7101.00  4.8282833E-05
   7101.20  4.6764279E-05
   7101.40  5.7568666E-05
   7101.60  9.5135196E-05
   7101.80  4.3896290E-04
   7102.00  8.1094436E-03
   7102.20  3.4084176E-04
   7102.40  6.4771720E-04
   7102.60  1.0175204E-02
   7102.80  6.2792164E-04
   7103.00  8.6598556E-03
   7103.20  2.0446875E-04
   7103.40  2.2497570E-03
   7103.60  1.4277251E-02
   7103.80  2.4846204E-04
   7104.00  7.5618036E-05
   7104.20  5.6730330E-05
   7104.40  5.5686464E-05
   7104.60  7.8663237E-05
   7104.80  7.1148741E-03
   7105.00  1.3355234E-04
   7105.20  7.3041001E-04
   7105.40  3.7148835E-04
   7105.60  1.9442316E-04
   7105.80  1.7496157E-03
   7106.00  2.5282232E-04
   7106.20  6.2248936E-04
   7106.40  1.7263388E-03
   7106.60  8.4899728E-04
   7106.80  1.4580122E-03
   7107.00  7.3720270E-04
   7107.20  2.0719511E-03
   7107.40  1.0522751E-03
   7107.60  1.1809660E-03
   7107.80  1.8034491E-03
   7108.00  4.3245158E-03
   7108.20  6.2151563E-03
   7108.40  2.5535276E-03
   7108.60  7.7683033E-03
   7108.80  2.8354748E-02
   7109.00  6.9914103E-03
   7109.20  7.2773600E-03
   7109.40  7.6380896E-03
   7109.60  6.8002500E-03
   7109.80  6.2523966E-03
   7110.00  9.3203842E-03
   7110.20  1.7593441E-02
   7110.40  2.1372560E-02
   7110.60  2.2499854E-02
   7110.80  1.6623451E-02
   7111.00  2.0151785E-02
   7111.20  1.6488150E-02
   7111.40  1.5698487E-02
   7111.60  1.9130214E-02
   7111.80  2.4049336E-02
