  7112.000   26  1  1  3.9258659E-02 -3.0469684E-01 -1.5529072E+00  1  1  7.2656718E+03  0.0000000E+00  0.0000000E+00  2.0211205E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2930655E-05
   7097.20  2.4669748E-05
   7097.40  2.7867799E-05
   7097.60  3.4700053E-05
   7097.80  5.3753173E-05
   7098.00  1.5011322E-04
   7098.20  2.3370965E-02
   7098.40  1.8671302E-04
   7098.60  5.8625211E-05
   7098.80  3.6539914E-05
   7099.00  2.9159113E-05
   7099.20  2.6053176E-05
   7099.40  2.4961691E-05
   7099.60  2.6483826E-05
   7099.80  6.3614962E-05
   7100.00  4.6053096E-05
   7100.20  2.4877478E-05
   7100.40  2.2994050E-05
   7100.60  2.2443598E-05
   7100.80  2.2456116E-05
   7101.00  2.2720212E-05
   7101.20  2.3199551E-05
   7101.40  2.3924120E-05
   7101.60  2.4980140E-05
   7101.80  2.6538970E-05
   7102.00  2.8939046E-05
   7102.20  3.2905666E-05
   7102.40  4.0214394E-05
   7102.60  5.6222941E-05
   7102.80  1.0418460E-04
   7103.00  4.3056829E-04
   7103.20  6.2345953E-02
   7103.40  2.7516177E-04
   7103.60  9.0528020E-05
   7103.80  5.4396154E-05
   7104.00  4.1904640E-05
   7104.20  3.6608488E-05
   7104.40  3.4395523E-05
   7104.60  3.3956451E-05
   7104.80  3.4979146E-05
   7105.00  3.7846414E-05
   7105.20  4.4194476E-05
   7105.40  6.0140054E-05
   7105.60  1.2189093E-04
   7105.80  1.9276860E-03
   7106.00  9.2871077E-04
   7106.20  2.9762086E-04
   7106.40  7.2796465E-05
   7106.60  5.6456741E-05
   7106.80  5.4571146E-05
   7107.00  6.0482278E-05
   7107.20  8.5682489E-05
   7107.40  1.2519263E-03
   7107.60  1.4928892E-04
   7107.80  1.7805843E-04
   7108.00  3.0455175E-03
   7108.20  5.2508581E-02
   7108.40  3.5133357E-03
   7108.60  2.2767271E-03
   7108.80  9.5820031E-04
   7109.00  4.9960460E-03
   7109.20  3.2994457E-04
   7109.40  1.6544239E-03
   7109.60  1.1673783E-03
   7109.80  5.7675849E-03
   7110.00  1.7388299E-03
   7110.20  6.0950743E-03
   7110.40  1.3846305E-03
   7110.60  5.2505432E-04
   7110.80  4.8537809E-04
   7111.00  7.8550484E-03
   7111.20  1.1010156E-03
   7111.40  5.7071313E-04
   7111.60  4.9177632E-02
   7111.80  4.7769104E-03
   7112.00  4.4853618E-04
   7112.20  6.4564285E-03
   7112.40  3.5968882E-02
   7112.60  5.3067523E-03
   7112.80  3.3557653E-03
   7113.00  2.9574699E-03
   7113.20  5.6337161E-03
   7113.40  1.5996280E-02
   7113.60  2.7287201E-02
   7113.80  1.5330129E-02
   7114.00  1.9756265E-02
   7114.20  5.2745929E-02
   7114.40  4.0306362E-02
   7114.60  3.3624760E-02
   7114.80  2.6986641E-02
   7115.00  3.9778053E-02
   7115.20  5.7558132E-02
   7115.40  4.1793247E-02
   7115.60  2.5903240E-02
