  7112.000   26  1  1  2.3558469E-02 -2.7590111E+00 -4.5112481E-01  1  1  7.2650669E+03  0.0000000E+00  0.0000000E+00  2.8495822E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.1954412E-02
   7097.20  1.5188521E-04
   7097.40  1.4571269E-04
   7097.60  1.3799519E-03
   7097.80  5.4702293E-04
   7098.00  2.1660066E-04
   7098.20  1.0301199E-02
   7098.40  2.5979005E-04
   7098.60  7.7921583E-05
   7098.80  4.9916656E-05
   7099.00  4.0087616E-05
   7099.20  3.5523120E-05
   7099.40  3.3210094E-05
   7099.60  3.2167296E-05
   7099.80  3.2079304E-05
   7100.00  3.2996417E-05
   7100.20  3.5411675E-05
   7100.40  4.0903940E-05
   7100.60  5.5263227E-05
   7100.80  1.1343860E-04
   7101.00  1.6358591E-03
   7101.20  3.6859115E-04
   7101.40  3.1831732E-04
   7101.60  1.2479414E-04
   7101.80  7.5752829E-05
   7102.00  5.3988872E-05
   7102.20  6.6834735E-05
   7102.40  1.4860342E-04
   7102.60  1.8372816E-02
   7102.80  2.2177158E-04
   7103.00  3.1511442E-03
   7103.20  7.2153786E-05
   7103.40  7.0265085E-05
   7103.60  1.5347786E-04
   7103.80  1.4699251E-03
   7104.00  1.6081993E-04
   7104.20  8.4371933E-05
   7104.40  1.1554243E-04
   7104.60  1.1852013E-03
   7104.80  4.4566476E-04
   7105.00  6.4982351E-04
   7105.20  1.7356157E-03
   7105.40  1.6462507E-04
   7105.60  1.5085970E-04
   7105.80  6.3658406E-03
   7106.00  1.4671156E-03
   7106.20  4.5310045E-04
   7106.40  1.3688004E-02
   7106.60  1.2006025E-03
   7106.80  3.4919190E-03
   7107.00  1.3970667E-02
   7107.20  1.3360683E-03
   7107.40  8.5053107E-02
   7107.60  1.0942699E-01
   7107.80  5.8109392E-03
   7108.00  1.5795034E-03
   7108.20  2.6576771E-03
   7108.40  1.2724864E-02
   7108.60  9.3578981E-03
   7108.80  7.1118652E-04
   7109.00  5.9658348E-02
   7109.20  6.0827511E-04
   7109.40  5.1334981E-03
   7109.60  7.0708226E-03
   7109.80  4.7402195E-03
   7110.00  2.7022087E-02
   7110.20  7.1879894E-02
   7110.40  2.9418102E-02
   7110.60  6.9170048E-02
   7110.80  2.8450570E-02
   7111.00  1.9097240E-02
   7111.20  1.5356412E-02
   7111.40  1.0171162E-02
   7111.60  2.4098957E-02
   7111.80  1.6111355E-02
   7112.00  1.5719690E-02
   7112.20  1.0211400E-02
   7112.40  1.1107732E-02
   7112.60  1.3080371E-02
   7112.80  2.4273534E-02
   7113.00  2.3915590E-02
   7113.20  9.1203790E-03
   7113.40  4.0480999E-03
   7113.60  2.3304720E-03
   7113.80  1.6040407E-03
   7114.00  1.2547723E-03
   7114.20  1.1008878E-03
   7114.40  1.1430610E-03
   7114.60  2.2754178E-03
   7114.80  2.7142970E-03
