  7112.000   26  1  1  8.7833684E-03 -2.6305290E+00 -2.2927706E+00  1  1  7.2661545E+03  0.0000000E+00  0.0000000E+00  2.2016878E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.1262820E-04
   7097.20  1.0637049E-04
   7097.40  5.4538182E-05
   7097.60  3.8588798E-05
   7097.80  3.1790448E-05
   7098.00  2.8402089E-05
   7098.20  2.6619087E-05
   7098.40  2.5757550E-05
   7098.60  2.5561462E-05
   7098.80  2.6015175E-05
   7099.00  2.7366078E-05
   7099.20  3.0445085E-05
   7099.40  3.8246846E-05
   7099.60  6.9086401E-05
   7099.80  1.8992239E-03
   7100.00  5.9563800E-04
   7100.20  2.2652245E-04
   7100.40  7.3568719E-05
   7100.60  2.8133919E-04
   7100.80  1.2145837E-04
   7101.00  4.3689489E-05
   7101.20  5.2449206E-05
   7101.40  1.0914417E-04
   7101.60  3.2850144E-05
   7101.80  3.0015067E-05
   7102.00  3.2107904E-05
   7102.20  4.3592342E-05
   7102.40  2.4545006E-04
   7102.60  1.3146438E-04
   7102.80  6.7954865E-05
   7103.00  6.7235182E-04
   7103.20  5.5743703E-05
   7103.40  6.4881391E-04
   7103.60  8.6626088E-05
   7103.80  2.9863869E-04
   7104.00  1.2122662E-04
   7104.20  4.5039948E-05
   7104.40  3.8724171E-05
   7104.60  4.4276837E-05
   7104.80  2.7882407E-04
   7105.00  6.7163531E-05
   7105.20  8.2700443E-05
   7105.40  8.3599373E-05
   7105.60  4.6323731E-05
   7105.80  5.1864266E-05
   7106.00  7.3396644E-05
   7106.20  6.9234939E-05
   7106.40  3.3328296E-04
   7106.60  9.3449125E-05
   7106.80  1.8427083E-04
   7107.00  2.3907398E-03
   7107.20  1.0952643E-03
   7107.40  3.1306459E-03
   7107.60  4.5500488E-04
   7107.80  7.4742880E-02
   7108.00  2.8600453E-03
   7108.20  2.5723758E-04
   7108.40  3.9334728E-03
   7108.60  4.2332421E-03
   7108.80  2.8454488E-02
   7109.00  1.8013257E-03
   7109.20  3.6154108E-03
   7109.40  2.4407207E-03
   7109.60  2.2354709E-03
   7109.80  4.0951310E-02
   7110.00  3.0306158E-02
   7110.20  1.2848445E-02
   7110.40  1.6771513E-02
   7110.60  1.0060788E-02
   7110.80  1.3444716E-02
   7111.00  1.0421922E-02
   7111.20  1.4321069E-02
   7111.40  5.5813142E-02
   7111.60  1.9974759E-02
   7111.80  1.0938896E-02
   7112.00  9.2846200E-03
   7112.20  1.1303802E-02
   7112.40  2.6459153E-02
   7112.60  1.2119071E-01
   7112.80  7.2498337E-02
   7113.00  2.2264799E-02
   7113.20  1.1795542E-02
   7113.40  7.6851629E-03
   7113.60  5.5033554E-03
   7113.80  4.3007156E-03
   7114.00  3.6740136E-03
   7114.20  3.5355397E-03
   7114.40  3.9369068E-03
   7114.60  5.1123735E-03
   7114.80  7.6427449E-03
   7115.00  1.2699488E-02
   7115.20  2.1927944E-02
   7115.40  3.5182673E-02
   7115.60  4.5186308E-02
   7115.80  4.2117645E-02
   7116.00  3.1865240E-02
   7116.20  2.4125366E-02
   7116.40  1.9078384E-02
   7116.60  1.5799675E-02
   7116.80  1.3602878E-02
   7117.00  1.2090604E-02
   7117.20  1.1044699E-02
   7117.40  1.0362580E-02
   7117.60  1.0034339E-02
   7117.80  9.9788802E-03
   7118.00  9.9023046E-03
   7118.20  9.7307500E-03
   7118.40  9.4462854E-03
   7118.60  9.0106833E-03
   7118.80  8.4540653E-03
   7119.00  7.8958772E-03
   7119.20  7.4400570E-03
   7119.40  7.1014338E-03
   7119.60  6.8418896E-03
   7119.80  6.6225488E-03
   7120.00  6.4217996E-03
   7120.20  6.2346116E-03
   7120.40  6.0716807E-03
   7120.60  5.9624585E-03
   7120.80  5.9521744E-03
   7121.00  6.0671947E-03
   7121.20  6.2633910E-03
   7121.40  6.4640352E-03
   7121.60  6.6509219E-03
   7121.80  6.8593699E-03
   7122.00  7.0320086E-03
   7122.20  7.2010664E-03
   7122.40  7.3696538E-03
   7122.60  7.5442002E-03
   7122.80  7.7350343E-03
   7123.00  7.9524911E-03
   7123.20  8.2033155E-03
   7123.40  8.4930250E-03
   7123.60  8.8295148E-03
   7123.80  9.2334907E-03
   7124.00  9.7466786E-03
   7124.20  1.0412827E-02
   7124.40  1.1238798E-02
   7124.60  1.2186021E-02
   7124.80  1.3214273E-02
   7125.00  1.4353082E-02
   7125.20  1.5713156E-02
   7125.40  1.7434978E-02
   7125.60  1.9673316E-02
   7125.80  2.2608814E-02
   7126.00  2.6274683E-02
   7126.20  3.0037374E-02
   7126.40  3.2111167E-02
   7126.60  3.1458144E-02
   7126.80  2.9086871E-02
   7127.00  2.6483458E-02
   7127.20  2.4452965E-02
   7127.40  2.3174609E-02
   7127.60  2.2582792E-02
   7127.80  2.2554987E-02
   7128.00  2.2969364E-02
   7128.20  2.3713748E-02
   7128.40  2.4681553E-02
   7128.60  2.5769496E-02
   7128.80  2.6902049E-02
   7129.00  2.8146009E-02
   7129.20  2.9342778E-02
   7129.40  3.0745148E-02
   7129.60  3.2480440E-02
   7129.80  3.4563192E-02
   7130.00  3.6930906E-02
   7130.20  3.9522611E-02
   7130.40  4.2301758E-02
   7130.60  4.5244803E-02
   7130.80  4.8325971E-02
   7131.00  5.1507069E-02
   7131.20  5.4729685E-02
   7131.40  5.7904332E-02
   7131.60  6.0905927E-02
   7131.80  6.3590399E-02
   7132.00  6.5841654E-02
   7132.20  6.7619002E-02
   7132.40  6.8963684E-02
   7132.60  6.9981659E-02
   7132.80  7.0805759E-02
   7133.00  7.1578762E-02
   7133.20  7.2461714E-02
   7133.40  7.3645790E-02
   7133.60  7.5353770E-02
   7133.80  7.7800960E-02
   7134.00  8.1066437E-02
   7134.20  8.4824882E-02
